15889006_194105300645715971 x	YESSSSSSS! LET'S GO FLYERS!!!!
15889006_107675644204298240 x	@CoachB0066 Doing ok in Aston. Waiting for the worst of it.
15889006_107676446612402176 x	@CoachB0066 Thanks you too!
15889006_93679988771004416 x	@Wildwood365 The hotter the better!
15889006_93652619960131585 x	RT @TechCrunch: Google+ Now The Top Free App In The Apple App Store http://tcrn.ch/nA4azT by @alexia
15889006_76277560970969088 x	RT @MakeUseOf: Please RT: Learn xHTML the easy way - FREE PDF download http://muo.fm/lNojwA
15889006_76274300075782148 x	@CoachB0066 Want Android for less than $100? Check out the new Samsung Exhibit 4G & Samsung Gravity SMART: http://goo.gl/9u3Nb
15889006_76270266438787072 x	@kadud ouch!
15889006_74882340446416896 x	@LisaLampanelli OMG so funny as always! So glad I follow the very least of current events to get that joke! NEVER too soon!
15889006_73009047984537600 x	@jerseyshorejen At least it's not 4 boxes of fudge!
15889006_65194126060171265 x	@CandaceBailey5 killed Bin Laden with her booty shakin! #AOTS
15889006_63967270757597184 x	@SethGreen Striking photo:Space shuttle Endeavour caught in lightning storm http://huff.to/jSXMyu
15889006_63260881647181824 x	@JamieApody Stunning ladies!
15889006_63259796815613953 x	@cathleenine What about breathing?
15889006_63243292472651777 x	@pennjillette Awesome Penn! Tell her Congrats and to gloat about it for a while!
15889006_62834294636285952 x	Amazon Cloud Player - a new way to play & manage your music--anytime, anywhere #cloudplayer http://t.co/MmYiw55 via @amazonmp3
15889006_1040077548 x	@jlink7 are you the only one?
15889006_62746421270560768 x	@jerseyshorejen One of six right here!
15889006_60622285828145152 x	RT @ebshanks: I love this. #radiolab http://vimeo.com/22564317
15889006_60561685974487040 x	RT @rainnwilson: Charles Barkley should be the spokesperson for food.
15889006_57760444366077952 x	@kadud bad habbit Dud! That's why I set 5 alarms on my phone. lol
15889006_57220729183281152 x	@JamieApody Bring it!!! good job!
15889006_49476830100594689 x	Nice! (@kadud)http://yfrog.com/h74diowj
15889006_36506431649746944 x	@alisonhaislip Thank goodness for HD!!!! :-)
15889006_34734747859025920 x	thanks for the leg shot Munn! (@oliviamunn)http://yfrog.com/h3l3rgej
15889006_33544937740046336 x	http://plixi.com/p/74716399 @RedHourBen all work and no play....
15889006_33512215407497216 x	@PrestonSteve933 That's not 110%!!!!
15889006_32471341256937472 x	@MarisaMagnatta Who's ring is it?
15889006_32451591021789185 x	http://plixi.com/p/74004889 @RedHourBen You seem to like taking pics of this bridge....
15889006_30647426759000064 x	@kadud I know, saul goode, don't get those boots wet/dirty!!
15889006_30629952017661952 x	@kadud Hired help? lol
15889006_30275145692090368 x	http://plixi.com/p/72574290 @CoachB0066 Looks familiar....
15889006_30309263834353666 x	@CoachB0066 Doing good bro, working in Jersey.
15889006_29981687005843456 x	RT @kpereira: A man films himself. Being run over by a train. Tada! http://www.youtube.com/watch?v=1_1AzOVAd68 (RT @Ade1965)
15889006_29197618114461696 x	@oliviamunn Happy Pie Day Munn! I enjoy this day as well!
15889006_27042276496637952 x	I've just entered @makeuseof's AWESOME giveaway to win a FREE 5 TB Drobo FS! Come join! http://t.co/KPjTWau
15889006_24053478632456193 x	@Danny_DeVito Gasland was great. PA and Philly are screwed!
15889006_18783354581164032 x	@Lifehacker is it just me being out of the loop or is the search function gone on your site?
15889006_18782435634319360 x	TechCrunch Giveaway: A Google Nexus S?#TechCrunch http://t.co/9j90Zwl via @techcrunch
15889006_10043160583479297 x	I've just entered @makeuseof's giveaway to win a FREE OCZ Vertex 2 120GB SSD! Come and join! http://t.co/pxNqX3P
15889006_346950188666881 x	I've just entered @makeuseof's giveaway to win a FREE copy of Nero Multimedia Suite Platinum HD! http://t.co/GvzhRFS
15889006_29145829933 x	@JaxonWMMR What was the joke of the day? I missed it!
15889006_13098404255 x	I like this video by @marisamagnatta http://twitvid.com/EJ0AD
15889006_11321143803 x	@mikeisakoi Verizon iphone!!! Trader!! Hate you!
15889006_11321451975 x	@mikeisakoi That's a shame. I thought you were a true geek and hacker...
15889006_2071567047 x	@rainnwilson I didn't make this up...Have you seen this? http://www.loiterink.com/fact/210/
15889006_1780078951 x	How long did it take us to invent tagless t-shirts? What took so long?
15889006_1513998073 x	RIP Harry Kalas. You were Phillies Baseball! You are sadly missed! http://tinyurl.com/cjx2bp
15889006_1413617069 x	This is great! RT @kevinrose RT @loic: This video is priceless had missed it despite its million views http://tinyurl.com/d32yf8
15889006_1383159698 x	@oliviamunn I pop my neck more than I work!
15889006_1373832632 x	Updating the resume
15889006_1373831370 x	@CoachB0066 Have you seen Twitterfall? http://tinyurl.com/b38dkb is the article I saw about it.
15889006_1199106514 x	Needs and Ohio trip!!!
15889006_1152697126 x	@duffgirl that makes one of us!
15889006_1040080121 x	is done with Verizon. I want my G1!!!!
15889006_890779115 x	sleeping
