37974205_388377018880249857 x	Will the #newyorkgiants win a game tonite or will they fall to 0-6 this season.
37974205_388842939142930432 x	@MsLadyDeviousD no it was horrible
37974205_388841164180578305 x	@MsLadyDeviousD not much i was cooking and eatting just a moment ago. .
37974205_388828412556881920 x	@MsLadyDeviousD oh ok. .
37974205_388827408725708800 x	@MsLadyDeviousD riiight! . . ur bored. . Lol! are u still doing bowling this year?
37974205_388824791966564353 x	@MsLadyDeviousD ur bored? I bet u are bored and u figure hey lets see whats happening on twitter. . lol
37974205_388823800038821888 x	@MsLadyDeviousD yup tons of em but i will storage em for later. What brings u bac to life on twitter?
37974205_388821364972322816 x	@MsLadyDeviousD Lol
37974205_388821320290414592 x	@MsLadyDeviousD Look who escape from the cave. . Bout time!
37974205_388801098418368512 x	@lostinmyeyez124  she doesn't love me y'all . . Lol!
37974205_388804953625477121 x	@lostinmyeyez124 I shut up patty pat. . What's wrong Chance got your tongue?. . Lol! #shelovesmenot
37974205_388805596259971072 x	@lostinmyeyez124 sure a glass of wine and some. . SHOTS SHOTS SHOTS SHOTS SHOTS SHOTS SHOTS EVERYBODY!! . . *in my lil jon voice*
37974205_388796515868631040 x	Domestic abuse against a minor or a woman is a cowards way of life. No parent should buried their child cuz of it. #StandUpAgainstViolence
37974205_388795692132474881 x	Thoughts and prayers go out to @AdrianPeterson and his family through this sad day for their lost. #PrayersForPeterson
37974205_388768851149602817 x	why are catholic churches complaining about ACA when they cant keep their hands away from lil boys. Yes i said it
37974205_388402314492391424 x	The tea party movement, you mean the infammatory bowel movement #GOPTemperTantrum  *Drums*
37974205_388394695551774720 x	I will not stop until I get my French Toast Crunch Cereal. #BringBackFrenchToastToTheUSA http://t.co/SE2lEJCXYq
37974205_388393575085379584 x	Dear @GeneralMills , I am tweeting ur rep about what holds dear to me and that's French Toast Crunch Cereal. Plz bring it back to the USA.
37974205_388385737147576320 x	I hear a lot of no's, never's, can'ts, and won'ts. #FlockOfFailure if u are only limited to less success, u bound to remain in the bottom.
37974205_388376226211328001 x	Whats more annoying ladies in a relationship, ur man watching porn or playing video games? Would u compromise that choose? #AskFemalesDay
37974205_388371940261765120 x	@treesontoast bring acouple of board games or a xbox with call of duty game. U have a party from there
37974205_388373765228597248 x	@treesontoast i wouldnt say that. It would be like a sporting event where u cheer and boo. Then u riot
37974205_388375423824179201 x	@treesontoast hey if their not entertaining then u miss caeser must decide between yay or nay.  Nay being to execute and Yay they stay on
37974205_388374446870126592 x	@Natrooper there u go. . u know how u always memorize lyrics from ur fave songs. Just like that. Repeat and play 8x
37974205_388371346121834496 x	@Natrooper u should be able pull it off. Just ask urself how would Morgan Freeman approach his public speeches?
37974205_388372566655926272 x	@Natrooper did u wrote it on a note card or you type it out?
37974205_388063996751798273 x	Alrighty then, back to doing some assignments. . #SchoolIsMyHustle
37974205_387977601978888192 x	@Krystol1 chillin chillin. . what up with you?
37974205_387982496945553409 x	@Krystol1 Oh snap. . are you prepare to answer those tough questions?
37974205_387988828276805632 x	@Krystol1 Okay. . Then you ready to go! Good luck on the show. U still writing ur tv script or movie script?
37974205_387971335898415104 x	#wcw got to be miss @SiennaSpalding O.M.Gorgeous, great sense of humor, and down to earth. My future wife?. . Lol! but my big crush :)
37974205_385171899535208448 x	Exactly, there's levels to this shhhh!. . #90skid http://t.co/lOEziDD5th
37974205_385171278270701568 x	Friend ask what datin site will I be sign up for this time. I couldn't tell if he was mockin me or he was serious.#AintNobodyGotTimeForThat
37974205_385104698685943808 x	The GOP & Tea party members has to take the blame. When the party is a NO party than lets make a deal .U get what u deserve #ShutdownTheGOP
37974205_384766520888279040 x	@DreamChaser807 Can't wait for my Eagles to beat you're Giants this sunday! ha :)
37974205_385103727557767168 x	@DreamChaser807 I forgot your were a cowboy fan. . yuck!. . Lol! We will be facing yall soon. i hope yall win against peyton
37974205_384767311967580160 x	Looking back at the time where GOP & Liberal would see eye to eye. Now it just my way or the highway politics #cspanchat
37974205_384766363035639808 x	@DreamChaser807 politicians in this world do not think about those in need but themselves for whom they are sponsor by.
37974205_384763809987977216 x	Do ur homework before you hook up with sum 1 u met online. Photos can be deceiving than actuality. Don't get played #OnlineDating
37974205_384175908258476033 x	@SashaBanksWWE Kelis featuring Too $hort - Bossy: http://t.co/LUMdRUCqV9 via @youtube
37974205_384067320189968385 x	If you are coming to Delaware or you live in Delaware. Come out to support a cause from @Cenza . . Share and Support http://t.co/OcaKwxMeXf
37974205_384005332596305920 x	RT @RonKillings: http://t.co/SbW272ISvV
37974205_383782947385380864 x	I am still up . . Been doing my presentation for abit but I think I am going to have it ready by Saturday. @UOPX
37974205_383782361243975680 x	Wondering which team will fall from the ranks this weekend #collegefootball @NCAA_FB
37974205_383719431849144320 x	Relationship advice http://t.co/lCFdDgp4Jv
37974205_383718486201368576 x	Just recently saw Dr.Phil show and got me thinking about the topic of explosive anger. The conclusion I came up... http://t.co/QyDiTL0CvW
37974205_383336303560908801 x	Eventually secrets has a way of coming out and I believe whomever taking full advantage of it better hope that it doesn't get into trouble.
37974205_383335599723126784 x	Deceiving others to only imagine something that is not actually there until the gig is up. I never understand the amusement of it.
37974205_383335288342196224 x	I remember the tv series called "lie to me" . . The best lie of em all is to convince others of something that isn't true. Deception and. .
37974205_382958849730154496 x	@KaitlynWWE Whenever I take a date out to a five star restaurant, I feel like my mom is watching me to make a mistake.
37974205_382957186306953216 x	It's great that you have the looks but if you ain't got no money take ur broke ass home. #AintNobodyGotTimeForYou
37974205_382956342094225409 x	It's good to have a healthy debate with others than name call individuals and groups. You are who you are. That's all it means  #wisedom
37974205_382898127281213440 x	#wcw has to be @HopeDworaczyk intelligent, gorgeous, and down to earth. Wow, what can you say about her. I hope she reads this!
37974205_382893909166153729 x	@PatriotMom69 How? What areas should I be alarm about this healthcare law that people should be angry about?
37974205_382895463134818306 x	@PatriotMom69 Wow, I remember the insurance company that I apply for explain some of those details and kind of throw me off alittle.
37974205_382897244040478720 x	@PatriotMom69 Right now what I need is financial stability and the student loan crisis that I have. God bless you as well.
37974205_382894638236827648 x	I read some good details to improve percentage health care issues but what part of the legislation is most of concern? #cspanchat
37974205_382890499570290688 x	Has any tea partiers actually read the whole ACA legislation without reading blogs or watching Fox News. #cspanchat
37974205_382891712848224257 x	@1_pink_flamingo I am actually reading the whole bill right now from legislation form from the govtrack.us.
37974205_382878959467114496 x	Seriously who is #TedCruz ?
37974205_382878821008932865 x	Who the hell's is #TedCruz
37974205_382878616201072642 x	#TedCruz is the type of politician that will shutdown government because he missed an episode of desperate housewives of L.A.
37974205_382872870340136960 x	@lostinmyeyez124 We all know that's not you're ass. What really give it alway is the website digdang. Shame on u for lying!
37974205_382874926832558080 x	@lostinmyeyez124 Lol. . you can redeem urself by taking a selfie in the bathroom at this moment without stealing someone photo.
37974205_382876623747305472 x	@lostinmyeyez124 *sips tea* Ma'am Ima need u to not choke a bitch on humps day. That will be great!. . Lol
37974205_382877693991079936 x	@lostinmyeyez124 Ma'am where are you at?. . We will send the police to the scene.
37974205_382877201281990656 x	#TedCruz is the type of politician that will fart in a congressional hearing and blame it on the liberals.
37974205_382875966185275393 x	@lostinmyeyez124 Everyone will use the camel bcuz it's a free country. . Lol! I am using it right now. . .
37974205_382875737524404224 x	@lostinmyeyez124 *sips tea* . . Maybe
37974205_382866062926028802 x	I rather go through the nightmare before I go through a dream bcuz not all dreams come true early in ur life. #wisdom
37974205_382862694384009216 x	It's kind of hard to close out a great conversation with a girl u just met. Thats when u call up Mariano Rivera to close out the game
37974205_382604846341177344 x	@lostinmyeyez124, good thing u wasnt wearing a tanktop and some booty shorts. . wooo
37974205_382600470843244544 x	@lostinmyeyez124 I know you got all the bring it on movies so here's one you haven't seen http://t.co/rndpIAofTh
37974205_382603129725792256 x	@lostinmyeyez124 how dare you missy show those gym photos. U know those photos turn me on cheeses price. .  Woman!
37974205_382600119570284544 x	Came back from the casino this morning, didn't suspect to be ask about martial status. She ask if I was single, I reply "I am confused". Lol
37974205_382598846003433472 x	You realize the girl in the picture doesn't match the girl you been talking to. Better be cautious of girl rip offs. #DontBelieveTheHype
37974205_382492935918338048 x	@lostinmyeyez124, um no, i would say if i have lost my mind i would have hung myself dear. . lol
37974205_380902241986555904 x	And I. . . .will always love shoooeeesss! *cough* I mean you!!!! in my Whitney houston voice. . I love u man!. . Lol @lostinmyeyez124
37974205_380813006046625792 x	its kind of funny when u tell someone u single and the only answer they can give is try eharmony and match.
37974205_380814112688984064 x	@mheck629 not only that I will be coming back to Amazon
37974205_380823568885772288 x	@mheck629 new castle. . i couldnt do middleton due to transportation
37974205_380813299006177280 x	Don't worry I might give it a try after get myself together. .  Lol! #LaughCaresEverything
37974205_380802170322296832 x	@OneElvis, blame George Bush Jr for draining it to the max with worthless war.. .
37974205_380795796762791936 x	why cut food stamps when price of living is high? #cspanchat
37974205_380729518308073472 x	When you lose something or someone important in ur life. You live to regret it
37974205_380685139145027585 x	Alright let me stop tweeting. . Use my pops razor so I am hitting off. Tweet a little bit later.
37974205_380684748516904961 x	Just got a text from them this morning about going to the sports bar to see the game. .
37974205_380684219871019008 x	Its going to be weird when most of my friends are engage and I am still look single with no date for the eagles game
37974205_380683553337393152 x	Orientation is today, so I am getting ready but I forgot to shave yesterday. Damn
37974205_380683044685746176 x	Beautiful day, the weather is just about perfect, and my mom is just about snoring. . wow
37974205_380682346581614592 x	Good morning America. . . Its time to get booogie.  .lol
37974205_380530138883969025 x	Well, it's back to the drawing board. I would be lying if I say I didn't see this coming but it did. Can't do it. #singlelife
37974205_380491083274153984 x	You can talk big but if you can't put the time in to make it big then it's just an imagination. Make it happen and stop dreaming.
37974205_380373087231168512 x	@lostinmyeyez124 what the hell. . . Smh! Your something else. . lol
37974205_380066341622775808 x	Everyone making a big deal about Jaden Smith rant on education. The dude is just stating an opinion. Some valid, some aren't. Let it go
37974205_380037472899432448 x	#Catfish if the person you met online declines any opportunity to meet up on a date you're willing to pay without a good excuse. End it now.
37974205_380036313874833408 x	You know you been #Catfish when the woman in the pictures look exactly like Kate Upton but turns out to look like a big jar of Upton Ice Tea
37974205_380028610532212736 x	A woman dress up as a clown flirting with a man is almost uncertain she is serious about commitment
37974205_380027057138188288 x	For a moment I thought spider was not moving but boy was i wrong. Anger kill that spider
37974205_380023539551580160 x	All she wanted was love and effection but he wanted to watch a movie #DivorceCourt
37974205_380023210814631936 x	Watching #DivorceCourt laughing hard at the couple argument.
37974205_380002685027508224 x	To those who are followers, you are as similar of holding someone's hand than letting go. Be among leaders than followers. Lead by example.
37974205_379997065754853376 x	She entice by popularity and fame. Hoping to be the next Kim K but in reality she has no discipline of her body. So she sold it 2 the devil
37974205_379939318573191170 x	There are better days to smile and live it up. Never let the past be your present. Move on from it.
37974205_379786147850756096 x	Underneath the lies and deceptions. . Please believe that eventually secrets has a way of coming out. . Prepare yourself for whats coming.
37974205_379727129745043456 x	Just heard it on Office Space. .  ? Still ? Geto Boys http://t.co/MgAKCRexKf #NowPlaying
37974205_379356365472284672 x	I read the first post and laugh historical about it. . Boy, that sums up my day
37974205_379356055219613696 x	i rephrase that, the giants tight end can sure take some hits.  .
37974205_379355731075403776 x	the Giants tight end has been getting licked by the broncos safety. . Lol
37974205_379355444205989888 x	The New York Giants looking to score
37974205_379283167481319424 x	Another epic moment when Saggy Pants goes wrong. . . Never bend over #EpicFail http://t.co/v4CBivWKvR
37974205_379280644506808321 x	Who fantasy team can beat my squad? "Nooobody!". . In my Nate Dogg voice. #FantasyFootball #NFL. .
37974205_379272789863038976 x	Soon as I step outside all of sudden Coolio song "Gangsta Paradise" starts playing in the background. . How hard is that? #awkwardmoment
37974205_379269502912823296 x	Its about to go down down down. . Football Sunday! Can't wait for my @Eagles to play the Chargers. Let's go Eagles. #FlyEaglesFly
37974205_379011272060051456 x	Crimson Tide is up by two touchdowns while Johnny football is trying to bring the Aggies back into the game #ALAvsTAM #CBSSports
37974205_378887818111483905 x	You know you're woman is cheating when she puts you on hold for 3 hours just to talk to the other guy on the phone. .  #Cheating
37974205_378891322360225792 x	@mheck629 Lol. . Idk but it's worst case scenario when it happens.
37974205_378889718504513536 x	Let's get this day started, I am up, and ready to grind. . #wokeupearly
37974205_378885503363198976 x	Do not worry about how that person feel, if they can't appreciate what you have given them then why bother being with them. . #MindOverPain
37974205_378246915860623361 x	RT @alisonhaislip: Yeeeeaaah....uh..... RT @blairherter: Well this is unexpected...but logical...but WOW http://t.co/xeKLh7cyqy
37974205_378246638298337280 x	Alright just heard the news about #G4Network . .Looks like the network is still here to stay @aots is not dead after all or is it?
37974205_378157747176361984 x	Good News, Bad News Yankee fan @lostinmyeyez124; Good news their one game away from the second wildcard. Bad News, Jeter career is over.
37974205_377885330658963457 x	Eli vs Peyton battle will come down to who has the upper hand on offense. #NFL @NFLLIVE
37974205_377884745322868736 x	@Natrooper just imagine putting someone in a headlock or sleeper hold with huge muscles. .#devastating
37974205_377574358073352192 x	Business courses can be a drag but just imagine the results after I complete them. Boy, I am going to be the next @iamdiddy when I am done.
37974205_377460271087775744 x	To whom that decided to pick all #Patriots players for their fantasy team, you should forfeit you're games #FantasyFootball #NFL
37974205_377256261093314560 x	Hell yeah . . Fly Eagles Fly #Eagles #NFL
37974205_377120006699778049 x	Is it just me or do people do not believe in long jeopardy relationships anymore. Relationships are only as... http://t.co/fGVtDyxzl8
37974205_377084530240135168 x	RT @HulkHogan: Cowboys rode the Giants all night long brother. HH http://t.co/flC5saVaFl
37974205_377084100634357761 x	I just witness a six turnover #GiantsvsCowboys #NFL game . .  I got so bad that I drop the remote and dove on it to recover it.
37974205_376836827279151104 x	@DreamChaser807 Dallas always start off bad before they get good in the middle of the season. The first lost won't discourage them that much
37974205_376836472738824193 x	@DreamChaser807 I prolly forget that u ask for a subway foot long but um. . Lol! I actually have the Giants winning on my picks.
37974205_376836077165617153 x	When drafting players to ur fantasy team, do not go for running backs from a pass happy team. Trust me! #FantasyFootball #NFL
37974205_376835029776617472 x	@DreamChaser807 I am so sorry for stealing you're password. . It won't happen again. Right now I am eatting a subway foot long. .Lol!
37974205_376833365405487104 x	The Patriots escape a close game against the Bills but the Steelers look like they won't make the playoff's with their Offense. #NFL
37974205_376832819307098112 x	Clay Matthew couldn't stop in midair ppl. . so no need to label him a dirty player. A dirty player would have ripped his face mask off. #NFL
37974205_376830935473201152 x	The cop ask the blind guy why did he shoot 28 bystanders, the blind guy reply "Did I get the guy that stole my cane?".  #NoGunsAllowed #Iowa
37974205_376830039519539200 x	Having to find a woman that can make you're worst day into the best day ever is priceless. Just don't have her walk away in regret. #MyGirl
37974205_376118191920906240 x	@lostinmyeyez124 Where's my sandwich? I thought you were getting me one you know. We talk about this
37974205_376827121902948353 x	@lostinmyeyez124 That's very disappointing. I had hopes of having one until u ate it. . You're something else you know that
37974205_376095346369110016 x	That awkward moment when you meet Laura @lostinmyeyez124 you end up saying marrying me after two minutes of a conversation. .
37974205_376108199197155328 x	@lostinmyeyez124 don't get me wrong marrying you is the biggest accomplishment ever. #BestIEverHad moment walkin pass givin every1 a finger
37974205_376102656064106496 x	@lostinmyeyez124 tell me that moment isnt awkward especially on a first date. . lol
