124283271_380858066469945344 x	Oxygen? #MichaelVick
124283271_301996930777612288 x	RT @gingertcg: Account managers with PR experience needed for multiple roles at top agency-all direct hire-so if you're looking to make  ...
124283271_301996837072670721 x	RT @gingertcg: Looking for Jr-mid level copy editors/writers with agency exp for direct hire opportunity-contact me if interested!
124283271_301676013174272000 x	RT ?@FastCoDesign: Infographic: An Amazing, Invisible Truth About Wikipedia http://t.co/akrVACiD?
124283271_301340904353046531 x	RT ?@alistapart: Help your apps and sites stand up to low batteries, slow 3G, and other variables. @csskarma #ala369 http://t.co/iPvLVOZV?
124283271_301338576732442624 x	RT ?@CreativeBloq: Your favourite superheroes get a film noir makeover! http://t.co/tVLN7Q0D?
124283271_300953612853600257 x	RT ?@appguide: The everyday agony of the password http://t.co/Fv8QBC8k?
124283271_300950944521277440 x	Don't have an accountant? RT ?@Forbes: A beginner's guide to taxes: Which tax form should I file? http://t.co/aGaUoVPY?
124283271_300950562961235968 x	RT ?@designmilk: Etsy Pop-Up at west elm Philly Curated by Yours Truly! - http://t.co/qqBwOMvy?
124283271_300949102131281920 x	RT ?@ForbesTech: Popular on Forbes: Home Depot picks Apple over Blackberry - and they might be sorry http://t.co/F1qMYKmM?
124283271_300948419432808448 x	RT ?@CreativeBloq: Shutterstock predict 2013's design trends with their new inforgraphic. Do you agree? http://t.co/wJ2Vr69u?
124283271_300947244687970304 x	RT ?@TheNextWeb: Been offline this weekend? Here's the tech news you missed http://t.co/Cg39ILIk by @MartinSFP?
124283271_300946466371952640 x	RT ?@Forbes: Why you never finish your to-do lists at work (and how to change that) http://t.co/2ZnAbe72?
124283271_299878777952038912 x	RT ?@FastCoDesign: Infographic: The Richest People In The World http://t.co/GYPO8Xok?
124283271_299874043799150594 x	Banned Skittles Commercial. Effective advertising? Looks like it. http://t.co/HIcVYf2l
124283271_299241107068420098 x	RT ?@TheNextWeb: Dropbox launches Sync API, a quick way to integrate iOS & Android apps with its cloud storage service http://t.co/QadPcoeO?
124283271_299239941383286785 x	RT ?@Forbes: Making viral videos just got a little bit easier http://t.co/LCg3sXrn?
124283271_299238905016901633 x	RT ?@smashingmag: F?nix: a beautiful, free typeface (available as desktop font or Google Web font) - http://t.co/P0yMMMwu?
124283271_299235995906359297 x	RT ?@ForbesTech: Hillary Clinton launches a new website - but what is it for? http://t.co/TLmxh0OX?
124283271_298819246316736512 x	Web Design Trends in 2013 | Tips http://t.co/HKB3GQcc via @webdesignledger
124283271_298802447256788992 x	RT ?@smashingmag: Animate your HTML5 with CSS3, SVG, Canvas and WebGL, a presentation by Martin Gorner - http://t.co/flKUld7G?
124283271_298800770973847552 x	RT ?@dmwdirect: Any idea how much your health insurance actually costs? You're about to find out... http://t.co/8RB5DOqw?
124283271_298797318717726721 x	RT ?@wired: Recent Top Stories: How Capitalism Changed Facebook?s ?Hacker Way? http://t.co/JleKXDvb?
124283271_297707951764946944 x	RT b?@FastCoDesign: 5 Clever Product Packages That Dissolve After Use http://t.co/uP5r8wws?
124283271_297706040319938560 x	RT ?@CreativeBloq: Typography treat! Designer embarked on a year long project to design a new letter every day. http://t.co/IQ4peS3t?
124283271_297315947419664384 x	RT ?@ComputerArts: 20 fonts every designer should own: http://t.co/XxRq0bXc?
124283271_275661560456810496 x	http://t.co/Xszd9fDQ Can't wait!
124283271_297311201292075010 x	We'll keep a close eye on this. RT ?@wired: RIM?s BlackBerry Rebranding Is Much More Than a Name Change http://t.co/nnBE4e0J ;?
124283271_297311200495144960 x	RT ?@adage: Super Bowl Advertisers Warming Up to Slots Late in the Game http://t.co/V4FnRl6Z?
124283271_297171782807482370 x	#TheFollowing, I'm hooked as I am with #Dexter. Hmm, what's wrong with me? My Fav shows r about serial killers!
124283271_297146354780745728 x	Freakin awesome! Allstate: Mayhem Forbidden Fruit http://t.co/VPxs4imG
124283271_297035969775939584 x	RT ?@arstechnica: How Yahoo allowed hackers to hijack my neighbor's e-mail account http://t.co/1lrSyV0I by @dangoodin001?
124283271_297034963826638849 x	How come liquor is always associated with hilarious? RT ?@OMGFacts: 15 Hilarious Perfectly Timed Photos ---> http://t.co/S8nRWLoT?
124283271_297033573200973824 x	RT ?@Forbes: Disable this buggy feature on your router now to avoid a serious set of security vulnerabilities http://t.co/BVlJWEwC?
124283271_297012462895652864 x	RT ?@gingertcg: According to our research, looks like FB outranks other social media sites among creatives... http://t.co/IbGKJZt4?
124283271_297012248604471296 x	RT ?@adage: Super Bowl commercials avg $3.7 mil to $3.8 mil, but 30 sec. after the game? Drops to $800K.  http://t.co/V4FnRl6Z?
124283271_297011733078372352 x	RT ?@ComputerArts: "1/2 our women look like Kate. Other half like her sister." Funny ad camp. from Romanian newspaper http://t.co/HsDDqTs8?
124283271_297009704457101313 x	Nancy Pelosi 0 - Marilyn 6 RT ?@LIFE: Marilyn Monroe graced LIFE?s cover six times while she was alive | http://t.co/N8dBpTMj?
124283271_297009014804475904 x	RT ?@socialmediayoda: 3 Ways Sharpie is Engaging Teens With Social Media http://t.co/httwkGvD #socialmedia?
124283271_297001585836429312 x	We'll keep a close eye on this. RT ?@wired: RIM?s BlackBerry Rebranding Is Much More Than a Name Change http://t.co/nnBE4e0J ;?
124283271_296999299387121665 x	RT ?@adage: Super Bowl Advertisers Warming Up to Slots Late in the Game http://t.co/V4FnRl6Z?
124283271_296634523217707008 x	Already drank 6! RT ?@LaughingSquid: Amazing Things That Could Happen After Just One More Cup of Coffee http://t.co/EFFnE39k?
124283271_296633205006667776 x	RT ?@artnet: Brit artist T. Emin's 1st US public-art piece will inspire passersby 2 kiss or cry at Times Square!  http://t.co/naW6ewJo?
124283271_296632475793383424 x	RT ?@Adweek: Social strategies differ 4 auto brands in #SuperBowl. Toyota goes w/ paid ads, Mercedes plays long game. http://t.co/SWvCZLsh?
124283271_296631896572588032 x	Lame, creative nonetheless. RT ?@RollingStone: Swing-state Rep r already trying to rig the next presidential election: http://t.co/GHu1ucBm?
124283271_296629682131046401 x	Sweet. RT ?@designrelated: Chalk Street Art http://t.co/h8JiF1wC?
124283271_296340613048188928 x	Art in Universe. RT?@ScienceChannel: Hubble's Latest Mind Blowing Cosmic #Photos: http://t.co/r5G3Wr3Y?
124283271_296339394883878913 x	RT ?@bmurphtcg: #digital #media #buyer needed! #Philadelphia #jobs #sem #planner?
124283271_296338893970747393 x	Mom, get cranking. RT ?@designsponge: Get crafty with your phone - cross-stitch iphone cases! http://t.co/vu6kvqTq?
124283271_296338437630476289 x	No more excuses not 2 take them! RT ?@philly_buzz: Viagra may aid weight loss... http://t.co/rCXKiSbi?
124283271_296337717179060224 x	RT ?@CreativeSocial: Why LinkedIn isn't as lame as we might've first thought: http://t.co/ISVYjNBX?
124283271_296272283234865152 x	Oh Lord! RT ?@DavidCornDC: According 2 TX schools, Earth's 6K yrs old & "Africans" descend from a cursed son of Noah:  http://t.co/Ei5xygxN?
124283271_296269569293701120 x	RT ?@bmurphtcg: #DigitalStrategy and #Analytics candidate needed for #Philadelphia #agency  #seo #sem?
124283271_296269472413663233 x	RT ?@bmurphtcg: #ArtDirector needed for #DesignAgency in #Philadelphia.?
124283271_296268974470082560 x	Crab! How will it effect the ecosystem? RT ?@OMGFacts: Brazilian waxes are endangering crabs! Learn why --> http://t.co/MYVU8CYV?
124283271_296074988283371521 x	RT ?@Behance: Not your average post-it note! http://t.co/DAKvrLtg?
124283271_296074196876947460 x	RT ?@EdMarkert: Java UI Developer - Wilmington, DE - 90 to 110 plus bonus. Contact me for details.?
124283271_296074024876929024 x	RT ?@TIME: http://t.co/8SnhtZYQ, the Twitter-like service, gives users storage space | http://t.co/wd7ps65G (via @Techland)?
124283271_296073403226533891 x	RT ?@Forbes: How #Google+ could end up more valuable than #Facebook http://t.co/UsNsInUI?
124283271_295886355349782529 x	Urggg! RT ?@TechCrunch: Apple Reportedly Planning New 4th-Gen iPad Model, Possibly 128GB Of Storage http://t.co/AFOCvgUt by @drizzled?
124283271_295885832504619009 x	RT ?@Forbes: Alon Goldsmith turns iPhone photos into fine art. Here are some of the best from the iPhoneography king: http://t.co/uVywYNvu?
124283271_295882837347942401 x	Congrats! RT ?@Razorfish: Razorfish is on @AdAge's Agency A-List (again!) http://t.co/z0RBkmRG?
124283271_295880615725776896 x	Aussies, take control of ur viruse! RT ?@TIME: new strain of norovirus is circulating in the U.S. | http://t.co/cYW99sO0 ( @TIMEHealthland)?
124283271_295879693234761729 x	RT ?@Adweek: RT @nudd Volkswagen has released its full Super Bowl ad, starring lots of white corporate Jamaicans. http://t.co/0OkzoQTZ?
124283271_295879190094426113 x	RT ?@ComputerArts: England needs u (come up w/ an ad campaign telling people how rubbish it is) http://t.co/r1AdmzI4 http://t.co/nyFIbreE?
124283271_295877975755345920 x	RT ?@ForbesTech: Yes, that legal notice you got from Facebook is real http://t.co/tYVkByjw?
124283271_294435019747909632 x	Not digging them RT ?@brandflakesblog: Designer Matt McInerney took NFL team logos & decided 2 add a modern twist to http://t.co/EKxIHN2x?
124283271_291600986173231105 x	Crap! RT ?@eaglesbuzztap: Bleeding Green Nation >> Philadelphia Eagles hire Chip Kelly as head coach http://t.co/Huo5NCOU?
124283271_291533826503634945 x	We thought it would be nice to create sketches of international landmarks as backdrops to their executive bio page. http://t.co/5Qozuphy
124283271_291516456833777664 x	RT ?@ComputerArts: Learn how to quickly merge images and type with InDesign CS6?s Create Outlines command  - http://t.co/7senEctC?
124283271_291516031892082688 x	RT ?@Forbes: Facebook's #GraphSearch is no threat to Google.... yet http://t.co/7gAfBPev $FB $GOOG?
124283271_291514789337911296 x	RT ?@CreativeGroup: Which #marketing jobs make the most money? http://t.co/bp41AB95 #Paylandia #salaries?
124283271_275682362178822145 x	http://t.co/9ZEfUyDm We certainly don't, we actually love our Lehigh Valley contingent :)
124283271_261889563847454721 x	Check out our newly created Facebook page: http://t.co/tyeHanRo which includes our latest work.
124283271_248154208828805121 x	Save the date. Our next NomAd Social is at Neiman Group on Wed Sept 26th. Looking forward to seeing new faces. Ok,...: http://t.co/i4LLtcyo
124283271_227821622592151552 x	I hate it when people shoot video with their phone in portrait mode instead of landscape. Urgggg people! Ur killing video.
124283271_199674229271183360 x	Judging at ADCP Portfolio Review "Expose Yourself" this Thursday. See why u should Expose Yourself http://t.co/3C1EUdIH
124283271_198067329182076928 x	Yeah, we're judging you. Bring ur best work forward http://t.co/3C1EUdIH
124283271_196952850763485184 x	@janinemarie7 Hi baby
124283271_176347010948022272 x	RT @FastCoDesign: Science Suggests That Wacky Office Designs Really Do Increase Creativity: http://t.co/CmOlo2Zc
124283271_172739309932249089 x	Vox Medica is hosting our ADCP NomAd Social March 28th. Can't wait to see what they have up their sleeve. More...: http://t.co/wN6hiZiH
124283271_172356812786503680 x	Become A NomAd Tonight: http://t.co/Ya3HCyjc
124283271_159296669060567040 x	People in Advertising Business Development... drop us a line. We need you as much as you need us! The work will sell itself and we'll provi?
124283271_149497387465981952 x	Where r u kick ass Adobe AIR, Flash, Flex virtual developers? Our favorite, TCG, is helping us find some, still...: http://t.co/I77NteA6
124283271_149488979736141824 x	Looking 4 kick ass #Adobe #AIR #Flash #Flex virtual developers. Now go fetch.
124283271_148179439367360513 x	@djtxtme rappers delight #maries
124283271_148179004711636993 x	@djtxtme rappers delight vince #maries
124283271_143765563582328832 x	We just received word, we'll be presenting at the ADDY's this year. Need to come up with a dialog. Any thoughts?
124283271_139344956413313024 x	RT @HOWbrand: We love this firm's motto: If you don?t love your work, nobody else will either. http://t.co/GoY1ZE3N
124283271_136789269976072192 x	RT @smashingmag: Useful: What separates good code from great code? - http://t.co/j65sXGRD
124283271_136512693552168960 x	Thx for plug @k8iedid @katykelley
124283271_136265768303214592 x	@captainbmo yeah, we just found out.
124283271_136265616838500353 x	@MSquared03 @adweek thx
124283271_136264154288893952 x	Thx @adweek for making us ur no.28 strangest agency name http://t.co/Rw9iqjlg.
124283271_115014987679936512 x	We're excited to MC @ADCPhilly #BOTAB event today. 11 bands battling. Hopefully we won't be wasted by the 2nd band's performance.
124283271_113767893233188864 x	@ADCPhilly #avered
124283271_113599967553257474 x	We're happy to be a sponsor of @ADCPhilly #BOTAB #AOR event this Sat. Looking forward to Agency Bands battling to become Agency of Rock.
124283271_113598968063209472 x	RT @ADCPhilly: #BOTAB Sat weather forecast: Sunny high upper 60's. Promises to be a great day for Agency Bands to Battle it out. Piazza  ...
124283271_113598850631090176 x	RT @ADCPhilly: #BOYAB  line up includes J. Paul Simeone, The Black Tails, 20Nine, Digitas, Harte Hanks, Megan Cary,CRW Graphics,Shooters ...
124283271_113598815478611968 x	RT @ADCPhilly: AGENCY OF ROCK this Sat at the Piazza in N.L.  Grab ur friends & come out 4 music, prizes & over 10 local bands! http://t ...
124283271_112267357010923520 x	Is there a right answer for when a woman asks you: "Do I look fat in this dress?". If u answer "No", they know ur lying. If u answer "Yes"!!
124283271_107266946021605376 x	I just made $712 today check this out http://t.co/GBQ8DBE
124283271_107077858874241024 x	Hacked twitter account. Sorry for the spam tweets being sent out.
124283271_107046373173633024 x	Stay at home single mom earns $3800 a week extra income. read it now at http://t.co/MPbD8JC
124283271_106919832682905601 x	Awesome I made $370 today http://t.co/lC91Oyz
124283271_78958649237712897 x	RT @BrentCelek: Only 4 days til my event, have a great time while benefitting critically ill kids Brentcelek.org for tickets!
124283271_78958362758365184 x	RT @mi2cnts4u: Plz help this girl!  She is 15 with cancer.  Bucket List includes trending on Twitter. Pay it forward! Power to the Tweep ...
124283271_74104758385909761 x	RT @badbanana: Sometimes I'll stand up in a meeting and say "You just gave me an idea!" Then I leave the room, drive home, and go to bed.
124283271_73398317362577409 x	We're looking for a senior-level #interactive #designer. #freelance #gigs. Spread the word. We're critical, better be top notch.
124283271_71951878212157441 x	If you happen to run into #Jesus today, please tell him we're looking for a kickass interactive designer who can turn s*** to wine!
124283271_71897450796949504 x	Hey #Camping, is the end of the world 6PM eastern or pacific time? I plan to DVR it so I can watch it on Sunday.
124283271_71191664689025024 x	RT @CreativeSocial: It seems that the problem is that the people running the agencies are just too old
124283271_70129589371932672 x	RT @LBgirlABOUTtown: Just when you thought it was too late... the deadline has been extended! Sign up today for the @ADCPhilly review: h ...
124283271_69746634128490497 x	RT @spidvid: An early look! Apple Final Cut Pro X: A Video First-Look http://t.co/mvnNRew  #FinalCutProX #FCPX
124283271_69745875576037376 x	RT @planetmeg: Do you know a great Web Producer? (Philadelphia, PA) http://bit.ly/gYOhuf #job #in
124283271_69076644748468225 x	RT @LBgirlABOUTtown: Looking for a freelance Art Director in the Reading, PA area? Who is available? #jobs #pa
124283271_68841952912748544 x	@LBgirlABOUTtown u suck!
124283271_68673548058759168 x	For all the parents out there, best children's book ever! http://t.co/mzuiadz
124283271_67680331666432000 x	RT @LBgirlABOUTtown: Less than 5 days left to register! RT @ADCPhilly: Video - @Follow20nine taking part in our Expose Yourself promo vi ...
124283271_67680077676163072 x	Our pleasure. RT @ADCPhilly: Oh, but we have more videos - @hhandb  taking part in our Expose Yourself promo video http://t.co/j1rfNOe
124283271_65765323651026944 x	RT @kksivashankar: Web design inspiration | #243 http://t.co/rDTiJSC
124283271_65764405438185474 x	RT @HOWbrand: Become A Web Design Expert: This collection of books and DesignCasts offers everything you need to step up your ... http:/ ...
124283271_65762525177839616 x	RT @BIGE8UP: Light travels faster than sound. This is why some people appear bright until you hear them speak.
124283271_65760206499483648 x	RT @RWW: Web vs Native Mobile App?  Forrester Says Do Both http://t.co/GDAiget
124283271_65758484758667264 x	RT @krotondo: flex builder 4.5 obtained. now downloading cs5.5 web premium.  will be fun having flash pro again.
124283271_63692613512990720 x	RT @ADCPhilly: Video - Expose Yourself http://t.co/TQMDIrO
124283271_61815486966546433 x	Any tips on beating a speeding ticket?
124283271_61266141917614080 x	@LBgirlABOUTtown sorry for messing with u this whole time. We missed u.
124283271_61028250419331072 x	RT @advancedpshop: The latest issue of Advanced Photoshop, issue 82, is on sale now! http://t.co/E3gTFkN
124283271_61027170105044992 x	RT @ComputerArts: ICYMIE UK followers: Today we're offering a subscription to Computer Arts at 50% off. This offer only runs for 24 hour ...
