1204253258_390896366106734593 x	RT @MyNewGfProbz: Missing my boyfriend <<<
1204253258_390577724076883968 x	RT @cuteelovemsgs: RETWEET if you want me to follow you! because im gonna follow #EVERYONE that follows  @LovePhrase #HURRY im checking
1204253258_390565215995449344 x	@TaylorRaee17 I miss u too babe, last night I was looking at last year's yearbook and I read ur note;) I was about to cry! #buttreduction!!
1204253258_390566352031068160 x	@TaylorRaee17 We do doll;)
1204253258_390208758787235841 x	RT @DopeTweetzz: Short girls >>>>  Goofy girls >>>>  Loyal girls >>>>  Freaky girls >>>>  Pretty girls >>>>   #RT if your one of these?
1204253258_390208172465475584 x	RT @DopeTweetzz: ??????????????????????:??????????????????????????????????????????????????????????????????
1204253258_390207583446773760 x	RT @DopeTweetzz: I hate when people think I'm in a bad mood just because I'm being quiet.
1204253258_390207384544501761 x	RT @BoyLondonTweets: GAY girls want STRAIGHT girls .. STRAIGHT girls want GAY boys .GAY boys want STRAIGHT boys .And STRAIGHT boys want GAY?
1204253258_390206947665776640 x	RT @DopeTweetzz: RT IF SOMEONE is on your mind right NOW
1204253258_390206250098511872 x	RT @DopeTweetzz: MY attitude is based on how YOU treat ME. ??
1204253258_390205852923076608 x	RT @FemaleTexts: Tall boys + Short Girls = Cute couple
1204253258_390171450847416320 x	RT @Gain_FoIIowers_: WANT 1,000+FOLLOWERS EASY???  1.-FOLLOW @RELATlONSHlP   2.-RT THIS!!!  3.-LOOK AT YOUR FOLLOWERS!!!
1204253258_389897968834592768 x	?@TayBay_23: The thought of losing you makes me cry?
1204253258_389895930390269952 x	RT @BestTextMsgs: Missing someone is a part of loving them.  If you?re never apart, you?ll never really know how strong your love is.
1204253258_389892697714343936 x	RT @DopeTweetzz: Somebody died last night, but I didn't, somebody didn't wake up this morning, but I did, I'm not lucky, I'm blessed, retwe?
1204253258_389892090697879554 x	RT @DopeTweetzz: GOD IS WELCOME IN MY HOUSE?*  ? ? ? ??? * _?____*?*? ? ? ???? */________/~???? ? ? ? ?? ? ? ?? ??? ? RT If God Is Welcome ?
1204253258_389890842208788480 x	RT @DopeTweetzz: Rt if your mom is a blessing
1204253258_389889947865739264 x	?@DopeTweetzz: Me? Jealous of you? Bless your delusional heart. ??
1204253258_389889817401901056 x	RT @DopeTweetzz: When Parents Don't Pick Up The Phone.. <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<< Like, What If I'm Dying?
1204253258_389889675735105538 x	RT @DopeTweetzz: I swear my mood can just change in like 0.4 seconds ?
1204253258_389889293633990656 x	RT @DopeTweetzz: I distance myself from people for a reason ??
1204253258_389885083144175616 x	RT @DopeTweetzz: You cute.... but you flirt with everyone.... You're not cute anymore.
1204253258_389885040660082689 x	RT @DopeTweetzz: Before you "assume" try this method called "ask".
1204253258_389884371442077697 x	RT @DopeTweetzz: I just want you. That's it. All your flaws, mistakes, smiles, giggles, jokes, sarcasm. Everything. I just want you.
1204253258_389884271286288384 x	RT @DopeTweetzz: RT if someone is on your mind right now. ??
1204253258_389884211198713856 x	RT @DopeTweetzz: She wants to be the girl you're afraid to lose.
1204253258_389884176440524800 x	RT @DopeTweetzz: I'm STD free?. How many of y'all can retweet that ??
1204253258_389883877764132864 x	RT @DopeTweetzz: Telling a girl to "calm down" is like trying to baptize a cat.
1204253258_389883677855199232 x	?@DopeTweetzz: everyone has that one best friend who's now a stranger. ?? #sotrue!
1204253258_389883143278592000 x	RT @DopeTweetzz: #RT if you ever played any of these Basketball ? Football ? Volleyball ? Baseball ? Soccer ? Tennis ? Golf ? Cheer ? Track?
1204253258_389883099389366272 x	RT @DopeTweetzz: Gay  Bi-  Ugly  Fine  Rich  Poor  Skinny  Fat Tall Short Orange Black  White  Purple  A FRIEND IS A FRIEND! ?  #RT If You ?
1204253258_389883008221995008 x	RT @DopeTweetzz: Age 5: "I Love Mommy" Age 16: "I Hate HER!" Age 21: "Mom was right." Age 60: "I Wish my Mom was still here"  #RETWEET if y?
1204253258_389882863971500034 x	RT @DopeTweetzz: Breast Cancer Awareness Month       ??    ?     ?   ?       ?    ?    ?     ? ?      ??      ??    ?     ? ?          ?
1204253258_389882656550584320 x	RT @DopeTweetzz: A relationship with GOD. >>>>>> ???
1204253258_389814907010818048 x	RT @TaylorRaee17: Some people are gonna say that you can't, but you just just have to turn around and say, Watch Me.
1204253258_389814352846790656 x	?@FlirtyWords: I seriously can't stop thinking about you.? totally @Qurstin with her crush!!
1204253258_389781419880636416 x	RT @DannyKingz: What doesn't kill you makes you stronger
1204253258_389781219531325441 x	RT @ThatKidFlame: Do teachers understand that you take other classes? ????
1204253258_389780788361068544 x	RT @OhThe1DFandom: 1 RT = $1 10 RT = $10 100 RT = $100 1000 RT = $1000  LETS DO THIS AND SAVE LIVES!   RT IF YOU CARE!:) #telethon7
1204253258_389753748207456256 x	RT @MarahKRowland: Court is literally my bestfriend	win. Like no one even understands???
1204253258_389753283902210048 x	RT @CourtneePaigee: Sometimes, being heartless is the only way to be. ?
1204253258_389749754223427584 x	RT @OfficiaIWitch: A lot of my life has been realizing that I would cross oceans for people who wouldn?t jump puddles for me.
1204253258_389749495875239936 x	RT @FIirting: Don't fade away like everyone else has, I don't want to wake up one morning and realize that you are gone too.
1204253258_389749300806574081 x	RT @_xBornTOKillx: Who's up #RT
1204253258_389748918420242432 x	@Qurstin I love u babe;) and I wouldn't either:)
1204253258_389443204946616320 x	Don't talk about me talk to me!! #justsaying
1204253258_389046402439204864 x	RT @gainifollowers: If you have less than 5,000 followers go and follow @lnsaneTweets to gain <3
1204253258_389045852884701184 x	RT @Sabrinaaxox_: if you're a girl, Follow @RELATlONSHlP ! She seriously has the best tweets ever OMG :)
1204253258_389045109377212416 x	RT @iKeepItTooReal: Retweet if You Miss Someone Who's In Heaven right now. ??? ?????????????????
1204253258_389045065932603392 x	RT @gainifollowers: GAIN 850+ FOLLOWERS, JUST FOLLOW @lnsaneTweets #RT
1204253258_389028538000883712 x	RT @IphoneGlveAway: NEXT 2OO THAT RETWEETS & FOLLOW @Factsionary WILL GET AN iPHONE 5! HURRY WHILE SPOTS LASTS! GO GO GO ;)
1204253258_389027385292881921 x	RT @PhratTeam_808: If you can retweet this with your bottom lip then you're a good kisser.?  !  !  !  !  !  !  !  ! ! ! ! ! ! NO CHEATING!?
1204253258_388839432553791488 x	RT @CraveMyThoughts: Every girl wants a guy to make her feel safe in his arms, hold her tight, and remind her everyday that she's the only ?
1204253258_388838903555174400 x	Can't wait to watch Spring Breakers with @CourtneePaigee #all-nighter!!
1204253258_388044241345466368 x	@TaylorRaee17 I love u too babee;))
1204253258_388033683657330689 x	Here with Courtney when we are watching MTV and I hit the button to Maury and she says," THAT'S MY SHOW!!!!!" #gottaloveher;)
1204253258_388032683160666112 x	RT @BestTextMsgs: When I miss you, it seems every song I listen to is about you.
1204253258_388030369720963072 x	@CourtneePaigee I lovee u boo;))
1204253258_388028001633726464 x	RT @Jadeyn_Parker: Keep it together even when you fall apart.
1204253258_388026610840244224 x	RT @weadoreguysthat: You are my best friend, my human diary, and my other half. You mean the world to me and I love you.
1204253258_387003589228769280 x	I absolutely love u @CourtneePaigee
1204253258_381598517740830720 x	RT @MrMakeHerSmile: RETWEET     if        you             miss                  someone                           right                    ?
1204253258_362775696713596929 x	Don't make your problems bigger than God, make God bigger than your problems.
1204253258_362416191521828864 x	Prayer is less about changing the world, and more about changing ourselves.
1204253258_349730591819841539 x	RT @FollowGainRT: WANT 10,000 FOLLOWERS FAST?  1. FOLLOW @ohlifefacts  2. RETWEET THIS  3. REFRESH YOUR TWITTER IN 10 MINUTES!
1204253258_341370109329289216 x	RT @zaynnnalllk: Me and Harry will follow 200 that will follow @FactsAboutBoys RT so we know who to follow. ?
1204253258_341280823523282945 x	RT @TheJokesBest: The  mini  heart  attack  when  you're  in  bed  half  asleep  and  you  suddenly  feel  like  you're  falling.
1204253258_331842913980014594 x	Settin here at school #yolo!
1204253258_331070229599891457 x	'DM@harlie134  Ur welcome!!
1204253258_331055039479164928 x	'DM@SarahMiracle07 Anytime!!!!:) Have fun!!
1204253258_331001712435396608 x	RT @Funny_Truth: I'm actually really nice, until you annoy me.
1204253258_331000866372993025 x	RT @GodPosts: Peace on the outside comes from knowing God on the inside.
1204253258_331000479666548736 x	RT @JohnsonClaudia: Everyone has an angel in heaven. Everyone has someone watching over them at all times.
1204253258_330992907811160064 x	RT @apple4youu: This GOLD iPhone COULD be yours! RETWEET this Tweet & Follow @FootyHumour The winners will be chosen Tonight!! http://t?
1204253258_326016537641238529 x	RT @subediakg8047: @merandakay1521 ?????????&Please FoLLoW @TheFunSayings @OMGFUNNIest @Create_FThings @HopsNScotch1 @FunnyOrFactor the?
1204253258_323809919587450880 x	English, biology with peters, algebra1,cms/gov, drama, home ec,wellness, and  health science education! Thats all my classes for fresman ...
1204253258_323798625098551296 x	Headed to get my classes!
1204253258_319934209823223808 x	Headed to church!!<3
1204253258_318227467703824384 x	Happy Easter!!!!!:):)
1204253258_317487465759928321 x	Thankz @Katiee1311!!!!!!:)
1204253258_317486473903489025 x	Officially my birthday=D!!!!!!!!
1204253258_316763095118798848 x	Can't sleep!!:/:p #Tired! #Ughhh
1204253258_316260176334311424 x	Ready to go to Sagebrush!!!!!!:):):):):):):):):) #Hungry
1204253258_315105878007234560 x	Headed to pizza inn!!:) :-)~Meranda~(-:
1204253258_313353203137785856 x	Why try if your gonna fail!
1204253258_310934419043135488 x	Bed time????............. I think so!!!<3
1204253258_310413608909676544 x	I've had the best weekend ever!!!!:):)<3
1204253258_309770985672941568 x	With @cupptn1996
1204253258_309480645573373953 x	RT @AppIePromo: WE ARE NOT JOKING WE ARE REALLY GIVING AWAY iPHONE 5 TO EVERYONE THAT FOLLOWS @GooglePics (RETWEET WHEN DONE) http://t.c ...
1204253258_309302919629524994 x	No school. #SoGlad
1204253258_308347723982200832 x	You never know how much you'll miss someone until there gone #truth
1204253258_307931905435787264 x	Got the dress:) #Finally
1204253258_307237608914841602 x	Today was a good day!:-)
