245173952_366319532370960384 x	Seacrets #ocmd ?? http://t.co/3Fkf2SUFV1
245173952_382115896015060994 x	Preston's Twin #bunchy #raydonovan @PrestonSteve933 @NickMcIlwain1 @kathyromanowmmr @mor100 @CaseyboyWMMR http://t.co/Oo7Z96L1ng
245173952_381828111551463424 x	Photoshoot Fresh #domesticated #1308 #stacksonstacksonstacks http://t.co/pKP0jhOgK0
245173952_381521369286332416 x	A gentleman decorates #domesticated #sneakpeek #christmastreeshop http://t.co/T7LKzNORjD
245173952_381467116656164864 x	RT @fishtown: Bob?s Happy Hour on Frankford Ave gets a cease operations sticker http://t.co/0Ni4Ty9Hl0
245173952_381078823443660801 x	Aside from last night's loss, anyone see this serial killer on the new PA Lottery commercial? http://t.co/rrRXebKjoS
245173952_379933426167853056 x	For my second installment of useful inventions I give you the toothpaste remover thing #genius http://t.co/WCPvirJy5u
245173952_378690064664240128 x	#gilliganwedding http://t.co/47Jl8oKNoo
245173952_378673509347893248 x	I got a small circle. I'm not with different crews. #gilliganwedding #topboys #nonewfriends @dmm117? http://t.co/GxR87dxRXR
245173952_378528829448679424 x	@KyleP215 vaya con dios
245173952_378517721769836544 x	@KyleP215 thanks Brah #hesnotcomingback ?
245173952_378312948797956096 x	@GStephanopoulos @barackobama @thisweekabc @barackobama @thisweekabc what was his personal 30-60-90 plan before first day as potus?
245173952_378216003328802817 x	Brah http://t.co/2wtFZhWC2i
245173952_377539424156143616 x	@KyleP215 what's up with Lincoln? They have new hours? Tried going the other week it was closed ?
245173952_377504899384500225 x	@errrica_bates first documented zombie was 33 AD
245173952_376581434443849728 x	Cannons @_ReRob #bbp http://t.co/QHxXLUyoNv
245173952_376520706257088513 x	Brahs @Al_Ryz6149 http://t.co/GzkZ2RsVd3
245173952_376454021030350848 x	HOLLYWOODLAND #donthurtnobody ? @kbilotta513 http://t.co/7stplszS6f
245173952_376072782813347840 x	Ending the summer off right #chillicheesedogs #3rdstreetbeach #hotdogguy #ww #nw #nofilter http://t.co/SxRmxxWbGr
245173952_375697577347661824 x	RT @CyclingViews: Judge orders Armstrong testimony - http://t.co/5uAKgKQ1I4 http://t.co/aZA6M1AA3N
245173952_375316225704087552 x	Still summer. Still wearing white. ???? http://t.co/j7Mcukzqhk
245173952_375277024115716096 x	@SexyFootyWAGs @mcdev119 Jesus
245173952_375037070794047488 x	Night 1 #lonercation http://t.co/Cg0YeSpb1l
245173952_374599491191861248 x	I'm new to the Ketchup vs. Catsup thing. Catsup is just dumb. ? http://t.co/m1uj09c5Nl
245173952_373908450319036416 x	Attention Syria - I have a prime target for you: Aramingo and Venango
245173952_373841492957478913 x	I really don't know what else I can do to be more WT right now #girardgasfood #mtdew #eatingonmysteps? http://t.co/Kq2QfBkEbm
245173952_373636082036146176 x	#nesswedding brooksrunning http://t.co/xILV4jIYJy
245173952_372809280602521601 x	Just made a come up on a new range #scratchanddent #hustlehard #putitinthetrunk http://t.co/V5VhizZJ3J
245173952_371810085766705152 x	RT @TheOrderlyGuy: Kanye West needs a warm glass of shut the hell up!
245173952_371487732608282624 x	Happy Birthday, Handsome Rob @_ReRob http://t.co/VH5uUXV4NT
245173952_371381290916118528 x	The Greatest #Tacconelli's http://t.co/01snYkwFKv
245173952_371103943163916288 x	Crilley Wedding #north #roman #bonner http://t.co/OHUqHH68Ac
245173952_370647877359386624 x	@tmccorm67 @sean_thomson10 @mattfiedler1 in for sure
245173952_370582827680956416 x	Best chicken cheese steak I've had in 8 years #lasalle #chinesetruck #chickcheese #1801 #bangin? http://t.co/efLmeHnmlk
245173952_369980265105731584 x	@squitiere925 really worth watching?
245173952_370257449829535744 x	@mattfiedler1 @squitiere925 watched episode 1 last night #hooked
245173952_370289641335058432 x	@squitiere925 he gave Chloe the money #awww ?
245173952_370277661853372416 x	@KyleP215 @squitiere925 @mattfiedler1 haha so good! Also, is it gay that I really want to dress like him on a daily basis? #suitlife ??
245173952_369985905240842240 x	@squitiere925 I debate it every Sunday after Dexter. I'll catch up ondemand then
245173952_369988169246474240 x	@squitiere925 def will do. Yeah bummed - all I know is Deb needs to die. @mattfiedler1 gonna start watching tonight
245173952_369507283933212672 x	Watching the discovery channel - didn't know that bike shop on your parents block has it's own show #libertyvintage @SoccerAndPizza
245173952_369553664933134337 x	@SoccerAndPizza yeah man I watched 2 episodes and am hooked
245173952_368199684533551104 x	Night Market #southstreet #nightmkt @kbilotta513  ????????? http://t.co/TL1YNf8Ovs
245173952_367513220090978304 x	About that Stadium Life #bestgiftever #legendsofsummer @kbilotta513 @jtimberlake http://t.co/aQ5YBi0aab
245173952_367442245613785089 x	HGC smcgett24 @nlg_sean10 @jtimberlake #summer #brahs #dudesbeingdudes #bromance ? http://t.co/bxZbSlc4i0
245173952_367419093177335808 x	Legends of Summer @kbilotta513 @jtimberlake ?????? http://t.co/hE62tb7ORU
245173952_366704487374667779 x	That moment you stretch and get that back crack after a run ???
245173952_366197217754755075 x	I thought it was supposed to rain? #ocmd @dmm117 @pattersonc elnormando http://t.co/AHEiry1AVR
245173952_365592122860109825 x	Throwback to St. John Cantius 6th grade math class #RulerArt #NIN #OPIV #OperationIvy #ClockworkOrange http://t.co/tJYJ19f4kH
245173952_365208911151767554 x	Seen this kid today rockin' a throwback Bridesburg Boys and Girls Club Riverside Skatepark shirt. Had? http://t.co/BIOE3xSf3d
245173952_364732380126253056 x	@KacieFOX29 @sheinellefox29 @fox29philly Tacconelli's #portrichmond
245173952_363680466274361344 x	The Show Place #singingicecreamparlour #lbi @kbilotta513 ????? http://t.co/ShYOQ7aF5z
245173952_363398791723888641 x	My personal post card to you instaworld #greetingsfromLBI http://t.co/Ywy0NPKAUp
245173952_362967202527318017 x	The baddest skate shoe ever shredding right into this rainy #tbt @erickoston #koston #es #og http://t.co/YuPDyEDiSO
245173952_362656489548152835 x	@TFil10 ride today?
245173952_362255345990631425 x	I don't know about you losers, but my week is about to be the jump off #popamiley #turntup http://t.co/SvAMxRmaM8
245173952_362202190699438081 x	Many thanks to @Gillette who just sent me a free Fusion Proglide in the mail this week #brandloyal #gillettefusion http://t.co/Iov0BkGB9u
245173952_361213438497783808 x	About to embark on a most excellent adventure http://t.co/WMGM5EscaL
245173952_360988928641212417 x	Point Break #swayze #keanu #hesnotcomingback http://t.co/WrxalvyHcW
245173952_360975240240693248 x	The top boys @_ReRob @bd524 @dmm117 mattfiedler1 @keller907 devy114 #WELCOMEHOMEDYLAN morganspier http://t.co/s9ChPuLBb3
245173952_360726558450794497 x	@eeerriinn ew
245173952_360017434742239232 x	@BrianMJMitchell any way I can scoop one of those fresh tanks off you?
245173952_359669887767027713 x	Cowabunga! http://t.co/3fPIXRlaKX
245173952_359336064659357696 x	When your hangover last 2 days and counting #thisis30
245173952_358759290594938880 x	Bought to clog that feed tonight #yolo coolmikedek mattfiedler1 http://t.co/fUO8d5PtSK
245173952_358430786950668288 x	Bridesburg #stjohns #allsaints #cougars #gentlemen #weddingdudes http://t.co/Vbmjnmkbjo
245173952_358373607400935424 x	clipski cousins like brothers #gentlemen #wedding #mahogany http://t.co/MWYnAbXJ59
245173952_357919254298886144 x	@Al_Ryz6149 @kylep215 @sean_thomson10 @thines9 I'm so stoked. Let's crush this shiaattt!! #beerme
245173952_357576861213544448 x	RT @prpourhouse: With this balmy heat, you need canned beer. We have it $1 off all day if you bring in ANY coozie! #feelinggenerous #strong?
245173952_356856225117376512 x	@Kalpy13 when is the 5k? I might be interested in taking second place
245173952_356799799888072704 x	@lancearmstrong @aspenco was in Austin a few weeks back for work Mellow Johnnys was awesome check out the pic http://t.co/6DTB8ybq65
245173952_356799354956292097 x	@lancearmstrong @aspenco when Philly?
245173952_356153223771455488 x	Home Plate - St. John Cantius Stickball 1st-4th grade before we moved to the big league school yard? http://t.co/rz6OMyKEw7
245173952_355908081303027712 x	Dooey's Tea Off @roaddawg4u @_ReRob deekarp2186 @kbilotta513 timpossible9 @T_Squaredd @Al_Ryz6149 ?? http://t.co/UNR2Fzsy35
245173952_355302995950448640 x	@MikeFOX29 Lord of the Fries ??? #Hempstead
245173952_354991478382137344 x	Top 10 most useful inventions: Apple Slicer Thing ? http://t.co/YxntxjA856
245173952_353372372163756033 x	Keenan's @dmm117 mcdev119 ?? http://t.co/paWGwPeEkR
245173952_352796924052647936 x	#tbt #lastnight #THICKE #doitlikeithurt @_ReRob joemchenry timpossible9 http://t.co/hq5c3Vyr5D
245173952_352623996983971840 x	Roofies http://t.co/07Ej0wVyGz
245173952_352447582611587072 x	RT @BrianPHickey: Dear Funny Or Die, Please convince Alan Thicke to perform a version of the NSFW "Blurred Lines" video. K. Thx.
245173952_351080094871191554 x	Today was awesome. http://t.co/RdvlaLEHin
245173952_351093918236033025 x	@TFil10 yeah bro stoked on it. I was flyinnnnggg
245173952_350855533483405312 x	Doo Doo Browns @Al_Ryz6149 caitlinanne_o @MSalaha @T_Squaredd http://t.co/t6XXYkKFOM
245173952_350219983835504642 x	@KyleP215 @al_ryz6149 @sean_thomson10 you ate the MAN!! ?
245173952_350213878325575680 x	@Al_Ryz6149 @sean_thomson10 @kylep215 I just got an official fully
245173952_349550863297155072 x	@nchoop32 happy birthday bossman!!
245173952_349252395320082432 x	Boss #McQueen http://t.co/0NJbIVIwj8
245173952_349151933149368320 x	@KyleP215 Lincoln have hours tonight? ??
245173952_347818868175159296 x	@TFil10 ride tonight?
245173952_347793576605908992 x	Lolzzz #got #babeoftherealm http://t.co/kyRSfK2TFT
245173952_347454045251829761 x	@boardwalkphilly where?
245173952_347450813385416704 x	@dmm117 @soccerandpizza #truedat #lushlife
245173952_347449911685562369 x	@KyleP215 @tfil10 I can't wait dudes #bestdayofsummer
245173952_347417781458837504 x	@KyleP215 @tfil10 I need to get in the pool ASAP
245173952_347389136325459968 x	@TFil10 you ready to start training? #tri #getafterit ??___?___?
245173952_346050633553551360 x	RT @WireFans: Snoop buys a nail gun | http://t.co/sTJsNlum4L #TheWire
245173952_346040228366127105 x	Mellow Johnny's Bike Shop. Lance is still a boss #austin #yellowjerseys #trek ?? http://t.co/sgcNd2kF0F
245173952_345991144989147136 x	@lancearmstrong what's good today Brah? We're grubbing at Manuels.
245173952_345715052243988480 x	Street marker of the Kennedy Assassination. This was the second bullet. Shot came from the 6th floor? http://t.co/ZqZVoBm76A
245173952_345625955458482176 x	@lancearmstrong Brah, I'm in Austin. Where you at dude?
245173952_345404479920803841 x	Brahs #work #dallas #forsure http://t.co/OlK4btD3e2
245173952_345022533940154368 x	Brahs #dallas #work http://t.co/shNp0aGpz4
245173952_343187754886254593 x	Just posted a photo http://t.co/WAK47LtR3z
245173952_341276219951693824 x	Happy Birthday, Nan!! 93 years young #birthday #thedon #2chainz http://t.co/ren8Pv6PpZ
245173952_341236472642408448 x	Is there any station airing the bike race? #PhillyCyclingClassic @bcgp @usacycling
245173952_341257878293852161 x	@rodriguez545 thanks!
245173952_340967642196242432 x	Tough Mudder, Brahs. Crushin' Runs, Beers and Pizza ???? http://t.co/vJOoPRWg5E
245173952_340806654029361152 x	I legitimately want to watch the bike race this year at the wall #manayunk #bikerace #thewall? http://t.co/cPHe9oLD1K
245173952_340183638933131265 x	Just posted a photo http://t.co/IICz4jf4vq
245173952_340234351218413568 x	@TFil10 it was fate Gos and Oz #ozling
245173952_339066893086367745 x	The best day in the history of the Bridesburg Memorial Day Parade #truelove #alex&caitlin #weALLcried? http://t.co/CQ2jILgv3l
245173952_338796754709381120 x	RT @ItsSheWantYourD: Last summer was good, but I'm making this summer fucking amazing
245173952_338431091297898496 x	@eeerriinn just ate santucci
245173952_338404986931249152 x	USA #mdw #starsandbars #thankyouveterans #1308 #fishtown ??? http://t.co/uwE0fSSoRq
245173952_337630330007740417 x	Neighborhood staple #butchershoptrim #19137 #19125 #19134 http://t.co/J2inR27vGe
245173952_336454640881258496 x	@dmm117 @tmccorm67 @Sean_Thomson10 @Al_Ryz6149 @mattfiedler1 anyone interested in seeing Hangover 3 on Thursday? ??
245173952_335538847838507008 x	@lindsay_dotcom Bridesburg 5K tomorrow. Get your red hair out there and win it for the gingers
245173952_335519240922755072 x	@TFil10 ??? #tribuds
245173952_335518942594473987 x	@YourBuddyBurns wish I could of stopped in for a pint but I can't let this Santucci go cold
245173952_335363515793686529 x	If you haven't been to @lloydwhiskey yet you need to go soon - great spot #whiskey #Fishtown #19125 http://t.co/VmbiXicsFz
245173952_335169615250468864 x	@TFil10 @tmccorm67 @soccerandpizza @sexyjoesoccer damn wish I saw this. Did a center city run.
245173952_334778126464851969 x	@SoccerAndPizza @tmccorm67 7pm #wodup
245173952_334787467507019778 x	@SoccerAndPizza @tmccorm67 I'll scoop you at 6:05
245173952_334787402306555905 x	@TFil10 @soccerandpizza @tmccorm67 eight too late hahaha
245173952_334011970212732928 x	Come out this Saturday, May 18th, 8:30am to the Bridesburg Rec to crush a run or walk a mile for a? http://t.co/sqY8hSXh5K
245173952_333985519870558209 x	Bridesburg 5k this Saturday, 8:30am in front of Bridesburg Rec. Need your support! @thines9 @adamjohnski @nchoop32 http://t.co/SpO0ckCABd
245173952_333983865892900865 x	Bridesburg 5K this Saturday, 8:30am brahs @dmm117 @mattfiedler1 @TFil10 @Al_Ryz6149 @Sean_Thomson10 @SoccerAndPizza http://t.co/72KqGQCr9l
245173952_333456178770243585 x	All in the fam @kbilotta513 @mobilotta14 http://t.co/qDfyoTC7mX
245173952_333421995121340417 x	You did me proud http://t.co/QTzW7JJJrT
245173952_333285486972006402 x	Red Head Crew #Stoney #StoneyTourny ?? http://t.co/aWnZ6RCAFK
245173952_333253268648103937 x	Sorry for partying @dmm117 http://t.co/UQmu3BfIGw
245173952_331252239278673920 x	RT @allieharch: So not only does @GreenEggsCafe have poor customer service, apparently they have a rodent problem too: https://t.co/QzSzC2W?
245173952_330887142324719616 x	Forget your feed. This crew is true. #ONE @dmm117 josabeck http://t.co/P8WE6fCpIW
245173952_330689261290536960 x	@KBilotta513 must be nice
245173952_330777658210283520 x	@KBilotta513 cold and rainy ?
245173952_330766509280485376 x	Gentlemanly things itsmezoo10 #derby #meeklilly #cigars ??? http://t.co/4sfDqm0lLR
245173952_330745509608312832 x	The Trinity. The Real. #derby #ponies #juventus http://t.co/aAczNvpVo6
245173952_330732760861908992 x	Young Republicans #derby http://t.co/fBSPThkpsL
245173952_330464554641399808 x	Derby boys #cigars #gents #lilly josabeck itsmezoo10 @retrendphilly ???????? http://t.co/esSFvRv0Qq
245173952_330075322101936128 x	@fishtown Any idea what they're building at Berks and Girard?
245173952_330025966363607040 x	@WireFans package up my ass, gump
245173952_329902933682573312 x	@GStephanopoulos @gma in real life situation of your movie This Means War, who would you REALLY pick - Chris Pine, Tom Hardy OR Ryan Osborn?
245173952_329738648197156864 x	Let's get after it boy-boys @dmm117 josabeck @retrendphilly @bd524 #derbybound ????????? http://t.co/wqy9vsjk42
245173952_329574668170321920 x	At the post office 2 WT women, mid 40s (mid 70s in drug years) yelling and complaining about waiting - PO opens in 5 minutes #entitlement
245173952_328637431077289984 x	You only YOLO once coolmikedek @callieconner http://t.co/HeoAg618Qn
245173952_328384064551800833 x	@mobilotta14 Lotta Bilotta http://t.co/VTzUZatgki
245173952_328380654813323265 x	Cannons http://t.co/raY2DUVbNH
245173952_327960868585357312 x	Established 2002 #youngsoup ?? http://t.co/XPlNplZ4WJ
245173952_327816625040523264 x	You're not your khakis
245173952_327794005578489857 x	Congrats to one of my main dudes wrapping up his first week with the Iron Workers!! @Al_Ryz6149 ??? http://t.co/XKQqSvf12J
245173952_327439944744333312 x	Philadelphia http://t.co/8WBp18NGXE
245173952_327194136228794368 x	@FloydMayweather @retrendphilly let us know if you want to join team money ???
245173952_327081253004275712 x	Sleepover at my house this week gentlemen! @Al_Ryz6149 @Sean_Thomson10 #warrior #tomhardy ??? http://t.co/pG1hykLJ1B
245173952_326861271402180608 x	Oh okay #angryorchard #tallboy #crispapple ? http://t.co/ab0dVsjL2P
245173952_326480313121374208 x	Alex, let's make it a true Daily Double @dmm117 http://t.co/yak8cWcfVh
245173952_326463658462965760 x	2016 therealkmc_4 #nofilter #idesofmarch ? http://t.co/vXWV6qQJNM
245173952_326156968572100609 x	@lindsay_dotcom down home BBQ gurlll
245173952_326128900746932225 x	Fette Sau takeout - eating like a King of the Realm #BBQ #sundaydinner #bangin #gingerale? http://t.co/w8oKXPXt7x
245173952_326156844986929152 x	@TFil10 lol see king jof gave you a favorite? You're prob getting killed soon hahaha
245173952_325477858099212291 x	Don't stop. Pop that, pop that #nofilter #drinkers #basement #stereocoma therealkmc_4 @DannyMcGarry? http://t.co/3JmqZa2zyc
245173952_325411649353830401 x	House Osborn ? http://t.co/1tlfTuba3w
245173952_325271385679216640 x	@Sammysnoogs @starbucks headed there now. Thanks got the heads up.
245173952_325271792589619201 x	@ryanosborn9 @sammysnoogs @starbucks got should be "for"
245173952_324983072661569538 x	I wonder if this dude haggles for his action even half as well as my dad does for the Osborn Family? http://t.co/uzMwOIxIAI
245173952_324974968825860098 x	@Kalpy13 with garlic dipping sauce?
245173952_324467922250657792 x	That feeling of taking a shower right after you wake up - then jumping back into bed ???
245173952_324218183567413250 x	@Al_Ryz6149 @TFil10 @DNV19 anyone want to get out on the bike Saturday morning?
245173952_324241272581787648 x	@TFil10 @al_ryz6149 @dnv19 born ready
