1733060180_395405447340888064 x	Today Court Lyerla may receive drug court treatment http://t.co/EGDy3clL12
1733060180_392381642976681984 x	U.S. Anti-Doping Agency exposes Lance Armstrong, unethically protects 35+ athletes -  http://t.co/J7CAhti1Ai #cycling #doping #ada
1733060180_392123793797550080 x	Report: Atlanta disinfects visitors locker room after Tampa Bay game http://t.co/prow51P442 via @forthewin
1733060180_392115098401386496 x	Making a Stand for Reform at Grambling, and at the N.C.A.A. http://t.co/wIlXfvqe7f
1733060180_392063782438309888 x	Week 7 has provided a lot of stunners & a lot of upsets. #Ravens #Steelers game  is great.
1733060180_392063259597357056 x	RT @tamaraholder: I bought my "bestest" friend Broncos gloves at last week's game. She's proudly sporting them tonight. How cute! http://t.?
1733060180_392027707308920833 x	#nyjets bench when field goal good. Jets win  in ot http://t.co/Yxgh3cw5X2
1733060180_392026489153024001 x	#genosmith through the tunnel winner #nyjets http://t.co/VLIroidchL
1733060180_392004918422556672 x	Crowd going wild here #NYJets  v #Pats #Metlife
1733060180_391970722945318912 x	#jets http://t.co/FCexVJLVHP
1733060180_391963297936715776 x	Travelling incognito #nyjets v #pats http://t.co/bKmQi8Fmqr
1733060180_391959424031416320 x	#genosmith #nyjets practice throwing before game #nfl http://t.co/Tbq4m4EFs9
1733060180_391953054603292672 x	Beatiful day #metlife #nyjets v #pats #nfl football game http://t.co/1z3VZrJM6l
1733060180_391813878247477248 x	Felix Hernandez & wife victims of wire fraud, possibly by wife of teammate Carlos Peguero  http://t.co/x4FeMydwug via @bbtn #Mariners #mlb
1733060180_391787748941910016 x	http://t.co/gyddoc9tGJ
1733060180_391770278197350400 x	Curtain closes on Colts owner Jim Irsay?s sideshow; Broncos? Peyton Manning prepares to dominate http://t.co/GRGxcdsIvU #nfl #broncos #colts
1733060180_391737393101172736 x	Wife of M's Peguero charged with fraud http://t.co/2JI7hJaVSc via @YahooSports
1733060180_391699615147630592 x	Memories of @FIRSTDESCENTS fundraiser last weekend in Denver. Picture here are all young-adult cancer fighters. http://t.co/WSYcNh3sCt
1733060180_391699033422827520 x	RT @tamaraholder: That hit on Johnny Manziel looked painful. I hope he's ok. Great player! #Aggies #JohnnyFootball #sec
1733060180_391442595894681600 x	Report: MLB executive testified to paying $125k for... - http://t.co/rJVsK2mP3S via @SI_Wire #arod #mlb
1733060180_391442344387416064 x	Bill Russell arrested after loaded gun was found in carry-on... - http://t.co/XJM5amcMne via @SI_NBA #nba
1733060180_391430685124460544 x	Report: Bill Russell cited for bringing a gun inside an airport http://t.co/mgV1Of9azT via @cbssports
1733060180_391280665708097536 x	BREAKING: 11/14/13 ? ex-Thunder DeAndre Liggins back in court on felony kidnapping and violent crime charges -  http://t.co/rXdNyriOsS #nba
1733060180_391234650364182528 x	RT @kenneybaden: Linda?s #NFL Week 7 #FantasyFootball Team Picks -  http://t.co/vMcj6mdykx
1733060180_391231722039545856 x	RT @kenneybaden: Linda?s NFL Fantasy Football Week 7 Perfect Lineup Challenge -  http://t.co/vRhZYyn0qt
1733060180_391197511891042304 x	Tennis Champ Andy Murray Hit With Drug Test At Awkward Moment http://t.co/y1ddK1nwOU via @HuffPostSports
1733060180_391195977715290112 x	Former NFL Player Indicted http://t.co/R30MMTVtYi via @HuffPostSports
1733060180_391052291777642496 x	Union files grievances on behalf of Aaron Hernandez http://t.co/wOgHJ5gALb via @usatoday
1733060180_391050833489829888 x	M.L.B. Seeks Records on a Rodriguez Doctor  http://t.co/4An9kNdqij
1733060180_391042837673820160 x	Chane Behanan suspended by Louisville Cardinals  http://t.co/QGfF9tGI4J #cardinals #louisville #ncaabasketball
1733060180_391040387042652162 x	Getting sports unions involve one step to help fix college sports http://t.co/RU09owe0IY via @SINow #unions #ncaa #collegefootball
1733060180_391025820195901441 x	RT @mcuban: That Awkward Moment when you see in a search that the SEC attorney working your trial is posting about it on Facebook and calls?
1733060180_390963356917448705 x	Rugby union could face NFL-style lawsuit on concussion http://t.co/13nFntrG3C via @guardian #nfl #concussions @rugby #lawsuit #unions
1733060180_390919966910054400 x	NEW! Linda?s #NFL Week 7 TNF #FantasyFootball #FF Picks -  http://t.co/1BVehZUTTI
1733060180_390739981226221568 x	RT @tamaraholder: Oklahoma Sooners football player Trey Metoyer charged with felony indecent exposure -  http://t.co/uOsCnNdxC5 #sooners
1733060180_390591315567984640 x	RT @J_Giordano: @SportsCtMedia Source close to Lion's Ndamukong Suh confirms Suh's been fined $31,500 by NFL for a hit on Browns QB Brandon?
1733060180_390570640413298689 x	RT @kenneybaden: Wining a court case starts with picking the right jury! Mark Cuban Found Not Guilty of Insider Trading http://t.co/Y6eGzBp?
1733060180_390570177538301954 x	Mark Cuban Found Not Guilty of Insider Trading http://t.co/wa1Li1UXVC
1733060180_390545121722523648 x	Condi on Football S Committee! Our previous post  No JockStrap Needed- David Pollack, Condi Rice, Women & Football -  http://t.co/M4QhtL27Lb
1733060180_390543803532460032 x	College Football Playoff Announces Selection Committee http://t.co/BRfrWnzFyT
1733060180_390473400768282624 x	Report: Oklahoma receiver Trey Metoyer charged with indecent?exposure - http://t.co/1RFQ2bjmVa via @si_ncaafb
1733060180_390469481547702272 x	FREE THE BEAR! Dodgers ?Rally Bear? unmasked  http://t.co/js0XzwT9Kp
1733060180_390466868890595328 x	RT @ProFootballTalk  Brandon Marshall not bothered by the $10,500 he was fined for wearing green shoes http://t.co/E1pLtmH8ci
1733060180_390466294929457152 x	RT @AP_Top25  Ex-Holy Cross women's #hoops player alleges abuse by coach #ncaaw  http://t.co/BYdsiIretn ?
1733060180_390335022634655745 x	Memories of gorgeous day in #Denver at @DenverBroncos game last Sunday. #BreastCancerAwareness #broncos @SusanGKomen http://t.co/7uCDAqnYwV
1733060180_390311176011513856 x	RT @J_Giordano: @SportsCtMedia British race driver Sean Edwards dies tragically in a race car crash http://t.co/u9BkJSZ22y http://t.co/LpE3?
1733060180_390287728971350016 x	@kenneybaden sat next 2 #Irsay group #Christies when he bought #Kerouac. Broncos Fox slams Irsay re Manning comments http://t.co/qT2rGgxNpN
1733060180_390268246743461888 x	RT @NYorkSports: NY Sports A-Rod lawyers try to keep Galea testimony sealed: A platoon of attorneys representing Alex Rodriguez... http://t?
1733060180_390268145975304192 x	RT @NYorkSports: NY Sports MLB COO to take stand in A-Rod arbitration hearing: Alex Rodriguez?s doping-ban arbitration hearing ... http://t?
1733060180_390223928024518656 x	Holder: Who Does The GOP Represent? - Articles - The Sean Hannity Show http://t.co/v3MBadaDRz
1733060180_390197744889262080 x	Report: Adidas ready to throw $180 million at Andrew Wiggins http://t.co/Y9QJPTn43d via @CBSSports
1733060180_390186231385964544 x	Judge released #ShayannaJenkins of #AaronHernandez case on personal recognizance bond after saying matter 'serious'.Another hint 2 SCM.
1733060180_390184717821046784 x	St asked 4 only $5k cash bail 4 a crime with 20 yr or more exposure. #jenkins #hernandez That tells SCM that case is weak or want her coop!
1733060180_390182832762400768 x	#Jenkins testified B4 GJ 4 TWO days w/ immunity #Hernandez. St says perjury bc can't remember some details & asked help 2 sign nondisclosure
1733060180_390181942471057408 x	11/6/2013 Next Court Date for #ShayannaJenkins in the  #AaronHernandez matter. She is charged with perjury- 20 year potential jail sentence.
1733060180_390179403155521536 x	#Jenkins #aaronhernandez St. alleges perjury bc testified falsely when she couldnt remember details, asking help 2 sign nondisclosure
1733060180_390178847640928256 x	#shayannajenkins #AaronHernandez learning she testified before GJ with #Immunity. Interesting development.
1733060180_390168890376208384 x	RT WBZ Boston News @cbsboston  #AaronHernandez Girlfriend Due In Court To Face Perjury Charge http://t.co/esPgI3qnDM
1733060180_390151548195446784 x	Report: Lawyers almost brawled during Alex Rodriguez?s MLB?hearing - http://t.co/IfRZUOKQVj via @SI_Wire
1733060180_390137597869453312 x	Sean Taylor Murder Trial Finally About To Start In Miami http://t.co/m0xFPyWm0T via @HuffPostCrime
1733060180_390008298713251840 x	Great read by Native American Times, "How many think Redskins is a slur?" http://t.co/hff8PnhwFy ? #redskins @nfl
1733060180_389623285429702656 x	FSU Football Coach & Others Face Wrongful Death Lawsuit - The Bottom Line - Frostburg State University: http://t.co/d60F9lxP2f #fsu
1733060180_389622026136080384 x	John Mackey's widow files wrongful death lawsuit against NFL - Washington Times: http://t.co/kiPXN78qYt via @washtimes #nfl published Oct 7
1733060180_389621414052892672 x	Travis Kvapil incident shows that NASCAR drivers aren?t immune to trouble http://t.co/kRJ5phe5iH #nascar #nfl #arrest
1733060180_389620677914791936 x	Reggie Rogers Arrested: Ex-NFL Player Pleads Not Guilty To A Domestic Violence Assault Charge http://t.co/p4qnjGDy94
1733060180_389544377573703680 x	Shocking photo captures the exact moment a Michigan fan gets Maced by police http://t.co/ql2A76wARk via @forthewin
1733060180_389421201287684096 x	@kenneybaden #FF picks 4 @sportsctmedia remain the same. Calvin Johnson active 4 Lions against Browns http://t.co/nbT4eXk1Rr via @cbssports
1733060180_389420295934590976 x	@TheCrimsonCrierd Our new post by @kenneybaden Why Did #ChristianAdamek Die? -  http://t.co/y0iNZo5uid
1733060180_389419959266185216 x	@whnt Our new post by @kenneybaden Why Did #ChristianAdamek Die? -  http://t.co/y0iNZo5uid
1733060180_389419858435129344 x	@dellcam  Our new post by @kenneybaden Why Did #ChristianAdamek Die? -  http://t.co/y0iNZo5uid
1733060180_389419461456826369 x	@DRUDGE @ALNewsFeed Our new post by @kenneybaden Why Did #ChristianAdamek Die? -  http://t.co/y0iNZo5uid
1733060180_389419352493006848 x	@DailyGawk @ALNewsFeed Our new post by @kenneybaden Why Did #ChristianAdamek Die? -  http://t.co/y0iNZo5uid
1733060180_389419263338893312 x	@huntsvillelife @ALNewsFeed Our new post by @kenneybaden Why Did #ChristianAdamek Die? -  http://t.co/y0iNZo5uid
1733060180_389419149673254912 x	@ALNewsFeed Our new post by @kenneybaden Why Did #ChristianAdamek Die? -  http://t.co/y0iNZo5uid
1733060180_389416296838078464 x	Here's the companion Post to the column.@kenneybaden @tamaraholder  Christian Adamek?s Tragic Death -  http://t.co/nlvS8WDOGI
1733060180_389415436611493888 x	@tamaraholder Linda @kenneybaden new post. Why Did #ChristianAdamek Die? -  http://t.co/tzdhaCI8CT
1733060180_389415353937580032 x	Linda @kenneybaden new post. Why Did #ChristianAdamek Die? -  http://t.co/tzdhaCI8CT
1733060180_389403251369455616 x	@Qsports @maggiehendricks @BMarshall -> @tamaraholder wrote about it here on new sports law site @SportsCtMedia: http://t.co/AYfaKeG4A3 #nfl
1733060180_389402527000580096 x	RT @Qsports: From @maggiehendricks, why every NFL fan should wear green tonight to support @bmarshall's cause: http://t.co/pC0Oi15KTz
1733060180_389223592736456704 x	Wow @bradludden just said @FIRSTDESCENTS has over 1,000 on its wait list
1733060180_389052962560942080 x	RT @SportsCenter: Lane Kiffin's exclusive 1st interview following USC firing. "I'm to blame being the head coach" ? http://t.co/803eMMvce4
1733060180_389048173970214912 x	Report: Police investigating allegation Deion Sanders assaulted school employee  http://t.co/qnKhUSv9ex via @SI_Wire
1733060180_389044063959150592 x	RT @tyduffy: Concussion Research And Lawsuits May Spell End For College Football http://t.co/Xv3XFJP2UY
1733060180_389044034863259648 x	RT @InsideUSC: Lane Kiffin did not offer details on his firing or what Pat Haden told him #USC
1733060180_389043831233994754 x	RT @NBCSports: The man accused of abusing Adrian Peterson's son was charged with abusing a 3-year-old in 2012 http://t.co/uVRsYVXQ7d
1733060180_388866046607626240 x	American Indian groups plan to challenge NFL team's name at Metrodome http://t.co/IegdrjtZmZ #redskins #vikings #msfa #lawsuit #nfl
1733060180_389043458830114816 x	Interesting! Thx for sharing! ?@mike4libertyCA: .@SportsCtMedia Atheists plan on suing the New Orleans Saints. "Saints" is offensive?.?
1733060180_389043282749054977 x	RT @NYDailyNews: Suspect accused of beating NFL star Adrian Peterson's 2-year-old son to death reportedly has history of violence http://t.?
1733060180_389019968542892033 x	RT @Deadspin  Two referees arrested on the field during football game: http://t.co/3xunUPYYyx
1733060180_388864534447800320 x	Brazil faces anti-doping crisis - Fifa http://t.co/201jCGoDfh #FIFA #olympics #doping #worldcup #soccer #brazil
1733060180_388864000395448320 x	Sheryl Crow saw Lance Armstrong doping and later informed, claims book http://t.co/iKZLw8203E via @guardian #cycling #peds #doping
1733060180_388863617442910209 x	Judge dismisses antitrust claims in San Jose lawsuit http://t.co/pMy0TKFWou via @mlb #mlb
1733060180_388856727879163904 x	@Jewelry4Pets @kenneybaden @tamaraholder Good question...nobody really knows...charities of the NFL's choosing. Bizarre.
1733060180_388852541758640128 x	@Jewelry4Pets @kenneybaden @tamaraholder Doing an article on that- goes to NFL Foundation, then they get to choose what 2 do with it.
1733060180_388850779681218560 x	RT @blurbsbykoji: ?@SportsCtMedia: Former Bears quarterback Bob Avellini faces DUI charges again http://t.co/4tHhlSca0N #nfl #bears #dui?
1733060180_388849588532035584 x	Former Bears quarterback Bob Avellini faces DUI charges again http://t.co/G70a27nmY3 #nfl #bears #dui
1733060180_388840825763168256 x	Report: CB Johnthan Banks is third Bucs player to contract MRSA http://t.co/ytEnO3u0vn via @cbssports
1733060180_388839694919684096 x	?Worst Play Ever? if NFL fines #Bears Brandon Marshall for green shoes http://t.co/AYfaKeG4A3 #nfl #mentalhealthawareness @bmarshall #bears
1733060180_388833326318223360 x	We at http://t.co/NFDCWLGi1Q (@tamaraholder & @kenneybaden) send our condolences to @AdrianPeterson for the tragic loss of your little boy.
1733060180_388832615811121152 x	NY Jets TE Kellen Winslow: SMACKED with 4 game suspension for PED?s -  http://t.co/RZVdX0CZ0l #nfl #jets #winslow #peds #doping
1733060180_388672522964975616 x	Eyewitness emerges in Hernandez double murder?investigation http://t.co/Af8lPliJOl via @ProFootballTalk
1733060180_388672365892497408 x	Report: Steelers offensive coordinator Todd Haley sued again http://t.co/YrpT3jsCXH via @cbssports
1733060180_388671742564392960 x	NFL Star Adrian Peterson -- 2-Year-Old Son Attacked ... Police Investigating http://t.co/Mvec5gchMq via @TMZ
1733060180_388669462502981633 x	MT @AlbertBreer: NFLPA investigated Dr. Thomas Gill earlier in year after ex-Patriot Jonathan Fanene filed grievance against the club.
1733060180_388642509087596544 x	See link. Father in law says Rick misquoted "conversation." -> ?@tyduffy: @JasonLisk @sportsctmedia I don't either.? http://t.co/QaW4nsVECx
1733060180_388484907871125505 x	.@JasonLisk @thebiglead Reilly did NOT "misquote father-in-law's column." Rather, he misquoted a previous conversation. Big difference #nfl
1733060180_388466348747390976 x	MT @NFLONFOX: #Peyton #Manning making your kids fat according to a study published in Scientific Journal Pediatrics. http://t.co/zKzetwhc6v
1733060180_388465681232318464 x	RT @tamaraholder: I picked #Giants against spread. Can I change it? Eli Manning is struggling. What's going on in his head? C'mon! #tnf htt?
1733060180_388464120296534016 x	Know of any other arrests not listed here? Danger to society: former NFL WR Braylon Edwards -  http://t.co/qRZAbk5WZn #nfl #tnf
1733060180_388455944092680192 x	@JoeDiMaggio2013 @tamaraholder Thanks Yankee Clip from @SportsCtMedia RT "Follow them or it'll be a crime."
1733060180_388451034932080640 x	Blackfeet Elder says Rick Reilly Misquoted Him; wants ?Redskins? banned http://t.co/8F5mlRDfoY via @[socialmedia:sm-twitter_username]
1733060180_388450659881590784 x	Linda?s Fantasy Football NFL Perfect Lineup Week 6 -  http://t.co/eFeoQZinad
1733060180_388450532416712704 x	Linda?s NFL Team Fantasy Football Picks -  http://t.co/d1y9GX7Kns
1733060180_388450453219856384 x	Linda?s TNF NFL Fantasy Football Picks Week 6 -  http://t.co/BV86Q3GjHP
1733060180_388448449739255808 x	Tamara?s NFL Fantasy Thursday Night Football Picks -  http://t.co/PhpFyHY6Z0 #tnf #bears #chicago #giants #NYvsCHI
1733060180_388284157040033792 x	RT @NFL_ATL: Brandon Marshall to don green shoes on Thursday Night Football to support mental illness http://t.co/23o20juotg
1733060180_388283183697240065 x	RT @tamaraholder: NFL Bettors Don't Know What to Do With the Biggest Spread of All Time http://t.co/HwFs4QzlAQ via @BW - Listen to me, that?
1733060180_388283054730772480 x	Race remark 'out of line,' parent of world champ says http://t.co/NS5GJfwhdM via @usatoday
1733060180_388117307509448704 x	New Flyers coach threatens spankings, tells reporter to get lost after first win http://t.co/WAlDVCueNR via @forthewin
1733060180_388113577271644160 x	19 victims reach settlements with Penn State http://t.co/NLp1q7FDLH via @cbssports
1733060180_388076597137649664 x	Sandusky 'Victim 1' psychologist loses county job http://t.co/4JelhfJnuN via @usatoday
1733060180_388076383697911808 x	Pa. reviewing original Sandusky allegation http://t.co/zvrRFDf3Ck via @usatoday
1733060180_388070560632020992 x	10/9/13: While in rehab, prosecutors drop gun charges on 49er?s LB Aldon Smith -  http://t.co/XOhPUQ165m #nfl #49ers @tamaraholder
1733060180_388064859973103616 x	Breaking: No gag order in Aaron Hernandez case -  http://t.co/kEaFjmFYeS
1733060180_388042363538792449 x	RT @Brynn4NY: Wojciech Braszczok- undercover det allegedly involved in SUV assault out of jail. Covered face in mob http://t.co/N9dsX7ZZvr
1733060180_388041882972213248 x	RT @YahooSports_NFL: Washington owner Daniel Snyder sends letter about future of Redskins nickname http://t.co/8ycU0f4dcJ #NFL #redskins
1733060180_388041429857349632 x	RT @EyeOnBasketball: Lamar Odom pleads not guilty on DUI charges. http://t.co/DBXgTKrBhy
1733060180_388041301977227264 x	RT @EyeOnCFB: Agent charged in North Carolina football scandal - http://t.co/YX5os0cR8y
1733060180_388041028458274816 x	RT @J_Giordano: @SportsCtMedia NASCAR driver Travis Kvapil charged with assaulting wife http://t.co/Q7oDVNX723 http://t.co/nebKJu8JIJ
1733060180_388038436462264320 x	http://t.co/pkB3L4dZh6
1733060180_388041014608691200 x	.@J_Giordano Thanks for helping us! Retweeting now!
1733060180_387813520299274240 x	RT @19alexandro: ?@SportsCtMedia: Report: Police called after Texans fan harasses Matt Schaub at home http://t.co/9sdYlqIm0B via @CBSSports?
1733060180_387813448677326848 x	RT @tamaraholder: Browns exec Sandusky, Jerry's son, arrested for DUI http://t.co/iPcnvGvThd #sandusky #dui #cleveland #browns #nfl
1733060180_387798005166112768 x	We can see the lawsuits now says SCM we hope in jest !"Yes, Peyton Manning Is Making You Fat http://t.co/1xKRSmA1GD via @BloombergView"
1733060180_387797513610469376 x	Jets Quarterback Sanchez Has NFL Season-Ending Shoulder Surgery http://t.co/W6pBXhcit4 via @BloombergNews
1733060180_387797293459836928 x	Report: Police called after Texans fan harasses Matt Schaub at home http://t.co/Xpg0j2otS2 via @CBSSports
1733060180_387782223786967040 x	RT @AP_NFL  Cleveland #Browns exec Jon Sandusky, son of Jerry Sandusky, arrested- suspicion of drunken driving: http://t.co/0UiVlvJIcr  #nfl
1733060180_387781155459964928 x	RT @TMZ  Earlier: Adam 'Pacman' Jones Not Guilty of Punching Woman at Nightclub http://t.co/xlKVNuhCXz
1733060180_387776763428110337 x	RT @SteveFainaru: Warning: Promotional announcement: #LeagueOfDenial, the book, available here: http://t.co/uoelZQXeZA
1733060180_387772737248571392 x	Linda?s TNF NFL Fantasy Football Picks Week 6 -  http://t.co/ExpjIwxGpv
1733060180_387772627785625600 x	Linda?s Fantasy Football NFL Perfect Lineup Week 6 -  http://t.co/6xUs0adMO7
1733060180_387755701814460416 x	Danger to society: former NFL WR Braylon Edwards -  http://t.co/lgtjSyJhA4
1733060180_387754875523969024 x	RT @tamaraholder: My amazing http://t.co/75XSuLsRt4 partner Linda Kenney Baden & I hope you follow @SportsCtMedia & visit often. I just pos?
1733060180_387644719645216768 x	Breaking: Red Sox?s announcer?s son Jared Remy pleads ?not guilty? to murder of girlfriend -  http://t.co/Qk4901uzBk #mlb #redsox
1733060180_387599669351968768 x	RT @HarveyLevinTMZ  Ex-NFL Star Braylon Edwards -  VIDEO OF NIGHTCLUB ATTACK http://t.co/GnWtCJ5mzC
1733060180_387599451625639937 x	Steubenville School Official Indicted In Rape Case http://t.co/3hiB4bKKlZ
1733060180_387570097415786496 x	Presidents Cup streaker 'wanted to add a little excitement to golf' http://t.co/AGFt7OCLub via @cbssports
1733060180_387458048513830912 x	Witnesses say Bengals' Pacman Jones punched woman http://t.co/OiRxgZfQqC via @usatoday
1733060180_387434493940076544 x	Duke Lacrosse Players Denied By Supreme Court http://t.co/9HCUmdh5Rb via @HuffPostCollege
1733060180_387394242894921728 x	Steubenville rape case grand jury issues charges http://t.co/2twB3hHaxL via @YahooNews
1733060180_387388219131973632 x	Metta World Peace Loves Tim Tebow, Calls Jets 'No. 1 Team ... In the World': http://t.co/MLuRcSCUeI via @NESN?
1733060180_387387222699565057 x	RT @AP_Top25  Rape charges dropped against ex-Temple freshman LB  http://t.co/xrN3PPlnMe ?
1733060180_387227153248833536 x	A?s fan tazed after fighting cops in stands http://t.co/TfHRv4a6gw via @forthewin
1733060180_387212531502448640 x	RT @NBCSports "Condoleezza Rice knows football," Tony Dungy says on @dpshow about former Secretary of St..C our post  http://t.co/yyb9yKHvav
