66404201_352248748971290624 x	Great dinner at @LeVirtuPhila tonight. Thanks so much! http://t.co/5Vpw3nhIOA
66404201_357322053231575040 x	RT @danielstern: EPIC Porc Event in Philly next Sunday. Over 25 Chefs Cooking Whole Heritage Breed Pigs?@COCHON555?#EPIC?Get Tickets!?http:?
66404201_357315165106089984 x	RT @SheltonMercer: Had more #goodfood @R2LPHL this past weekend.  Thanks  @danielstern for always treating me and @IamJLynne like royalty! ?
66404201_357312620400881665 x	@JillianGloria thank you for joining us!
66404201_357312546425933824 x	RT @JillianGloria: Thanks @R2LPHL for a delicious dinner with an amazing view! #visitphilly #Philly http://t.co/87rBCtXn7s
66404201_357233307630579712 x	A look at tonight's #SummerHarvest Dinner...#Plums http://t.co/kRXczWRjdA
66404201_356845739508367360 x	RT @ShopsatLiberty: @R2LPHL is going to be plum-tastic for their #SummerHarvest dinner tomorrow night. Did you make your reservation? http:?
66404201_356834873866067968 x	Sneak Peek at tomorrow nights #SummerHarvest #Plum Dinner: fresh + preserved plums, bresaola, herbed cracker http://t.co/HeD9p5EXX7
66404201_356813739078598657 x	?@EviamaLifeSpa: Welcome new members of @sbnphila! @R2LPHL" So glad to be a part of such a great network! Thank you.
66404201_356172548364443648 x	Plum-Glazed Quail? Yes please! #SummerHarvest #Plums http://t.co/ELmySlHT9F
66404201_355791489571364865 x	Come in for Happy Hour now! There's a #StormWarning...dark rum, cynar, ginger juice, lime + peychauds bitters http://t.co/sU9rrNDHJ9
66404201_354782263046717440 x	@JessGaspero how was the fosquashia?
66404201_354786230115905537 x	@JessGaspero that's the understatement of the year...
66404201_354782033261764609 x	RT @JessGaspero: Just a few of the amazing courses @R2LPHL squash dinner ???? sooo goooooood http://t.co/CN2vjyNiPT
66404201_354719280518012928 x	squash + peanut gazpacho, striped bass-stuffed blossom / squash steak, pork shank + glazed ribs #SummerHarvest http://t.co/7lVMFMSKtK
66404201_354716051952500736 x	"fosquashia" #SummerHarvest http://t.co/ccaUzTuvuT
66404201_354706852883337217 x	RT @EatDrinkBPhilly: 2. Squash ~ the 2nd Summer Harvest Dinner @R2LPHL tonight! $45pp. Wime pairing $25pp.   http://t.co/YEBFf79X3N  http:/?
66404201_354688988881244160 x	Sneak Peek at tonight's #SummerHarvest Dinner: squash + lime sorbet / zucchini french toast + cream cheese ice cream http://t.co/5xNLwDSAVj
66404201_354309925104668673 x	#SummerHarvest Dinner 2.0 is tomorrow night: #Squash / 4-courses / $45 / limited seats remain / 215.564.5337 http://t.co/QaBZYnJyVs
66404201_353878819867860992 x	?@PoshtoGanache: Celebrating 1 yr in Philly ? a special S.O. to those I've become close to: @R2LPHL #phillyanniversary? Happy Anniversary!
66404201_353871545397026816 x	?@KyleBucket: Obsessed with @R2LPHL?  Not a bad obsession to have...thank you!
66404201_353212530858029056 x	Plum Ketchup in the works...sneak peak at #SummerHarvest Dinner 3.0. Stay tuned for more info... http://t.co/VmhIfnozLv
66404201_353185997271490560 x	We're gonna be "squashing" our next #SummerHarvest Dinner! Tuesday, July 9th / 4-courses / $45 #Squash http://t.co/dtfcS3e3Q9
66404201_352517410676436992 x	Presenting #SummerHarvest 2.0: #Squash / Tuesday, July 9th / 4-courses / $45 / call for reservations 215.564.5337 http://t.co/sgFLcTDB9K
66404201_352145969833451521 x	RT @EatDrinkBPhilly: 1st Summer Harvest dinner 2nite @R2LPHL. 4 courses only $45pp. Every Tues thru Aug 27th.   http://t.co/YEBFf79X3N http?
66404201_352137749551271936 x	fava donuts, coconut + fava ice cream #SummerHarvest #FavaBeans http://t.co/hzFBjk4UoW
66404201_352137472957878275 x	hudson red cheese, fava + lemon chutney, gremolata #SummerHarvest #FavaBeans http://t.co/r7Vn65cu8Y
66404201_352136943896784896 x	fava-crusted chicken paired with a nice chianti... #SummerHarvest #FavaBeans http://t.co/vA5ZUMiIGn
66404201_352136799449120769 x	smoked fava pappardelle, @WholesomeDairy ricotta #SummerHarvest #FavaBeans http://t.co/8V8bEubytC
66404201_352136094223065088 x	#SummerHarvest tonight! #FavaBeans 4-courses / $45 http://t.co/V3XvLMYUJe
66404201_352092484832215042 x	?@danielstern: Hey @WholesomeDairy can't wait to pair your fresh ricotta with smoked favas tonight!? #SummerHarvest
66404201_352092294142361601 x	RT @PhillyFoodDude: Tonight at @R2LPHL: #SummerHarvest Menu. 4-Courses/$45 #FavaBeans (& Donuts!) http://t.co/2y0QIwJq1g @PeterScarola
66404201_351492467348086784 x	@Johneengle welcome to the twitter-verse Chef!
66404201_351004659126763523 x	Fava Donuts?...Yes Please!!! #SummerHarvest This Tuesday, 4-Courses/$45 #FavaBeans http://t.co/Kqv7WWR177
66404201_350874162392342528 x	RT @phoodiedotinfo: Get Your Veg On With R2L http://t.co/R4oqhFBRvS
66404201_350873644332875777 x	RT @FlakeNews: #Flakely Feast on Summer Harvests at R2L http://t.co/L4a9IALDYR
66404201_350794832131788800 x	RT @ZagatPhilly: Get fancy with your farm-fresh produce. Weekly harvest dinners at @R2LPHL start next week: http://t.co/CkKXTvpXLV
66404201_350709131868520448 x	RT @wherePHILLY: Summer Harvest @R2LPHL starting 7/2 and every Tuesday thru August. 4 courses $45pp. Fava Beans kick off the series! http:/?
66404201_350665630560686081 x	Thanks @LaColombeCoffee for the great experience...and coffee buzz. #HandsAreShaking http://t.co/cxsi14wKUk
66404201_350651217417994241 x	RT @PeterScarola: Great tour of @LaColombeCoffee with the @R2LPHL crew. #pureblackbuzzzzzz http://t.co/fICB9L3x5y
66404201_350638929726291969 x	Team field trip today @LaColombeCoffee http://t.co/Qa7nOI3CWf
66404201_350375053046710272 x	RT @PeterScarola: Neapolitan sundae for two @R2LPHL raspberry sorbet, sour cream parfait, chocolate ice cream #jimmiesnotsprinkles http://t?
66404201_350281231813992448 x	Who doesn't enjoy Fava Beans and a nice Chianti? #SummerHarvestAtR2L http://t.co/12xQkO1Lyl
66404201_349956240664825856 x	Join our list and stay up to date on all happenings at R2L!   http://t.co/XDAojjoxhy
66404201_349951498597330944 x	SUMMER HARVEST DINNER 1.0 / TUESDAY, JULY 2 / 4-COURSES / $45 / #FavaBeans http://t.co/U6J5likoO7
66404201_349542304467525633 x	RT @ShopsatLiberty: @R2LPHL is having their premiere Celebrate the Summer Harvest 4 course meal next Tuesday, 7/2! http://t.co/kDYGJltVHw
66404201_348144708964466688 x	Celebrate Summer with our Tuesday Night Tasting Menus...4-Courses/$45! First up: #FavaBeans / http://t.co/LMDgsyjyHG http://t.co/yYebosvZyY
66404201_347834518176145408 x	RT @EatDrinkBPhilly: Dinner. What about the sides? Lobster macaroni + cheese $18. @R2LPHL Plus a view! Check out these pics ~> http://t.co/?
66404201_347509121068699648 x	RT @danielstern: View from my kitchen tonight. http://t.co/QanCwoOOao
66404201_347481535416524800 x	Having a blast at the Race Street Pier serving up tuna paella skewers! http://t.co/7AH4kS3a7B
66404201_347482348264239104 x	Tuna Paella Skewer, saffron risotto at the Race Street Pier... http://t.co/0h6n6Hfp5i
66404201_347407294859980800 x	RT @forkrestaurant: @eclatchocolate @rivalbroscoffee @FranklinFtn @R2LPHL @yardsbrew RT "@phillylovenotes: Setting up Race Street Pier. htt?
66404201_347188089191546880 x	@EricMSales you'll need to follow us for the response to your DM.
66404201_347182908831846400 x	@EricMSales done...
66404201_347181374467346432 x	@EricMSales thank you. Please let us know when you'll be in next!
66404201_347179791037902848 x	RT @AlexaMacchia: Fun night at @R2LPHL with @SevagPR and @RussianStandard celebrating @dallasshaw ! :)
66404201_347176951410208768 x	@phillystylezine @dallasshaw @RussianStandard: Thank you! We had a great time. More Moscow Mules please!
66404201_347176728579407872 x	RT @phillystylezine: Great event tonight with @dallasshaw and @RussianStandard. Thank you to @R2LPHL for the wonderful hospitality! http://?
66404201_347119878420963328 x	RT @phillystylezine: Gearing up for our Incredible Individual event with @dallasshaw01, @r2lphl and russianstandardvodka on? http://t.co/SC?
66404201_345955325238718465 x	RT @PeterScarola: Donut station today @R2LPHL great job @JessGaspero #donutqueen http://t.co/sr6CpjjjG3
66404201_345627738859778049 x	32oz dry-aged ribeyes, cheesesteak eclair + root beer float specials all weekend long! #FathersDayAtR2L http://t.co/Whjt7Ryauc
66404201_345581194596978689 x	RT @PeterScarola: Peanut Butter Pie! @R2LPHL  #myfavorite http://t.co/Y3099ipBdh
66404201_345316906640756736 x	@PoshtoGanache Thanks...we agree!
