343198022_248140346696024064 x	@michaelombardi -Well said
343198022_342038401538736128 x	@JCRMarlinsbeat Yeah!!- and the 150 Marlins fans will really be on him when he comes to Florida to play!
343198022_341542839303434240 x	@richeisen @rr5rhoads Maybe, the single most shocking +disturbing scenes ever on TV!!!
343198022_338432260753747968 x	@JSalisburyCSN Mickey Vernon - Harmon killebrew
343198022_338433729074700289 x	@JSalisburyCSN ThanksSaw Mickey against the Phila.A's Harmon was one the strongest players I had ever seen
343198022_338335832421302272 x	RT @ShaneVictorino: HONORED! ?@RedSox: Earlier this AM @ShaneVictorino went out to support One Run Marathon finishers #BostonStrong http://?
343198022_336557530518016000 x	@phillysport @lesbowen Les, do you think Momah makes the team?
343198022_336489640670420992 x	@ZBerm Zach, what's your opinion on Momah making the team?
343198022_336488014421311488 x	@caplannfl Adam, any chance the the big WR from Boston College makes the Eagles?
343198022_336486281024512000 x	@phillysport @bobfordsports Bob,any chance the big WR from Boston College makes the team?
343198022_336485950106501121 x	@Jeff_McLane Jeff, what are the chances for the big kid from Boston College making the team?
343198022_335857518817472512 x	@GeoffMosherCSN Anything on the big kid from Boston College?Any chance he makes team
343198022_335078374357733376 x	RT @phillysport: MT @FlyersCharities: #NHL14covervote Twitter voting counts double today! Help @Simmonds17 overtake Tavares by tweeting #NH?
343198022_335054059251838976 x	RT @CSNPhilly: #NHL14covervote Twitter voting counts for double today! Help @Simmonds17 overtake Tavares by tweeting #NHL14Simmonds or just?
343198022_335017867173052418 x	RT @NHLFlyers: #NHL14covervote twitter voting counts for double today! Help @Simmonds17 overtake Tavares by tweeting  #NHL14Simmonds or sim?
343198022_334388207737253889 x	RT @sexxgodd95: My friend has CLL n we r doing a fundraiser at Hair Cafe in New Britain, PA on June 2nd at noon. Can you RT this or donate ?
343198022_328674992915091456 x	@CBA81ISLANDERS @cba81islanders  Screw. You
343198022_332891030863089664 x	@CBA81ISLANDERS The lesson learned here- that come in last place enough-stockpile high picks= playoffs
343198022_226785518577414144 x	RT @CSNPhilly: CONGRATULATE Cole Hamels for his first career homerun by RETWEETING.
343198022_328223545958219776 x	@MikeGarafolo @zberm -I see this kid on TV(CSNPhilly)-and he is very impressive with his knowledge
343198022_328222980029169666 x	RT @MikeGarafolo: Observation from the Eagles media room: Nobody has a greater thirst for knowledge than @ZBerm. Nobody.
343198022_327498668007636992 x	@caplannfl @sportsyenta That was worth a "Vey es mer ( lol )
343198022_326785181065289728 x	RT @RobFacca: Everybody please retweet for a great cause. Find out more info at http://t.co/eXBU5oalIi @Jesses_Journey http://t.co/OkGleNd7?
343198022_326777649521373184 x	@tpanotchCSN @bmir2526 Timay- you are my neighbor!Tomlinson and Bustleton for 40 years
343198022_321042253709733888 x	@CSNPhilly Eskin
343198022_321042171220348928 x	RT @CSNPhilly: 6:30 Full Contact: Tweet #Eskin or #Kern to @CSNPhilly or vote for a winner in our online poll: http://t.co/TgW47agDqI
343198022_317464092778573828 x	@Fantasy_Guru Why?
343198022_314387488674304001 x	Dickjerardi@DNSports-Thank you for the wonderful article on Tom Gola
343198022_313436304652242945 x	@HARRYMAYES975 @gonzocsn Let's go Explorers! Give ' em L Give' em A Give'em SALLE onward to victory!
343198022_313366242146799617 x	@MNWoodward @broadstbull  For Milan Lucic( lol)
343198022_313363825548197888 x	@SigmundBloom  Damarion Alexander?
343198022_313364143891677185 x	@SID402SID @sigmundbloom  Danario
343198022_312580701625151489 x	@Jeff_McLane @jeff_mclane @phillysport -Jeff,any chance of Birds signing E. Winston ?
343198022_312385370539040770 x	Les Bowen Any chance Birds go after E.Winston?
343198022_312385101419925505 x	@MikeGarafolo Any chance Eagles go after E.Winston?
343198022_312384800658960384 x	@JasonLaCanfora  Any chance Eagles sign E.Winston?
343198022_312384454989598720 x	Zach Berman-any chance Eagles sign E.Winston?
343198022_312369069456252928 x	@caplannfl Adam, any chance Eagles go after E.Winston?
343198022_312018035202469888 x	@DNFlyers @dnflyers @phillysport Very sad-but truth be told- both Lavy+Homer have done a terrible job
343198022_312016998798340096 x	@BroadStBull Sadly,Both Homer and Lavy have done a terrible job.Both should be in trouble
343198022_312016116094488576 x	@twentyminutemat @tpanotchcsn Sadly,Lavy+Homer have failed miserably
343198022_311290309386588160 x	@AdamSchefter Bet on it- Eagles You will all see.
343198022_310908343013212160 x	@tpanotchCSN Tim,Is Couts hurt? There seems to be something physically or mentally wrong with him.
343198022_310906593078304769 x	@tpanotchCSN Only player on Flyers worth watching!!! Believe me I do not stand alone  on that opinion
343198022_310869997406810113 x	RT @DNFlyers: Ilya Bryzgalov starting.
343198022_310865661322723329 x	@tpanotchCSN cont.-at least if they were tough and went down fighting each night( aka Simmonds)
343198022_310865000623398912 x	@tpanotchCSN cont.-no goalie+ no speed.Also very little cap space+ worst farm system in league. Can't stand to watch them being pushed aroun
343198022_310863943289692160 x	@tpanotchCSN Tim,I put blame mostly on Homer.He has placed a team without an identity on the ice.No leadership,no toughness,no defense.
343198022_294829716127502336 x	RT @bradziegler: ...prayers. Here's a link to a FB page with updates from baby Izzy's parents...please pray for their family... https:// ...
343198022_293749642682839042 x	@JSalisburyCSN -anti-Semitic,fat DH, way to excite your passionate fan base, Rube.
343198022_293748218779549697 x	@Phillies As a loyal Phillies season ticket holder(20 yr)-I'm very disappointed in your consideringD.Young-both as Jew and Ticket holder!!!!
343198022_291631979391225857 x	@AnthonyLGargano -tweets came from Rob Maaddi
343198022_291629665477619712 x	@AnthonyLGargano -says he is scary good.Great potential, and glad he doesn't have to play against him anymore.Has great future in NFL.
343198022_291628629526454273 x	@AnthonyLGargano -Just saw a report from year ago.about Kelly's thoughts on Foles at AU"on Twitter.
343198022_289392037856423936 x	@Simmonds17 @simmonds17 @BroadStBull Love the way you play the game.You would make all of the old Flyers, VERY PROUD!!(We here in NE Philly)
343198022_287350499039129600 x	@JasonLaCanfora Polls in Philly-say Mcoy -Jay Gruden or DC in Sea.Your thoughts ?
343198022_287349888470102017 x	@JasonLaCanfora From what we are hearing now,Kellly was going to Browns all along.All Phillyfan polls-didn't want him anyway
343198022_287246858798112769 x	@HighCheese @saltnpepperhair Any chance of A.Soriano or Hairston coming?
343198022_285175467282137089 x	@Seth_Everett  Heard a silly rumor that Phillies will add bat afterJan.1-waited due to tax reasons-have you heard??
343198022_285174358056517632 x	Jason Stark@jaysonst -Heard a ridiculous rumor-Phillies will get a bat right after Jan.1-Waited till then for tax purposes-anything to it ?
343198022_281955605961379841 x	RT @spartacus_starz: Retweet if you?re excited to see Gannicus in #Spartacus: War of the Damned.  http://t.co/s5QSPU3j
343198022_281248655187513344 x	@tpanotchCSN -Paula is Jewish, not italian
343198022_281248384566841346 x	RT @tpanotchCSN: saw an outtake from CSN today where Gregg Murphy is sitting next to Paula Abdul and that's the BEST he can do? put an I ...
343198022_279748287412719617 x	High Cheese-Old Lasalle alum- Are Rube's hands tied $$ ?What do you think they will do? Very down fan
343198022_279747479631708161 x	Jon Heyman-Help me understand why Phillies have done so little?No$$?What do you think Rube will do?
343198022_279746709033197568 x	Ken Rosenthal- Ken,I trust your word.Why have the Phil's done so little-old team ,built to win now?Are Rube's hands tied by$$?
343198022_278313290503946242 x	Craig Calcaterra - Phiiy hater - Brave's lover - unprofessional writing style. - loser
343198022_277549824457453568 x	@Seth_Everett @russthaler  same to you! Remember ,R.Amaro is Jewish- and in the next 8 days he will do something big for Phillies.
343198022_277548388608778240 x	RT @Seth_Everett: ?@RussThaler: Happy Hanukkah to all of my fellow members of the tribe!? Same 2 u bud.
343198022_276844949704699905 x	@Cliff_Hangers
343198022_273851740690989058 x	@JimBowdenESPNxm  Small deal, but under the radar, very good one for Phil's.Wilton is the real deal.
343198022_270918197845299201 x	@wscaddie56 @wscaddie56 @MyFantasyLeague Not even close- been involved with FF for 25 years. Came to MyFantasyLeague from Fanball
343198022_269830512917499904 x	@Rotoworld_FB @chriswesseling @mikeclaynfl
343198022_264097532894924800 x	#BestSportsMustache- Check out Andy Reid's Stacie
343198022_263048561871179777 x	JasonRiever Show this to Laurie
343198022_257524892113707008 x	@LanceMoore16 - just got you in a FF trade How's the hammy? Are you a go for TB next week?
343198022_256762739035340800 x	@ChuckBausmanDN @chuckbausmandn @phillydailynews @phillysport : the Sixers are charging higher prices for better games for the same seat.
343198022_252862287050846209 x	@jaysonst Did he also say you have to hit rock bottom, get all the 1st round-can't miss picks,( Stasburg,Harper,etc)and then succeed????
343198022_252080282721714176 x	@Buster_ESPN How do you think Philly fans feel after 102 win season - 2nd highest payroll in baseball-3.3 million attendance????
343198022_248058251915182080 x	@michaelombardi As long as those men were not Jewish.-a shame his genius had to be tarnished with bigotry.
343198022_230830347858878464 x	Sharing: http://t.co/JW5PxXeC
343198022_228112248072179712 x	@Ken_Rosenthal -excellent insight-very good writing. U of P taught you well!
343198022_228110905819414528 x	@BroadStBull -is there anyone flyers can get( of value) without trading Coutier or Schenn? I hear Doan to NY if he leaves Coyotes
343198022_228097112661962752 x	@BroadStBull @phillysport Flyers lost out on Weber Nash,Ryan&Yandle because wouldn't part with Couts or Schenn-boy, they better be good!!!
343198022_219198425126801408 x	@HockeyyInsiderr -HABS-HABS - HABS - WHAT A HOMER YOU ARE!!!!! GREAT HISTORY - BAD PRESENT - SUSPECT FUTURE
343198022_218868974035800066 x	@Real_ESPNLeBrun Real-Lebrun@espn-Pierre, What's this trend about not wanting to go to Flyers? (Nash,Suter,SchultZ
343198022_218866023418441729 x	Real-Lebrun@espn-Pierre, What's this trend about not wanting to go to Flyers? (Nash,Suter,SchultZ )
343198022_218811173578080258 x	Seth Everett- Congrats on new show on 97.5 Love & Respect for Philly-even the Flyers ????  ( lol )
343198022_218154035499376640 x	Hockey buzz@Eklund -a lot of talk that Sabres will get Ryan.Are Flyers still in it? ( no Couts or Schenn ) Clark wants him bad.
343198022_218124104568549377 x	RT @HockeyyInsiderr: Will have #Leafs and #CBJ update later tonight plus more info on Schultz.
343198022_218123715219685376 x	@HockeyyInsiderr - is Philly still involved [ no Couts or Schenn ] with home town boy Ryan. Bobby Clark  pushing hard for it.
343198022_217433686600204288 x	@BroadStBull @DavidJReading @FrequentPhlyer -any chance of Flyers making an offer to Prust?
343198022_217431091429122048 x	Sam Carchidi@BroadStBull - Any chance of making offer to Prust ?
343198022_217094136153649154 x	@BroadStBull How can Flyers get Ryan without including Couts or Schenn?
343198022_215950126299103232 x	@BroadStBull @MattMiller120 Sam, How  does Nash reject the Flyers,as rumored? One of the best organizations in all of sports
343198022_215948634339033088 x	#TSN Darren-how in the world does Nash reject Flyers- one of the top places to play in NHL ? IS it the coach
343198022_215932992827297792 x	Darren Dreger @DarrenDreger  How in the world would Nash reject the Flyers-one of the best organizAtions in all of sports?
343198022_211492417336123392 x	Samcarchidi@BroadStBull -Sam, What are the chances of Flyers signing any of the following-Prust,Konopka,Carkner or Paul Guastad?
343198022_209725519158198272 x	RT @HighCheese: From this week's SportsWeek: why Phillies fans shouldn't worry about Cole Hamels leaving via free agency: http://t.co/AE ...
343198022_208221522953912320 x	#WhatWillDetroitDoNow-Best ever?I'm stills big Bobby Orr fan.
343198022_205809201296052225 x	Caplannfl-Adam,Stafford or Newton in fantasy draft?
343198022_202462351025381377 x	@Buster_ESPN -Philly talk shows talking about Youk. for Blanton. Probably no, but interesting talk.
343198022_198069739447255040 x	Rotowire- other then Manning,I believe B. Lloyd & D.Ryans will have great effects in new places.
343198022_197396339271806977 x	@phillysport @highcheese -Why not Diekman?
343198022_197393573358997505 x	@Seth_Everett - Seth.how do compare the hockey atmosphere In Philly,compared to that In Newark? (lol)
343198022_196317708265062402 x	@michaelombardi  feel the same way! Will see him at CBP on Sept. 2
343198022_196029034700869632 x	@RamsesNYG Very classy-  Pilly fans wouldn't boo you - because they wouldn't knnow wh you are
343198022_195904904731176961 x	Everett@Seth_Everett  Can't wait to hear you spout love for Devils& spew your hatred for Flyers on Eskin tomorrow.
343198022_195903798538018816 x	RT @Seth_Everett: The tweets so far from Flyers fans have been a lot of fun so far. I love the rivalry & can't wait for it 2 start.  ...
343198022_192701205649162240 x	RT @CSNPhilly: Let's show Pittsburgh how much we mean business by getting the entire city of Philadelphia to RETWEET this. GO FLYERS!! # ...
343198022_191091927624593408 x	http://t.co/ctD7E5i1 It seems to me,that both the Pgh.writers and players are blaming everything on mistakes not giving the Flyers the cred
343198022_190856460559859712 x	@tmcgarvey83 @ryanhoward @jimmyrollins11 @shanevictorino @philaphillies @phillies @csnphilly Still miss him everyday the Phils play.RIP.
343198022_190561765770268672 x	RT @nastyflyergirl: @ROn8188 @tpanotchcsn Rinaldo does that to Sid and we would see a lifetime ban and deportation lol
343198022_190496125516652544 x	Brendan Shanahan@NHLShananan.com-you have made a mockery of suspension rules once again.Watch Weber's intent-NOTHING ELSE!!!!
343198022_189093160041984001 x	High cheese-why did they pitch to MCUtcheon-Pitt best hitter-2 bases open-2 outs- because Walker's left handed-RIdiculous!!!!!!
343198022_189091387260669952 x	Magelb Why did they pitch to Mccutcheon  - Pitt's best hitter-2 bases open?
343198022_188738793476599809 x	@tpanotchCSN -Minus all of those players - bustin their humps out there!! That goal wants to make one puke
343198022_188737305811501056 x	@tpanotchCSN -Just terrible !!!!!!
343198022_188730532023123968 x	@BroadStBull Question- What in the world was the thinking of Lavvy?  Harry Z. dropping gloves with Vitale?  Our retaliation on Vitale?
343198022_188619126107934721 x	@Buster_ESPN Hey,Buster,- stop dreaming about Hamels in Dodger blue. Everything you write is negative about the Phils and Hamels..
343198022_185733835034603522 x	Caplannfl-sorry,didn't think first one went through. Why so touchy to one of the original subscribers to http://t.co/d0i9eOCS
343198022_185729400216625153 x	@caplannfl -Chances of Plax to Eagles
343198022_185728401909350400 x	@caplannfl -Adam, Odds of Plaxico to the Eagles?
343198022_184972288217710592 x	Buster@espn- We all know you are drooling over Hamels in LA blue-aint happening -sorry Bustera
343198022_184635531223764993 x	#nosoxbias-No wonder he's always gushing& hoping that Hamels goes to free agency & signs with Dodgers.
343198022_177141724081168384 x	@Buster_ESPN You almost sound giddy about Hamels leaving Phil's.Check their new TV deal in2015.Do you really believe they let him go??
343198022_172887205671481346 x	@tpanotchCSN - do not agree - I think LA would take JVR for Brown in a minute. Much greater upside for team that needs scoring.PHI wouldn't.
343198022_171794147097845760 x	Hockeyyinsider-new follower-so much negativity-I'm big Flyer guy-any chance of goaltender trade?
343198022_171369052403544064 x	#FullContactSo many bad goals almost looks like he's surprised on most of them-deflates team very badly.Keep big mouth shut
343198022_171368188691480576 x	RT @CSNPhilly: Bryzgalov thinks fans need a scapegoat and implies it is him. Any truth? Too much blame on the goalie? Reply be part of # ...
343198022_167671368786255872 x	@HighCheese What if someone had said"Black boy wasted" -Just wondering.
343198022_167670887183687680 x	RT @HighCheese: Really, America? We're offended by White Boy Wasted now? RT@ProFootballTalk: Jalen Rose apologizes for calling Gronkowsk ...
343198022_167670410031284224 x	#cbsphillyTell Seth to wear his Giants Superbowl hat and his Devils jersey when he talks Philly sports.
343198022_166657700116172802 x	@Buster_ESPN  CLassiest player in MLB -Streaky-yes-Productive-No
343198022_166656888249913344 x	RT @Buster_ESPN: Ibanez was very productive hitting in PHI last season, http://t.co/m4J9pL1C' and as a lefty hitter with power, he'd lov ...
343198022_166196524156583936 x	@Seth_Everett  How can you give out biased rooting opinions,and expect people to respect your views when discussing things on the air?
343198022_166206109445664768 x	@Seth_Everett Root for anyone you want,but it doesn't come across as professional when you openly root & gloat against a team,& go onWIP
343198022_165906176293355520 x	@Seth_Everett  Seth, You can't voice your personal hatred toward a Phila. Team ( Flyers),and then come on WIP,KWY,CBS,etc.and  M
343198022_165904788616253442 x	RT @Seth_Everett: Phew. 3 in a row. No more trash-tweeting 4 me 2day.
343198022_165889738270711808 x	#Spreecasta and you dare to come on Philly radio as a regular ? Way to build a good rapport,Seth.
343198022_152589408145641472 x	RT @stillblazingtho: A Penn State student just passed away the other day, her dream was to trend on twitter. Please RETWEET.  #FlyHighGaby
343198022_132539162510372864 x	#Cubs
343198022_114580327762116608 x	@Buster_ESPN - You show  hate for  the Phillies  by overall,ignoring them [ compare how many tweets you give them to the Braves,Bos,Yanks
343198022_110746129058111488 x	Why do you enjoy busting on Phillies fans? Is it because you can't bust on the Braves "fans" - who show up as empty seats each game?
343198022_109618942552715264 x	@Buster_ESPN - anything on Bastardo's record setting performance this year? check his stats- However,he's not on the Braves
343198022_109090558533832704 x	@Buster_ESPN -Thanks for the usual "great news" update on the Braves - as usual nothing on the Phillies
343198022_109090020190715904 x	RT @Buster_ESPN: The Braves did a nice job today in adding depth -- first Matt Diaz, and now Jack Wilson.
343198022_106223970973515776 x	Craig,  On your loving to give to Phiiies fans. Why,don't you instead,give it to your Atlanta fans,who show up as empty seats every night.
343198022_106222358955687936 x	Angel Pagan has?colitis http://t.co/RYYIp30 via @HardballTalk
343198022_97419795150012416 x	@Buster_ESPN  and we all know that you beleive that ,TOMAHAWK OLNEY
343198022_97293386469478401 x	@Buster_ESPN  As I mentioned before,you are the frontman for ATL. I always feel caught up on  the Braves after each of your tweets
343198022_96729115557761024 x	@Buster_ESPN' Bu ster,the perception in Philly, is that you are anti-  Phillies and very pro-ATL.
343198022_96733065648406528 x	@Buster_ESPN  Who else,in tne weak NL,would you have chosen? I'm not saying you are anti,it's just the overall perception around here.
343198022_96686136780521472 x	RT @francisband: - It's a Wednesday night party tonight at Caffe Luciano's in Longport, NJ 9pm show! Get more at www.francisband.com!
