464048486_394137036296187904 x	@Mainzey7 haha touche!
464048486_394501724918272000 x	Fun time hanging out with @BakesTakes84 at Wembley #NFLUK @UKFirstTake meets @team1040
464048486_394433697375846400 x	RT @Owain_Thomas: @UKEndZone Any chance of RT. Mate can't make 9ers v Jags as wife due to give birth so have spare ?35 ticket - only want f?
464048486_394421509202386945 x	@CoachMarvRake @OllieUKEZ draft is 11pm sorry fella forgot time difference.
464048486_394422638594248704 x	@Mr_Sam_Brown @CoachMarvRake @OllieUKEZ I believe Sam you just might tip Kyrie Irving :-) #InsideJoke
464048486_394410736061251584 x	@EllieAtWHL @nfl just heading there myself after a spot of lunch
464048486_394409660608184321 x	RT @HockeyTweep: ?Hockey follow train?  ????????  RT this?    Follow everyone who RTs this?  Gain followers?  Meet some awesome hockey fans?
464048486_394405304622149632 x	"@UKNFL: GAMEDAY. NFL FANS ASSEMBLE?ROLL-CALL, who?s down at Wembley today?" im there representing @UKFirstTake
464048486_394406964987703296 x	@Shaun_JC @UKNFL @UKFirstTake most definitely
464048486_394404019634196481 x	@bryanmullin @990atBarlows @barcabaggies right call just a shame it ended a game....lots of life in this series yet
464048486_394396801966813184 x	@SianWeather any idea on when this is likely to hit London and Kent?need to get home tonight after the NFL on the train. Hope you are well
464048486_394399633063313408 x	@SianWeather thanks Sian hope to be home before then
464048486_394396547515158528 x	Off to #Wembley for the #NFL but first a cheeky lunch @BodeansBBQ at Tower Hill #NFLUK #Gameday
464048486_394395932273680384 x	Amazing job this week @Laura_Oakes @Union_Jax @ROARoftheJags @jaguars @JaxsonDeVille in growing the brand & the growth of the #NFL in the UK
464048486_394387951897292800 x	@Jono_Hartles yeah sounds good...lets make this happen! @ollieukez
464048486_394389757733928960 x	@Jono_Hartles @OllieUKEZ I could do late night my time on either day & definitely need to get you on @UKFirstTake I am pumped for the #Bulls
464048486_394390595625832448 x	@Jono_Hartles @OllieUKEZ @UKFirstTake definitely with Dunleavy, Gibson, Hinrich and Snell. This team has a legit shot at #NBA title #Bulls
464048486_394393359064006656 x	@Jono_Hartles Rose is also knocking down the 3?.Taj had 14 and 7 pre season?.and needs to carry that over.
464048486_394387696082497536 x	RT @HuddsHeat: HEAT ANNOUNCE PLANS FOR 2,500 SEAT SPORTS ARENA  Full link to the breaking story on @Hoopsfix   http://t.co/tGs6jrwm7D
464048486_394387160130138112 x	RT @Jono_Hartles: Make sure you check out @UndisputedSport preview of the biggest games the NFL has to offer this week! #NFL  http://t.co/h?
464048486_394386972653142016 x	@emmathomas_96 there will be spares around I'm sure if you could still go.
464048486_394184924078825473 x	@oysterman55 @volshy @JamesWard80 loving the history lesson ;-)
464048486_394372677701754880 x	@BakesTakes84 #GameDay just having a coffee and then time to start getting this day going
464048486_394385219576692736 x	@BakesTakes84 Tower of London is great?hope your wife is enjoying the trip as well.
464048486_394374926322659328 x	RT @UKFirstTake: Record number of downloads yesterday, thanks so much for your support....please RT to continue to spread the word #MLB #NB?
464048486_394372464203296768 x	@OllieUKEZ #LetItGo :-)
464048486_394372042818355200 x	RT @BakesTakes84: Hey #YourMajesty, how many points will the Niners win by tomorrow? #UKNiners http://t.co/dEf9BJt6xQ
464048486_394371421238853633 x	@Laura_Oakes it is going to be great...can't wait for today!
464048486_394226800102236160 x	@danidelavega 49ers should win?.going to be very interesting?I can?t wait to be there..both myself & @OllieUKEZ from @UKFirstTake are there
464048486_394206342598373376 x	?@RangersFan_5: Poor Tebow... http://t.co/SdX1Da4gUh? thought you might like this @OllieUKEZ
464048486_394204425285533696 x	Will be at Wembley tomorrow for the NFL game?looking forward to meeting many NFL fans and hopefully some listeners of @UKFirstTake podcast.
464048486_394205599812304896 x	@davidlionssmith should be a great day!
464048486_394202398677536768 x	@ALEXNYGIANTS @UKNYmet haha :-)
464048486_394201934842060800 x	@ALEXNYGIANTS @UKNYmet nope never?.never had a raspberry either :-)
464048486_394201501679484928 x	@ALEXNYGIANTS @UKNYmet I hadn?t even heard of it
464048486_394201163887030272 x	@ALEXNYGIANTS @UKNYmet still not using :-)
464048486_394188694954840064 x	@theclairebear23 @LJ1303 haha habit Claire :-)
464048486_394191332937572353 x	@LJ1303 @theclairebear23 :-) already looking forward to next season at Wembley
464048486_394191879639928832 x	@theclairebear23 @LJ1303 taking off 3 days before and a day after the game?going to be a great week.
464048486_394183638113595392 x	@LJ1303 won?t see the game love tomorrow due to Wembley game but will boo loudly from the stands when Pats score is shown if they lead.
464048486_394187907839590400 x	@LJ1303 I can make a case for us winning the game but we have to play at our very best.
464048486_394182827925065728 x	@LDNSummerLeague hope you get the sponsors lined up?would happily work the tournament again with Neil. Podcast is really growing at my end.
464048486_394187289251053568 x	@LDNSummerLeague for sure and cheers mate
464048486_394184093166235649 x	@SBMedia28 hope you enjoyed it, missed out on ticket would have loved to have been there.
464048486_394184709871513600 x	@SBMedia28 great stuff?.if your around for a hello tomorrow let me know mate
464048486_394185755368914944 x	@SBMedia28 I need to get one of those shirts?will try to get a long to one of those games.
464048486_394184387753164800 x	@PullingLinemen @FredTheGur fantastic stuff! Well done!!! @SBMedia28
464048486_394185427860852736 x	@FredTheGur @PullingLinemen @SBMedia28 hope you all enjoy the game tomorrow?can?t wait!!
464048486_394182656600309760 x	@LDNSummerLeague I?m not as I?m at the NFL instead?.when you are in London another time, let me know we will catch up.
464048486_394181354793230336 x	@LDNSummerLeague yeah we will sort out something soon?how are you doing?
464048486_394140176576184321 x	@CoachMarvRake @ollieukez 10pm UK time
464048486_394135151590252545 x	If you like a US Sports Podcast, please give mine a try @UKFirstTake or http://t.co/aMIStnLiXo  We talk #NBA #NHL #MLB #NFL #NCAAFB RT Plz
464048486_394107250522214400 x	@jessicakothe how are you enjoying the trip?
464048486_394106594486939648 x	RT @MLBProductions: 27 yrs ago, the #Mets made history. Followers to RT eligible to win 1986 #WorldSeries G6 DVD: http://t.co/LCmcczEVOh ht?
464048486_394106553835749376 x	RT @KennethTherrian: Check out the new post by @SportsProphet1 on http://t.co/XJyzZ1aIoc The Lost Art of Baseball http://t.co/zsBgv0y0Wg
464048486_394084626240921600 x	RT @DanLouw: Might have a spare for the NFL Wembley game tomorrow. Let me know if you want it? Very decent seat. Face value. Laaaverly.
464048486_394083003359842304 x	Big s/o to my good friend and future basketball star @KendalJohnson11 give the guy a follow
464048486_394081883455500289 x	Currently sporting a beard for the #RedSox and for my mate @Ollieukez #WorldSeriesFacialHair #FearTheBeard
464048486_394080623742451714 x	RT @UKFirstTake: Thanks everyone for your support, 1000 followers achieved...lets get the next 1000 and keep spreading the word of the podc?
464048486_394079758579154944 x	@msitkoffNHL as an #Avs fan I am over the moon by this start.....when does it end??
464048486_394079164858638336 x	RT @MrsDraWoo: @droseuk36 Here's my piece on The Great Quarterback Conundrum for @uk_sportsfans Hope it's worth a read and RT! http://t.co/?
464048486_394062042900213760 x	RT @UKFirstTake: If you would like to play #fantasybasketball , please send us a DM to join our league. Please RT and spread the word.
464048486_394053883808743425 x	@neilhorsey @nbauk be very interesting to see what happens
464048486_394044690288615424 x	@SuzeMars hope you are enjoying your travels so far @matthewlumby
464048486_394037066595844096 x	RT @UKFirstTake: Who wins tonights Game 3 of the #WorldSeries RT for #RedSox or Fav for #Cardinals #MLB #MLBFans #MLBPostseason #MLBonFOX
464048486_394036350707830784 x	RT @Pearcesport: For sports news aficionados --"@iSportconnectTV First ever weekly round up with @Pearcesport @ashlingoc @NigelCurrie http:?
464048486_394036326246678528 x	RT @iSportconnect: James Pearce presents 1st 'Weekly Round Up' with Ashling O'Connor, The Independent columnist &brand guru Nigel Currie ht?
464048486_394036248069042176 x	@nclarke1899 that seems like ages ago
464048486_394031805256331265 x	RT @UKFirstTake: Help us get to 1000 followers please by RT this message, we would really appreciate it. #NBA #NFL #MLB #NHL #WorldSeries #?
464048486_394022886190907392 x	@KendalJohnson11 sorry man I had an early night
464048486_394022792905388032 x	@swecookin @BakesTakes84 Of course he will have a great time?will be catching up with him whilst he is here
464048486_393862603669520384 x	@maceinspac3 haha I'm like that with cookies....way too good...i miss american cookies!
464048486_393864496948998144 x	@maceinspac3 way more variety in the US......need to treat myself when I am there.
464048486_393864193319133184 x	@hankandlucysdad have a great time...ill get there one day :-)
464048486_393863195087360000 x	RT @redgirlang: @droseuk36 Haha! Cake rocks! :-)
464048486_393862328204398592 x	@redgirlang haha I can only imagine....#FavoriteWordIsCake
464048486_393857785953153024 x	@UKNYmet I better change the food order for sunday haha @cdaley20 @emily_barrett
464048486_393856306278592512 x	@UKNYmet HAHA not sharing a dessert then? I'll ask for 2 spoons :-) @cdaley20 @emily_barrett
464048486_393855841549701120 x	@cdaley20 @emily_barrett @uknymet and I will be descending on NYC together for the first time in the future...fun times!
464048486_393855050873061376 x	If you like a US Sports Podcast, please give mine a try @UKFirstTake or http://t.co/aMIStnLiXo We talk #NBA #NHL #MLB #NFL #NCAAFB RT Plz
464048486_393852775949688832 x	RT @NotMackinnon29: Another jersey giveaway!! A lucky retweeter could win this classic jersey #Roy http://t.co/uisr7HukNa
464048486_393850958624854016 x	RT @UKFirstTake: Gortat on his way to the #Wizards it seems. Good move?? #NBA RT for #Yes or fav for #No
464048486_393850946125840384 x	RT @DolfansUK: Anyone interested in a brand new reggie bush jersey for a cheap price? Good way to rep the dolphins at the ball game. http:/?
464048486_393835481039134720 x	@CoachMarvRake maybe ill take care of Jeff Green this time ;-)
464048486_393835395378855936 x	@CoachMarvRake haha trash talking....i'll let you know later mate....just trying to tidy up some stuff...if I can fit in a game I will.
464048486_393833376828096512 x	@OllieUKEZ http://t.co/Z0b47Isv2z
464048486_393831307475943425 x	@UKNYmet haha speak for yourself :-) @cdaley20 @emily_barrett
464048486_393830780277129216 x	@UKNYmet does this mean I have start feeding him again as he is no longer on retainer? @emily_barrett @cdaley20
464048486_393830317968338945 x	?@LaurD123: Ellen is giving tickets away to the World Series on her show.? is she giving away plane tickets as well?
464048486_393811939219865600 x	@BakesTakes84 welcome to London mate!
464048486_393829968436027392 x	@BakesTakes84 we will treat u well.
464048486_393829524032720896 x	@UKNYmet how dare u bump my cat as one of your references...it will hurt his feelings lol @emily_barrett
464048486_393827441422368768 x	@UKNYmet haha @emily_barrett
464048486_393829370085015553 x	@emily_barrett yeah @uknymet is catching up on that front haha
