117909186_395724832601432065 x	@Kembo_Slice literally dying. ???
117909186_395334398801088512 x	my 23lb pumpkin ? http://t.co/WVPra2cqBe
117909186_395332536710090752 x	I'm surprised they don't have uggs or north faces the color of pumpkins. #whitegirlproblems
117909186_395329598172299264 x	carving pumpkins tonight.. need some cool ideas. have previously made a phillies one, a JoePa one & eli manning!
117909186_395331807190593536 x	the inside of my pumpkin already looks like him... RT ?@joepapsu1: @magic_of_macy Chip Kelly?
117909186_395326925755146240 x	#fall #glasses #selfie #scarf http://t.co/LRBwjjNZAV
117909186_395320265993101313 x	The #nba is back!
117909186_395319463329165312 x	living the american dream.
117909186_395319267396419584 x	when my brother takes telemarketing calls... ?????
117909186_395267423827275776 x	@redlog13 "JoePa turnt up" #comical http://t.co/nvvr6f8NHd
117909186_395253226116640769 x	Reese says Giants can make playoffs..."we're gonna make the best of it. Things could be worse." #ESPNTEXTS
117909186_395241981448032256 x	RT @BlackSheep_PSU: Remember, Tim Beckman came to State College and tried to recruit our players away in the parking lot #IllinoisHateWeek
117909186_395239426025979904 x	so cold. can't wait to be in the gym sweating.
117909186_395236304256249856 x	RT @BearPascoe: I'm autographing a free pair of #JustinBoots for one lucky follower. RT this tweet and follow me and @JustinBoots to enter ?
117909186_395236118842859520 x	RT @ChrisDuPrau: #NYGiants making the playoffs?!?!  To quote #LeeCorso #NotSoFastMyFriend http://t.co/RJ3REO8b0X #NFL
117909186_395208607559864320 x	if one more person says something negative to me about penn state's performance this weekend I will flip... into a back handspring. -__-
117909186_395194178982137856 x	RT @GregPickel: Joe Battista will leave Nov. 8 and begin job w/ Pegula's East Management Services Nov. 11, a month to the day that PIA open?
117909186_395191791328436224 x	when I'm sick, all I want is mcdonalds.
117909186_394977484472856576 x	game 5.
117909186_394978852088594433 x	soxs RT ?@TommyLicurgo: @magic_of_macy who ya got??
117909186_395181466008961024 x	I wish I knew that..! RT ?@TommyLicurgo: @magic_of_macy good picking! Now can you guess the power ball numbers?!?
117909186_395011160074104832 x	nyquil type of night.
117909186_395008680074412032 x	@rglack456 would be perfect
117909186_395004875626790912 x	RT @AAdams726: @magic_of_macy aren't sixers tickets always like $20 tho? Since, ya know, they are pretty much ?
117909186_395000306003877888 x	really want to go to the heat/76ers game tomorrow... anyone have the hookup?!
117909186_395004821578981376 x	@AAdams726 not against the heat doe.
117909186_395001585614737408 x	Love RT ?@I_aM_RoBy_: 5 o' Clock In The Morning- T-Pain?
117909186_395001454349791232 x	this is fabulous. thx for sharing RT ?@kidmammoth: @magic_of_macy have you seen this yet? http://t.co/0hrf9KRnD6?
117909186_394989653012791296 x	This... RT?@NFLONFOX:Philadelphia bar has banned Eagles games from the bar's TVs until Michael Vick is off the team. http://t.co/29kxShYuaJ?
117909186_394988935082172416 x	RT @WhiteGirIs: *kourtney kardashian voice* literally mom you?re being so rude
117909186_394988820997099520 x	@zFleags seriously, how awful was that?!
117909186_394983663513108480 x	RT @redlog13: nap time with a friend http://t.co/tJHnmfpvAl? @magic_of_macy
117909186_394983614460751872 x	So lucky to hang with these guys yesterday @KennyAlbert @DarylJohnston #NFLonFOX http://t.co/iO1Vsp4voJ
117909186_394981068983771136 x	RT @thedupesnet: Our #NFL insider @ChrisDuPrau is 9-3 on the week vs. the spread.  Check out his #MNF pick #Seahawks -#Rams http://t.co/uyQ?
117909186_394972692522475520 x	feeling so awful. #ugh #sinuses #bed
117909186_394951495298215936 x	no heart.no chance.
117909186_394939892247318528 x	RT @thedupesnet: Our #NFL insider & #NYG fan @ChrisDuPrau is glad the #Giants have won 2 in a row, but isn't sold on a playoff run yet http?
117909186_394846625673117697 x	lucky lips.
117909186_394833311111315456 x	RT @Kembo_Slice: Carpe Diem.
117909186_394808354977353728 x	RT @DeionSanders: Let's Add & Subtract 2day. Add the things that brings U Peace,Joy & Laughter & Subtract the things that Hinders,distract ?
117909186_394717987191930880 x	If you are wondering, Penn State men's soccer replay is on the @BigTenNetwork right now.
117909186_394709342257430528 x	holy cow, sorest throat ever. it hurts so bad it was enough to wake me up.
117909186_394647170252800000 x	#StandUpToCancer gives me the craziest goosebumps every time. #WorldSeries @MLB @FOXSports
117909186_394649029155778560 x	@DJS47 thank you!
117909186_394628946152521728 x	homeland.
117909186_394611125708263424 x	only team in the NFC EAST to win today: #GIANTS
117909186_394609833112268800 x	I could get use to seeing this every Sunday. #dreamjob #gettingcloser http://t.co/XR6fUJCX8F
117909186_394608803775123456 x	Nov 10... Raiders @ Giants. Who wants to go? I know @McGloinQB11 wants to see my face....
117909186_394605943256023040 x	we should let @MikeFOX29 be the judge of that :) RT ?@KacieFOX29: @magic_of_macy ur the cutest xo?
117909186_394600922976096256 x	I love when RGIII is laying in the dirt.
117909186_394593873626165248 x	check out our cool cake from last nights party! #halloween http://t.co/IprEsf7Se9
117909186_394572140990566400 x	bathroom selfie. #giants #eagles #whoops #privateboothbathroom http://t.co/ZLbjahZ5oq
117909186_394567324805890049 x	RT @JustinPugh: Turnpike North....with the WIN!
117909186_394566803541598208 x	eagLOLes
117909186_394553346612133888 x	when the giants beat the eagles, I'm a really happy girl.
117909186_394548936855142400 x	seeeeya eagles fans.
117909186_394540237864833024 x	A lot of boos here in Philly! #giants #eagles
117909186_394526429675024384 x	my moms text to me.... " we borrowed binoculars so we can watch you in the booth." ????
117909186_394516575283593216 x	the #giants need to meet up with the endzone.
117909186_394509720968769536 x	go giants! http://t.co/OxQrQ4hOwg
117909186_394504893782032384 x	Kenny, moose & goose. NFL on FOX. http://t.co/Re63M4L1rE
117909186_394495923294052352 x	she's my type of girl. kaciemcdonnell http://t.co/qTUwF5laFF
117909186_394489619385159680 x	good morning philly! #gogiants http://t.co/nHY8XH0Iy9
117909186_394482199573319682 x	a lot of blue & red in Philly today
117909186_394444422961979392 x	woke up with my hair & makeup still looking perfect from last night. #boom
117909186_394440937973112832 x	8am got here wayyyy tooooo quickly. heading to Philadelphia... #eagles #giants
117909186_394341096052244480 x	happppy half birthday to meeeeee
117909186_394311166430035968 x	I get it from my daddddddddy http://t.co/HcNDaYtER3
117909186_394310636228075521 x	???? http://t.co/r8rHrL93K2
117909186_394309420743950336 x	dad & I breaking it downnnnnnn. http://t.co/2UrKuqD4UF
117909186_394309267270160384 x	Penn Staters, we can worry about the loss tomorrow. Party tonight, have fun & be thankful for all we have!
117909186_394292295199379456 x	come on lions
117909186_394267364994588672 x	lady gaga is at my halloween party. how's your night going?
117909186_394271042933624832 x	here ya go! RT ?@kidmammoth: @magic_of_macy pictures or it didn't happen...? http://t.co/LkfufxwMKR
117909186_394254546534277120 x	WE ARE! PENN STATE!
117909186_394246526647939072 x	I found #JoePa http://t.co/MSgaycexu8
117909186_394231631772667905 x	? penn state http://t.co/tnqwAS7nxP
117909186_394228434823811072 x	another view, another hint. what am I? #halloween http://t.co/dl5oNpVoiu
117909186_394227694571102209 x	guess what we are....! http://t.co/KmhITbABRq
117909186_394208168055959553 x	transforming.
117909186_394183113599107072 x	RT @JustinPugh: Turnpike south.
117909186_394172443860160512 x	RT @AwkwardState: w8... wat the fuk is a buckeye?
117909186_393543955067174912 x	@seanrsimons I just wouldn't vote. #Badcitizen
117909186_394154860121440256 x	wearing my blue & white while coaching my favorite kids! #pennstate #soccer #yms http://t.co/GU3YrIqT3D
117909186_394113126507233280 x	disappointed in @CollegeGameDay turn out today. #PSUvsOSU would have been sooooo much better. ????
117909186_394114855172833280 x	@joepapsu1 no excuses
117909186_394104493954330624 x	protein shake delivered to me this morning... breakfast in bed.
117909186_394094472793190400 x	RT @CollegeGameDay: Penn State is the only team with multiple roads wins at Ohio State in the last 10 years.
117909186_393930935764549632 x	shut the front door... RT ?@KillAllSimps: First Kanye has a Kardashian... Now Drake got one http://t.co/n0q1Yvv3jk?
117909186_393929576981987328 x	RT @CuteEmergency: Miley cat. http://t.co/TyzL9R07t1
117909186_393902025190412288 x	@JohnKaminski I was in there for a tour, not a game. absolutely beautiful.. photo shoot there? ;)
117909186_393926195748040704 x	@JohnKaminski nah but I've seem some great hockey inspired shots.. I'll send em your way.
117909186_393924910726520832 x	definitely not a puppy anymore! #cooper http://t.co/QXuc6L7Kgz
117909186_393919582026866688 x	phone battery is at 14% and all I can think about is @chackenberg1 #UpsettingOhioState tomorrow
117909186_393863725276741632 x	Urban Meyer pees sitting down. #OhioStateHateWeek
117909186_393839151277424640 x	frozen strawberries doe.
117909186_393839794918539264 x	@PSUBoomboxGuy losers who tweet girls all day doe.
117909186_393840019854864384 x	@PSUBoomboxGuy #girlpower
117909186_393812375994114048 x	hard work & dedication. two important staples of life. #gym #workout #healthy #makingchanges http://t.co/InLdIRdfSy
117909186_393772936253169664 x	RT @thedupesnet: After the mine field that was week 8, what does week9 hold in the #Pac12, #SEC & #AAC? @Dux4Ever23 breaks it down http://t?
117909186_393772902073765888 x	RT @Dux4Ever23: Give these great writers of @thedupesnet a follow. @magic_of_macy @ChrisDuPrau @theOriginalDuff @FlatzJason @FantasyFocused?
117909186_393772876647923712 x	Christmas is in 2 months from today.
117909186_393747312021094400 x	No, just a true fan. RT ?@HeatSeason: "@magic_of_macy: giants jersey at work. #happyfriday"did you lose a bet? Lol?
117909186_393731527592251393 x	giants jersey at work. #happyfriday
117909186_393714973308108800 x	@patmuldowney welp. #awkward
117909186_393714182778261504 x	real housewives of beverly hills marathon.. I could stay in bed all day.
117909186_393573645375008769 x	@realjknoxville on #WWHL ? #BadGrandpa
117909186_393571006037917696 x	how long until tyrice's  "roll up in my face" becomes a rap song/vine/meme #ScrubbingIn
117909186_393565839615856640 x	RT @richmacleod: When I think Carlos Beltran, I think soft.
117909186_393558317739409408 x	Scrubbing in
117909186_393557683724644352 x	I just want to go back to the gym.
117909186_393556500482129920 x	RT @HEELZiggler: on a date, watching the #WorldSeries   ....so far, scoreless ?
117909186_393556190263001088 x	Terno! RT ?@F55JimHillock: @magic_of_macy ..... I say Joe Pa.  You say Terno....   Joe Pa!?
117909186_393552320241602560 x	@Mr_Spacely8 @Kentdavidjensen wait you guys are friends? #smallworld
117909186_393552811298156544 x	Ouch man... #practice RT ?@Kentdavidjensen: @magic_of_macy @Mr_Spacely8 #Stacey hasn't beaten me in #Madden in over a year now.?
117909186_393475715691470848 x	no one understands my #IronLion shirt at the gym.
117909186_393552712027373568 x	@F55JimHillock I'm glad someone does!
117909186_393552138011693056 x	now that this game is over I can be a hockey fan again. #Flyers #Rangers
117909186_393536030844157952 x	#tbt when I ran into kids who had nothing but pillow pets on.. #halloween #psu #meow http://t.co/KJwgh4PRHN
117909186_393538588090327040 x	@Paige2psu I call everyone kid lol
117909186_363810278820954112 x	AROD up to bat, guys in the front row are chanting Jeter... Lol
