439971614_400030981991571456 x	@donovanjmcnabb Dorsey must be crazy!
439971614_379213126123917314 x	RT @Pro_Hunt58: Wake up Eagles nation it's time to prepare for the battle.Time to prepare for the hunt. #EAGLENATION #SDvsPHI #hunting #hun?
439971614_379042243761700864 x	@Ike58Reese there should be penalties for begging!
439971614_378921436687400961 x	@Bighugh53 believe its Rocky's down....#ifhedieshedies
439971614_378676740048302080 x	@BigDaddyGraham Little drummer boy w/Bing Crosby
439971614_378557653787869184 x	@MrMcMillionaire @jb_yall @BigcatJRaft @RyantDolan solid!
439971614_378487622672609281 x	@KNegandhiESPN @RadioSyheem keep ya head up.  How do you want it.......
439971614_378345122838351872 x	@LisaHillaryTV why would you go to Anaheim for hockey!
439971614_377160916749787136 x	@Ike58Reese http://t.co/UgupNfcWSF ready for tonight!!!!!  Raaaaaaaahhhhh!!!!
439971614_375827174189989888 x	?@bustedcoverage: VIDEO: The Broncos cheerleader bending over for NBC's camera http://t.co/ly30ZZsjRu? @RyantDolan how did we miss this?
439971614_375821596096995328 x	Love that the zebras are letting em play! #RealFootball
439971614_375715533729300480 x	@TheRock Help me! Trying to win $2000, need you to call @MikeMiss975 radio show in Philly! Most famous celeb wins! 215-263-0975.#BeAHero
439971614_375039645098459136 x	@bmclaughlin0314 get away!
439971614_374951249462181889 x	@Harrison_NFL what's up with the dig at Philly in your power rankings!  Always So easy for you national guys to take a shot at us. #creative
439971614_374953237826121728 x	@Harrison_NFL it never gets old! Although I so despise Joe Carter.
439971614_374938077955096576 x	1 push-up fresh off the IR. #fitforflightRBDC
439971614_374267095317770240 x	RT @RoobCSN: Eagles drafted 94 players from 2003 through 2012 and four have made a Pro Bowl (Andrews 2, Cole 2, DeSean 2, LeSean 1).
439971614_373967286203613184 x	RT @BrianDawkins: The most HYPE entrance in Football  @Clemson_Tigers Death Valley!!!! #aaaaaaaahhhhhhhh
439971614_373958865374965760 x	@BenRevere9 Tigers taking it Kid!
439971614_373483374612316160 x	@Jeff_McLane @caplannfl Nooooooooooooooooooooooooooooooooooooioooooioooooioooooooooooo!
439971614_372881435080024064 x	@TonyBrunoShow @SeanBrace975 @KeithOlbermann @975TheFanatic @JonandSeanShow Heizenberg!
439971614_370950820701159424 x	@MrMcMillionaire @RyantDolan @EKonop83 @KDolan02 @jb_yall @Gutter26 mint julips
439971614_370718027035463680 x	@RyantDolan @MrMcMillionaire @KDolan02 @EKonop83 @jb_yall @Gutter26 @DFalc52 ready to go! #NOLA http://t.co/4OElwiNv9T
439971614_369410516172566528 x	@MrMcMillionaire @KDolan02 @EKonop83 @jb_yall @RyantDolan @Gutter26 well....5 days. #NOLA #kurtLoder
439971614_370326087337005056 x	@MrMcMillionaire @KDolan02 @EKonop83 @jb_yall @RyantDolan @Gutter26 upgrade 1st Class to NOLA! #MVP #boss http://t.co/MC7N2NCYmY
439971614_370294157841281024 x	@RyantDolan u still blocking me bro
439971614_370267881214578688 x	@MrMcMillionaire @jb_yall @RyantDolan am I still blocked
439971614_369971543616786432 x	@AndrewHammack you got hacked
439971614_369869300053860352 x	@JottieB there is a girl named Harper that would love to join you!
439971614_369856816395878400 x	@JohnKincade I'd rather go in a different direction altogether but he initiated this competition and Vick won.
439971614_369858812813250561 x	@JohnKincade who you got winning PCL this year, money on Prep....Roman grad myself.
439971614_369856504532570112 x	@JohnKincade how can you fault Chip for making a decision based on play in preseason.  He has played better than Foles...bottom line.
439971614_369442239279165440 x	@MrMcMillionaire @KDolan02 @EKonop83 @jb_yall @RyantDolan @Gutter26 so damn hot!
439971614_369808872237957121 x	@RyantDolan @EKonop83 @MrMcMillionaire @KDolan02 @jb_yall @Gutter26 you guys are lame right now!  4 days!#Relentless
439971614_369815569614512128 x	@RyantDolan @EKonop83 @MrMcMillionaire @KDolan02 @jb_yall @Gutter26 it's gonna be a Schmidtshow! #playingfor2nd
439971614_369588697920204800 x	@Bighugh53 always welcome here no matter what! #birdgang
439971614_369418913190129664 x	@clmsteve @WIPMorningShow craziest thing I ever heard.  Can't believe you retweeted that!
439971614_368783165042614274 x	@RyantDolan @EKonop83 taking a smash at the ale house! Awful.#rookie
439971614_368560035334344704 x	@MrMcMillionaire @EKonop83 1st dude asleep....@RyantDolan ....sleeper pick#droppingmollies
439971614_368574658875887616 x	@EKonop83 @MrMcMillionaire @RyantDolan only dirtballs know that!
439971614_368576027968024576 x	@KDolan02 @EKonop83 @MrMcMillionaire @RyantDolan RB&V's!  You!!! Don't wanna be just like you!#Madden04
439971614_368579510209245185 x	@EKonop83 @RyantDolan @KDolan02 @MrMcMillionaire only clinic you'll be involved in is the rehab one for mollie! #veteran #frank-o
439971614_368577529923129344 x	@RyantDolan @KDolan02 @EKonop83 @MrMcMillionaire Hundino's in the morning!#cedarbrook #noGIRs #weddingpregame
439971614_368575327704203264 x	RT @ViolationsGreg: VIOLATION on Mitch Williams for the douchey shirt. #vodkaredbull http://t.co/7PAYviMJkM
439971614_368557978690932736 x	@RealGlenMacnow u just quote Kindergarten Cop?
439971614_368557351634092032 x	@ViolationsGreg @AnthonyLGargano new neighbors heading to the Foodery for beers.  Just met them.  Pulled up to the house and they were off..
439971614_368557703838179329 x	@ViolationsGreg @AnthonyLGargano Any respectable man wouldn't willingly pose for that pic!
439971614_368503911981670400 x	@AnthonyLGargano @ViolationsGreg come on! http://t.co/qMJuhkh3OY
439971614_368419224634798081 x	@JonandSeanShow Charlie Manuel fired.  Sucks man.
439971614_368419021227839488 x	@da_king_son18 @MattBarkley check out Dalessandro's in Manayunk.  Welcome to Phily fellas. #birdgang
439971614_368042874300293121 x	@RyantDolan @MrMcMillionaire @DFalc52 @jb_yall @KDolan02 @Gutter26 @EKonop83 I think @Gutter26 had too much....he comes back to earth...
439971614_368065092774264832 x	@KDolan02 @RyantDolan @MrMcMillionaire @DFalc52 @jb_yall @Gutter26 @EKonop83 alot of ?'s about the Kid going in.  My resum? is filthy! #boss
439971614_368040036505513984 x	@EKonop83 @MrMcMillionaire @DFalc52 @jb_yall @KDolan02 @Gutter26 @RyantDolan Pure hatred from @EKonop83 !  I'm coming hard!
439971614_368039823208378368 x	@MrMcMillionaire @DFalc52 @jb_yall @KDolan02 @Gutter26 @RyantDolan @EKonop83 I know where my money is going! Don't forget Dilfer!
439971614_368018071161962496 x	@MrMcMillionaire @DFalc52 @RyantDolan @jb_yall @slater11t @KDolan02 I'm bringing it!
439971614_367246797850152961 x	RT @KDolan02: At least it's not pouring out!!
439971614_366724439209029632 x	@Silegronk51 skyler and hanks wife!
439971614_366647890652831744 x	@jb_yall @KDolan02 what's my name!!! #Mr.Dietz
439971614_366231534740582400 x	@RyantDolan @MrMcMillionaire @jb_yall @DFalc52 @slater11t @KDolan02 time 4 sum action
439971614_365998415932436482 x	Brandon Graham just convinced me he can't play football on that run by Blount.
439971614_365545484418416642 x	@MikeMiss975 what do I know about cooking a shirt!
439971614_365130244799217665 x	@Jeff_McLane seems like more injuries than I can remember.  Maybe they should start hitting.#campcozy
439971614_364579288232001536 x	RT @darrenrovell: Line of the Night from Curt Schilling: "A-Rod is playing 3rd, batting 4th & pleading the 5th."
439971614_364493273772982274 x	RT @espn: Jadeveon Clowney and Gerald Dixon flipped a blocking sled over. SEC QBs, it?s okay to tremble. -> https://t.co/LuR63876z5
439971614_363385996039036928 x	@MBarkannCSN keep the updates coming.  At the doctors right now!
439971614_363385245438971905 x	@Espngreeny you need to check out Walnut Lane GC.  Tough little par 62 in the streets of Philly  Like putting on a parking lot! #itsnomerion
439971614_363016806434217984 x	@Ike58Reese @FINK_BOMB bahhahahaha
439971614_362978764587671553 x	RT @ViolationsGreg: Astounded by white folks calling into talk radio and explaining that the N-bomb doesn't have the same meaning it did.
439971614_362977963219759105 x	@Gutter26 whoa pap!
439971614_362298744726757376 x	@WarriorsFBall looks pretty Fair!!!!
439971614_362297317782601729 x	@JonandSeanShow not Charlie's job to develop MLB baseball players!  They are up for a reason.
439971614_362034919171559427 x	@JasonDufner @Keegan_Bradley....guys...full convo over twitter? Bromance going on here a bit.
439971614_362034152008204289 x	@AnthonyLGargano  Outing a coworker...I don't even need this validated.  Man card revoked. http://t.co/iSQQ4hYsWr
439971614_361965152666533889 x	@RoobCSN isn't he the basketball player that just came out?
439971614_361960639700279296 x	@AnthonyLGargano @ViolationsGreg retiring McNabb's #5......violation!  Like retiring Lindros' 88.  Great players but never got it done!
439971614_361953402344841217 x	@ViolationsGreg is this Menudo ?  Terrible violation!
439971614_360789102297219074 x	RT @AdamReigner: A George divided against itself cannot stand!!
439971614_360741903500713984 x	@Espngreeny smoltzy?!?  What's he a hockey player? #violation
439971614_360727352872939521 x	@WIPMorningShow is there any way to retract years? As much as I respect Charlie Hustle's 2nd coming, no extension! #looktothefuture
439971614_360568832261242880 x	@AnthonyLGargano yo cuz....violation? #parkingwars#takingup2 http://t.co/2pnDsHkdBT
439971614_360570635136667648 x	@AnthonyLGargano Parked like 6 blocks away.  Terrible parking etiquette! @ViolationsGreg
439971614_360567980825919490 x	RT @HARRYMAYES975: Jon Voight is Academy Award level scum in @SHO_RayDonovan.  Tremendous work as "Mickey".
439971614_360369235299532802 x	@WIPMorningShow craziest person in sports ever, Tanya Harding!  She literally took out her competition!
439971614_360230299910668289 x	RT @jb_yall: My boys #rehearsaldinner http://t.co/382W8Klm7h
439971614_360219479596220416 x	RT @RoobCSN: Funny how we're watching the end of a Phillies Era at exactly the same time as we're watching the start of an Eagles era.
439971614_359806021750886400 x	RT @mookieef: Green street hooligans on IFC!!! #Petewaycoolerthanjax
439971614_359659536090537984 x	RT @SportsCenter: Marlins Logan Morrison on the Braun suspension before last night's game: "You know we're clean. We haven't scored a run i?
439971614_359518945067278337 x	@RealCJ10 major respect Larry! Gave it to you for years when you came to Philly.  Congrats On a great career. #nohateappreciate
439971614_359298810805501952 x	RT @darrenrovell: Pool basketball trick shot https://t.co/GQTqQ6XVvA (via @___Cox)
439971614_359286911011008514 x	@M_Wyland might be a violation....
439971614_358989140693876736 x	RT @Keegan_Bradley: 66 from Phil today is ridiculous. Best golf I've ever seen. #boss
439971614_358519201952051200 x	@dis06 if you put as much effort into life as you do into social media maybe you would be able to get a better job than Bob's Diner.
439971614_358426105285328896 x	@KirkHerbstreit lived downtown Cincy for 2 years.  Felt the hated of the Bengals owner from the fan base.  Reminds me of Norman Braman.
439971614_358277332957544448 x	@JottieB your a social media expert....
439971614_358274293693554688 x	@AnthonySan37 @Gutter26 not even sure I want to win the "metropolitan" division!  #pelicans
439971614_358208075414511617 x	@MikeTyson do you think you would be able to beat Piston Honda in real life? #punchout #littlemac
439971614_357698583773986818 x	@RealGlenMacnow that and Al Pacino-Scent of a Woman right with it!
439971614_357156586575249408 x	@Gutter26 @tpanotchCSN must be drinking already....relax
439971614_357163234891005953 x	@Gutter26 @tpanotchCSN I'd rather worry about the riverboat booze cruise we'll be on in a month on the Gulf of Mexico!
439971614_356979677400797184 x	@RyantDolan @frano3707 @DaveOmlor major elimination golf going down.
439971614_356748620894175232 x	@WIPMorningShow the Hanson Brothers!
439971614_356488955102896128 x	@Silegronk51 @JohnnyVegas11 @SLEPE44 looks amazing!
439971614_356488859263049729 x	Usual Suspects
439971614_356474991287611392 x	@RickieFowlerPGA your so scared to win! #getyourwiiiiings
439971614_356420311002001408 x	@JottieB I must admit.  I'm extremely jealous of your traveling. #WhenInRome
439971614_356221522085552128 x	@darrenrovell little better... http://t.co/ffEs82E9Hy
439971614_356217104103514112 x	@emptyseats @AdamReigner @darrenrovell 6th in attendance for a sub .500 team.  I'd say pretty damn good.
439971614_356199359894929410 x	Typical #Phillies letdown.  @jb_yall @RyantDolan @KDolan02 @EKonop83 @jwagner009 Sell Mortimer!! Sell!!!
439971614_356198764953870339 x	RT @JohnKincade: These extra innings are a microcosm of why the 2013 Phillies should NEVER fool themselves or the fans into being buyers.
439971614_356185482020921345 x	RT @bendaviscsn: And we go to extras. Are you bleepin' kidding me?
439971614_356021309945298944 x	@cmcinerney10 @LaurenConrad I don't think she understands.  Go back to bed.
439971614_355887218092552194 x	@bmclaughlin0314 Awful!
439971614_355972536548343808 x	@bmclaughlin0314 what the hell is tin roof?  #dinglefriday
