990180313_396469367854346240 x	@Highway_30 you should still be on the sixers #BeWell
990180313_376182998498287616 x	RT @WestwoodLee: ?@Keegan_Bradley: @WestwoodLee ur a troll?haha! Give me a decent bet then !
990180313_376182945557782528 x	RT @BCSportsNews: RT @BCFootballNews: The Eagles win, 24-10, improving to 2-0 on the year and earning an ACC win.
990180313_372152121594232832 x	RT @ConanOBrien: I understand Miley?s VMA performance. I?ve missed dozens of NFL games because my foam hand and I never made it out of the ?
990180313_370917631928586240 x	RT @M_Ryan02: Throwing it back it back to a special Thursday night at Va tech  #ThankYouFlynnFund http://t.co/VOVkaaIuXw
990180313_370368497546969088 x	RT @SportsCenter: It took a lot of PRACTICE to do the things Allen Iverson did on the court. Here are some of his finest moments ? http://t?
990180313_370367427898798080 x	@JasonDufner I'm a Phillies fan and this is better than watching them #littleleagueoverbigleague
990180313_369665402617749504 x	RT @AntonijaMisura: @therealcradz  soon
990180313_369664951327404032 x	RT @MikeTyson: Green room @foxsports1 playing #miketysonpunch and beat Glass Joe. First time. http://t.co/iTsVnxe8MW
990180313_369508517608038401 x	@AntonijaMisura how are you soo gorgeous and when are you coming to USA? #AskAntonija
990180313_369510060113666048 x	@AntonijaMisura please let us know where and when you have lots of fans here #AskAntonija
990180313_368753617840668672 x	RT @ShaneVictorino: ...the chance to be the @mlb player that I am today! Charlie you will always have a special place in my heart and my ca?
990180313_368753603475156992 x	RT @ShaneVictorino: As I took time to reflect on the situation I told myself, this man played a special role in my life! He believed in me ?
990180313_367381171682181122 x	@HowardStern anywhere to watch or listen to the whole interview with @JasonDufner ?
990180313_367377495727017984 x	@Bighugh53 does this mean there won't be anymore #hartfordlife tweets?
990180313_366928758499840002 x	@ReillyRick you shouldn't even be allowed to cover golf anymore for what you wrote about Merion Philly fans will never forgive you
990180313_366411942765670400 x	RT @IanJamesPoulter: RT @dajuiceman14 @IanJamesPoulter why did you pick to live in Orlando over Jupiter in FL? >> I love Mickey Mouse. Just?
990180313_366175319520063488 x	RT @IJPDesignUSA: RT and FOLLOW for a chance to win an autographed @PGAChampionship flag by @IanJamesPoulter #PGAChamp http://t.co/lCFdLo6f?
990180313_365687985620008962 x	@IJasonAlexander nice performance on Hollywood Game Night... George would have somehow cheated #IQtest
990180313_365686405948641280 x	RT @bubbawatson: RT @PaulTesori: @bubbawatson made over 60 people happy they chose #chipotle tonight. http://t.co/aguqF0wh78. #Matthew6
990180313_365575274793943040 x	RT @mbacklund11: I will donate 1 dollar for every RT this tweet gets to @barncancerfond. Starting now until tmrw when I cross the finish li?
990180313_364781617383874564 x	#rightonfighton
990180313_360387568723951616 x	@ColWolfeFox29 nice green dress this morning to the prettiest girl on good day philadelphia #kaciewho #sportsnottraffic
990180313_359317315625943040 x	RT @IanJamesPoulter: Four winners: Thu, Fri, Sat, Sun @The_Open gloves. Simply RT & follow @IJPDesign & #WearTheTrousers http://t.co/BjOtnO?
990180313_357837549571960832 x	RT @CallawayGolf: RETWEET & FOLLOW for a chance to win this limited edition staff bag signed by @The_Open defending champ, Ernie Els: http:?
990180313_355300369707970560 x	@IanJamesPoulter @IJPDesign #WearTheTrousers
990180313_355300248006041601 x	RT @IanJamesPoulter: To celebrate 1.5M followers I'm giving away this golf bag simply RT & follow @IJPDesign & use hastag #WeartheTrousers ?
990180313_350453101523775489 x	#PrayForDutch
990180313_347181184964497409 x	RT @Jeff_Daniels: DD2 is on. :)
990180313_347171996980875264 x	RT @TonyBrunoShow: Only Allen Iverson has been thrown out at home more than the Phillies this year. #DeadMeat
990180313_346621361873121280 x	@ReillyRick you shouldn't even be allowed at Merion or even Philadelphia for what you wrote you lost a lot of fans this week #asshole
990180313_346271851682598912 x	@stevestricker good luck today Steve ill be pulling for you and following you all day #us open #1st major
990180313_346252202492428288 x	@usopengolf when will you be sending out the pin locations for today?
990180313_346110343434608640 x	RT @PGATOUR: The 18th hole yielded NO birdies, but 10 double bogeys or worse today. Victims include Luke Donald, doubling to post 71.  #uso?
990180313_346104017438507010 x	RT @bencranegolf: Once I saw a ProV1 on @eBay that was signed by me. It was selling for $2. New ProV1's cost $4. Lesson: Don't let me sign ?
990180313_345749116598484992 x	RT @BrandtSnedeker: Can't believe everyone is surprised the scores are high.. Pitch out rough and Augusta like greens..
990180313_345516765738070016 x	@david59duval what hole will you be standing on? Would love to come say hi huge fan wish you were in the field #59 #dd
990180313_344455039714197504 x	@sbaickerCSN flip flops? That's what I was planning on wearing
990180313_343914770489032706 x	RT @disneywords: Once you?re grown up, you can?t come back. ?Peter Pan
990180313_343812289708822530 x	RT @FlyersNation: VICTORY "@TrendsPhilly #shitthebeach is now trending in #Philadelphia http://t.co/aARnnEUFTA"
990180313_340861932926021632 x	@Graeme_McDowell headed to @Nonabluetavern tonight before heading back to NJ can't wait for dinner and to see you at Merion in a few weeks
990180313_340621014780223489 x	RT @MikeVick: Pray for Mook! RT @ajc: BREAKING: Former #Hawks star #Mookie #Blaylock on life support after wreck in Clayton County: http://?
990180313_337545563673354240 x	@SixersCEOAdam please please sell the team and get out of Philly I can't wait to see what loser you hire as coach #rockets #awfulowners
990180313_337070962757476352 x	@david59duval what's your relationship with Sergio? Big fan dd
990180313_336899888895909890 x	@howardeskin good
990180313_336701801560698880 x	@BenRevere9 how do you continue to lose to the Marlins?
990180313_336457341744599040 x	@tfurlong ocean city boardwalk?
990180313_336330564141453312 x	@MikeMiss975 hey skippy that's the whole segment pick one team you want to make the playoffs #dumbestsegmentever
990180313_335219597471014912 x	Rip dick trickle #nascar
990180313_335218969990529024 x	RT @Max25talbot: RIP #theoffice and thanks for being the only thing that would make me smile after a tough lost all these year. #9greatyear?
990180313_335218074124943361 x	RT @Bighugh53: I don't always drink beer. But when I do I drink a lot!! BOOM!! #HartfordLife
990180313_335217815718080512 x	RT @johnkrasinski: So this is it. There's truly nothing I can say to tell you all how much your love and support of this show has meant. Th?
990180313_335180654453075968 x	RT @chrishansen: Why don?t you sit down and have a tweet.
990180313_335048376322228225 x	RT @WellsFargoCtr: #NHL14covervote twitter voting counts for double today! Help @Simmonds17 overtake Tavares by tweeting #NHL14Simmonds or ?
990180313_335027597429833728 x	RT @WellsFargoCtr: #NHL14covervote Twitter voting counts for double today! Help @Simmonds17 overtake Tavares by tweeting #NHL14Simmonds or ?
990180313_330885745294327808 x	RT @rainnwilson: I <3 Scranton
990180313_311478823424241665 x	RT @LennoxLewis: Okay folks... We're done with #LennoxCalls for today.  Thanks for the love.  Big up to @mattyradz and Joel from Faceboo ...
990180313_311478807376834561 x	RT @LennoxLewis: On phone with @mattyradz right now.
