22099513_377214699328520192 x	How does that feel Washington bitches! #Eagles!!!!!
22099513_384337443509792768 x	This is called pursuing your dreams. Move to LA, go on game shows, get jobs and become a star. @aaronPaul_8, come... http://t.co/Hf8yklCi7L
22099513_390266064807788547 x	The great Ruben Amaro Jr on the set tonight @the_GSD @ChickiesnPetes SPhilly http://t.co/EBCApWkO3x
22099513_378976802275733504 x	I'm waiting for Saban to go back to the Wishbone and bring in Tony Nathan. #BAMAvsTAMU
22099513_377242975933571072 x	Tonight's ref is moving like Charlie Manuel right about now #Eagles
22099513_392490267820843009 x	Only http://t.co/ua0QiYAGRs is worse than this Vikings team! #WasteOfMoney
22099513_392491876655185921 x	@LongWilson08 wow, that is something to be proud of, huh?
22099513_359499685276303360 x	everybody has to follow my new twitter stalker @PhillyUnicorn. Maybe she'll send me some pics that way?
22099513_387912885982089216 x	What Day is it? #MiercolesDeCulos #Whaddup
22099513_386521801804640256 x	@JSalisburyCSN Jim, does he get to keep the binoculars, or did he have to turn them back in with his bullpen keys?
22099513_384447401768939520 x	Now that it matters against the Eagles, but I guess "holding" is the same as "blocking" when the Broncos are on offense?  #jokes
22099513_396398892100505600 x	@JamesTSantiago about as lse to lax as ou are to Pittsburgh.
22099513_392670259683282945 x	@JamesTSantiago you mean a reverse Herschel Walker trade? Doubt it, boys have cap issues.
22099513_394563195815612416 x	Eagles score 0 touchdowns in 2 weeks - at home - and are still 1 game behind the CrapBoys? #WorstdivisionEver
22099513_384521046503600128 x	I defy anyone to tell me any show that tied everything together as perfectly as #breakingbad in 5 seasons? #GoodbyeBreakingBad
22099513_347427274154450945 x	@HARRYMAYES975 @therealhoss21 He loses a lot of respect for that. We ripped Vlade Divac for doing it and praise these clowns for doing it?
22099513_361872391909027840 x	@therealhoss21 no. He was one of the best of his era, that's how hof candidates get in. Depends on his class of candidates.
22099513_238837959007293440 x	Why am I agonizing at 11:20pm on a meaningless baseball game featuring the inability to score the winning run?
22099513_377196269883899904 x	MNF prop bet. Who does Jon Gruden gush about the most. RG3, Chip Kelly, Mike Vick or other? You make the call!  #MNF
22099513_392085515421233153 x	Does ESPN really have a countdown to #MNF clock on the NFL page? #Why
22099513_398668810544115712 x	Kneel Before Mr Thursday Night Bitches!!!!!  #TNF #Recognize
22099513_399646826023747584 x	The Foles haters will now say he only won because GB was using its 3rd string QB. #GetAClue #RealDeal
22099513_379760563351732224 x	I've got something really special cooking for a truly epic event in a few weeks. #Staytuned.
22099513_293169089298456576 x	Thanks for the answers. I thought it was Boston Mayor Mennino's exploding brain cells  #Ionic
22099513_293170153775067136 x	@valansky I know that.
22099513_293166562934915073 x	Can someone tell me what the hell those symbols are between the 50's near the sidelines? #huh
22099513_331383201689899010 x	@KacieFOX29  Now you've made me hungry again damnit! http://t.co/aaZevaKJai
22099513_319589100850139136 x	I see a lot of white hoods in Atlanta, is it raining or.......  #SorryHadToGoThere
22099513_319593890128732160 x	@WEST6 nope, just a joke. The chop justifies my temporary insanity
22099513_314836422794289153 x	Don't miss tonights episode, or set ur DVR @ 7pm on TCN! @the_GSD @MikeMiss975 @JohnClarkNBC10 http://t.co/5TzhzQ0Lnf
22099513_262948686810710017 x	@WEST6 not my decision.
22099513_256974987334930434 x	Ohhhh Nationals fannns.  HOW DOES THAT FEEL?
22099513_286962130593411072 x	Kanye West, you may NOT be the father! Legally that is. My favorites dopes obviously lawless and clueless. http://t.co/aK996rEl
22099513_264343651839258626 x	Live at the Kitchen Bar on Old York Road in Abington at 10am. We spend more time in Abington/Jenkintown than the... http://t.co/U6JepPgt
22099513_369526007369179136 x	I am now blaring Wang-Chung's 2 biggest hits from my I-pod to signal the end of the Wang-Chung era in Phila  #DanceHallDays #Tonight #Eagles
22099513_339937489391321088 x	Just got home from Phillies win to see Joey Crawford blow a call in the NHL. Game 7 overtime action yo! #HawksWings
22099513_327392635390148609 x	@KacieFOX29 think about our draft party at Dave and Busters?
22099513_287708739174281217 x	New Term: Ginger-itis. What happens when a Red Headed QB tries to win an NFL playoff game on the road #Bengals
22099513_287701792941289473 x	only thing that would make this game worse would be Jon Gruden trying to say nice things about his brothers offensive game plan. #NoWayJay
22099513_73819262669697024 x	My decision to cut back the daily shows at 97.5 theFanatic http://fb.me/u3LJJbc6
22099513_73943428383252480 x	@_Scuba_ sellout?  Been doing the other jobs longer and my philly deal was over in jan.
22099513_394280248713293824 x	@Faux975Caller 140 characters pal.
22099513_343543849274195968 x	Kings with a PP and chance to tie it late in 2nd. Good effort!  #NHL
22099513_394996201138831360 x	Looks like a picked a good night to start Sidney Stacy on my fake fantasy team. #ramsplus14 #MNF
22099513_375776090264182784 x	Someone please alert me about 30 seconds before kickoff. #PreGameFatigue
22099513_375776717673365504 x	@TonyBrunoShow When Ryan Seacrest is on, I ain't watching, be it Fox(Idol) ABC(NY) or NBC(Sports)
22099513_375777168166760448 x	@Bill210M Only E show allowed in my home is #TheSoup
22099513_329564933006172162 x	May Day! Doc and the Phillies bullpen crash in Cleveland. Busy day, 97.5fm the fanatic 10-12.  #PhillySportsTalk... http://t.co/JszsS2ZbXk
22099513_311812451727462400 x	What up Roy Halladay's fastball?  #MLB
22099513_392698744006639617 x	@bigadubbs I said they'd have to restructure Romo and others because they're 31 mil over next year. adding AP would make it harder genius.
22099513_396696668025790464 x	I wanna see some Eagles fans in the Coliseum in Oakland tomorrow. Will be doing post game live on the horseshoe concourse outside. #eagles
22099513_395725328242339841 x	Who would have thought that the only Philly team to win their opening game of their season would be the @Sixers #MCW
22099513_393352712588251136 x	@nuclearuterus and thank you for joining me today
22099513_317467846726803456 x	If La Salle can't get busy in the paint, TV sets could be clicking off by midnight in the east  #MarchMadness
22099513_386308047678615553 x	Just thinking, if Detroit wins the World Series, at least they won't have much left to destroy #ALDS
22099513_399634410934259712 x	How do you like Riley Cooper NOW BITCHES!!!!!   #Stud
22099513_395390464532049920 x	Weren't ESPN NBA shills billing this "the best game of the year". Looked like a blow-out to me. #NBAOpeningNight
22099513_395392053820932096 x	@clothingscott1 I'd say after that Bulls-Heat blowout, it's more broken than fixed Scott.
22099513_394572198826217472 x	Call me a psychic, but I predict the Giants will win the NFC east if remaining opponents use 3rd string qbs  the rest of the way. #brutal
22099513_372876685206491136 x	@SeanBrace975 @KeithOlbermann @975TheFanatic @JonandSeanShow Really?
22099513_393575757131161600 x	@sbaickerCSN you can come up with 10 observations on  that game?
22099513_387391848458637314 x	If Rex Ryan is a crappy coach, how did he turn Eagles bust Jacquan Jarrett into a NFL safety? #MNF
22099513_375805444792811520 x	Worst part of NFL season, people taking to twitter to brag or complain about their fantasy players #NoBodyCares
22099513_394607239454920704 x	I would say I've seen enough of Michael Vick, but he makes it semi interesting when healthy - which is rare.
22099513_395002793137680386 x	Kellen Clemens is why you never take an Oregon QB to play in the NFL. Over rated high school b/s offense.
22099513_394928282212126720 x	@MarcusBarkleyQB  bro, can you hit up Dr Kush on Venice boardwalk for some medical wowy? I'm good for it.
22099513_394914733108625408 x	Attention twitter! @MarcusBarkleyQB  is NOT @MattBarkley brother. It's a joke account poking fun at Marcus Vick. #comeonman
22099513_394926858652745728 x	@MeleJosephmele @LesBowen @MarcusBarkleyQB @MattBarkley Nope. I like totally knew it was bogus dude from the jump yo!
22099513_394620980267462658 x	You know things are bad when fans are arguing about which team sucks less #NFCLeast
22099513_394608476757831680 x	Can the Redskins put in their 3rd string QB to throw a pick too? #askingforMattBarkley
22099513_395301279469424640 x	Wow, Oregon Ducks fans are clueles when it comes to opinions in the stands?  #WhoKnew http://t.co/bINZDkzYgm
22099513_375058906516848640 x	If the #Phillies really wanted to appreciate their fans, they have dollar BEER nights the remaining home games to ease the pain.
22099513_395724124007305217 x	Michael Carter Williams owned your asses Miami! Remember His Name!!!  #Outright
22099513_394907179162935297 x	I can debunk a report that Jeff Garcia was seen in a Gilroy, Ca phone booth calling Chip Kelly collect. #qbsbetterthenTonyRomo
22099513_394532284038397952 x	Matt Barkley is proof PAC 12 offenses are a joke. Dreadful field presence and Kelly calling all pass plays is even dumber. #harryhighschool
22099513_394277412344578048 x	Flyers dominant third period, trash the Islanders 5-2. Vinny the Hatty. Rangers earlier. Eagles need to complete the NY tri-fecta vs Giants
22099513_393552221318565888 x	Ladies and Gentleman, The Flyers have won their 2nd game of the year. 2-1 over the Rangers. #StillCantGet3Goals
22099513_393085107227344896 x	As Hugh Douglass once said "Numbers don't lie" ESPN #MNF stinking on ice!... http://t.co/SyYjo5dffg
22099513_392380189566857216 x	Memo to giddy Cowboys fans. You are the ONLY team in 7 games to score only 17 pts on the Eagles defense. Good... http://t.co/OPbjlKSBpp
22099513_391017923466100736 x	Flyers first team since the expansion in 1967 to go the first 8 games without scoring 3 goals a single time #flacidsticks
22099513_390198306644570112 x	#GSD  taping tonight. 7pm at So Philly Chickies and Petes in Play 2. Ruben Amaro Jr and Darwin Walker in the... http://t.co/gsCyX5CqX0
22099513_388062717765906434 x	What a horrible week. Bruce Jenner and what's her face split and the Jonas Brother split so no concert in Upper Darby Pa. Who's next?
22099513_385558457694175232 x	Flyers controlling play in the first period, 12-6 shots, but 0-2 on PP in 0-0 game.
22099513_383677818980147200 x	BB finale party prep continues. Yes, these shirts are available & #BlueSky samples for all! @ChickiesnPetes... http://t.co/1MGOLvfGHa
22099513_382969241239945216 x	A true miracle comeback in San Francisco Bay. Despite major penalties early. #TeamOracle wins 8 straight to win the Americas Cup. #USA
22099513_381884285139312640 x	Stinking Deadskins cost me another 3-0 Sunday. 2-1 today. 14-2-1 in my first 17 selections overall. #RealEconomicStimulus
22099513_379020676432003072 x	Johnny Mother F'n Fooball bitches! 7 and 0!!! Mr Saturday, Sunday, Mon and Thursday Nite! #BAMAvsTAMU
22099513_374678442815815680 x	I don't think I can bear to watch the Phillies flail away hopelessly at Strassburgs breaking balls tonight. #Phutility
22099513_376870861455630336 x	Don't worry Giants fans, Romo will spit some up late when it matters. #PlayForTheTie
22099513_375732353605595136 x	So, I could pay $100 bucks to see Frankie Valli sing HIS songs live or pay $225 to see 4 guys pretend to be the 4 seasons? #JerseyFakes
22099513_375765598925758464 x	Damn, the Phillies aren't playing tonight! #ShitNoOneIsSayingWithNFLOn
22099513_375039818977513472 x	Thank God NBCSN has CFL football action. Montreal vs Toronto >Phillies  #NoMoreMLB
22099513_372499911969083394 x	More fans at 2am at the 18-inning Phillies game than in Citi field at 7:15 for the Muts. #DontWantToBeAPartOfIt
22099513_372143535262535680 x	@JohnKincade @chuckwoolery  my mom is 89, never drove and has a state picture ID which is good for 10 years. Easy to get.
22099513_370675353997803520 x	Got my all white outfit on and headed to @debphl #debphl13 with 2500 close friends. Pics to follow. #NoWhiteShoes
22099513_370678953062961152 x	@PureBlarney @DEBphl loved Billy White shoes Johnson.
22099513_369556164750479360 x	"Miss Robin" - Robin Austin: If you are a fan of Tony's please help him win the Philly Hot List! He was just... http://t.co/mQlAtxoxHB
