1697906821_386610222887731200 x	@RunToTheFinish No, but I should!
1697906821_390089908599013376 x	Hard things take time to do. Impossible things take a little longer. http://t.co/LfxzZiDLuH
1697906821_389723833982124033 x	@BergenNOW Nice article
1697906821_389694845767278592 x	@AsburyParkPress Great article!
1697906821_389694074372251648 x	RT @AsburyParkPress: Tough Mudder draws more than 10,000 http://t.co/KNl5AOrPi6
1697906821_389692669812670464 x	@juskeepsweating You should be training!
1697906821_389690528323104769 x	RT @BergenNOW: Wyckoff Education Foundation 5K, Fun Run This Week http://t.co/cSz997aGPc
1697906821_389690452120576000 x	@KarenFox29 @ChrisFox29 @SueSerioFox29 @KacieFOX29 That's Adrenaline!
1697906821_389690188558893056 x	Good morning, athletes! Remember: A comfort zone is a beautiful place, but nothing ever grows there! http://t.co/p7VwFcieg8
1697906821_389470402499473408 x	A short, but good article about exercising outdoors: http://t.co/PqYFGTKfac!
1697906821_389439268608700416 x	Whichever race, ride, or walk you participated in - we hope you're enjoying this beautiful weather! http://t.co/t8GigzUuhw
1697906821_388635545208778753 x	Jersey Adrenaline pic of the day! http://t.co/bR67heCNCM
1697906821_388336187531747328 x	You only grow as a human being when you go outside your comfort zone. Get there at http://t.co/6FvxYJDKOw
1697906821_388286619817504768 x	You only grow as a human being when you go outside your comfort zone. Get there at http://t.co/6FvxYJDKOw http://t.co/ULgr698r4Y
1697906821_388076524894576640 x	Beating on Wheat and Raining on Grains: What?s REALLY Making Us Fat and Stupid? | LinkedIn http://t.co/ZIsU8pXzfm
1697906821_387908588233965568 x	Running - my mental ctrl alt delete http://t.co/0rywKR8zml
1697906821_387616030127714304 x	Get those steps in!   http://t.co/rU7XykVUUW!
1697906821_387560252683472899 x	Check out the Crazy 8K Mud Run this Saturday in Alloway, NJ http://t.co/vmdMT9FQBr http://t.co/yDMaxiZ3aM
1697906821_387223628686716928 x	Check out our race calendar to see where you can earn your miles this weekend.  http://t.co/6FvxYJDKOw http://t.co/PJegaiPfsW
1697906821_386937196948623360 x	@AsburyParkPress Sunday drivers...
1697906821_386869508758978560 x	@KarenFox29 @brianasullivan2 Awesome event!@RunningEscapade @RunningEscapade
1697906821_386799515702796290 x	Go get'em today, New Jersey! http://t.co/PiGvTeDOiu
1697906821_386461778143502336 x	Crush it today, athletes!  http://t.co/6FvxYJDKOw http://t.co/lpOGEc8ayr
1697906821_386052185370271744 x	Something to consider when out at the races this weekend: http://t.co/suQn2vCGws
1697906821_385874471438925824 x	Just added to the "Blog": Drinks that Detox the Body  https://t.co/qgtNS7WDDp
1697906821_385736197428879360 x	Nearly 50 races, rides, and walks taking place in NJ this weekend!   http://t.co/6FvxYJDKOw http://t.co/hVbD8bIAAD
1697906821_385370852910317569 x	Check out the Bayonne Crop Walk in Bayonne on Oct. 20th. Your participation will help hungry children and families  https://t.co/Q7dzlACglw
1697906821_385046240599109632 x	You know you're a runner when you google your name and all that comes up are race results. http://t.co/w9G7TIkahg
1697906821_384663829226856448 x	The stronger you are, the better you feel!   http://t.co/6FvxYJDKOw http://t.co/Vc4PrufuPE
1697906821_383897612564193280 x	Good morning, NJ athletes! Go forth and conquer this weekend! http://t.co/1nCxGcwa3S
1697906821_383562797251981312 x	Good morning, athletes! Click below for a sneak peek at next week's races. https://t.co/XVfroBFQbm http://t.co/tHosEtz8FD
1697906821_383201859529228288 x	Good morning, athletes! We have nearly 40 races, walks, and rides this weekend to make sure you get those miles in... http://t.co/L7rWnl25UE
1697906821_382989323127095296 x	I've just updated my professional profile on LinkedIn. Connect with me and view my profile. http://t.co/JoshLxtdPJ #in
1697906821_382856217422360576 x	Good morning, NJ athletes!   The Ugly Sweater Run has finally come to our state. Be there: Dec 14th in Englishtown. https://t.co/sio9gRnpWG
1697906821_382596635189981185 x	Hey NJ Cyclists - we  just added the McGraw-Hill Ride for Financial Awareness in East Windsor https://t.co/96XS2HFctM http://t.co/I8SrRI41PN
1697906821_382496096850702336 x	We hope you're eating well so that you're properly fueled for next week's races and walks. http://t.co/ulgzQaBRkI
1697906821_382289647621005312 x	Running: the original high intensity workout! http://t.co/SISjIgA1Jf
1697906821_382123476921745408 x	Here's a glimpse of what's in store for Saturday: - NJ Ride Against Aids - Endorphin 5K - His & Hers 10K  More at http://t.co/6FvxYJDKOw
1697906821_381764553261858816 x	Good morning NJ athletes! Happy first day of Fall! http://t.co/RieST33a0e
1697906821_381324899697971200 x	Good morning, New Jersey! Have an awesome day at the races!   http://t.co/6FvxYJDKOw https://t.co/VNNUnfFQo4 http://t.co/1JyxFD6t93
1697906821_381167655857577984 x	@Bakerme @SFGrAdventure @ChasingNJ @My9NJ @FOX29philly @FoxNews Nice job. I'd definitely run away from you!
1697906821_381034840100835329 x	Good morning, athletes! We have almost 40 races and walks this weekend in New Jersey alone!  http://t.co/6FvxYJDKOw http://t.co/Ak7nFHhRTu
1697906821_380775945784676352 x	Thinking about getting a GPS watch. Check out our blog to find out our top pick: https://t.co/4jJ9ECrKMI http://t.co/Ej2APJS38l
1697906821_380678885395808256 x	Strong is putting in 5 miles after your music dies... http://t.co/ZUKNa1JmCL
1697906821_380673744135401472 x	Good morning!
1697906821_380415656635535361 x	Anyone up for a marathon -- or at least a half of one?  https://t.co/m3HaMTk4EK http://t.co/XN6SGK0xAM
1697906821_380340823314817025 x	Want to give your dog a real treat. Sign up for a dog friendly race or walk at https://t.co/CttSAvSk22 http://t.co/kEgbkyIA8u
1697906821_380311453653151744 x	Good morning! Another great day for training and exercising outside!
1697906821_380071619575554048 x	@HobokenMommies if some of you @HobokenMommies are also Hoboken Runners, we have a whole section of stroller friendly races and walks!
1697906821_379961295534964736 x	Speaking of challenges, check out some of upcoming biking events!  https://t.co/iubGO1bybG http://t.co/o1A6u5o5Ig
1697906821_379687882178326529 x	If you ever thought about getting into making your own healthy, delicious fruit and vegetable juice: https://t.co/mbof4G6yDb
1697906821_379601852561518592 x	One of the great things about New Jersey is that we do have roads like this to run... http://t.co/bhpWCtH6sM
1697906821_379327330818093056 x	It's been a beautiful day for racing here in New Jersey. Wherever you competed, we hope you conquered your course! http://t.co/lne6AW4Ezt
1697906821_379273200321839104 x	Hey Somerset County Runners, we just added the Mane Stream 5K in Basking Ridge to our calendar. https://t.co/eIdKesxVfs
1697906821_379221535900172288 x	It's another beautiful day in New Jersey for racing!
1697906821_378891734203117569 x	@ACPressSports Woot Woot!
1697906821_378832642948362241 x	Knock'em dead at the races today, athletes!   http://t.co/6FvxYJDKOw http://t.co/CUaRbZqQZx
1697906821_378670648156893184 x	Just joined Pinterest! You should follow me: http://t.co/sxaRsnLF3E via @pinterest
1697906821_378599670450098176 x	This is our favorite all-around water bottle. What's yours? http://t.co/OG3VRZt3fB
1697906821_378515895380742145 x	Run regularly to keep consistent Smileage http://t.co/XShfDNMUZM
1697906821_378511661163749376 x	http://t.co/wFDclI7FBn
1697906821_378503523123474432 x	Another beautiful day to train and exercise outdoors in New Jersey!
1697906821_378285908237099008 x	@APPLarry @AsburyParkPress What a tragedy
1697906821_378285784521916416 x	@RobertCheeke @NoMeatAthlete Let us know what you think of the book!
1697906821_378283868005994496 x	@Erik_Larsen @njdotcom Jersey Adrenaline loves that Governor Christie is always on the scene in an emergency!
1697906821_378283402744434688 x	Reserve your spot at the Great Homes for Greyt hounds 5K in Cherry Hill this Saturday!   https://t.co/QSqwiuIbd2
1697906821_378214911769190400 x	@belinda_granger @juliedibens It's ugly...
1697906821_378214535154237440 x	@juliedibens That's me best guest too!
1697906821_378214357106049025 x	@Helen_Webster @chrissiesmiles Awesome!
1697906821_378214146099007488 x	@Andy_Potts GI Joe action figures. Voltron was cool too
1697906821_378214051198676992 x	@chrissiesmiles @TheCBShow @BTSport @MarkFosterSwim @DavidGinolaCeze @chadleclos We'll be the lookout for you!
1697906821_378213780284391424 x	@ByStephenKasica @outsidemagazine Congratulations!
1697906821_378213511005884416 x	Unleash your inner beast at the Beast of the East Mud Run!  https://t.co/1tBfnI48Z0
1697906821_371452099483021312 x	Attention Cyclists: Ride it our at the Olde Mill Inn Tour of Basking Ridge on Sep. 2nd: https://t.co/fofO1zvCrN http://t.co/aSLlhZRXcu
