17899839_390154282210557952 x	The band @INFINITYBOYS4  http://t.co/HaAPAho3P7
17899839_392752477075812352 x	@DanLevyThinks @CSNPhilly @rheahughes  Dan  I think what's missing is motivation and inspiration from Kelly. Not show up against Dallas?
17899839_392687283075158017 x	@ljcangiano @AmandaCerny great series..
17899839_392686904048500736 x	@CalistaQmusic QUINN
17899839_392686682387918848 x	@CSNPhilly @dom9brown @DanLevyThinks @rheahughes  no, we should be worried about why Chip Kelly is 2-4 and Andy Reid is 7-0!!!
17899839_392427281441767424 x	RT @Cyber_FM: Demi Lovato - Give Your Heart a Break - #NowPlaying on CyberFM http://t.co/DusyL7yeGF
17899839_392426378139672577 x	RT @DollyParton: Video: Watch me twerk it with @IAMQUEENLATIFAH on Monday! ;) http://t.co/0cYXPGVwR5
17899839_392426092654379008 x	RT @Epic_Records: Be sure to catch @FifthHarmony on @ArsenioHall TONIGHT & @KellyandMichael TOMORROW to celebrate #BETTERTOGETHER! http://t?
17899839_392425354305863680 x	RT @mrleejacobs: 2 weeks running Love & Hip Hop Atlanta is the #1 most social show on Monday night! http://t.co/Q15y3asXla
17899839_392424652842078208 x	Corey Feldman's 'Coreyography' Details Sexual Abuse He, Corey Haim Faced http://t.co/EjYS1OEvAx via @HuffPostCeleb
17899839_392424989237862400 x	@HuffPostCeleb they should reveal the names of these Hollywood "moguls" and castrate them as a PPV special
17899839_392356984457924608 x	RT @MonamiEnt: Meet the ladies! 'Love & Hip Hop' Season 4 premieres Oct. 28 at 8pm EST on @VH1 #LHHNY http://t.co/CwDI25xSPk
17899839_392076491808206848 x	http://t.co/646LBJl1Ig
17899839_392076169362677760 x	RT @ACPluggedin: #Great #TravelDeal of the Day $1500 #Resort Credit http://t.co/eVAmnrXMBp #Vacations, #Honeymoons
17899839_392075899849277440 x	http://t.co/odXGfHcdSJ
17899839_392075631208325122 x	@TonyBrunoShow Vick is back. No Brag  Just fact!!
17899839_392075564762144768 x	RT @TonyBrunoShow: Well, at least no one will be saying Matt Barkley should be starting versus the Giants next Sunday. #WhosYourQB
17899839_392034719539277824 x	@phillysport @ZBerm How do you come out flat and uninspired when it's the Cowboys and you're playing for first place! Disgrace.
17899839_392034896740245504 x	@phillysport @ZBerm time for Michael Vick to return. When was the last time the Birds won at Home?
17899839_392033348224180224 x	Eagles lose to Cowgirls..I'm bummim':(
17899839_392033230766878721 x	RT @TheXFactor: Thanks for all your tweets, favourites, & RTs! Until next Saturday... #XFactor
17899839_391994920367448064 x	RT @Cyber_FM: Silent Generosity - Cold - #NowPlaying on CyberFM http://t.co/DusyL7yeGF
17899839_391718705442209792 x	RT @AmandaCerny: Last tweet before the show starts.. GO NOLES!!!!!
17899839_391613992394715137 x	RT @Music4Edu: BIG Thank you to @ParimoreMgmt!! :) Make sure you go follow them!
17899839_391613018703802368 x	RT @TheXFactor: As the comp hots up so does the backstage goss. Visit @TRESemmeUK's #XFactor salon to snoop preening contestants! http://t.?
17899839_391612334986108928 x	@IMDb how many times can we remake Carrie! Sissy Spacek is the gold standard!  No Brag  Just Fact!
17899839_391612175548035072 x	RT @IMDb: 'Gravity' held off the 'Carrie' remake on Friday and took first place with over $9 million: http://t.co/1lyjxqTQFm #boxoffice
17899839_391612117792464896 x	@infinityboys4
17899839_391612022049095680 x	RT @onedirection: 1D's official store is looking pretty good right now.. Reasons = #MidnightMemories + #StoryOfMyLife 1DHQ x http://t.co/aA?
17899839_391610725103198209 x	RT @CindyMargolis: Make sure u follow @theSEENonline as well as one of my favorite new groups @INFINITYBOYS4 Supporting amazing new talent ?
17899839_391610492625514497 x	http://t.co/GssFZb7ndn
17899839_391610538913828864 x	@neilcirucci http://t.co/WbqV3PtZH0
17899839_391609067124174849 x	RT @Cyber_FM: Ylvis @Ylvis - The Fox - #NowPlaying on CyberFM http://t.co/DusyL7yeGF
17899839_391609014296915968 x	RT @accesshollywood: Access' Tim Vincent with Christopher Eccleston at the #ThorDarkWorld junket in London http://t.co/42Xx4T6D9d
17899839_391607037953470467 x	RT @taylorsgrape: #TracersInBrazil #Forbes30 #Forbes30Hollywood Taylor Lautner #30under30 Taylor's 2008 Keith Munyan Photoshoot 58/71 http:?
17899839_391606778355388416 x	@VictoriaJustice great cover shot. i remember Steven Wasem telling me that you should use that one  :)
17899839_391606335428493312 x	RT @FeliciaPMusic: I posted a new photo to Facebook http://t.co/G7NU0cyKFh
17899839_390958660895006720 x	RT @Marvel: #ThorDarkWorld production designer Charles Wood talks about bringing #Thor's world to life! http://t.co/nTaKJKSYUf
17899839_391581778097360897 x	@FeliciaPMusic  doing good FP!  workin' on a reality music based show that may be shot in Atlanta..think you would fit well into  cast.:)
17899839_391580089009188865 x	RT @Bethenny: The apple doesn?t fall far from the tree. http://t.co/sxtYTkEHX8
17899839_391375434643808257 x	RT @ChloeGMoretz: Had an amazing time coming back to #KellyAndMichael! Love seeing @KellyRipa! http://t.co/qiEulm9aRp
17899839_391297802526924800 x	@RachelZoe @GeorgiaMJagger  @cindymargolis would love a RZ makeover!  :)
17899839_391297533688807424 x	RT @RachelZoe: We drove past a billboard of @GeorgiaMJagger and Skyler said "that's mommy!" I mean, I didn't think I could love him any mor?
17899839_391296197484216320 x	RT @LoriMoreno: SURPRISE: Google?s DoubleClick Bid Manager To Be Part Of Facebook Exchange http://t.co/M4vrOL9y9l
17899839_391296186226720768 x	@LoriMoreno no surprise here  :)
17899839_391296005859065857 x	@forbesriley YES!     :) :)
17899839_391260631468236800 x	RT @JacLaurita: Flashback Pac-Man Fever song (Original) http://t.co/lvPexogu6c via @youtube
17899839_391260348298166272 x	AC Plugged In Daily is out! http://t.co/yQ6ss47rzo ? ? Top stories today via @YahooOmg
17899839_391260210129424384 x	http://t.co/xtT1RyBKaJ
17899839_391259812597489664 x	http://t.co/BfazIHinW9  RULES!  No Brag  Just Fact!
17899839_391259651519418369 x	RT @FeliciaPMusic: Just joined #musicforgood on @ReverbNation - now 1/2 of my song sales are donated to @lhsf http://t.co/QfeOdteAiO
17899839_391258979189276672 x	BE  SEEN  BE HEARD  BE DISCOVERED  http://t.co/Kam1v6C2zc
17899839_391259102774452224 x	@neilcirucci @CindyMargolis  PRESENTS  @theSEENonline
17899839_391226126686642176 x	RT @PerezHilton: @RosieHW Rosie Huntington-Whiteley Blazes Out Of The BBC Radio 1 Studios http://t.co/TVR3pLIEF3
17899839_391226062975152128 x	RT @c_herren: Great am with the kids at NORTHWESTERN HS in Ct .. #fearthedear !!! #beyou #projectpurple
17899839_391225540310335488 x	@ESPNStatsInfo @Seahawks my ffl defense  good job last night, guys!
17899839_391225415689195520 x	RT @ESPNStatsInfo: .@Seahawks are 6-1 for the first time in franchise history. We run through their keys to victory Thursday here http://t.?
17899839_391224829363240963 x	RT @Variety: Soccer Star Robbie Rogers Makes His Hollywood Debut http://t.co/Q1CNrnAE9q
17899839_391224061591695360 x	RT @ENews: Chlo? Grace Moretz's Mom Found It "Difficult" to Watch Her Daughter Get Abused in Carrie http://t.co/h11GBXkxK5
17899839_391223261503029249 x	http://t.co/pvxouzV5Xx
17899839_391015995009036289 x	RT @VH1Music: #TBT My Fav @OfficialTLC video is ____________. Take a look back at TLC's best videos in GIFs: http://t.co/KMQpky7Nz3
17899839_391015951476330496 x	RT @Variety: October Awards Buzz: What's on Top and What's Not http://t.co/J0TJQvmtP5
17899839_391015892957396992 x	@GoPhillyFlyers Peter Lavolette is laughing his butt off!
17899839_391015729169846272 x	@NHLFlyers season is a wash  start making trades!
17899839_390995233887879168 x	RT @c_herren: Yikes me too !! RT @emh021: @c_herren looking forward to your Note to Self on @CBSThisMorning cc: @Girliegirls
17899839_390995049216868352 x	'Johnny Carson' Book Offers Juicy Peek Into Late Night Host's Life http://t.co/KsvSnDXLCH via @HuffPostEnt
17899839_390984413313372160 x	RT @MrAndrewDawson: ? http://t.co/XsAgznmEHs
17899839_390984334775037952 x	@LilyAldridge @fusetv Good job  LA  :)
17899839_390984230286528512 x	RT @LilyAldridge: Hosting countdowns just might be my new favorite job! Watch me tonight on @FuseTV?s #Sexiest Videos at 9/8c: http://t.co/?
17899839_390962863856050176 x	RT @virginrecords: Get a free download of ?Haunt?, live from @BASTILLEdan?s first LA show when you sign up here: http://t.co/C8PqneARCL #ba?
17899839_390962759795363840 x	RT @Eminem: Thanks to @Hot97 and @Real_MisterCee! http://t.co/GDaz3yUVy8  http://t.co/MJEVG201GZ
17899839_390962306860847104 x	be seen  be heard  be discovered Cindy Margolis presents http://t.co/WbqV3PtZH0  sign up now for Free!
17899839_390961208037101568 x	Mike Esterman @MikeEsterman Protected account 12m Come out for the Grand Opening Party (Nov. 13th) of the @SugarFactory in Hollywood hosted
17899839_390960836790874112 x	@TMZ @CelebrityScene Cindy Margolis on board as host for reality show pilot, "BEAUTIFUL MINDS"  "Top Model meets The Apprentice"
17899839_390960566262456320 x	@TheSoup @CelebrityScene Cindy Margolis on board as host for reality show pilot, "BEAUTIFUL MINDS"  "Top Model meets The Apprentice"
17899839_390960314117660673 x	RT @KTLA: LA city councilman sued by former aide who alleges he demanded sex to support her candidacy for LACCD board http://t.co/uhxdqmCMeD
17899839_390959540461527040 x	http://t.co/bj7allvfqk
17899839_390959011471687680 x	Ed Lauter Dead: Veteran Actor Dies at 74 http://t.co/dxpf4ckxAh via @YahooOMG
17899839_390958749952655360 x	RT @ACPluggedin: AC Plugged In Daily is out! http://t.co/tbrxmOg9K7 ? Top stories today via @APEntertainment
17899839_390957543222030336 x	RT @jenstpeter: So excited, just found out @EthanZohn is our keynote speaker at the @BeTheMatch annual council meeting on Saturday night!
17899839_390957390155108352 x	RT @wired965philly: #NP "My Name Is" by @Eminem!!! For the next 15 min, it's all EMINEM!!!! Happy Birthday SLIM SHADY!!! #Philly
17899839_390956907550089216 x	@samontv @CelebrityScene Cindy Margolis on board as host for reality show pilot, "BEAUTIFUL MINDS"  "Top Model meets The Apprentice"
17899839_390956337577750528 x	@CelebrityScene Cindy Margolis on board as host for reality show pilot, "BEAUTIFUL MINDS"  "Top Model meets The Apprentice"
17899839_390955001620615168 x	RT @MTVBuzzworthy: You, me @skatersnyc & the undead. Stream their @MTV Artist To Watch Live NYC @WebsterHall show Monday 10/21 9:45p ET: ht?
17899839_390916416397783040 x	RT @KatieHeartMusic: @whitnaaaaasty hi I could not agree more! I need my hot date back in my life like ASAP ??
17899839_390908307059138560 x	RT @funnyordie: Fred Armisen is still around for another 30 minutes! Keep tweeting questions @funnyordie & read live answers here: http://t?
17899839_390908213329018880 x	RT @thezoereport: Boots + Shoes = Shooties. Dig it. http://t.co/slfVKA1VZO
17899839_390880699768516608 x	RT @NikkiFinke: Jennifer Howell To Head Comedy For Paramount Television http://t.co/9gSL8QXinR via @Deadline
17899839_390880653429846016 x	RT @HuffingtonPost: R. Kelly's album gets delayed http://t.co/6XWO6sfmqm
17899839_390879273382211584 x	So, Bruce Jenner wants to become a Transtesticle..this can't be good!
17899839_390879062505172993 x	RT @EwaWladymiruk: Me and my love Amra captured by @modelsjam ? http://t.co/IVcfygMeyr
17899839_390879029017866240 x	@EwaWladymiruk @models_1 @ModelsJam Beautiful pic, girls   :)
17899839_390878916019109888 x	looking for female models (18-30) for Reality Show pilot Hit me back  neilciruccipr@aol.com
17899839_390878624376582144 x	Calling all #musicians and #models! Show us your #talent!  http://t.co/7S7NtqYqtY  wants you! http://t.co/tqD7oYa7pe
17899839_390878404100104192 x	http://t.co/HaAPAho3P7     @INFINITYBOYS4
17899839_390878510069215232 x	@INFINITYBOYS4 seee them at @theSEENonline
17899839_390877797431795712 x	RT @wbr: WATCH: Have you seen @skatersnyc's new music video for "Deadbolt"?  Check it out here: http://t.co/05Mb3JbL8b
17899839_390877655563649024 x	RT @MTVBuzzworthy: MTV EMA performer @MileyCyrus busted trying to sneak into Amsterdam! Watch the video: http://t.co/7HN4HWo31h
17899839_390657993999532032 x	RT @peterfacinelli: If you read the newspaper everyday, you should be recycling everyday. Proud to #recycleright w/ @RecycleAcrossAm http:/?
17899839_390566930160959488 x	http://t.co/K3dnXpWFFZ  Before You Tube, Twitter and Face Book!
17899839_390566546973528065 x	@mystudiovideos Rocks!  Ari, Shelly and http://t.co/ApVY1p0n1I  Rule!
17899839_390550166727454720 x	RT @NFL_ATL: Do the Chiefs have the @NFL's best defense? http://t.co/KJtJKYhvJ8
17899839_390549759921889280 x	@18aKiN18 http://t.co/WbqV3PtZH0
17899839_390549240927096833 x	http://t.co/XaZfIpJRQV          Tommy Dee Sweet Little Lover....
17899839_390548115154931713 x	http://t.co/6XGEcBJYL3 The movie that inspired me to be a publicist/manager...
17899839_390284802160459776 x	RT @ErinAndrews: Check out @Ken_Rosenthal's sitdown with John Lackey on @FOXSportsLive on @FOXSports1..very candid comments by Lackey..grea?
17899839_390284773404315648 x	RT @tpanotchCSN: this is where the #Flyers need their PP to make a difference in a tight game where they should earn at least a point
17899839_390250651663335424 x	RT @jasonderulo: Worldwide Trend again! Much love!  #derulofamily http://t.co/bOTy0TdZsp
17899839_390214835482275840 x	RT @HuffingtonPost: Mario Lopez suffers embarrassing wardrobe malfunction during his birthday (PHOTO) http://t.co/bxc8Qy5fDf
17899839_390214003177185282 x	@cindymargolis http://t.co/WbqV3PtZH0
17899839_390213414909272064 x	RT @elektrarecords: .@JuniorPromz new single "Sheila Put The Knife Down" is out now on @ITunesMusic! Listen: http://t.co/JsiokP7Gz3 Buy: ht?
17899839_390212246724296704 x	RT @IMDb: James Franco's novel #ActorsAnonymous is out today: http://t.co/9vWxMvYuac  Watch the promo for the book:  http://t.co/D3jarva6Fw
17899839_390202088942088192 x	RT @TheXFactorUSA: The fun begins with #TheFinal16!!!! #xfactor http://t.co/u6ZgKxyYWh
17899839_390159970043326464 x	RT @britneyspears: Cat's out of the bag people.... #BritneyJean!!! Bringing ALL of me to the music... DECEMBER 3
17899839_390158514640793600 x	@domirrera Miss you Dom!  :)
17899839_390158411389603841 x	RT @domirrera: Philly fans cant b blamed 4 matt schaub being cheered when he was hurt. N please put the philly santa claus story to rest le?
17899839_390158197375258625 x	@Wildwood365 Mack's Pizza RULES!
17899839_390157707191123970 x	http://t.co/8jXXXxHfvH  Buddy Criss Angel premieres tonight BELIEVE!  SPIKE TV
17899839_390155602019643392 x	RT @RodneyJerkins: Sing A Song http://t.co/5tHBz6Icso
17899839_390155547359444992 x	RT @JennaMorasca: Need some Halloween costume ideas to wear into @EWlive on Halloween! Dalton is keeping his costume a secret! Grrrr
17899839_390155518926274562 x	@JennaMorasca :) :) :) :) :)
17899839_390155396481945600 x	Rowanne Brewer, Bille English, Tiffany Richardson, Karen Croney, Brooke Morales I miss the days of posters and calendars!
17899839_390155058802733057 x	Mia Bergmann @MiaBergmann10 27m For the soul http://t.co/U3XwlQz0E2
17899839_390154973977133056 x	RT @MiaBergmann10: For the soul http://t.co/mnm5HjaDhN
17899839_390154460241989632 x	http://t.co/Dx2QO4hiAy and @MyStudioVideos  Rule!
17899839_390153839929606144 x	be seen  be heard  be discovered! http://t.co/WbqV3PtZH0 @CindyMargolis
17899839_390152168423956480 x	watched The Purge Last Night with Ethan Hawke. Pretty good scary flick. very original plot, I like that...
17899839_390151856803942400 x	http://t.co/h4AkNHEUYS
17899839_390151497217867776 x	@MindyKaruk Lookin' good  MK  :)
17899839_390150991644852224 x	RT @TMZLive: the REAL holdup on the "Entourage" movie ... certain people are being way too greedy. http://t.co/5KDjxYPRZO Will the movie ev?
17899839_390150842415722496 x	RT @DCComics: Kara has some exploring to do in this preview of Supergirl #24. Read it here: http://t.co/wKBKqy849C
17899839_390147404218892288 x	http://t.co/8O9SKtZgs3
17899839_389943297382170625 x	RT @joykinga: Great meditation Guided Meditation for Healing - Experience the Pure Loving Energy of the Universe http://t.co/DBbCKsItkw
17899839_389910203451207680 x	http://t.co/x1XtluyqNf A Halloween treat. My buddy Kane Hodder (Jason Voorhees)  pays a visit to Arsenio Hall.
17899839_389909363831226369 x	@HEYDJCAMPER DJ  Hit me up, Yo...
17899839_389909181911683072 x	RT @TresTres_33: @iExclusiveBeatz is the man!!! Check his video out yall!! Featuring grammy award winning producer @HEYDJCAMPER
17899839_389908436181200896 x	RT @PerezHilton: Ian Somerhalder Leads The Super Sexy Pack In Fifty Shades Of Grey Fan Vote! See Who's Right Behind Him HERE! http://t.co/m?
17899839_389899548467802112 x	RT @Dyliciousg: I posted a new photo to Facebook http://t.co/qs5RJ9JtIj
17899839_389893980101419008 x	@samontv Cindy Margolis new venture  http://t.co/WbqV3PtZH0
17899839_389893835095945216 x	Well done - http://t.co/ApVY1p0n1I amazing new technology :)
17899839_389893678224797698 x	RT @Bikinicom: We interviewed Chrissy Teigen, Nina Agdal & Irina Shayk tonight at Beach Bunny. Triple whammy Sports Illustrated Swimsuit Su?
17899839_389892662494363648 x	@ninenorthlp r.i.p. Maxine :)
17899839_389892601186250753 x	RT @ninenorthlp: RIP to one of music's great secret weapons: Maxine Powell, Motown Charm Coach, Dies at 98 http://t.co/ziden1erC7
17899839_389890349637701632 x	RT @Marvel: Get an exclusive look at tomorrow's new #Marvel's @AgentsofSHIELD: http://t.co/rTDRNw4KAN http://t.co/wRjR366DdB
17899839_389890129998786560 x	@BobCooney76 nice save, BC  lol
17899839_389889995877531648 x	RT @AtlanticRecords: TV Alert: @MattCorby's #MadeOfStone can be heard on tonight's episode of @NBCBlacklist - 10/9c on @NBC! #TheBlacklist ?
