438513294_387672057754185728 x	@PlumeApp is saving position in lists finally fixed
438513294_342811856815140866 x	RT @CandiLissa: I finally get what Verizon meant with its 'Share Everything Plan'. #NSA http://t.co/jBgR8ulj9F
438513294_338463533396283392 x	Check out my ride in #CSRRacing for Android! Try it for FREE! http://t.co/JcAZiH5WST http://t.co/i4VSwdp7at
438513294_338459978748801025 x	Having fun playing CSR Racing for Android, why not join me for FREE? http://t.co/JcAZiH5WST
438513294_333427971358601217 x	@kejar31 please go to rootz!!!   @xda is the worst android site out there.
438513294_332899340685307904 x	@JaiThemes where can I get your icons?  I have searched everywhere and still cant find them.
438513294_331972886015393793 x	@xdadevelopers when will the site be back up?
438513294_324686365960830976 x	?@espn ?@BillSimmons Tonight's national anthem from the Bruins-Sabres game in Boston. You should watch this. https://t.co/0kyabamdnm??
438513294_324575252409630720 x	@AndroidSPIN and absolutely sucks.
438513294_314540264003862528 x	@RobirdAndroid actual time and lists keeping position after refresh
438513294_311584991329001473 x	@RobirdAndroid #robird actual time display and ability to keep list position would be great.
438513294_310463082134654976 x	@VZWSupport is 4g/3g down in zip code 18040?  3 phones with no data signal.
438513294_305905019243339776 x	RT @JaimePuls: Never stop retweeting. http://t.co/uuCSRGCx
438513294_303714962369564672 x	@BeansTown106 @Droid_Hive @RootzWiki please do. Xda sucks.
438513294_299983902305554432 x	RT @_laurengreeeen: National orgasm day guys http://t.co/WyoufbOh
438513294_293553316200333312 x	RT @CreepShot: The Reef Girls! Need I say more? - @CreepShot http://t.co/w5trdKkc #creepshot
438513294_265644444353691648 x	@bignadad updated builds on root wiki are great. Very little drag Wizards miui GB is the smoothest ROM for the DX. Great battery life too
438513294_258217579628347392 x	RT @ebart84: @vzwsupport .@VerizonWireless stop selling our geographical locations, app usage, and Web browsing activities you BASTARDS! ...
438513294_258216879317987328 x	@X13thAngelX my hands are up.
438513294_240634021263065088 x	@xdadevelopers can someone please moderate the Google now ics thread in the android apps sect. Dev is demeaning and belittling your members.
438513294_234824499005108226 x	@ShawnMichaels blackberries are outdated. Get an android based phone.
438513294_233969671307657216 x	@VerizonWireless do you actually notice the amount of negative feedback you get?   Try making your customers happy for once.
438513294_224978800960737280 x	@VerizonWireless except all the other carriers with unlocked bootloaders. Another scumbag move by verizon
438513294_223557347543486464 x	@VZWDeals is it unlocked bootloaders?   If not, who cares?
438513294_223427666349535232 x	@VerizonWireless you forgot to mention the bootloader is locked.
438513294_222763071016415233 x	@VerizonWireless do the apps unlock bootloaders?
438513294_222355085680848898 x	RT @Will_Shoe: @verizonwireless You are blaming Samsung for the locked bootloader?? When THEY sell it worldwide WITHOUT?? Gotta be KIDDI ...
438513294_221977131528372226 x	RT @jedi_squirrel: RT @DroidModderX: @VZWSupport thanks for being the only carrier IN THE WORLD TO LOCK THE BOOTLOADER (cont) http://t.c ...
438513294_221762863847579648 x	@travp624 AOKP all the way
438513294_213020579152924672 x	@VZWnews here's an idea.   Don't rip people off with your new plans.
438513294_212980055587045376 x	RT @teck_Z33: @droid_life @VerizonWireless is making it easier to switch to another carrier.
438513294_212977821872701442 x	RT @djkrussell: @VerizonWireless I will be ending my contract if I lose unlimited data. How greedy can you get the share plans suck
438513294_212924421223088129 x	@VerizonWireless Happy Fathers day!   Here's a major price increase to celebrate with. Good move verizon.
438513294_212622809325776896 x	@VerizonWireless you're shared pricing sucks. Does this cancel my contract without ETF? Time for a new provider.
438513294_212611261496705025 x	RT @Garemlin: @VZWSupport @VerizonWireless You are not gonna convince ANYONE that the shared everything plan benefits anyone but you.
438513294_212557312727056385 x	@P3Droid no. My bill is gonna from $280 to over $320. Bullshit!
438513294_212556998804373504 x	@VerizonWireless thanks for the huge price increase. Plan for the people? Who did you ask?  Doesn't look like anyone is happy.
438513294_197053297616625664 x	@RootzWiki tapatalk isn't connecting again
438513294_194974196948930562 x	@RootzWiki tapatalk not connecting?
438513294_194946557840334848 x	@RootzWiki website down?
438513294_193461865228148736 x	@BeansTown106 thanks Beanstown. The link on miui.us. is still 4.13
438513294_183019201634631680 x	@X13thAngelX any idea why some web pages won't load. On this mornings build.
438513294_183022217565704192 x	@X13thAngelX   gonna flash your build from tonight. See if that fixes it. Thanks for all your work. Its very appreciated!!
438513294_168173858023682048 x	RT @havens1515: .@Motorola did any of those updates #unlock #bootloaders like promised?? #OPMOSH #OPMOSH2 #Android @motodev @VerizonWireless
438513294_164416446892490752 x	RT @droid_life: #OPMOSH Isn?t a Fan of Motorola?s New RAZR Developer Edition, Deems it ?Unacceptable? - http://t.co/FJOftFfp #android
438513294_160386666727616513 x	RT @Mobile_Sensei: @bigxie Check out Jorte, it's a great app, makes great use of tablet layout.
438513294_159332801395691522 x	RT @havens1515: Are you a geek or a nerd? Well in either case, @Motorola phones aren't for you b/c of their #locked #bootloader. #OPMOSH
438513294_156846305061240832 x	@Motorola how are the unlocked bootloaders coming?   HTC is looking better and better
438513294_156094346721107970 x	@Motorola   How about those unlocked bootloaders you promised second half of 2011? @HTC cares, do you? #M.O.S.H.
438513294_156093921305427969 x	RT @DroidSalez: @Motorola - How about those unlocked bootloaders you promised second half of 2011? @HTC cares, do you? #M.O.S.H.
438513294_155385245993152513 x	@Motorola why is my bootloader still locked. Broken promises?
438513294_155055544502206464 x	@Motorola  How about those unlocked bootloaders you promised second half of 2011? @HTC cares, do you? http://t.co/UlUafpwW
438513294_149304825165791232 x	RT @NegriElectronic: Enjoy free Express Saver (3 Day) shipping today only! Choose Express Saver or "Free Shipping" and receive a free up ...
