91243226_376831742843555840 x	@MattBarkley Same here.
91243226_380470140259008512 x	@The700Level Roy Halliday had some good years here in Philadelphia but it is time for him to move on.
91243226_380332109216624640 x	@TheSeanDon Absolutely Sean. Billy Lange does a great job on Jay Wright's staff and is a great asset.
91243226_380116619718307840 x	@alvenella Nice to see.the support Allison.
91243226_379961926744547328 x	@ESPNStatsInfo Cliff Lee has been one of the few bright spots on this year's Phillies team. Great performance last night.
91243226_379961518064168961 x	@ESPNStatsInfo Cliff Lee has been one of the few bright spots on the Phillies this year. Great performance last night.
91243226_379767876821209088 x	@VUhoops Let's hope the Cats get first win of the year.
91243226_379351373953105920 x	@KacieFOX29 Eagles should have had this one. Gotta get Kansas City Thursday.
91243226_379350972952498177 x	@JeffSkversky Defense has to improve period.
91243226_379350775916670976 x	@Coach_Talley Wonderful news Coach Talley. Your charity certainly has made a difference in the lives of others. Keep up the good work.
91243226_379346084596031489 x	@CBSSports I like Denver in this one.
91243226_379345814285717505 x	@sheridanmj4 Good to hear Mike.
91243226_379021327195443200 x	@Brian_Ewart I agree Brian. Villanova needs to beat Stony Brook next week and get that first win of the year.
91243226_379004115898343424 x	@phillysport I listened to last week's game with Villanova and Fordham is good. Temple should have won but Fordham is no pushover.
91243226_379002742955835393 x	@SportsRadioWIP I listened to the Villanova-Fordham game last week and Fordham is no joke. They have a good team.
91243226_378118701503221760 x	@KacieFOX29 Let's go Flyers and get back into the playoffs this year.
91243226_378118295192633344 x	@FOX29philly I cannot wait for the Flyers to start back. Hopefully they will be back in the playoffs this year.
91243226_378117816547016704 x	@SethDavisHoops I agree Seth. Something needs to be done about this issue.
91243226_376831513356414976 x	@Bernieparent I cannot wait for the Eagles to start tomorrow. I like Denver and San Francisco as my Super Bowl pick.
91243226_375671792587014144 x	@CBSSports If Andrew Bynum ever returns.
91243226_375670633595957249 x	@FoxNews After all that Anthony Weiner has done he should expect the treatment he got.
91243226_375590302406701057 x	@ESPNAndyKatz I like Nova-Gtown matchup at end of year.
91243226_375220055715618816 x	@kurt13warner I have no argument with your list there Kurt.
91243226_375219507306172416 x	@JSalisburyCSN Phillies have seen better days.
91243226_374630228154654720 x	@VUhoops Shame to hear about Pat Haggerty.
91243226_374629089208188928 x	@975TheFanatic You can bet the fans would be very unhappy.
91243226_374628827450077185 x	@VUhoops Nice to see Ben land somewhere.
91243226_374277024300691456 x	@JeffSkversky Whatever can go wrong with the Phillies this year has.
91243226_374275722158014464 x	@sjnard Villanova played very well. Cats will be strong in CAA this year.
91243226_374239525708386304 x	@PatGallen_975 The NCAA is a total joke.
91243226_374238550285234176 x	@JayGlazer @ProFootballTalk I think Mike McGloin if he plays like he did at Penn State that the Raiders could have gotten a steal with him.
91243226_374172918718025728 x	@VUCoachJWright My thoughts and prayers are with her family and loved ones at this sad time.
91243226_374171501731119104 x	@VillanovaFH @UNCFieldHockey Go Cats!
91243226_374171209392345088 x	@975TheFanatic I was not getting my hopes up from the start. I say the Eagles will probably be 6-10 this season but will be interesting.
91243226_374170494980726784 x	@Myarou13 Best wishes Mouph in your new endeavors.
91243226_374170126242689025 x	@howardeskin Phillies need to go with younger players. Michael Young is getting near the end of the road anyways.
91243226_374169522388746241 x	@phillysport @LesBowen Not having started to play football until he was 22,Danny Watkins clearly was a reach as a first round pick.
91243226_373985796606283776 x	@Jeff_McLane I thought the pick of Danny Watkins was a reach to begin with being that he did not play football that long.
91243226_373445925391581184 x	@VillanovaCheer Go Cats.
91243226_373445503503314944 x	@GeorgetownHoops Way to go attacking the Exorcist steps.
91243226_373444809392156672 x	@NovaFootball Good luck against BC.
91243226_372715063146459136 x	@jillianbmele I am a proud graduate of Conestoga High School. How about those Pioneers.
91243226_372693506307162112 x	@975TheFanatic I think they should keep Nick Foles incase something happens to Mike Vick.
91243226_372691547864965120 x	@FoxNews Good to see the NYPD take the initiative against the terrorists.
91243226_372691113779691520 x	@KacieFOX29 Very touching photo there.
91243226_372690534475001856 x	@KacieFOX29 Hope you are okay Kacie.
91243226_372369010090078209 x	@VUhoops I feel good about Cats chances Saturday.
91243226_372039281503895552 x	@Brian_Ewart I have a good feeling about Saturday's game. Would not be surprised if Cats won.
91243226_372038688353841152 x	@sheridanmj4 Looking forward to the season Mike.
91243226_371980520131158016 x	@howardeskin I agree. Like the new approach from Chip Kelly.
91243226_371980050067103744 x	@DickieV Same here Dick.
91243226_371978917550493698 x	@PhillyDailyNews Great to see Doc Halliday back with a good outing.
91243226_371978499328053248 x	@VUCoachJWright Well said Jay.
91243226_371746119434661889 x	@LesBowen Agree Les. Wait until the players hear it first.
91243226_371745698808881152 x	@Phillies Nice to see Roy do well in his first start back.
91243226_370615455356309504 x	@MTHTrains Nice.
91243226_370615019106729985 x	@howardeskin Allen Iverson realized he had a great  career but that it is time to call it quits.
91243226_370614010833825792 x	@tchennault1 Well said.
91243226_369417274655899648 x	@HoopsWeiss Cannot see anyone beating Bama.
91243226_369416491189301249 x	@kjbert You too. GO Cats.
91243226_367310024491954177 x	@japewang You too.
91243226_341263842740953088 x	@Bernieparent You and Fred Shero with the greatest. Classic!
91243226_341263459377356801 x	@Bernieparent @Hartsy19  I see my man Jay Wright in picture. Nice!
91243226_341263163884453889 x	@Bernieparent @Kuz20 Nice to see Great One with your picture there Bernie.
91243226_339023968679907328 x	@VillanovaCheer Great photo there.
91243226_339022811593072640 x	@JennFredFOX29 @FOX29philly Same here Jen.
91243226_339022552175362052 x	@VUCoachJWright @wwpinc You too Jay.
91243226_320919120516374528 x	http://t.co/mj94wDeyrN Photo: 4822 Penn Central GG-1 at Jersey City, New Jersey by miningcamper http://t.co/hxUN9FgG2d
91243226_252469986046640129 x	http://t.co/9ITQMEw3 Photo: AMTK 920 Amtrak GG-1 at Philadelphia, Pennsylvania by Don Oltmann http://t.co/KDzjvILr
91243226_229622253761990658 x	http://t.co/9ITQMEw3 Photo: PC 4889 Penn Central GG-1 at Monmouth Junction, New Jersey by Ron Flanary http://t.co/TBFj4XqU
91243226_229213797645172736 x	@VUCoachJWright  Here's to a good season Jay.
91243226_229213549942161408 x	@Klow7 Well said kyle.
91243226_217791251699863552 x	@novabuzztap Love to see Randy with the 76ers.
91243226_217790808198365187 x	@dgoneil1 Shows why Tom Izzo's one of the best.
91243226_217790182789885953 x	@DickieV Me too.
91243226_217789989411500032 x	@michaelstrahan You can say that again.
91243226_217789720112013312 x	@Coach_Chambers Keep up the good work Pat.
91243226_173614893017214976 x	@JeffSkversky @6abc St.Joe's was fired up for tonight's game. Temple came off close game with LaSalle. Big 5 games always tough.
91243226_85750472320892929 x	@D_Stro Surpised at first but part of business.
91243226_83909298182303744 x	@VUCoachJWright @Coach_Chambers Very glad for Keith Urgo as well.
91243226_21243148931960834 x	@VUhoops Same to you.
91243226_21204099176 x	@PhillyPhillies nice gem by Roy tonight.
91243226_11960056161 x	@MTHTrainsLike this new club car.
91243226_11960010254 x	@ThePhillies I'm liking this team alot. Offense going to be great this season.
91243226_10071449031 x	@DickieV Those things happen occassionally. They will not be down for long though.
91243226_10071361135 x	@ThePhillies Good to see Cole Hamels with good outing.
91243226_10071310089 x	@TheSeanDon Can't wait. It will be nice to see guys from 85 championship team.
91243226_8427145964 x	@DickieV I think they watched how Villanova beat them in last year's NCAA's.
91243226_8427123178 x	@georgetownhoyas I'll bet Coach thompson looked at highlights of Villanova's win over Duke in last year's NCAA's.
91243226_8427078066 x	@georgetownhoyas Hoyas reall beat Duke all over the court on the offensive and defensive end of the floor.
91243226_7422773059 x	@georgetownhoyas Chris Wright was strong in the Hoys win over St.John's. One of the better guards in Big east.
91243226_7422722928 x	@MLB Great career. Randy Johnson one of the best I ever saw.
91243226_7422698383 x	@Sixers He deserves it. I cannot fathom the Cowboys being America's team.
91243226_7337648516 x	@TheSeanDon Scottie absolutely clutch.
91243226_7337627601 x	@dgoneil1 Kansas too deep for Temple. May very well be National Champs.
91243226_7337599678 x	@GoldBlueWVU Not this year. They have not played well enough to get back to playoffs.
91243226_7337539374 x	@NFLONFOX Think Tom Brady is player of decade too.
91243226_7337526497 x	@MLB Think Tim Raines should be in the Hall of Fame and Andre Dawson and Bert Blyleven should definitely be in.
91243226_7243314812 x	@DickieV I'm sure it's tough anytime you go from a winning program like the Tar heels to an NBA team that is going through tough times.
91243226_7243250275 x	@ESPN_CollHoops I'll be watching. especially the GTown-St.John's game.Love the Big east.
91243226_7243201597 x	@DickieV i'll second that.
91243226_7243180152 x	@Coach_Chambers Good  luck Pat.
91243226_7114271041 x	@dgoneil1 People need to take a look at the likes of Dean Smith,John Thompson and Bob Knight to see that you should get out with class.
91243226_7114208902 x	@dgoneil1 I absolutely agree Dana.
91243226_7096049827 x	@VUhoops I think Villanova has to at least consider making the move.
91243226_7033420920 x	@cvuocolo I can understand that.
91243226_7002782592 x	@Yankee_Fan_09 Although I am a Phillies fan I do like the Yankees. I do not like the Mets though.
91243226_6835424353 x	Nice job by the Villanova Football team in winning the National Championship last night. Chris Whitney and Matt Sczur awesome.
91243226_6747451996 x	@DickieV Was at that game and as Nova fan I can say Temple deserved to win. They played better. Cats will be fine though.
91243226_6369768836 x	@VUhoops Great pickup by the Cats. Cats will be NCAA champs very soon.
91243226_6254478880 x	@dgoneil1 I think Yarou should sit out till 100 percent healthy. Nova doing the right thing.
