37472651_197345956491051008 x	Become a Member / Make a Donation - - Paul Nolan Miralles Association http://t.co/m3xTI5gf
37472651_60464452293771264 x	While we wait if any of you have a good story or photo of Paul please feel free to do so
37472651_60460103408689153 x	The search is still ongoing...just takes time...
37472651_60455488889946112 x	Please keep Pauls friends and girlfriend Elsa in your thoughts and prayers..they have been through so much.
37472651_60451962268827648 x	The search may take some time..this dredging process is not very fast..
37472651_60448053840183296 x	They are going to search through the night!!! Thank you everybody for going there and making your presence felt. That is good news.
37472651_60445567448391680 x	This facebook page has had over 132 thousand hits...consider yourself popular Paul!
37472651_60444068571914240 x	THERE WAS NO BODY FOUND..IT WAS BAD INFO..SORRY ALL
37472651_60439938545623040 x	Nothing is confirmed...i do not have this from a direct source but they may have found a body.THIS IS NOT CONFIRMED TO BE PAUL
37472651_60438671668686848 x	Paul there are so many people who love and miss you! I am a very proud brother. We will have you home soon.
37472651_60431825042018304 x	The police are still searching...the process takes some time...
37472651_60419902829379584 x	Any step to find Paul is a good step.
37472651_60418227863433216 x	Dredging has begun...
37472651_60408348897583104 x	Thank you everybody for your support. Paul would be very grateful. You are welcome to go to the hard rock canal... http://fb.me/LxGYyupu
37472651_60397993861464064 x	THe police cannot find him with their sonar so we will wait patiently for the drench machine. We are thankful that... http://fb.me/WaiC6c00
37472651_60397001778544640 x	Pauls Body is in the canal by the hard rock cafe. Please go there and encourage the police to do everything in... http://fb.me/10qTdV0fB
37472651_60393308219912192 x	Pauls Body is in the canal by the hard rock cafe. Please go there and encourage the police to do everything in... http://fb.me/v24yPBha
37472651_60391581424943104 x	We are now waiting for machinery to drench the canal.... this may go into the dark so if you have powerful flash... http://fb.me/TzM5Wz9j
37472651_60385810846982145 x	Pauls Body is in the canal by the hard rock cafe. Please go there and encourage the police to do everything in... http://fb.me/ZVTNQeNr
37472651_60373397800091648 x	They have been pursuaded to stay but are no longer using the sonar equippment,,they are going to drench the... http://fb.me/Pl0c66Hf
37472651_60370138687475716 x	IF YOU ARE NEAR TO THE SEARCH AREA, PLEASE HELP PROTEST AGENST THEM STOPPING THE SEARCH FOR PAUL. PLEASE
37472651_60368889900576768 x	Whoever is near do not let the police stop the search...he is there..go to the site and protest NOW please
37472651_60332366299803648 x	RIP Paul we are devastated! Police go and get his body NOW
37472651_60298932554698752 x	Ongoing Search :: findpaul.org | http://fb.me/W9Nvl3tP
37472651_60213868055633921 x	Paul, you are so dearly missed, its rare to come across someone like you who can brings nations together to find... http://fb.me/ZjzinOka
37472651_60123440954347520 x	Thx for posting the bike photos
37472651_60088496341270528 x	If anybody has any more vidoes of Paul we would love to have them.
37472651_60081028861132800 x	Zoekactie naar vermiste Paul Nolan-Miralles http://fb.me/OpZ6TWn3
37472651_60078307085000704 x	Latest news . . . . http://fb.me/EFJBamWX
37472651_60065423844065280 x	I think this man, cut the police tape and got arrested on the spot. I have no words to say, apart from some people... http://fb.me/Lj4MOcKd
37472651_60064759508238336 x	You can translate this to english in the top menu bar. http://fb.me/sV21fUBK
37472651_60049917686710272 x	THANK YOU FOR YOU SUPPORT, PLEASE KEEP IT UP, WE CAN NOT STOP UNTIL WE FIND HIM. THANK YOU FOR ALL YOUR KIND WORDS AND WELL WISHES.
37472651_60038571935023104 x	Transport Online Algemeen Nieuws - Zoektocht in grachten naar vermiste Amsterdammer http://fb.me/zEf7669q
37472651_60015557986095104 x	Lots of People on Twitter, talking about Paul and asking for information. What wonderful support, please keep it up. Thank you.
37472651_59991861565202432 x	Go to: Irish man missing in Amsterdam, for the Radio News http://fb.me/WxqFCyk4
37472651_59975753076449280 x	RTV N-H - Nieuws - Zoektocht in Amsterdam naar vermiste Miralles http://fb.me/xuwjPf5a
37472651_59975707211726849 x	RTV N-H - Nieuws - Zoektocht in Amsterdam naar vermiste Miralles http://fb.me/sRHFBqEa
37472651_59969532978147329 x	RTV N-H - Nieuws - Zoektocht in Amsterdam naar vermiste Miralles http://fb.me/Ln7cx5nf
37472651_59931041795801088 x	This Monday mornings Irish Times http://fb.me/R4ZllRpJ
37472651_59831724795904001 x	http://www.facebook.com/l.php?u=http%3A%2F%2Ftimesofindia.indiatimes.com%2Ftopic%2Farticle%2F05qNguX1lA4yN%3Fq%3DAm... http://fb.me/THAtw771
37472651_59831074859122688 x	http://www.facebook.com/l.php?u=http%3A%2F%2Fbillionaires.forbes.com%2Farticle%2F0enL891gMd3AR&h=b699d http://fb.me/ZomOjF9g
37472651_59830716833349632 x	Irishman missing in Amsterdam  billionaires.forbes.com
37472651_59826275853938689 x	http://www.facebook.com/l.php?u=http%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DryvJ4FLjQks%26feature%3Dshare&h=b699d http://fb.me/YxABfByZ
37472651_59799230293868545 x	This page has had over 58000 views... Thank you everybody.. We cannot stop until we have found Paul..Please keep helping to bring him home!
37472651_59795952772464641 x	@melchormiralles thank you for everything you're doing to find Paul. This is very painful but having such great support is wonderful.un beso
37472651_59793281621569536 x	Missing Irishman's family mount major Amsterdam appeal: http://bit.ly/gN8A0e from @the_irish_times
37472651_59652839932305408 x	Family of missing Irishman in Amsterdam appeal for information  http://t.co/C6GfIJv
37472651_59570550187630592 x	@BBCBreaking  retweet if you dont mind. search continues for my brother Search for missing Irishman in Amsterdam - http://bbc.in/g5bv8D
37472651_59570082229125120 x	@BBCAMERICA  retweet if you dont mind. search continues for my brother Search for missing Irishman in Amsterdam - http://bbc.in/g5bv8D
37472651_59569877706473472 x	@PhillyDailyNews  retweet if you dont mind. search continues for my brother Search for missing Irishman in Amsterdam - http://bbc.in/g5bv8D
37472651_59569466916352000 x	@BarackObama  retweet if you dont mind. search continues for my brother Search for missing Irishman in Amsterdam - http://bbc.in/g5bv8D
37472651_59568994700636160 x	@IanJamesPoulter  retweet if you dont mind. search continues for my brother Search for missing Irishman in Amsterdam - http://bbc.in/g5bv8D
37472651_59568851435782144 x	@Graeme_McDowell  retweet if you dont mind. search continues for my brother Search for missing Irishman in Amsterdam - http://bbc.in/g5bv8D
37472651_59568536821051392 x	@McIlroyRory  retweet if you dont mind. search continues for my brother Search for missing Irishman in Amsterdam - http://bbc.in/g5bv8D
37472651_59567302789697536 x	@WestwoodLee retweet if you dont mind. search continues for my brother Search  for missing Irishman in Amsterdam - http://bbc.in/g5bv8D
37472651_59565373074317312 x	BBC News - Search continuing for missing Irishman in Amsterdam - http://bbc.in/g5bv8D
37472651_17230976660807682 x	@HighCheese hey, with emotion aside do you really think the eagles can go all the way?
37472651_17229900742139904 x	@StewBradley 55 we miss you out there. Anychance of being back for playoffs.maybe after 1st round bye?
37472651_14837996222156800 x	http://twitpic.com/3fzwk3 -
37472651_14837769251594240 x	http://twitpic.com/3fzwbx -
37472651_14837608928518144 x	http://twitpic.com/3fzw5q -
37472651_14837289741979648 x	http://twitpic.com/3fzvtt -
37472651_14836708163981312 x	http://twitpic.com/3fzv6b -
37472651_14835425545822208 x	http://twitpic.com/3fztr0 -
37472651_13946844593782785 x	RT @rtenews: Live explosive found outside Dublin nightclub: The Defence Forces have confirmed that a suspect device recovered... http:// ...
37472651_13941603034992640 x	Bring on Cowboys!
37472651_13939062863831041 x	@landondonovan Have you ever won player of the year and if yes where?
37472651_13433413151232000 x	@joshgroban Are you in Ireland Josh?
37472651_13242858945380354 x	@melchormiralles Melchor, como estas, would love to have you over here for a visit in philly. Have you any plans to visit USA?
37472651_13248873950617601 x	@melchormiralles fantastic! If you have time we could go up and meet you for dinner..
37472651_13253485227155456 x	@melchormiralles Que bueno! I will email you my phone number..please call me when you over..I live about 2 hours from NYC
37472651_13252428233187328 x	@CutonDime25 Make sure those cowboys feel the heat sunday night! Goodluck.
37472651_13243459469058048 x	Loving today is friday!
37472651_13242217535639553 x	@LucasLeiva87 You have been playing great football this season..What do you think has helped you?
37472651_12890319003582464 x	@LeonardWeaver Leonard, is therapy painful during session or just after? We miss you out there! Hurry back.
37472651_12908965281136642 x	@LeonardWeaver I was curious cause i have the same with my PT....i guess that pains a good thing right?
37472651_12886471119732736 x	@McIlroyRory Mystery guest will be Greame Mcdowell}}
37472651_12885127554138113 x	Greame, with all the success NI golfers are having and alot of fan support do you think there is a real chance to get a tour event up north?
37472651_12183972888977408 x	@WestwoodLee Hey Lee, with european golf being as strong as it is, do you think our biggest stars should play in europe and usa?
37472651_11958784649 x	@melchormiralles Hola Tio Melchor! Espero ques estas bien! Un beso muy fuerte para ti y tu familia:)
