930609896_392792815836868608 x	@FightinForPHI well that's depressing
930609896_373240017294225408 x	RT @jimcramer: How painful is this Eagle-Jet game? The best part about it is the "Mike Mike Mike Hump Day" camel ad from Geico. I wish they?
930609896_372476684152619008 x	#HappyBirthdayBitch you are an amazing actor, Aaron! Thank you for your work!
930609896_369598981128855552 x	@SciencePorn beautiful
930609896_369598911474044928 x	RT @SciencePorn: Perseids Meteor show over Texas http://t.co/GUwZ5BslS0
930609896_369590908549083137 x	@NickMcIlwain1 it's all good. Your heart is in Philly but the scenario is what it is.
930609896_369585536648089601 x	@NewGirlonFOX all DAY!
930609896_369585471950966785 x	RT @NewGirlonFOX: #newgirl Season 3 Premieres TUE 9/17! #ReasonsToSmile
930609896_369082729448501248 x	@carlyciarrocchi it is hilarious how much my daughter loves you :-) thank god for sprout!
930609896_366529633694384128 x	http://t.co/4aQsAW5z2b
930609896_366529483311816704 x	@BetsyAnnPerez @BreakingBad_AMC couldn't have said it better! It's about damn time!
930609896_366529309789270017 x	RT @BetsyAnnPerez: Today, nothing else matters but @BreakingBad_AMC ??
930609896_365225011348389888 x	@RealGlenMacnow This phone call is hilarious. Please keep this kid on as long as possible
930609896_363665643813355521 x	@VoiceofBrendan, meet @Mr_BreakingBad. @Mr_BreakingBad , meet @VoiceofBrendan. If @Mr_BreakingBad ever knocks on your door, don't answer.
930609896_363655762599346179 x	Happy early birthday to Percy Shelley, whose sonnet inspired the most bad ass @BreakingBad_AMC commercial ever, read by @BryanCranston.
930609896_363654485975265280 x	@PHSportsGoddess what happened
930609896_363649590731755520 x	Eight days left @BreakingBad_AMC..... Bitter sweet
930609896_363007628446011392 x	Came down the shore and all it's down is rain. Womp womp
930609896_362308805712818176 x	@QualityLana whys that?
930609896_361142928896294914 x	I?m addicted to #BreakingBad. Help me unlock the #BBaddict app : http://t.co/cXnQPxxbu6 #BBaddict
930609896_361143540748783616 x	@VoiceofBrendan try it
930609896_361144158494273537 x	@VoiceofBrendan you know what I meant
930609896_361117842504032257 x	@JonMarks975 kudos on your engagement, man. I've been really out of the loop and I didn't hear til yesterday. Best of luck!
930609896_360932261408948224 x	@RealGlenMacnow @irishff12 @AnthonyLGargano can I say pat Gillick?
930609896_360439139490996224 x	@QualityLana please don't do that, mkay?
930609896_360190896668540932 x	RT @SciencePorn: Read more books
930609896_360173365404770306 x	The @PrestonSteve933 version of "The View" would be #Regis, #Bane, #CarlosDanger and #MichaelJackson. Make it happen, @mor100 !
930609896_359471050624483328 x	@BreakingBad_AMC why is it that I have seen the train heist a dozen times, and I'm still on the edge of my seat?!?!
930609896_359468427867467777 x	RT @BreakingBad_AMC: ??? RT @Jazzy_892: To think my jaw drops still in @BreakingBad_AMC and I'm watching it for the 3rd time
930609896_359442574505168896 x	@JimGaffigan I'm on page 19 and Im in tears laughing... The Grand Canyon story was hilarious!
930609896_359122448618635264 x	RT @LateNightJimmy: Special thanks to @LoriLoughlin and @BobSaget for helping make the Jesse and the Rippers performance so special!  http:?
930609896_359116956722405376 x	@BondGirlPam lol you should see my 30th birthday breaking bad tribute :-) its on my feed
930609896_359094963516100608 x	Went camping for my birthday. Made an ode to @BreakingBad_AMC :-) http://t.co/rvljhDDDUG
930609896_359070289885278208 x	Had a great weekend camping at Blue Rocks (@HappyTheCamper) celebrating my 30th. It's been my favorite spot since childhood!
930609896_358757793610088448 x	RT @JimGaffigan: I remember when breaking news didn't just mean, "Please don't change the channel".
930609896_358239090874937344 x	Hi Christa :-) http://t.co/HAYz43ZhXl
930609896_358236160075636736 x	@PHSportsGoddess por que?
930609896_358238613118521344 x	@PHSportsGoddess a nice phillies win will help
930609896_358238544470355969 x	@PHSportsGoddess feel better!
930609896_358234883405406208 x	Camping for the weekend, but I'll have @Phillies baseball on @SportsRadioWIP and a cold brew to keep me company! Go Phils!!! Beat the #Mets!
930609896_358230358409478144 x	@BrBaQuotes "yeaaaaa bitch!"
930609896_357937283225616384 x	RT @LateNightJimmy: This has never happened to you after blowing into a Nintendo cartridge: http://t.co/VM8WRCDiyH
930609896_357799778274377728 x	@TripleJ88 how do ya figure?
930609896_357841120924934146 x	@TripleJ88 perhaps, yea. But mike was never Gus's bodyguard. He was the fixer.
930609896_357846616717279232 x	@TripleJ88 can't argue that
930609896_357640639917207552 x	@VoiceofBrendan fail
930609896_357641046076833793 x	@VoiceofBrendan wtf is a vine?
930609896_357648396196134912 x	@VoiceofBrendan yea no thanks
930609896_356962109403308032 x	RT @deanjnorris: Brought my furry friend to direct an episode of #underthedome http://t.co/vcjAv4Y1Hy
930609896_356887593927311360 x	RT @FakeWIPCaller: Great move by the Flyers to finally get over their '70s legacy and embrace their '80s legacy
930609896_356886977209049088 x	@MikeMiss975 @TonyBrunoShow may win tomorrow? I guess so. Even the Sixers win a summer league game once in a while
930609896_356244077718675456 x	That's @Hersheypark happy :-) http://t.co/uWa3HAu5On
930609896_356169822968614914 x	Kudos to the well trained medical team at @Hersheypark! Helped my wife quickly  and professionally when she hurt her foot. Awesome job!
930609896_355829614255407104 x	@QualityLana love your song Blue Jeans. Awesome. Did you see it used with Breaking Bad clips??
930609896_355831544763514880 x	@QualityLana well I just downloaded the song on iTunes :-) Keep kickin ass!
930609896_355832308764393473 x	@QualityLana lol such a saleswoman :-) either that or I'm a pushover.... Wanna guess which is more accurate?
930609896_355839466927173634 x	@QualityLana lol thanks for the emotional support
930609896_355832996131110914 x	@LanaDelRey when are you in Philly??
930609896_355832777209421824 x	I wish Gustavo was still kickin ass and taking names http://t.co/qKyQVDnBUc
930609896_355830089096765442 x	RT @JulieRobenhymer: My dad just asked me what this #sharknado movie is that everyone is talking about today. Where do I even begin...??
930609896_355294323794907136 x	RT @cheygirl11: @PrestonSteve933 speaking of Candy Crush!!! I tell my kids this everyday...?? http://t.co/kMbv1ZZHnc
930609896_355294219184775168 x	RT @PattieGillett: @SenBobCasey @RichNegrin @Philly2024 Fund our schools before you advocate spending billions on Olympics!!!!
930609896_355145730853314560 x	@PHSportsGoddess I have a t
930609896_355076983392182272 x	RT @mstairs12: My daughter  took this picture of the sky. Weird but cool clouds http://t.co/qkHBl17x52
930609896_354723148979109889 x	@tpanotchCSN any Bryz rumors?
930609896_354413748171190273 x	@Phillies too funny
930609896_354413717301100544 x	RT @Phillies: Lannan gets a big "O" to end 8th. It's first time since 2009, he's pitched 8 innings. 8 ip, 4 h, 0 er, 2 bb, 4 k, 109 pitches?
930609896_353535644787687425 x	RT @PHSportsGoddess: WOW. RT @Deadspin: Soccer referee stabs a player to death, then gets beheaded during a game in Brazil http://t.co/yr4s?
930609896_353535633622441984 x	@PHSportsGoddess @Deadspin and Philly fans are bad?!?!
930609896_353500984137363456 x	My family and friends at the #Glenside 4th of July parade! http://t.co/i0HZHbAeDO
930609896_353500787772649472 x	I love it http://t.co/7TWxZwObVW
930609896_353500476051947522 x	RT @BondGirlPam: http://t.co/GvjCbL5GRa
930609896_353500449657192448 x	RT @BondGirlPam: August 11th, I'll be dancing and jumping all over the place. If u r a Breaking Bader, u know what I mean http://t.co/44tHJ?
930609896_353500240659226624 x	@BondGirlPam hug
930609896_353291041287319553 x	@NK975 @HARRYMAYES975 it'll be nice to see goalies battle to see who is the best, instead of just who blows less.
930609896_353290907279298560 x	@NK975 @HARRYMAYES975 Flyers have two b- goalies with hot streak trends at the right price. Love it.
930609896_353184562051940352 x	RT @tpanotchCSN: finally CONFIRMED earlier reports from TSN/RDS. 1 yr deal for Emery as a Flyer. Flyers will make it a battle for No.1 at r?
930609896_353178882834305025 x	@SportsRadioWIP .... The bandwagon I jumped on late was @BreakingBad_AMC
930609896_353169003524521984 x	RT @MuttCutts: TIME OUT!
930609896_353139528061558786 x	RT @EricOnSportsLaw: Top 10 teams in terms of cap space: Isles, Leafs, Jets, Sens (internal cap of $50M though), Oil, Panthers, Coyotes, Fl?
930609896_352592326650101761 x	@espn txs for the Yankee rehab coverage. How original. Can u let me know when @KingJames takes another crap too??? http://t.co/rL0kr3M2ZT
930609896_352555244082827266 x	RT @johnclarknbc10: Nnamdi Asomugha marries actress Kerry Washington. Glad he was finally able to wrap somebody up! http://t.co/dPbHXiuk7q
930609896_352399529779273730 x	@WIPMorningShow Angelo, speak for yourself. Shane Victorino is a warrior and many of us knew it before the trade, not just after
930609896_352201719532359682 x	Can't wait to see you in orange, @VLecavalier4 !!!
930609896_352196310708912128 x	Welcome to Philly, LeCavs!!!!
930609896_351850846276943872 x	http://t.co/MwKVUuYla2
930609896_351847780735655936 x	Is there any team on the new division worse than @NHLFlyers?! I have my doubts after yesterday? Thoughts @Official_OandBP??
930609896_351824222101848065 x	http://t.co/jxuwOQF4NK
