271219664_411148471723249665 x	#Virgo- nice on the outside, naughty on the inside.
271219664_422091820785356800 x	#Virgos prefer you get to the point when giving them direction/ instructions. If they have questions, then you can add all the extra stuff.
271219664_422035218820653056 x	#Virgos need to do something with value, or they?d go nuts.
271219664_421733348306726912 x	When a #Virgo is in a relationship, it is filled with constant love, and understanding for their mate and they expect the same in return.
271219664_421703021890777088 x	#Virgos will always take their time and never rush into a relationship because they're cautious and patient lovers.
271219664_421687967694868480 x	In relationships #Virgos are warm, loving, spirit lifting helpful and charming.
271219664_421672870561857537 x	#Virgos are picky and have high standards.
271219664_421445050791247872 x	#Virgos enjoy mental stimulation from their mate so intelligence is high on their list of priorities when picking a mate.
271219664_421401049987952640 x	#Virgos sense of humour can become sarcastic the more you're around them.
271219664_421370975624499201 x	#Virgos are very kind hearted, and care about things more than they appear to.
271219664_421340761729167360 x	When #Virgos are upset, they will find fault and annoyance in everything around them until they get themselves over it.
271219664_421310475058434048 x	#Virgos very adaptable and versatile and can get along with most people.
271219664_421295330202628096 x	#Virgos tend to put their soul mate and their feelings ahead of their own.
271219664_421115443080728576 x	#Virgos can be twice as pessimistic as they are usually optimistic when upset and be extremely vocal.
271219664_421099072674476032 x	Relationships with #Virgo will generally be open, honest, loving and lots of fun.
271219664_421073865184256000 x	#Virgos have an easy-going approach to life but they can be inflexible and stubborn if plans they have made have to be changed.
271219664_421023605817110528 x	#Virgos take relationships seriously but try to keep them fresh and exciting with romantic gestures and little surprises.
271219664_420993389208027137 x	#Virgos do best with understanding partner's who are supportive of their goals and not too emotionally demanding.
271219664_420963172145561600 x	#Virgo is usually happy wherever they are made to feel appreciated, loved and respected.
271219664_420932941355573248 x	It may take some #Virgos many years to learn that they can sometimes say "no" without feeling too guilty.
271219664_420739173738225664 x	#Virgos will often appear trouble free and show a positive front and confidence even when things are not quite going their way.
271219664_420721638452113408 x	#Virgos can sometimes let the need for success dominate all areas of their life.
271219664_420702713328840704 x	#Virgos are attentive lovers who are usually only jealous natured if they are given cause to be.
271219664_420268561198624768 x	#Virgos are inclined to keep things to themselves believing they can handle what's troubling them.
271219664_420238374503333888 x	Some #virgos never seem to be still enough to fully relax but they do enjoy trying.
271219664_420208183768932352 x	#Virgos are are immensely hardworking and seem to quickly learn new things.
271219664_420014374326001664 x	#Virgos are kind, caring and sensible personalities, who are sometimes too charitable for their own good with their time and patience.
271219664_419996772543393793 x	#Virgos are worriers but they do not show it and as a result may suffer from build ups of stress.
271219664_419977886922059776 x	#Virgos are usually intensely supportive, considerate, attentive and affectionate in their relationships.
271219664_419955242260647936 x	#Virgos will usually possess high standards in everything they do and like to finish anything they begin.
271219664_419921288375701504 x	#Virgos keep their emotions under control, and their actions are ruled by their exceptional common sense.
271219664_419898622713401344 x	#Virgos may seem uncaring at times, but underneath, they?ve got a warm heart and a sensitive soul.
271219664_419860874812080128 x	#Virgos put a lot into a relationship once committed but they hope for partner's to make the same effort.
271219664_419845776726974465 x	#Virgos are incredibly quick at learning new ideas and skills and pass them on.
271219664_419596632246603776 x	Once #Virgo gets something set in their mind, there is usually no turning back from it.
271219664_419543808619995136 x	When #Virgos truly love, it's  pure and selfless. When they love, they love hard.
271219664_419498503111331840 x	#Virgos are usually not the ones to blurt out any and everything that comes to their mind. They they think about everything.
271219664_419483381886246912 x	#Virgo is the type of person who will aim for the top. Not for glory, but for a feeling of accomplishment.
271219664_419263176744902656 x	#Virgos love to see and make people smile and tend to be more givers than takers in all their relationships with others.
271219664_419201522333777920 x	#Virgos are cautious and careful in love, but they have a lot of passion to offer once you get them to open up.
271219664_419177612913565696 x	#Virgos are very observant and watchful of subtle things most people over look.
271219664_419151199288303616 x	A #virgo is aware of their sensitivty toward love and emotion, thats why they dont share them so easily.
271219664_419136118215278594 x	#Virgos are detailed oriented; Even the smallest things don't escape their eye.
271219664_418773709466238977 x	A #Virgo may still remain cool with you, but they will always keep a wall up if you give them a reason not to trust you.
271219664_418758607325241345 x	#Virgos can think clearly through stressful situations to resolve and find a conclusion.
271219664_418456617797959680 x	#Virgos have a sensitive interior with a strong shield of protection exterior.
271219664_418426427063537664 x	#Virgos may appear stubborn to others at times, but this is because they need the time to review and think things through.
271219664_418398727561175041 x	Even if a #Virgos space is messy, they still know where everything is and will know if you moved it.
271219664_418291775019552769 x	Happy New Year #Virgos! #2014
271219664_418215025942097920 x	A #Virgo's silence is always judged as being stuck up or arrogance.
271219664_418184838860914688 x	People may perceive #Virgo as perfectionists, but it's just that they try to do the best and be the best at what they do.
271219664_418154642174783488 x	#Virgos are extremely loyal to those they care about.
271219664_418124430531756033 x	Never mistake #Virgo 's pickiness for them being stuck up, they just like the comfort of things going their way
271219664_418094240447492096 x	#Virgos have a tendency to dwell on the darker side of issues.
271219664_418064047884337153 x	#Virgos are practical and logical - and good at seeing all sides of a situation.
271219664_418033838074241026 x	#Virgos are practical, intelligent, detailed thinkers.
271219664_417837541933330432 x	The last sign to try and fit in is a #Virgo.
271219664_417807389849448448 x	#Virgos love to take care of their household; making sure everything and everyone is okay.
271219664_417782178945052672 x	#Virgos will hold it for as long as they can before they use a public restroom.
271219664_417762045564448768 x	#Virgos can make for a very skillful and attentive lover but they are highly selective.
271219664_417716776986615808 x	#Virgos will give so much of themselves to people, they love to make the ones they love happy.
271219664_417716759416672256 x	Never ask a #virgo their opinion if you don't want the frank truth.
271219664_417671448526725121 x	#Virgos are often talented in a lot of different areas.
271219664_417423550689972224 x	#Virgos never let their hearts hold the position held by their heads. If they happen to, you can be sure they were in love.
271219664_417354366400466945 x	#Virgos are generous, entertaining and genuinely nice people to be around.
271219664_417309059029536768 x	#Virgos are the worriers of the Zodiac.
271219664_417101437449928704 x	#Virgos can sometimes set the bar too high and expect too much from people.
271219664_417041033323503616 x	Even when a #Virgo seems relaxed, their mind is still thinking about what they're going to do, when and how they're going to do it.
271219664_417024671695908864 x	#Virgos are clever, witty and sarcastic.
271219664_416988182802993152 x	#Virgos can get obsessive about things. They wake up thinking about it. They can't wait to do it, learn more about it or conquer it.
271219664_416969315888287744 x	#Virgos are fault finders... sometimes they point them out, sometimes they don't.
271219664_416946673793761280 x	#Virgos are very solid cool-natured people.
271219664_416727725609476096 x	Some #Virgos my seem shy, but with the right people they're just as crazy as anyone, if not more.
271219664_416659794368294913 x	Even though #virgos are very detail oriented, what makes them happy are the simple things.
271219664_416633350682447872 x	#Virgo can be very cold towards people when they are upset.
271219664_416614491292332033 x	#Virgos are the greatest of listeners.
271219664_416403104607633408 x	After a breakup a #Virgo will sit back and think over and over where things went wrong.
271219664_416384208697692160 x	#Virgos are big on trust. If they can't trust you, you will be kept at a distance.
271219664_416365345159389184 x	A #Virgo will always be there for you. Don't take them for granted.
271219664_416336396232564736 x	No one over thinks more than a #Virgo
271219664_415888915715731458 x	Merry Christmas #Virgos!
271219664_415549963070746626 x	You can't change a #Virgo's opinion by telling them your opinion, your best bet is to tell them some facts.
271219664_415527338491645953 x	Everything takes time with a #Virgo, I.e love friendships etc.
271219664_415210227995131904 x	#Virgos second language is sarcasm.
271219664_415180067858157568 x	#Virgo don't like to ask for favors.
271219664_415149837785370624 x	#Virgo is talented and creative.
271219664_414903195937161216 x	The best way to relate to a #Virgo is to be honest, kind and thoughtful.
271219664_414885586529300480 x	#Virgos value free will, if they want something they will get it.
271219664_414772350769307648 x	#Virgos are quick to remove someone from their life who doesn't fit into their already planned out future.
271219664_414481668108345344 x	#Virgo has a good memory about random little things.
271219664_414455254680227840 x	#Virgos may appear cool, but on the inside there's a whole lot going on in their mind.
271219664_414425055792099329 x	#Virgos often express their true feelings only to quickly cover them up with jokes.
271219664_414092896321544192 x	#Virgos don't even know how to respond to foolishness. When we think someone or something is stupid we just get that blank stare.
271219664_414062677023932416 x	If you think a #virgo doesn't like you? you're probably right.
271219664_414047581442822145 x	#Virgos are very imaginative and creative, but their down to earth quality keeps their thoughts in a realistic perspective.
271219664_413847493978255361 x	#Virgos hate to let people down, we try our best to keep our word at all times.
271219664_413828628321820672 x	#Virgos may keep their distance at first until they get to know you better.
271219664_413807228991197184 x	#Virgo will always be there when you need them.
271219664_413473790513790976 x	Because #Virgos can conceal their emotions, they are often one of the most misunderstood signs of the Zodiac and seen as cold and uncaring.
271219664_413383195610972160 x	A #virgo will not stay where they are not needed.
271219664_413383194876993536 x	#Virgos are usually very stylish people with good taste. People usually love they way they dress.
271219664_413383193748713472 x	#Virgos are very loyal and warm and sensitive towards the one they love.
271219664_413352997733662720 x	#Virgo will sweep you off your feet with their charm and conversation.
271219664_413337898373480450 x	#Virgos have high regard for their family and close friends; bearing much consideration and responsibility for their well being.
271219664_413322797251694592 x	It's rare you'll find a truly selfish #virgo. They are natural givers and pleasers.
271219664_413126498590019585 x	If you don't value a #virgo while you have them, you will regret it when they leave and never come back.
271219664_413111406465007616 x	#Virgo isn't the type to rush into a relationship. you've got to be patient with them. it'll be worth it in the long run.
271219664_413081209950859265 x	#Virgos aren't very open about their personal life. They only talk to a select few because not many people understand them.
271219664_413051019098992640 x	#Virgos do not completely show their heart to people. This quality makes them mystical.
271219664_413020811088232448 x	If you want a woman who will work at your side, and is a born giver, a #Virgo female will probably be your best bet.
271219664_412990618877435906 x	You may never know a #virgo is worried or stressed because of their ability to display a cool and calm demeanor.
271219664_412960408547258369 x	No matter how rough you get with a #virgo, they will remain classy and put you in your place at the same time.
271219664_412771660358361088 x	If a #Virgo has lost interest in you, there is nothing you can do about it.
271219664_412752783058546689 x	#Virgos are very social people, but they have a hard time letting their guard down.
271219664_412733926180790273 x	When a #Virgo loves you, it's always sincere and honest. They give love with all they have. It's Never half way.
271219664_412688619535470592 x	Be careful what you ask a #virgo, they may not spare your feelings.
271219664_412658444433231872 x	As a #Virgo, A little stress is sometimes a good motivator for you. You'd feel empty if you weren't learning something new all the time.
271219664_412628234094661632 x	#Virgos are no punks, if they have something to say to you, they will definitely tell you.
271219664_412598037614047232 x	#Virgo believes that everything has a place in life.
271219664_412424410658652160 x	#Virgos are not trusting with sharing much of who they are with everyone; they're a mystery to a lot of people.
271219664_412401816995770370 x	#Virgos don't let many people get close to them and the people who do, find that they never want to lose their friendship.
271219664_412386632260521984 x	As long as there are choices, #virgos will always be picky.
271219664_412311148101255168 x	Don't play with a #virgo's feelings .. They'll lose interest QUICK .
271219664_411525959234228224 x	#Virgos have small circles of loyal friends, so you can expect a #Virgo not to be in large groups.
271219664_411510860746465280 x	#Virgos are not easily influenced.
271219664_411307013776236544 x	#Virgos are constantly looking for way to improve themselves.
271219664_411288135079706624 x	#Virgos are multifaceted, which is why they are hard to figure out. You may think you know them, but you only know what they want you to.
271219664_411163571624493056 x	#Virgos will make you think they're sweet and innocent, then they will seduce you.
271219664_410801181263286272 x	#Virgos are born skeptics. Unless you can show proof, they usually won't believe you.
271219664_410801177933008896 x	#Virgo appreciates when you notice the little things they do.
271219664_410786083895402498 x	A #Virgo looks to the little things and simple pleasures in life for their happiness and security.
271219664_410786081953431552 x	#Virgos are genuine romantics. Often falling in love with a dream as with a real person.
271219664_410562100256190465 x	You can tell a #Virgo is really hurt when they don't say anything at all.
271219664_410514296703950848 x	#Virgo can't stand unsteadiness and people who change all the time.
271219664_410484094200336384 x	#Virgos are independent people, they like their space.
271219664_410469004378005504 x	A #Virgo is going to go with what they are shown over what they are told.
271219664_410453904430604288 x	You will never be able to walk all over a #Virgo.
271219664_410438823277891584 x	#Virgo is an intensely curious sign.
271219664_410423693077000192 x	People look up to #Virgo for friends because they are straight thinkers and solve problems logically.
271219664_410212298309910528 x	#Virgos will act like they're over someone they love until they really are.
271219664_410167008807108609 x	#Virgos love with the warmest passion, but when they are done or trying to get over you, they can become ice cold.
271219664_410151930057736193 x	As a #Virgo you give a sense of coolness, but you are conscious of your own anxious and edgy intensity.
271219664_410121722671927299 x	#Virgos have to learn be easier on themselves.
271219664_410106611705724929 x	#Virgos are multifaceted beings; There are certain sides to a virgo that not everybody gets to see.
271219664_410091521019346944 x	#Virgo will pay very close attention to your body and needs.
271219664_410076411722870784 x	#Virgos are very discerning, a natural critic and a sharp analyzer of everything and everyone.
271219664_410061305354014720 x	#Virgo has a unique view of the world. The only way you will learn about it is if they trust you.
271219664_409895212412973057 x	If you're in a relationship with a #Virgo woman, you are subject to their love, honesty, friendship, & motivation.
271219664_409880119092600832 x	#Virgos always take the time to consider another person's feelings. Whether they act on that consideration is a different story.
271219664_409714006488649728 x	#Virgo is known to take a lot of things to the heart so be careful what you say.
271219664_409698916003622913 x	#Virgo is often overly critical of themselves, so much so that they underestimate their own value.
271219664_409351625023574016 x	#Virgos like to put their lovers at ease when tense. They will do anything to cheer your sad ass up!
271219664_409351624310542336 x	#Virgo is the type who searches for a deeper meaning in everything you say or do.
271219664_409343501588254720 x	Who doesn't like Starbucks? Just an email: $100 Starbucks Giftcard! http://t.co/AfAjtu8Qg1 - sp
271219664_409336527982825473 x	#Virgos can come off as antisocial and complete assholes, but this is a cover up for they are as soft as cotton inside.
271219664_409140233783898112 x	When a #Virgo shows interest in you, it could make you feel like nothing else in the world matters.
271219664_409125130829172736 x	#Virgo will show you they love you, physically and emotionally, and that makes it very hard not to fall in love with them.
271219664_409110048510468096 x	#Virgo are very true to themselves, they will not do something they are unsure about. They will wait until they know what they want.
271219664_409094944326815744 x	Time is precious for the #Virgo and if you make them wait, they will consider that an insult.
271219664_409079840352899072 x	Three words to describe a #Virgo in a relationship: giving, loving, willing.
