417130210_396099336863760384 x	RT @mayormoach: Michael Myers=Legend.
417130210_213009222215024641 x	@SWOONbyKatie Enjoyed the pics! They came out great! See you in July!
417130210_213008738922147840 x	@weddingPR Looks great. Thanks! See you and Tony soon!
417130210_211471565223759873 x	NINONG KNOWS! @DonohueJr @SuzanneBrosePR @CAchristia @HBOboxing @TeeDonohue
417130210_208737816186855424 x	@DonohueJr @Mets @evan_hom @WFAN660 @MLBNetwork NO HAN!!!
417130210_206902960893075457 x	@tlewis44. Picked up the new Droid4. Moving up. What is that workout app again?
417130210_207079927655313408 x	@weddingPR @tlewis44 I know! Verizon lady told me even her grandmother had a smart phone!
417130210_206914880614318080 x	@tlewis44 Thanks!
417130210_204660967165018112 x	@tlewis44 Did you throw up any gang signs while you were driving by?
417130210_204660595688095744 x	@DonohueJr  Berkman headed to DL.  Our squad is all banged up!  Our pitching staff is killing us.  Looks like another year in the cellar.
417130210_204041725080109056 x	@DonohueJr Just finished watching @HBOboxing 24/7.  Hope Pacquiao comes to fight...@Timbradleyjr looks hungry!
417130210_198599535763800066 x	@IronHillBrewery Just had Belgian Full Nelson at CH Location.  Excellent!  Also, great service!
417130210_198095190932725761 x	Finally Plat+ status...free upgrade. Zone 1 boarding. Holla!
417130210_196399995530911745 x	@pinest8biscuits Amazing. Need to get back to PDX. Or feel free to ship 20 to Philly for me and @CAchristia !
417130210_195251993240014848 x	@juliedruns Go to Pine State Biscuits. Get "The Reggie". Side of Hash Browns. It's a cure all. Hello to Ryan and kids and dogs!
417130210_195248707929784321 x	@mayormoach I'm fine with getting rid of Asante.  Asomugha and DRC need to step up.
417130210_192964237092593665 x	@DonohueJr Sounds like Hammonton Baseball is back!
417130210_192964075377016832 x	@mayormoach Just saw the Birds schedule.  Week 6 Megatron comes to town.  Tix?
417130210_190193221698203648 x	Back to SD tomorrow. Now the only question is, In N Out or El Indio after I land?
417130210_190239520325775360 x	@weddingPR Miss you guys too!  Have a good time in NYC!
417130210_190239222211428353 x	@mayormoach One of the best Mexican spots in SD!  Hit it up if you get the chance.
417130210_187679907957063680 x	@DonohueJr Oh, and Heath Bell too.
417130210_187672694676930561 x	@DonohueJr Got Lohse on the bump tonight...as well as Berkman. Let's do this!
417130210_182566659393994753 x	Dulles Airport, ya gross bro.
417130210_181010915989266433 x	@mayormoach I'll be in NYC today at some pubs...what are your plans? Will call to catch up this week.
417130210_180020499445841921 x	@CAchristia I will go to PetCO this afternoon for some plain black bags.  Bad enough her poop bag holder is a pink bone.
417130210_175791002701926400 x	After a long week of travel and work...enjoying a @sixpoint Diesel.   http://t.co/Nn9rj1gy
417130210_174687605680648192 x	@tlewis44 Looks great. However, I have a flip phone circa 2007.  Not sure this will work. Looks like I may need an upgrade...
417130210_174678514522533888 x	Cardio for 1st time in over 3 months. 30 mins elliptical. 3.25 miles. 620 cals burned. #stopbeinglazy
417130210_169558993675628544 x	@CAchristia Thanks Babe! Love you too. I thought you really were telling me we won the dream home! Ha!
417130210_168398681874243584 x	This one ring true for me and my dog... 2012 Outside Editor's Choice http://t.co/2fBTOHOE via @outsidemagazine
417130210_168048506534244352 x	@tlewis44 Ha!  Good shot of Marlo.  Tell him to enjoy the warm SoCal days...we got our first snowfall here the other night.
417130210_167967090853150720 x	Three straight weeks of business travel. 4 flights. Now I have the flu. The worst.
417130210_165572299666366464 x	@DonohueJr  Just landed at PHL. Combos tonight for dinner. Probably see you in the AM.
417130210_164901994182610945 x	RT @espn: MoTown Philly's back again. The @Sixers just sent a message to Eastern Conference by stomping the Bulls: http://t.co/a1nrtTQI
417130210_163804869990424576 x	1 good thing about this hotel, it has Showtime. Sunday night with Frank Gallagher and Co.
417130210_163785200751484929 x	After seeing the effort on the Shady run, I've turned off the ProBowl. This game is a joke.
417130210_163649732135223296 x	Week 3 of  business travels begins. Ft Lauderdale in Broward County. Isn't Cops always filmed here?
417130210_162715164951580673 x	@mayormoach Ron Swanson is the man!
417130210_162634557345116161 x	@DeschutesBeer Recently moved from SoCal to Philly. You need to get east!  Will miss Red Chair this season!
417130210_162329758120673280 x	ColdStone.CookieDoughn'tYouWantSome. LoveItSizedWaffleBowl. Pretty sure that's not on my prewedding diet plan @CAchristia
417130210_162312710934106112 x	RT @Sixers: About an hour and a half until the #Sixers vs. Nets tip-off. RETWEET if you think the Sixers are going to beat the Nets toni ...
417130210_161654807050993664 x	@SI_PeterKing Write up on Indy beer scene in current issue of Draft Mag. Check out Sun King Brewing.
417130210_161575270376157185 x	@CAchristia Gung Hay Fat Choy!  Don't forget...once we get married we start handing out red envelopes!  The tables have turned!
417130210_161229362698522624 x	@tlewis44  Thought you might find this interesting  http://t.co/vnGUp2NO via @outsidemagazine
417130210_161113925574868992 x	RT @JPosnanski: Rest in peace, Joe Paterno. He died a few minutes ago, fighting to the last.
417130210_160770439818379265 x	RT @outsidemagazine: There's plenty of #surf edits on the web. But how many bodysurfing films do you see? http://t.co/gApq3Dz5
417130210_160189112941416448 x	@weddingPR Have fun in SF!
417130210_159789039778668545 x	Me: Do you have a fork n knife? Lady at Chinese Rest: No, but I give you 2 forks! #saywhat
417130210_159685030149505024 x	@tlewis44 I think you at @CAchristia are on the same page. She loves the "whiz wit".
417130210_159640454852395008 x	@CAchristia You are up early! You should start you day fresh with a nice brkfst @SUBWAY  @tlewis44
417130210_159430442876022785 x	Only person in theater to see MI movie. Kind of creepy.
417130210_159124996088803329 x	@TeeDonohue Finished Girl Who Played With Fire. Excellent.
417130210_159327714849992704 x	@TeeDonohue Classic move of skipping the first book because you "saw the movie".
417130210_159003384983191553 x	@DonohueJr @evan_hom Who is he fighting?
417130210_158731088750063616 x	@DonohueJr @TeeDonohue Damn.  No Showtime in the hotel = No time with Frank and the Gallagher family.
417130210_158705645619650560 x	@mayormoach Ha!  Was thinking the same exact thing. Very weak.
417130210_158602993099476992 x	Thinking I may have to stop by The Varsity for lunch...
417130210_158618876136013824 x	@CAchristia Ha!  My New Years res is to fine tune my social media skills.
417130210_158618447083876352 x	@DonohueJr Yep. Just got to the hotel. You sitting on the couch watching the games?
417130210_158596041439068160 x	Just landed in ATL...
417130210_158358029836890112 x	@tlewis44 Unreal game.  VD is a beast!
417130210_157889251361570817 x	@CAchristia Enjoy your last day!  Can't wait to get you out here in the freezing cold!
417130210_157845160628191234 x	@pgammo If healthy, can Fernando Perez be a good 4th OF for Padres? Can cover ground at Petco. Fits small ball mentality.
417130210_157216610048946177 x	@mayormoach We getting Coach Spags to run the D?  Championships SON!
417130210_157210983708897280 x	@tlewis44 Went out for lunch today and no Mexican options.  What did I get myself into?
417130210_157205541448450048 x	@SI_PeterKing Thoughts on Jets players who anonymously ripped Sanchez?
417130210_153741402407309312 x	@tlewis44 Lost by 3 points!  Having Jordy Nelson on my bench killed me.
417130210_153428654284746753 x	@SuzanneBrosePR Happy New Year to you and Russ!
417130210_149983642175803392 x	@MatthewBerryTMR As stated in Love/Hate, Helu less than 100%.  Is Ben Tate a better play?
417130210_149927326057111553 x	RT @danrafaelespn: If they ever make the fight I have the perfect name for Pacquiao vs. Mayweather -- Lawmaker vs. Lawbreaker: Live on P ...
417130210_148998524015607808 x	@tlewis44 Winner Winner Chicken Dinner!
417130210_148912681791922176 x	@tlewis44 Up by 40 pts.  He has Gore, A. Brown, and Akers tonight.  I got a bad feeling about this.
417130210_148613123585220609 x	@mayormoach @@JD_Loot  Shady did work today. I think you can pull off the victory. Spiller riding pine hurt.
417130210_145593421426466817 x	@dogfishbeer Went to fiances company XMas party. Theme - bring a pink gift. Brought Palo Santo Marron. Pink labels worked!
417130210_144847106727870465 x	@Buster_ESPN Padres: Besides Street, any other moves happening?  Am I in for another dreadful 90-100 loss season?
417130210_144827776237715456 x	Pujols new contract - 10 yrs $250M.  Breakdown - $68K/day, $2,853/hour.  He may be able to afford ocean front in SoCal...
417130210_143934830965571584 x	@Dawnfoodluv  I heard you enjoyed Tolberts TD dance. It was the best one I've seen all year!
417130210_143871446714810369 x	@RealMikeWilbon Can you get Tony to do the Tolbert celebration dance on tomorrows show?
417130210_143445853355520000 x	@SuzanneBrosePR True that!  Its always our first stop after landing!  @CAchristia
417130210_143445126805598208 x	RT @SuzanneBrosePR: Why is it that In & Out is a must eat when getting home from traveling?
417130210_143372626650333184 x	@weddingPR @CAchristia Have fun!
417130210_143369092081004544 x	@MatthewBerryTMR  In a PPR league and need 1: Bradshaw, Helu, or Hillis?  Thanks!
417130210_142674800169594883 x	@tlewis44 The worst.  Maybe that is why I should not participate in four leagues.
417130210_142384802509766656 x	@SI_PeterKing Probably not, because his response to them would be "know your role, do your job"!
417130210_142373574831906816 x	@MatthewBerryTMR My brother took McNabb in 4th round of our draft. He said "comeback player of the year". His team has 2 wins. #epicfail
417130210_141974000434814976 x	@DonohueJr Does the line on the SRHS Ice Hockey team have a nickname?  Can it beat "The Crazy Eights Line" - Lindros, Recchi, and Fedyk?
417130210_141236766555377664 x	Xmas music blasting at Subway makes this ft lg meatball marinara less enjoyable.
417130210_141971209704325120 x	@SuzanneBrosePR Take it easy over there!  Nobody will call me a grinch when I bring the best pink gift for the JPR XMas party!
417130210_140622599972585472 x	@weddingPR Thanks. I'm working hard to impress my 6 followers.
417130210_139202977746534403 x	@DonohueJr Cotto/Margarito back on at MSG!  You going to weigh in?
417130210_139201998686916610 x	@TeeDonohue Thanks for the follow.  Hopefully I can provide some entertainment!
