1729437217_391709843439894529 x	Ok I'm pretty fucked up.  Time to eat lunch
1729437217_389547511473381376 x	RT @Seahawks: .@moneylynch had a #BeastMode day with 77 yards and 2 touchdowns on 21 carries as well as 78 yards receiving on four catches.?
1729437217_389543537131270144 x	RT @MoveTheSticks: Bills rookie LB Kiko Alonso had 22 tackles against the Bengals.
1729437217_389531140333129728 x	?@JHopkins247: @SI_PeterKing said on NBC Fball Night, 2 QB needy NFL teams are favoring #Oregon QB Marcus Mariota - Could go #1 #eagles
1729437217_389526143457447936 x	Sorry #niners fans kapernick isn't that good. Spent many a Saturday night watching late night Nevada wolf pack games. Go #hawks
1729437217_389295769489903616 x	RT @DuckFootball: "At 6-0, 3-0 Pac-12, this is the deepest, most complete team the Ducks have had." http://t.co/YNmJtTWjkq by @GeorgeSchroe?
1729437217_389295256279064577 x	RT @JohnLundRadio: This Washington Huskies fan apparently disagrees with Corso's Ducks headgear call on College Gameday http://t.co/Y5mbqZJ?
1729437217_389295086439120896 x	RT @hopesolo: Huskies for life!!! ;) http://t.co/OwXhUX5UeL
1729437217_389269305335898114 x	RT @EATBLACKMOMBA6: THE BLACKMOMBA IS ALL ABOUT WINNING CHAMPIONSHIPS
1729437217_389268657156530176 x	#gobeavs Cody Vaz???  I need Another Glenlivet
1729437217_389266509920366592 x	@UWSBN go into hiding after all the smack you and bob Rondeau talked this week. #losers
1729437217_389268357658066944 x	@UWSBN no worries lets have a drink or two or three
1729437217_389268095635697664 x	@OnlyatWazzu that's a hot chick. Send me some pics
1729437217_389267938026344448 x	@TomFornelli 666 mark of the beast
1729437217_389267814420185089 x	RT @TomFornelli: Oregon State only needs 947 more points to reach that 999 total.
1729437217_389267329457991681 x	RT @OnlyatWazzu: This Cooks guy should stick to champagne
1729437217_389267131826569216 x	Stupid #beavers   We were ranked 25 preseason.  We'd be 7-10 by now.   You cannot lose to Northwest Washington
1729437217_389265906611650560 x	RT @AutzenQueen: cougs are totally cougin' it. And, Mannion looks good.
1729437217_389265614184779776 x	RT @H_Kaseberg14: 3 interceptions in a row for Wazzu! Beavs have scored 4 TDs in 12 plays! #GoBeavs #ORSTvsWSU
1729437217_389265185149440000 x	Mannion is an #nfl qb. $$$
1729437217_389264874762555392 x	RT @roncallan: Heavy rain over for now! PAC-12 opener Beavs and Utes at 7:05 pacific @roncallan @1190KEX @learfieldsports #gobeavs http://t?
1729437217_389264501393993728 x	How are my #beavers not in the top 25??   What the F happened in that first game? You can't lose to a big sky team. #gobeavs
1729437217_389258672192237568 x	RT @WWF: Oil exploration in a national park where 600 hippos live? We say NO! What do you say? http://t.co/zxknif5BjB #SOSvirunga
1729437217_389258435750944768 x	@cannonjw unlimited in state talent? Big money coke boosters?  Wake up. #firemarkricht
1729437217_389258042719498241 x	I like this michigan coach. Probably my least favorite state in the union.  Detroit is a ghetto.  In other news #firemarkricht #uga sucks
1729437217_389257393609003008 x	The "PG" section of this movie is over. These fucking Seattle people have been talking all week  Why didn't you get #gates to pick?  #medina
1729437217_389254061729386496 x	@prometheusbrown @Chris_Fetters yo yo yo yo you fucking loser. Beat rock music?  I hope you're under 20 years old
1729437217_389256616853254145 x	@prometheusbrown fuck off homo. Smoke some weed for me
1729437217_389256906167947264 x	@prometheusbrown kenny wheatons been at my tailgate. Go fuck yourself
1729437217_389256421419659264 x	@SeaTimesSports @JerryBrewer Do you believe that Tyrone Willingham was truly the "Molder of Men".   #0-12 #uw #losers #huskies #0-10 #?
1729437217_389255569665572864 x	RT @GooglePics: Abandoned Hohenwerfen Fortress in Austria http://t.co/jtZLxvkGh0
1729437217_389255396008796160 x	@KeithPrice17 do you believe that your thumb led to this loss?
1729437217_389254911394738176 x	@CoachSark do you believe Oregon was faking injuries to slow down the pace?
1729437217_389254568959148032 x	@RoyLew34 go back to the ghetto
1729437217_389254342185738242 x	@Chris_Fetters heard you guys on #kjr this morn. What fucking planet are you living on?  Vegas had #goducks -14. You made it sound otherwise
1729437217_389240421026496513 x	Any of you people that take twitter seriously need to find reality
