40373720_393589655238868992 x	@Taraa_Shumack Kinect?
40373720_393520426846257152 x	RT @bluthquotes: And second-of-ly, I know you're the big marriage expert. Oh, I'm sorry, I forgot... your wife is dead!
40373720_393512302622044160 x	@cbfowler @cody_smasche @darrenrovell some of those texts about the play at second. Everyone gets to see replays except those who pay to go
40373720_393487869949771776 x	@Taraa_Shumack Gleason says don't tweet and drive because you have the motor skills of a 4 year old
40373720_393465730899140608 x	You can't tell me E-Hams doesn't have assburgers
40373720_393342584967692289 x	RT @AdamSchefter: St. Louis called Brett Favre, asking if the 44-year-old QB if he would be willing to play. Favre declined. More to story ?
40373720_393202853294399488 x	RT @theleaguefxx: Fuck Baseball, #TheLeague starts RIGHT NOW!
40373720_393201586929147905 x	@LarryFitzgerald as a member of the NFL Cardinals, do you root for your baseball playing brother Cardinals?
40373720_393195547198488576 x	"@theleaguefxx: @A_Dawg55 We?re here for you buddy." Best TV Night Ever!!!
40373720_393195154351595520 x	Much needed TV Night #ItsAlwaysSunny #TheLeague
40373720_393179633975164929 x	Cardinals are making a lot of early mistakes
40373720_393160924527595520 x	@MikeVick I could never hate my all time favorite Madden player.
40373720_393041339937325056 x	Every GM is gonna make mistakes, but I feel like this is a fire-able amount http://t.co/lFji0shByp
40373720_393033379567792129 x	@Taraa_Shumack @pat_sheetz glad to see antisemitism is still funny
40373720_392838428548530176 x	My college experience has come full circle, Bones and Booth are married! Loved that there was a Gravedigger reference
40373720_392777359700807680 x	RT @rainnwilson: RT @rainnwilson: RT @rainnwilson: RT if you like retweets!
40373720_392686615694675968 x	RT @wingoz: Michael Vick back as starter for Philly? Clearly this makes his brother happy...wonder what his twitter account is saying today.
40373720_392496939301756928 x	Minnesota why are u calling timeouts? its over, just let this miserable game end
40373720_392496151309451264 x	@TheRealDGunnCSN only 6 weeks late #BetterLateThanNever
40373720_392496009349066752 x	Gruden keeps saying it takes time to learn on offense, and i get that, but it looks like Freeman hasnt touched a football in years
40373720_392493867892609024 x	its week 7 and im already looking at mock drafts, i know theyre useless now, but the Eagles suck and i need to look forward to something
40373720_392491898608164864 x	@TheRealDGunnCSN I get that feeling for every Eagles game, a very mediocre, inconsistent team
40373720_392491372512436224 x	I love the Giants starting out 0-6, but I'm fine with them winning a handful of games this year. I dont want them getting Jadeveon Clowney
40373720_392489787841449985 x	I wonder which backup quality QB the Vikings will pick up next?
40373720_392481578791604224 x	"Wow, this is a terrible quarter of football. these teams are bad" -Mike Tirico
40373720_392478091764703232 x	There's a reason these teams are a combine 1-10 awful Monday Night match up
40373720_392388951925088256 x	RT @JohnFDaley: I hear bells ringing! It's either from tonight's #BonesWedding or I have a concussion.
40373720_392141794257145857 x	Great game in Indy, would love to see a rematch in the playoffs
40373720_392140406714281985 x	Colts killed a lot of clock on three punts
40373720_392140204083249152 x	I hate punts, always a penalty
40373720_392137918208573440 x	What a weak call in such an important situation
40373720_392137505413537792 x	I hate the shotgun draw, very predictable play, very overused
40373720_392137197841039361 x	Terrible play call there
40373720_392130655733428224 x	It's a game again
40373720_392123627556339712 x	@ESPN_Colin no question there, Luck is a tremendous athlete. Went under the radar at first because of RG3 and Wilson in that draft class
40373720_392122859730259968 x	I think the Colts have this one but @JimIrsay will be the first to say its what you do in the playoffs that matter AFC Championship rematch?
40373720_392122313829003264 x	@brianstartare @Solveetcoagula5 @dom9brown if it were his hometown team I'd be okay, but he's from Florida, just another Cowboys "fan"
40373720_392120712837988352 x	Cowboys fans are the most ignorant fan base in sports.
40373720_392120358964568065 x	@dom9brown now you're just trolling, but you're a typical ignorant Cowboys fan so I'd expect nothing less
40373720_392113054961250304 x	@MikeVick you playin next week?
40373720_392112905690157056 x	@ESPN_Colin kind of like last week, but hey thats the company you work for
40373720_392111198583660544 x	It's really not fair, Colts have Peyton for so long, have one bad year and get Luck
40373720_392110967951474688 x	Luck wins the first round
40373720_392098359546490880 x	That Xfinity commercial pisses me off. When she says "you should lay day, you've watched enough sports today" he should slap her
40373720_392097714521272320 x	@geoffschwartz Isn't that a pay-per-view game?
40373720_392097445494394880 x	That might be one of the best hits I've ever seen from a kicker
40373720_392097134230908928 x	Great play design by Indy
40373720_392069045677469696 x	KC is 7-0 but they still haven't convinced me of anything, they've had pretty easy schedule
40373720_392064027427618817 x	@seaneward1 first of all he had one good month. Second, I'm all for guys supporting their team, but he's from Florida, a fake Cowboys fan
40373720_392051591429509120 x	RT @AndyRuther: Matt Barkley with 3 INTS...Fellow USC alums Mark Sanchez, Carson Palmer, Matt Lienart, & Matt Cassel are proud he followed ?
40373720_392024960111112192 x	@MatthewBerryTMR you need them to win football gameS, emphasis on the S, dont gonna win many games that way
40373720_392023717150081024 x	whoa is Barkley
40373720_392021819428859904 x	there are 2 other good games going on right now, and im stuck watching this shit
40373720_392020951795126272 x	Barkley worked hard for that pick
40373720_392018762280353792 x	I want to hear what @MVFive has to say
40373720_392018490850168832 x	I can say confidently the Eagles future QB isn't on the roster
40373720_392018293029994496 x	Barkey!!!!!
40373720_392017393599250432 x	No worries @MattBarkley #redo
40373720_392015421546573824 x	Cowboys aren't even good and they're head and shoulders above the Eagles
40373720_392014351944536064 x	I kinda wanna see what @jamescasey85 can do at QB
40373720_392014105348808705 x	Barkley time...for what ever thats worth
40373720_392013895272910849 x	@ItsAGleason you could see the tip of the ball hit the ground. Take your damn touchdown, Cowboys are gonna win anyway #NFCleast
40373720_392012064136249344 x	@ItsAGleason I knew Cowboy fans were retards, but I didnt realize they were blind
40373720_392011954685874177 x	Was there any chance Shady wasn't touching the ball there?
40373720_392010997747036160 x	Fuckin awful throw to a wide open receiver. Thats gotta be a TD. I've seen enough today, bench Foles
40373720_392007167391199232 x	Jesus Christ this is ugly play at the QB position.
40373720_392006549129797632 x	some points would be nice, at least dont get shutout
40373720_392006099034832896 x	@MatthewBerryTMR NFC East is a joke this year
40373720_392004327805444096 x	@MatthewBerryTMR great, Im playing Peyton this week and my QB gets me negative points. No need to keep checking scores
40373720_391995537039187969 x	What a stupid call, go for the 4th and short before attempting a 60 yard FG
40373720_391993927634386944 x	@36westbrook if he was 100% I think he would have started. But Foles played well enough not to force Vick back
40373720_391993402176196610 x	Foles is strugglin today
40373720_391990857684881409 x	Looks like Im losing for sure now. Cutler is hurt and has negative points. need more than that against Peyton
40373720_391989268026896384 x	Its early, but my fantasy team is looking weak so far this week
40373720_391986343770734592 x	NFC East is shit
40373720_391983956867833856 x	I feel like theres a flag on every punt
40373720_391977720373985281 x	I missed ya @RobGronkowski
40373720_391976846428221440 x	"@wingoz: Uh oh, Fred Jackson down on sidelines for Bills" @pat_sheetz a CJ day?
40373720_391971587957587968 x	#FuckTheCowgirls #RomoIsAHomo
40373720_391971440745930752 x	@wingoz Im DTF
40373720_391957082838020096 x	Fuuuuuuuuck, dont know who I want to Flex today #FantasyFootballProblems
40373720_391942881008963585 x	RT @Trouty20: #FlyEaglesFly
40373720_391781842887921664 x	They keep saying Boston went from worst to first, they struggled but they were not close to the worst last year
40373720_391781321456226304 x	Next stop for Koji, hotdog eating contest
40373720_391780576908562433 x	It's weird the Red Sox got a trophy for 2003 AL Champs, they lost to New York
40373720_391776398727462912 x	Should be a good World Series, I'm pulling for @ShaneVictorino
40373720_391769962467315713 x	I just want them to show Shane's grandslam off CC, that's a reasonable request
40373720_391768539805515776 x	Favorite homeruns 1. @mstairs12 off Broxton 2. @ShaneVictorino grandslam off CC 3. Joe Blanton's World Series homerun
40373720_391767908915089408 x	Atta boy @ShaneVictorino Not his first playoff grandslam
40373720_391767170335920128 x	@RoobCSN tweets like this, on top of all your great Eagles coverage, makes you one of the best people to follow on Twitter
40373720_391764215192887296 x	Hard to hit a ball much better than Gomes did and not hit a homerun
40373720_391761170967060480 x	Rodger Workman is struggling to field this inning, couple costly plays could make a big difference
40373720_391758694503165952 x	@Taraa_Shumack yea, I was surprised to get call that early. I'm sorry to hear that you're dead, enjoy the afterlife
40373720_391757617644974080 x	@Taraa_Shumack tonight was a Markee night. Let's just say it was a good thing I brought a trash bag with me
40373720_391757186680254464 x	It wouldn't be a complete weekend at West Chester if I didn't have to pick up a drunk
40373720_391748704170160128 x	@samherman40 Tigers gonna make a comeback?
40373720_391593144317657088 x	@ESPN_Colin @SteveSpoiler and it's BS, they've been in 4 of the last 10 WS. Like it's hard to support a good team, not impressed
40373720_391590688367714304 x	@ESPN_Colin For the record, Pittsburgh is in PA, last time I checked east coast state
40373720_391441448710967296 x	Watching Role Models kinda makes me want to LARP
40373720_391427107248930816 x	@BBBaumgartner how much will Magic spend now? Cano? McCann?
40373720_391412816865148928 x	Watching Wacka dick it like this is impressive, but somewhat depressing. We're both 22, I've done nothing with my life #TULO
40373720_391409317041430528 x	I don't know how the Cardinals do it year in and year out. Model franchise of MLB, they do it the right way
40373720_391406982647013376 x	Don't like that the Cardinals are going to another World Series, but fuck the Dodgers
40373720_391394382009880576 x	KFC needs to change their commercials for the To Go Cups. Change the Cops stealing from each other to 2 girls sharing it #TwoGirlsOneToGoCup
40373720_391392103626211328 x	Cardinals saved all their runs for Game 6 apparently
40373720_391390188301471744 x	And that's why they're gonna spend $300 million on Cano
40373720_391364037109612544 x	Two good teams, that dislike each other always makes for interesting TV
40373720_391353075447103488 x	@ItsAGleason Billy Beane is the man
40373720_391342871921840128 x	@ByDavidMurphy you think Kubiak is coaching Texas next year?
40373720_391349054330109953 x	@ByDavidMurphy Fair point, I don't think he's tied to the hip with Schaub, he could get another shot with a new QB
40373720_391352686836457472 x	@ByDavidMurphy the way they're looking now they could end up with a fairly high pick. If they think they're a QB away they could trade up
40373720_391311099779633153 x	RT @joelmchale: January 2nd, 2014. 5th season premiere. #sixseasonsandamovie #nbcCommunity #boom
40373720_391311064828477440 x	RT @nbccommunity: #CommunityReturnsJan2 http://t.co/Jw2ITdmzpx
40373720_391287898521489408 x	RT @nbccommunity: Knock, Knock. Who's there? Cancer. Oh good, come in. I thought it was Britta. #Community
40373720_391197196349370368 x	Get GRONK'D!!!
40373720_391197064727896064 x	RT @AdamSchefter: And so Patriots TE Rob Gronkowski is a go.
40373720_391196847844642816 x	The fire alarm goes off enough here, we don't need them doing fire drills
40373720_391044803439239169 x	@ashley_labar :)
40373720_391044692957077504 x	@ashley_labar I hate you
