23831250_2302737342 x	doin what i do
23831250_5751036980 x	just watched my 'boys lose to the stinkin Packers
23831250_4739151829 x	gym getting ready to open in about 3 weeks!
23831250_3298096650 x	Vick an Iggle, I say big mistake!
23831250_2559537554 x	at lexi's hoop game, she better drop 20 on these fools! :)
23831250_2556762839 x	gettin ready to fire up the grill! That's how we do
23831250_2501993560 x	enjoying an afternoon at home wit the childrens!
23831250_2473271830 x	are all republican governors nuts????? palin is a moron, more to follow in the story!
23831250_2388691858 x	eating a big belly brunch!
23831250_2318692073 x	they gotta know they gonna get caught, especially when u in the public eye
23831250_2315869330 x	trying to find out why these fool politicians keep get caught up in the "strange"  :) poor gov. sanford
23831250_2200025271 x	wondering why priceface thinks hockey players are true athletes. if ovechkin and crosby walked down the street they would be ghosts!
23831250_2186326739 x	chillin
23831250_2171857029 x	watching the Lakers work the sorry Magic
23831250_1312712120 x	at the gym
