227704307_377522859671048192 x	@Pogue was there any talk about OSX Mavericks today?
227704307_167070336569970688 x	@tpanotchCSN voreck  can't hit the broad side of a barn
227704307_166737523572346880 x	@airjan23  things happen not saying they are right,but to label a team dirty for a few small thing is crap, you sound like skip bayless
227704307_166739259489918976 x	@airjan23 probably true. i will tell you, i think you have a very well written blog, and i do enjoy reading it.
227704307_166737095623311360 x	@airjan23 ok, you take two isolated incidents and call them dirty, what about Rusty, his knee on knee against spezza in early jan? nothing?
227704307_166738584869679105 x	@airjan23 there were years i would lean to you, but not this year
227704307_166738258225664000 x	@airjan23 no, i am saying you sound like skipbayless, bringing up, throwing snowballs at santa, this years team, is two wimpy to be dirty
227704307_166737974359363585 x	@airjan23   also i am a fan of how the rangers play, the flyers should be more like that, instead they have a nice balance of grit and skill
227704307_166732668589977600 x	@airjan23 just read your blog calling the flyers a dirty team couldnt be further from the truth shelly is an idiot but you are off Base dude
227704307_166731304665231360 x	http://t.co/cfmxeF00 the government is way to powerful, and has infringed on our rights
227704307_164517937493983233 x	andy ried  #phillyvillainsCSN
227704307_163729704233336833 x	@HARRYMAYES975 yeah now if there were only 12 teams every game would be like this rather then the  likes of wizards n kings, ect.
227704307_161649561432104962 x	@SeanBrace975 THis is the type of LB the birds NEED on & off the field this confirms http://t.co/HVKMW4t7 via @youtube
227704307_161295087958110208 x	@JTrotter_54  agreed dont wana see a backup special teamer or kicker blow a chance 2go2 Super Bowl should be won or lost by the D or Offense
227704307_160907377661575169 x	R.I.P. Joe PA
227704307_154654437103779840 x	#vegas
227704307_142718465587953664 x	@Buccigross i will keep that in mind tonight bucci? have a great weekend
227704307_138466530483642369 x	@NickKayal975 disagree he has made one mistake.  if the offense would have taken care of business game would already be over
227704307_138447125682982913 x	@NickKayal975 i agree, but bs call a personal foul for unsportsman like conduct, it was after the play, the play should stand
227704307_134469948021022722 x	@tpanotchCSN  coburn, is no shut down d man, no way he should have been beat there,   we will regret this extension we gave him
227704307_134309162506129408 x	@tpanotchCSN way overpaid for coburn. he is serviceable, but not that good, thats a lot of cash, for a 4th defense man at best
227704307_131912516619091969 x	@tpanotchCSN  where was the inference call on kaleta taking a run at giroux, that was a full 2 sec late, intent to injure much?
227704307_131909104682807296 x	@tpanotchCSN  thats not on  bryz
227704307_128917093214203904 x	@jaysonst just turned on  can philly and GSD: FROM THE VAULT was on, and being only 22 years old, i didnt realize you had quite the mustache
227704307_128672812566183936 x	@Buccigross i am so tired of watching larussa, go to the bullpen 80x a game i know he has had success & i respect that but its hard to watch
227704307_128670354037149696 x	remember when monday night football was good. this is like watching paint dry
227704307_126765397738405888 x	RT @DarrenDreger: Talked to Eric Lindros this afternoon. He's looking forward to possibly reuniting with Renberg and LeClair in Winter C ...
227704307_125621962763538432 x	@HARRYMAYES975 billick sux,  sry was not close i could tell live speed he was out of the pocket and i want andy fired I'm rooting for a loss
227704307_125234711357431808 x	@CrashburnAlley your flaming liberalism makes me respect you less and less everyday, talk baseball, not your political views
227704307_119979945337438209 x	@TonyBrunoShow can't wait for the king of sports media t return to the homeland
227704307_119403797868052480 x	@NickKayal975  id love to see the Ruble in the Jungle, where Mikey Miss Beats down that chump Eskin
227704307_116590111965188096 x	@Nick975Fanatic he still has to be better then casey mathews  or fuko
227704307_116579880610697216 x	@Jonnybones your my favorite fighter man, please do me a birthday favor which was last weekend, and knock rampage out
227704307_81152768701763584 x	@Buccigross peverley
227704307_72872307571441664 x	@Buccigross dirk
227704307_65236004948283392 x	@Buccigross JVR for my flyers and Horton for the B's
227704307_49866539888947200 x	@tpanotch  what he hell happened?
227704307_47813124253958144 x	@tpanotch Surprised? the 4th line is -2.i love the toughness shelly brings. but makes the 4th useless lets get back to a checkin line
227704307_47813487623290880 x	@theMIGHTYmurr @tpanotch you know, maybe bring up wellwood, and make that 4th line a solid line at least defensively
227704307_47395114556993536 x	@Buccigross bout time some1 like JR talks about how HOFer Stevens ruined the career of Lindros how we forget what he was &  was goin to be
227704307_47382868825096192 x	@tpanotch i agree with JR, no one is saying about how people like darius kasparaitis and scott stevens basically runined lindros' career.
227704307_43075283598848000 x	@Buccigross YOUR BLOG IS BACK! In Video Form.  Tank the Lord, now, i have a reason to look at ESPN Hockey Page again.  love it. keep it up!
227704307_40996034406653953 x	@Buccigross Bucci, what happen to the mother of all mailbags?  i used to wait for it every week. i loved reading about hockey and music
