296812621_203508019139584003 x	Feeling #inspired by our 55 5-year cancer survivors!! Wonderful to #celebratelife!
296812621_133652997904412672 x	So pumped for #eagles vs #bears tonight! Soon will be heading to the Linc with @GregoryJToth! His team is going down. #mnf
296812621_132814643461754880 x	Best time ever! Finished the #5k in 30:56. Now it's time for breakfast.
296812621_132778229797883904 x	Off to run a #5k in support if pancreatic cancer awareness! #pancan
296812621_132629222333218816 x	@kelleykramer what will you be doing? Writing? Producing? Can you get me in to meet @sdoocy?? You will be missed!
296812621_132587667975180288 x	omg kel!!! Is this true?!? I'm so excited for you. ?@kelleykramer: excited..  nervous and sad to be leaving my GD peeps.?
296812621_132429635974725633 x	Getting a visit from @Reputation_Inst today. They offer a lot of great insight that I love learning from each time they come to town.
296812621_132428825438068736 x	@KarlRibas I have the Nike + GPS watch too and I absolutely love it!! Keep it up :) I'm training for a half marathon with @smanci03 now.
296812621_131742228791037953 x	@kelleykramer @Good_Day_Philly you should be talking about all things cancer related and then giving me a call!
296812621_131719604056756224 x	Just found out a friend of mine from high school is now a PR manager at a hotel in Vietnam! Pretty impressive. #hempfieldhigh
296812621_131184889071546370 x	Successful Halloween: 63 trick-or-treaters and a scary movie. Best costume = zombie surgeon. #ilovehalloween
296812621_131075040564350976 x	Best news ever! @GregoryJToth and I will be in the suite for MNF #eagles vs #bears next Monday! It doesn't get much better than that!
296812621_130803584269942784 x	@KarlRibas your pumpkin turned out awesome!! No snow with it... But still awesome :)
296812621_130467645249167360 x	@KarlRibas @gregoryjtoth carving pumpkins in the snow was odd. Tweet pics of yours tomorrow!!
296812621_130461944116293632 x	@fox29philly check out pumpkins in the snow in Plymouth Meeting! http://t.co/uj8CLDAq
296812621_130461268233568256 x	Carving pumpkins on the night of a snowstorm. Have to say this is a first! #firstsnow http://t.co/bfT590ck
296812621_130321964064702465 x	Watching the snow hit Plymouth Meeting! #snowtober #firstsnow  http://t.co/aLesSocM
296812621_130111624571916288 x	Just signed my husband @GregoryJToth up for twitter. Welcome to the new age of social media!!
296812621_130105178006368256 x	@tsolo1 i am helping greg set up a twitter account! finally.
296812621_130099866188775424 x	Was just waited on by a former TU classmate who had NO clue who I was. Yep Im officially forgettable. Still an awesome night out.
296812621_129948340279455744 x	If you haven't tried this you HAVE TO!!! It's so creepy. http://t.co/nfLVAatS It makes you think twice about being on social media.
296812621_129936825677660161 x	@KarlRibas @TSOLO1 I'm little sad that it took you both this long to figure out that I'm cooler than him. Honestly... it's obvious.
296812621_129910705771134976 x	RT @FoxNews: Aspirin Can Cut Bowel Cancer Risk by Half, Study Says  http://t.co/yj5FXzSk
296812621_129886956107735040 x	@TSOLO1 he is lame! I've been trying to get him to sign up but he just doesn't understand.
296812621_129621645328515072 x	#Excel is my worst enemy right now. I'm pretty sure my computer hates me. Just insert the hyperlinks please! #techstinks
296812621_129577311535251456 x	RT @Kristinesimpson: In PR you sometimes have to accept you have to work with a skeptic crowd. Convince them in the value of PR/measurem ...
296812621_129576300963840000 x	HAP poll finds 85% of PA residents are satisfied with their care from local hospitals. #healthcare
296812621_129269953361743873 x	Learn a little more about what a powerful young woman can achieve in business. @shama is such an inspiration. http://t.co/XFfHGRAR
296812621_129207436178493440 x	Do you need accreditation to advance in PR or is experience more valuable? #pr
296812621_128921307793469442 x	Great session on getting your message heard with @LoraineBallard! PR peeps don't be shamelessly promoting a product! #pennwomen
296812621_128855355785621504 x	Thanks @Shama for your informative session on social media!! #pennwomen
296812621_128842223021330432 x	"people are now the media" when it comes to social media. @Shama
296812621_128836689312497664 x	Session about to begin: the zen of social media marketing. #pennwomen how to drive traffic to your sites.
296812621_128820740165345280 x	Gretchen Rubin from The Happiness Project is now addressing the attendees. Feeling pretty happy about this. #pennwomen
296812621_128812236641812480 x	Mayor Nutter takes the stage. #pennwomen
296812621_128792890368475136 x	At the Pennsylvania Conference for Women in Philadelphia. Excited for all the speakers today!
296812621_126993281212104705 x	Zuckerberg's sister starts business to help companies take advantage of social media. http://t.co/wvEsPycw
296812621_126991534112514049 x	Wow. Who will lead now? @Reuters FLASH: Libya's Gaddafi dies of wounds suffered in capture near Sirte - senior NTC military official
296812621_125424499674980352 x	Sitting in an alley in Lancaster watching some sort of police bust with my parents. Their commentary is pretty amusing. #thisisntphilly
296812621_125422700406636544 x	I'm so jealous! RT ?@KSchaner: A night of @mattnathanson at The Riv. #chicago #ilovethisguy http://t.co/riLmk9xH?
296812621_125422459171254272 x	RT @KSchaner: A night of @mattnathanson at The Riv. #chicago #ilovethisguy http://t.co/iPDv9MQb
296812621_125291852449595392 x	Heading to Lancaster for Becca's wedding. What a perfect day!
296812621_125020408213807105 x	#idesofmarch was a little too Hollywood left-wing for me. Still great cast and pretty interesting plot.
296812621_125016100227387392 x	@NBAJWill55 where are you heading?
296812621_125014378830495744 x	Just saw this preview in the theater. So excited!!?@LeoDiCaprio: Poster for #JEdgar is out. See it here: http://t.co/oQOg2PRU?
296812621_124219852012535808 x	Factual errors in articles irk me!! Can't the reporter at least spell the physician's name right? Oh well... the photos looked nice.
296812621_123827387841523712 x	Learning about social media from @LinkedByPink at the @PBCC conference! #breastcancer awareness
296812621_121760546088427520 x	RT @ABC: Steve Jobs in Your Three Words - send @GMA your pictures & videos remembering him in three words: http://t.co/IvTIlqLp
296812621_121733056531922944 x	So sad to hear of Steve Jobs' death. #Cancer is a terrible disease.
296812621_121196261645893632 x	@sheinellejones thanks for the mention this morning! I just saw the clip. I'm am very trustworthy
296812621_121195851950469121 x	@mikejerrick just so you know I'm very trust worthy! Thanks for the mention. Miss you guys.
296812621_120660309101907970 x	You are big time RT@jesslaw Ahhhh, @JamieLee716 just forwarded me an email from UDel PRSSA announcing me as a speaker. I feel so official :)
296812621_118135172242743296 x	The train ride home always seems so much longer. Another successful media appearance! I work with some talented people. 30 mins to Philly
296812621_116161731348267009 x	RT @CancerCenter: CTCA's Dr. Steven Standiford will be a guest on the Dr. Oz Show Today to talk about pancreatic cancer:   www.doctoroz. ...
296812621_116125255273152512 x	Great start to the day. Just spilled tea over my notebook. But I have casino night at work to look forward to!
296812621_115093953786806273 x	RT @KSchaner: Honoring the strength of Caregivers...thank you, @martinamcbride "I'm Gonna Love You Through It" - http://t.co/doALkhRo vi ...
296812621_113604700871462913 x	It's soooo quiet in the office this morning. You'd think I'd be more productive but the silence makes my mind wander.
296812621_111862380203487232 x	Best part of working from home? @mattnathanson popping up on my fios music choices!! He makes my heart beat faster. Loving Modern Love
296812621_111408201462857728 x	Sitting waiting to get my blood drawn. Seriously, what's the point of having an appointment? I hope I get called back soon.
296812621_109635238291976192 x	Heading to Peoria, IL for @smanci03 and @tsolo1 wedding!! It's going to be an awesome weekend.
296812621_109634624405241856 x	@jesslaw yay Rosie!! She rocks. Hilda is lonely in PA
296812621_109043021366046720 x	@jesslaw so proud of you!! Yay new car!
296812621_109042754524430336 x	RT @jesslaw: Just wrote the biggest check I've written thus far in my life. Eeeeeks!
296812621_108610529492336640 x	I absolutely hate sitting in the doctor's office.
296812621_107437850567524352 x	@Kelleykramer you rock! I'm so glad I caught you on the air. Seriously awesome. Greg is out cleaning the gutters now!
296812621_107435433918599168 x	@kschaner the race is this February in Disney world! I now have even more motivation to make sure I finish. She was such an amazing woman.
296812621_107150829735256064 x	Spoke with most amazing breast cancer patient. She's still running marathons. Now I'm even more motivated to do well in my half marathon!
296812621_103129055221645314 x	RT @GiulianaRancic: NEW, fun episode of Giuliana & Bill tonight! Style Network at 8/7c! Retweet to win signed copy of our book & gift fr ...
296812621_101303269778915328 x	RT @CancerCenter: >Cancer treatment center uses 'traffic lights' to help with a fun wellness program  http://t.co/Uy6lDki
296812621_97768532770684929 x	Heading to Baltimore for a segment on ABC 2! Tune in at 630 tonight if you can.
296812621_96674063036067842 x	RT @jadande: 1 of the best jobs in sports is being Michael Vick's backup. Look how it paid off for Matt Schaub and Kevin Kolb
296812621_96633669812367360 x	Can't wait to see 50/50! #BeatTheOdds http://t.co/A2Aqn1A Looks so good!
296812621_96561070726070273 x	New online support group for #cancer survivors and loved ones. #ihadcancer - could be great way for people in similar situations to connect
296812621_96321600412065793 x	@nytimes section "picture your life after cancer" is so moving and so inspirational! There are some amazing survivors out there.
296812621_96230311234510848 x	Who knew supplements were so expensive? fish oil, vitamin c & d and milk thistle = $75!
296812621_96183980189159424 x	@NBAJWill55 @TSOLO1 @smanci03 I'm trying to find out about the flight from greg. he's still trying to figure out how much the blinds cost
296812621_96214409097129985 x	@TSOLO1 @NBAJWill55 @smanci03 but what I really need to know is if you're wearing jeans or shorts to the boat races this weekend.
296812621_96009862105927681 x	Day 1 of training. Nice start. I can see myself running through Disney now!! #marathon
296812621_96183536100458496 x	@smanci03 it's a half marathon in October! My friend from work & I are thinking about running. If not, there's a princess one in the spring.
296812621_95584359737868289 x	@jesslaw it really makes me want to take a nap!! I miss college... and summer break. That meant not being stuck in an office all day.
296812621_94179679111622656 x	@smanci03 thanks for the follow!
296812621_94049564612505600 x	My friends visiting from Illinois are going sightseeing in Philadelphia. Hmmm on a 100 degree day... I'm actually happy to be at work. #heat
296812621_93343320608227328 x	Fox News article on genetic testing for colon cancer. http://t.co/kxRG9lC via @foxnews
296812621_93008454825947136 x	Totally excited for the season premiere of #giulianaandbill tonight! It will be a great start to the week! Watch tonight at 8pmET on Style!
296812621_92960396859805698 x	First day in my new office and I was scared to death by window washers! Maybe being able to see the outside world wasn't such a good idea...
296812621_92280757044772864 x	Sitting at the car dealership! Is the long search for a new car over? I think so :)
296812621_90419069815226368 x	@SheinelleJones it's the crepe truck on temple's campus!! soooo delicious
296812621_89430228887277568 x	Getting excited for the big weekend ahead. I know we won't let a little rain stand in our way!
296812621_89311208536162304 x	I couldn't agree more! It's a busy Friday already. RT @jesslaw All you people and your summer hours :) Just a tad jealous over here.
296812621_89025246526570496 x	Interesting lunch conversation... from online dating to the death penalty. I have such a well rounded team I'm working with.
296812621_88977291660623872 x	Working on interview preps for my first filmed surgery. I'm really excited about it! Who ever knew this kind of work was part of PR?
