225270327_391648680328966145 x	No touchdown. 3rd and 1 coming up.
225270327_391986658083872770 x	RT @ZBerm: Jeff Maehl has had two balls hit his hands today.
225270327_391984933394448384 x	Can't say this is what I expected #Eaglestalk
225270327_391973964505174016 x	Barkley time.
225270327_391971168384991232 x	RT @Eagles: RT if you're watching #DALvsPHI on FOX.
225270327_391968226357166080 x	Here's my piece on Temple's game yesterday against Army and their first win under @CoachMattRhule: http://t.co/RolcIeUlxk
225270327_391712873703288832 x	RT @mowilkerson: Congrats to my TU bros on the win today #templemade #tunation #templefootball
225270327_391690242945978368 x	@AdamReigner PJ Walker!
225270327_391686523865018368 x	RT @doolywears21: Felt great to get the 1st win of the season #TU ? http://t.co/2XtHs6rudn
225270327_391661046991450112 x	Temple football team is singing 'High Hopes' in the locker room.
225270327_391657952626475008 x	Final score from the Linc: Temple 33, Army 14. Matt Rhule wins his first game as the Owls' head coach.
225270327_391657283156848640 x	The 'I Believe' chant just went down. First time we've heard that at a Temple football game since October 6, 2012 vs USF.
225270327_391655673559138305 x	Tyler Matakevich picks off Kelvin White. 2 interceptions today in the 4th quarter, none in the first 6 games for Temple.
225270327_391652695305498624 x	RT @TU_SportsDesk: According to @MVender247, that is Temple's first interception of the season.
225270327_391652422646374400 x	Tavon Young picks off Kelvin White's pass. That's Temple's first interception of the year.
225270327_391648898462121984 x	...but Kelvin White runs it in from a yard out. Temple leads Army, 33-14 with 14:48 to go in the 4th.
225270327_391648256272248833 x	Kelvin White to Larry Dixon for a 9-yard touchdown reception. Play is currently under review.
225270327_391647081313497088 x	Temple leads Army, 33-7 at the end of the 3rd quarter.
225270327_391646320810684417 x	Somebody better reset the gameclock to 1:59...the ref is getting angry.
225270327_391641242812968961 x	Zaire Williams with a 15-yard touchdown run. XP is.............good by Visco. Temple leads Army, 33-0 with 9:04 to go in the 3rd.
225270327_391640718592049152 x	Another fumble from Army, this one recovered by Tyler Matakevich. 1st and 10 for Temple from the Army 21 yardline.
225270327_391638309828431872 x	Tevin Long now in for Army at QB. They're now onto their 3rd quarterback of the game.
225270327_391637121343037440 x	Army gives up an average of 28.6 points per game on the year. Temple already has 26 points at halftime.
225270327_391632219334144000 x	Temple holding a 26-0 lead over Army at halftime. Yeah, you read that right.
225270327_391630833179586560 x	SLB Sharif Finch sacks White for a 2-yd loss. Army forced to punt once again, Robby Anderson back to return.
225270327_391629934747070464 x	The touchdown stands. Owls fail to convert on the 2-point conversion. Temple leads Army, 26-0 with 3:26 to go in the 2nd.
225270327_391629302422192129 x	Nate D. Smith recovers Army's backwards pass, and runs it in for a touchdown. Play is being reviewed.
225270327_391628062690795521 x	PJ Walker to John Christopher for a 39-yard gain and a touchdown. XP is no good. Temple leads Army, 20-0 with 3:43 to go in the 2nd.
225270327_391626586145169409 x	Check out these two Temple fans up in the nosebleeds: http://t.co/RYzV8nLzls
225270327_391623709573644288 x	Army QB Angel Santiago is being helped off the field. Kelvin White has checked in for the Black Knights.
225270327_391622806183481344 x	RT @Owlsports_com: Stella The Owl enjoying today's @Temple_FB Homecoming Game!! http://t.co/Ik29dZWMiY
225270327_391618799440379904 x	PJ Walker already has thrown for 128 yards (5-for-6) and a touchdown. There's still 4:26 left in the 1st quarter.
225270327_391618270710603776 x	Walker to Fitzpatrick for a 37-yard touchdown completion on a fake QB sneak. XP is good. Temple leads Army, 14-0. Beautiful play-call.
225270327_391615920973422592 x	@rheahughes yes
225270327_391615075280113664 x	RT @EliotShorrParks: Lavoy Allen overslept and missed practice, coach brown said. "It will be dealt with" #Sixers
225270327_391612982418890752 x	No TD. Owls are at the one...and Kenny Harper runs it in for 6. XP is good. Temple leads Army, 7-0.
225270327_391612387981148160 x	The play is under review to see if it's a touchdown. Looks like he might've gotten into the endzone.
225270327_391612253893431296 x	PJ Walker to Jalen Fitzpatrick for 45 yards. Temple's at the only 1 yardline.
225270327_391611788740923394 x	22-yard gain for Kenny Harper on the second play of the game. He runs so damn hard, really hard to bring down.
225270327_391602259949535232 x	35 minutes until Army & Temple kickoff here at Lincoln Financial Field: http://t.co/Wc17fruiyE
225270327_391600249086570497 x	Temple DT Levi Brown is inactive today
225270327_391597670932152320 x	RT @matt_breen: Wyatt hits a jumper, then combs his hand through Noel's flattop
225270327_391580803991625728 x	Heading to the Linc for Temple-Army. I might witness the Owls' first win of the season...there's a chance.
225270327_391569850747072512 x	RT @GeeJackson10: Temple U. vs. Army. Military Appreciation Day, 1:00 PM, Lincoln Financial. GO @TempUniv  @DeSeanJackson10  Homecoming, Go?
225270327_391394268629458944 x	2015 Ewing guard Trey Lowe. Owls have already offered RT @BallislifeLowe: had fun at temple tonight
225270327_391397876867559425 x	@aladd9 not this year, too many distractions right now. If he takes a year off, I'd be open to it. Depends on how things play out.
225270327_391390651742687232 x	2015 Haverford guard Sean Lloyd RT @ShizzLloyd1: Temple got a lot of chicks ???
225270327_391304579994112000 x	RT @Mark_W20: Cherry and white night tonight at 7 at liacourus
225270327_391296054022647808 x	RT @Chaney_Quotes: "Temple is not for everybody. It is hard work to be great. If you want a coach to tell you how good you are all the time?
225270327_391199327865282560 x	Sean Lloyd (Haverford), Samir Doughty (MCS), Jake Silpe (Cherry Hill East), Jalen Brunson (Adlai E Stevenson) & CJ Keyser (Patterson Mill)
225270327_391233614450798592 x	@FergBoathouse Yes, he'll be there. Ahmad Gilbert from Constitution will also be there. Ran out of characters for those two.
225270327_391199290682781696 x	The following players are all set to attend Temple's Cherry & White Night tonight ...
225270327_391188749360824320 x	RT @_cjkeyser22: Chilling with my mans coach trice http://t.co/lyEIqQyy8S
225270327_391011661815238656 x	2015 Patterson Mill shooting guard CJ Keyser @_cjkeyser22 will be attending Temple's Cherry & White Night tomorrow.
225270327_390986878675333121 x	2015 Mac Irvin Fire point guard Jalen Brunson, son of Rick, will be visiting Temple this weekend.
225270327_390984215543955456 x	@kmattio could you come back to Philly and bring me some?
225270327_390975983635136512 x	RT @scoopjardine: Maturity comes with experience, not age. ?
225270327_390967931733282816 x	ICYMI: Here's my preview of the 2013-14 Temple Basketball squad http://t.co/ltiE9EGIba
225270327_390882118999760897 x	RT @APgelston: Temple, Villanova each get 4 votes in The USA Today Coaches poll. Kentucky No.1. MSU-LOU-Duke-Arizona. Kansas No. 6.
225270327_390879376650551296 x	Reminder: Cherry and White Night is tomorrow night at the LC. Doors open at 6:30, free admission. #TUMBB #TUWBB
225270327_390844395458945024 x	@Blackron_ levels
225270327_390656937584775168 x	@PompeyOnSixers that's all you could eat? Weak.
225270327_390649050359271424 x	Want to learn about the '13-14 Temple Basketball squad? Ready my #TUMBB preview here (roughly 2,000 words of fun): http://t.co/OrawhzIgbI
225270327_390532619131453440 x	Temple has been picked to finish 5th in the AAC coaches poll. Louisville picked to finish 1st, UConn 2nd, Memphis 3rd, Cincy 4th #tumbb
225270327_390504277732761600 x	RT @TUMBBHoops: #TheAmerican Inaugural MBB Media Day. http://t.co/55zV1sbaAu
225270327_390269525754908673 x	RT @coachkillings: The count down...... http://t.co/ASsIhI7ZNL
225270327_390247229094899712 x	Spoke with Jackson Forbes' godmother @Hoops4Him earlier today & will be speaking with Jackson himself later tonight. Article coming up.
225270327_390246608736378880 x	2015 Maple Shade (N.J.) WR Kevin Williams RT @Call_me_kevo_4: I need to catch a temple game soon?
225270327_390246132632522752 x	Army, who Temple will face this Saturday at the Linc, averages 352.3 rushing yards per game. That's good for #1 in the nation.
225270327_390183868852355073 x	The Temple @ SMU game on 10/26 will air on ESPN3, per the TU press release. Kickoff is set for 2 p.m.
225270327_389936968899248128 x	I definitely saw some good things, though. RT @KhalifW05: I stunk it up.. Good learning experience for me and the guys though...
225270327_389894766546403328 x	Khalif sighting at Wells Fargo.
225270327_389566276064256000 x	@Hoops4Him hey Penny, could you send me a DM?
225270327_389567585714728960 x	@Hoops4Him could you also give me a follow? I can't DM you back unless you do.
225270327_389546390126612480 x	Tom Brady needs to make some serious wardrobe changes. This sweater is ridiculous.
225270327_389497934431399936 x	RT @ESPNMondayNight: Stevan Ridley fantasy owners are saying "About time!"
225270327_389475512625938433 x	Barwin coming up big there. Needed to get the defense off the field.
225270327_389474828484620288 x	?@JimmyKempski: Foles now 22 of 31 for 296, 3 TD, 1 rushing TD, 0 INT, 133.3 QB rating.? QB controversy?
225270327_389474406067888129 x	RT @CrossingBroad: 10 mode turnt up ya dig herrrr meh bird gang what it do baby one time !!
225270327_389468354521886720 x	@DanGorenstein take your anger out on @scottansell13
225270327_389456082462339072 x	Is this Mike Glennon or Mike Vick out there?
225270327_389453373759832064 x	RT @TheTempleNews: UPDATE: Police still in communication with armed male Temple student in Willington Street basement. http://t.co/E7SXfbIp?
225270327_389448364112486401 x	Damaris Johnson is a really dumb football player. This is driving me crazy.
225270327_389435837009903617 x	#BirdGang
225270327_389138357361848320 x	RT @ConnorBarwin98: Just landed in Tampa, #DidYouKnow Tampa has the most strip clubs per capita in the USA.
225270327_389135224539721728 x	#LOLHackenberg
225270327_389128772345409536 x	RT @umterps: The great #7 @7BOOMERESIASON is in the house today! #TerpFamily http://t.co/27kBisE0bS
225270327_389041556592017408 x	2015 Mac Irvin Fire (Illinois) Jalen Brunson @jbcrossover5, son of Rick, has picked up an offer from Michigan St. Temple has offered.
225270327_389039342154711040 x	RT @AdamsonAshley: Kiffin on watching Orgeron coach USC Thursday: "It was like watching someone else raise your kids."
225270327_388850807229415424 x	?@Mengus22: Of course Temple isn't in that position if the QB goes out of bounds and doesn't throw it well short of a first down.?
225270327_388845312510803968 x	Juice Granger is the best tight end in the AAC
225270327_388813104060317696 x	RT @Temple_FB: Check out the other side!!! http://t.co/BOtmVq4PhR
225270327_388806904283406337 x	Only about an hour until the PJ Walker era begins at Temple. #ItBegins
225270327_388669943950352384 x	I apologize for my previous tweets about Uhl. I know I messed this one up pretty badly, and I'm sorry for the craziness this has caused.
225270327_388700752392499200 x	@severino215 Thanks a lot. I appreciate it.
225270327_388679434423009280 x	@Coach_Elias Thanks, Coach. I appreciate the kind words.
225270327_388666155172655104 x	Contrary to what I was hearing earlier this morning, 2014 Pt Pleasant Beach (NJ) SF Dom Uhl has committed to Iowa.
225270327_388667708285665280 x	@mvas17 Earlier this morning, I was hearing Uhl was a lock to go to Temple. Just tweeted out what I was hearing.
225270327_388672579772628992 x	@ih8yourschool I wouldn't have tweeted it out if I didn't think it was a lock. I realized I screwed up really badly, and I'm really sorry.
225270327_388667325664473088 x	@JHG722 I tweeted out what I was hearing, I wasn't trying to tease anybody.
225270327_388643162585305088 x	PROTECTED
225270327_388644264173109248 x	@JeffMcDev He supposedly told the coaches this morning.
225270327_388666864995692544 x	@JeffMcDev Apparently I had faulty info. Uhl is heading to Iowa.
225270327_388647659655139328 x	RT @GoBEARCATS: 12 hours from now this place will be rockin' #UCRingofRed #BeatTemple http://t.co/jPsc9WBR6N
225270327_388498845237514240 x	RT @willcummings_: Have to take advantage of every opportunity...
225270327_388484234316644352 x	RT @AdamZagoria: St. John?s Counting on Freshman Jordan to Have Big?Impact http://t.co/5r0rf9UhKh
225270327_388467706921775104 x	This game is tied?
225270327_388460529112862720 x	@caSh4GOLDZ you're playing?!?!? Now I definitely can't miss it..it's gonna be too funny
