262742736_394235216489086977 x	RT @Partyprobs: "Trust me, you can dance" - Vodka
262742736_343800805733847040 x	I haven't changed a bit, I'm still not over it. #imakethesamemistakes
262742736_342845869063798785 x	That awkward moment when both of the bartenders girlfriends are at the bar.. #awkward #atthisbartoomuch #thatawkwardmoment
262742736_340692667233079296 x	@AARONCARTER what time does the party in Wilkes-Barre, PA start tomorrow?! #illbethere #vip #aaronsparty #theafterpartytour
262742736_335587071521587200 x	@LByo I just had seven casualties #homelandprobs
262742736_323583697569857536 x	Yay Adam Scott!! #masters #golf
262742736_322200234505695232 x	@ABC_Publicity I'm sorry but when you play the BP commercials right after jimmy kimmel.. I just think they are joke commercials.
262742736_318176589940682753 x	#poorohio #MarchMadness
262742736_313469680918605825 x	First day of my big girl job tomorrow... #nervous #excited #freshstart
262742736_313146194513772545 x	Don't be sorry your darkness is gone. I'll carry it for you.. Always
262742736_312223761422221314 x	On the guest list to see @AARONCARTER on June 1st.. #childhooddreamsdocometrue @LByo
262742736_305888183747489792 x	RT @newportliving: Kristen Stewart needs to go the fuck away
262742736_305888140290301953 x	RT @KiddKraddick: Was that a bruise on Kristen Stewart's arm? It looks like a "Listen to me!" bruise.
262742736_305844797569134592 x	@PerezHilton so does Kristen Chenoweth #oscars #OscarsRedCarpetLive
262742736_305843930719735809 x	#bestdressed Jennifer Lawrence
262742736_305831365818056704 x	#oscars2013
262742736_305775225361014784 x	@lbyo cinco seis cero.... #orderingdelivery #latoltecaexpress #practicingmyspanish
262742736_305536428572549120 x	At the bar with my best friend @LByo Bartending/singing.. With my boyfriend and my family @auntjesssays and @newportliving.. #happy
262742736_299961143999471616 x	Original 'Scream' is now on Netflix. #fuckyes #whatsyourfavoritescarymovie?
262742736_254022269788114945 x	It's #ThirstyThursday!!! #mineswelldrink
262742736_298617611057524736 x	RT @cocoatea13: @AshTheKid  now in stores the new cocoa tea cd inna di red & online @itunes.com plz reetweet
262742736_298219366313492482 x	#godbless the sandy hook elementary school chorus #littleangels #FNLSuperBowl #happysuperbowl
262742736_297863796624588800 x	RT @newportliving: Out seeing my boo @ajklopotoski in spring awakening with @auntjesssays and @AshTheKid. Good luck! We love you!
262742736_295912453961814016 x	Fuck you Misericordia University. #fuckyouuuuu
262742736_294843759227719680 x	I truly feel sorry for every celeb who has to deal with haters on their instagrams&twitter.. #benicetoacelebritytoday #theyarepeopletoo
262742736_291245060815724544 x	#bartletforamerica
262742736_289798836212350979 x	"The most costly disruptions.. Are the ones that happen when things we take for granted stop working for a minute"-Jed Bartlet #westwing
262742736_288139030485405696 x	Speak of the devil and the devil doth text. #truth @ajklopotoski @LByo
262742736_281966045986709504 x	"Enjoy going through life as yourself." #girls @ajklopotoski #stilllaughing
262742736_279430602317520896 x	"Honestly amigo this is impossible!!" #moulinrouge @LByo
262742736_278165049795809280 x	I love getting thrown under the bus by person I thought was my friend during the worst time of my life.. #nofaithinfriendship #thanks
262742736_277855655698784256 x	#scrubbingin
262742736_277055559931424769 x	Happy #flashbackfriday @LazyLare http://t.co/ozPwZYCA
262742736_274995464418516993 x	@auntjesssays @newportliving thank you for birthday tweets.. Can't wait for #girlsnight #loveyouboth #family
262742736_274902842668630017 x	RT @newportliving: Happy birthday to my sister from another mister @AshTheKid
262742736_274766980173688832 x	meangirlsscenes's photo http://t.co/snFiixKR... Well that's incredibly ironic..
262742736_274755050809720832 x	1 hour down.. 23 to go. #letthisdayflybye #wakemeondecember2nd
262742736_273147088777388032 x	@DannJMartin you and some honey ? #hot #lolz
262742736_273146455965962240 x	Circles, circles, we all move in circles... #maliceinwonderland
262742736_272732121712447488 x	Maybe you haven't heard our new slogan? "Agrestic the best of the bestic".. #dougwilson #citycouncil #weeds #agrestic @LByo
262742736_271663440932773888 x	Wake me at the end of the holiday season. #please #fuckthis
262742736_271078500692267008 x	@DiscoveryID #homicidehunter #allnew #LtKenda #bamf
262742736_268016460750807041 x	Excellent cure for #themondays @lbyo http://t.co/aV02UqWV
262742736_267526450314346496 x	Just got home from the bar.. My house smells like #popcorn #asshole and #brokendreams
262742736_266037151215529984 x	RT @SheeWantsYourD: We all know Michelle is getting the D tonight, right?
262742736_266036580576280576 x	FUCK YEA #AMERICA
262742736_266036476620451841 x	FOUR MORE YEARS!! #obama2012
262742736_266034240863490051 x	BARACK OBAMA RE-ELECTED AS PRESIDENT!!! #election2012 #Obama #eatshitmit
262742736_264800148461334529 x	Spending the day with this little cuddle bug #whatacutie http://t.co/wLzfPfx3
262742736_264047683726094336 x	@jp_mericle I tamed that squirrel #nighthawk
262742736_264042847722930178 x	Happy #tbt to all of the people who have kept me alive thus far... I thank you all.. #instacollage http://t.co/glX0LCTe
262742736_262954736221818882 x	Yikes you would think we were experiencing a #naturaldisaster or something.. http://t.co/TNq1YIX5
262742736_262444056519524352 x	All that matters is the place.. Truth is no one cares who you are or where you come from.. #ifyouhavethepartyhouse #youbecomeyourhouse
262742736_262356434463899648 x	So is #magicmike supposed to make me feel bad for a #malestrippers lifestyle? #sorryyoursosexy #sorryyoumakemoneyfrombeingsosexy
262742736_262355896485699585 x	RT @MarkBHawkins: Drunk people are the only honest ones left
262742736_262355007142244353 x	RT @WhennBoys: When boys are good with kids. ??
262742736_262353470022094848 x	@mamaa_kay I miss you so much too Kels!!! We need to chill ASAP ?
262742736_261507082321264641 x	#beachpics #tbt definitely eating sand.. http://t.co/FHzRg4Kl
262742736_261503760495411200 x	Happy #tbt to the best dad.. #nice90stache #lovehim http://t.co/JgDO6I8L
262742736_261500423045783553 x	Love her :) http://t.co/0NVyUmFr
262742736_261015270330609666 x	Another #greatmovie to add to the list of #moviesfilmedinmyfavoritecity #BasicInstinct #SanFran ?
262742736_260680417500344320 x	Dusk till Dawn.. #moviestowatchat6am
262742736_259836369780748290 x	Got goose bumps watching the end of #hocuspocus #kidatheart.. #13nights
262742736_258455774928461824 x	Donnie your out of your element. #thebiglebowski #thedude
262742736_258404712829841408 x	You gotta fight for your right to party... #aaintgonnashutmedown #tbd
262742736_258390849342275584 x	#nbcpolitics #trynabeeducated
262742736_256411872830570497 x	RT @XSTROLOGY: I am a #Sagittarius because I can go into beast-mode.
262742736_256409338971815936 x	#tbt in a nutshell http://t.co/3NW4xba5
262742736_256175154558820353 x	This song is for the people who tell their family's sorry.. For things they can't and won't feel sorry for.
262742736_256167329585582080 x	I got all the fuckin work I need...
262742736_255429077807276032 x	@LazyLare had a dream about you serving at metro the other night.. You were wearing badass sunglasses.. #missinya
262742736_255386981423525888 x	To find out Vince's secret check out http://t.co/hwCcObhm #familyguy #notarealwebsite #stillfunny
262742736_255344168421953536 x	If you were happy every day of your life you wouldn't be a human being you'd be a game show host..
262742736_255001618045620224 x	RT @YourAwayMessage: iM n0t aLwAyz thERE whEn u CaLL bUT iM alWAYz on TiMe. ;) celly.
262742736_253963708357824512 x	Holy #tbt batman! @n1cka005  @lbyo #turnthisthingaround #rightnow http://t.co/MzSMoofb
262742736_253895406101078017 x	@VPParty #illbewaiting ?
262742736_253893653821526017 x	@VPParty guess ya should have #needyouinmylife
262742736_253551541531836417 x	@VPParty I'll be waiting anxiously.. Can't wait for those #preshower pics
262742736_253551031701610497 x	My boo likes to send me pics ??? @VPParty #lmao @nicka005 http://t.co/mrhLWOqC
262742736_252808771640889345 x	@VPParty I know how much you enjoy a clean work area.. #unprotectediphone
262742736_252807992074964992 x	@VPParty your iPhone should probably get tested... #unprotected is #unwise
262742736_251415051238506497 x	RT @ajklopotoski: "the penis doesn't stop growing until age 23" "oh good....I'll just wait then" @lbyo @ashthekid @vpparty
262742736_249960972733784064 x	Check out this big butterball.. Oliver?? http://t.co/ikqmjTC1
262742736_247674613524484096 x	Everyday that starts with #boymeetsworld is a good day. #happymonday
262742736_247533328155152385 x	Thank you Jenji. Thank you. #weeds #wonderfulwonderful
262742736_247514090929532928 x	T Minus 5 minutes. #weeds #seriesfinale #byebyebotwins :(
262742736_246658615115649024 x	#madmen #BreakingBad #amclove
262742736_246482654608904192 x	Another senior year down the tubes.. #flashbackfriday #fmfl
262742736_243705974114877441 x	Those times where you leave your fan on high and in the morning it's way to cold to get out from under the covers.. #burr
262742736_243704625616781312 x	RT @FamousTherapist: If you're going through hell, keep going.  -Winston Churchil
262742736_243371294161268736 x	Just finished the #season5 finale of #BreakingBad.. After watching all the seasons in a row #whatnow #holyshit
262742736_243332619138379776 x	RT @Country_Words: We laid a lot of memories down, like tattoos on this town. -Jason Aldean
262742736_242751350658715648 x	Labor day celebrations! #blackoutorgetout http://t.co/f5RveGR3
262742736_241799714444550144 x	We all have issues.. What separates us is how we choose to deal with them. #truth #drunkthoughts
262742736_241761235236974593 x	RT @Country_Words: Keep on dreaming even if it breaks your heart. -Eli Young Band
262742736_240447665970753536 x	One of those days where it's going to be hard to just breath in and out...
262742736_239251373621915649 x	@MiIeeyCyrus you look like a person on bathsalts #youbeyou #scumwhore #crackhead #cuntonbathsalts
262742736_239250824293937153 x	I just want to make a better life for myself... #sorryiworkamillionhours #tryintogetby #thatslife
262742736_238838058148065281 x	snoopdogg's photo http://t.co/ieDSw07F
262742736_237607795514548225 x	@VPParty made cash money honey... See you this evening.. #mondayfunday
262742736_236474789248765953 x	@AllisonAmelia this morning I rolled over in bed and my hip cracked in three places... #overthehill
262742736_236474378244726784 x	@VPParty you'd think that but I'm actually just trying to be productive... #shocking #iknow
262742736_236459851407052801 x	@VPParty woke up this morning in the mood for some coffee and donuts.. Wanna take a trip to the local #AA?
262742736_236459449382998016 x	You know it's bad when you look back at your tweets and can't remember #why or #when you wrote them. #summer2012 #what... #atrainwreck
262742736_236458819276898305 x	@LByo already checked, whatever kind of animal that committed brutal murder in our yard last night left no trace of the act. #circleoflife
262742736_232932419517431810 x	Partiers of #tsh vomit does not evaporate out of garbage cans. #ifyoupukeinacan #raiseyourhand we promise not to call you a pussy.
262742736_229677386982100992 x	Say hello to the new Metro growlers!!!! http://t.co/bQj6oloJ
262742736_229490813745364993 x	#funfactforguys: if she sleeps in your bed every night than she's not your ex. And if you think your not in a relationship.. #truthisYOUARE
262742736_229141940514484224 x	Got to watch the #openingceremonies and still awake to watch the first event of the Olympics #mensroadrace
262742736_226540523375165440 x	lyssamocion's photo http://t.co/DVHPY19q #lovethis
262742736_226245630081773568 x	Cleaning until the sun comes up..
262742736_226215834249474050 x	Can't buy a beer? #YOUCANTPARTYHERE ... Steal my beer? #YOUCANTPARTYHERE.. #respecttheswimhouse
262742736_225499972043411457 x	#coolrunnings #amc #yes
262742736_222882332963643392 x	And cigarettes give you cancer but I'm like #worthit! #workaholics
262742736_222881464100995073 x	#workaholics #burnin #noughsaid
262742736_222307460256497665 x	making a new start...
262742736_220757752853704704 x	"whoever: some one's in the kitchen.. " Me: "with Dina.." @emcguire22 and me burst out laughing #loveher
262742736_219636509765148673 x	May the fourth be with you.. #forceofjuly
262742736_219588077532884992 x	@WereJustTeenss she looks like a $2 whore. #notimpressed
262742736_219423030097608704 x	I'm sorry but I don't stop drinking until I see the some come up.. #sorrynotsorry
262742736_219361710367191040 x	I'm a great listener but don't unload all your shit on me and not talk to me for months.. #yourlifeisnotthatimportant #getoveryourself
262742736_219158463262113792 x	The strongest cards you have are the ones you haven't played..
262742736_219135323966418944 x	RT @blk_mccullough: Ugly people have the most to say.
262742736_219107470168166400 x	?@TreeJTV: I always see 12:34? I always see 12:22..
262742736_219107303415234560 x	@brazeoli next time I see you break a can tab in half and toss it on the floor it is going up your nose. #keepthehouseclean
262742736_219106802242043905 x	IF YOU CAN'T FINISH YOUR BEER THAN YOU CAN'T PARTY HERE. #throwawayyourcans #onlyyoucankeeptheswimhouseclean
262742736_219090328957890560 x	Taken 2 #fuckinshitupinasequel http://t.co/lL1YP5H4
262742736_219089307892326401 x	RT @sorrynotsorryy: my 11:11 wish is a breakfast sandwich #sorrynotsorryy
262742736_219089059333677057 x	@LByo lb&at's house keeping service.. #wewillcleanyourhouse #butprobablystealfromyou #burglars
262742736_218513781414834177 x	http://t.co/0TYrYhkT
262742736_218362542857265154 x	I've said it before but I will say it again... #thankyoumtv we all prefer #lagunabeach instead of reruns of #teenmom #thanksagain #retromtv
262742736_218361773684830211 x	?@ViaGirls: You're my... Could've been. Should've been. But never was, and never will be...? and I'm ok with that
262742736_217995256724078593 x	Laguna beach?!? #retromtv
262742736_217340220058779649 x	@VPParty I wish I knew where we were.. #lost #inagrestic
262742736_217304982666489856 x	24 uninterrupted hours of quality time with @VPParty! #phillies #xfinitylive #tailgate #housestalking #gettinlost
262742736_216042159923658752 x	@VPParty oh you'd fuck her #betterpaperbagher first.. #fugly
262742736_216041795258302464 x	Some people are just too fuckin cool.. #yathinkyourecool #yourepathetic.. #getoveryourselftwats #getout @LByo @VPParty
262742736_215814320100098048 x	@comalley12 @vpparty everyone is still asleep at the house! We are losing valuable sun ray hours!! #summer #pruneyasfuck #ineedice
262742736_215091999798333441 x	@bretardedd06 @vpparty @nicka005 @brazeoli @broonbaffoon @holsballss7 @jennnaxrae  #notgonnelie the thought crossed my mind#outtaretirement?
262742736_214840843197091840 x	badgalriri's photo http://t.co/EkuOPVb4 #loveher
262742736_214081059573338112 x	@nicka005 ehh I'll be ok boo #smiles4miles
262742736_214026307808403457 x	Definitely not leaving my bed today. #noexcuses #notevenifthereisafire
262742736_213740745817997312 x	@VPParty hey scumbag I didn't get a kiss good bye this morning and you didn't leave me your gps.. #disappointed
262742736_213415984604778497 x	@VPParty "I can't believe they don't drink two nights in a row, if we did that we'd be like... Sober" #drunkthoughts #buttrue
262742736_213415330188492800 x	#jimmybuffetradio on the deck... #minezwellgetaboat #blackoutorgetout
262742736_213403188559228928 x	Beer bongs and dizzy bat and beer pong #ohjoy! @VPParty oh your spending the summer in Dallas? #mineswelldrink
262742736_213346240069517313 x	RT @ajklopotoski: Why is everyone so surprised that @rihanna smokes pot? And who actually gives a fuck?
262742736_213317312957255680 x	Good day off so far.. #breakfastwithdad #home #dexter #TrueBlood #yes
262742736_212763388881809409 x	"You're not a fuckin idiot, I'm a fuckin idiot.." #Adventureland
262742736_212757682438946817 x	Heads only science apart.. #imgoingbacktothestart . #Coldplay #yes
262742736_212757263247618048 x	"You're a fucking idiot if you don't go it's #LisaP" #Adventureland
262742736_212739919783788544 x	#workaholics #yesplease #BIGFAT
262742736_212597493173723136 x	I'm at Mr. Roger's Neighborhood (Dallas, Pa) http://t.co/5sMReI2A
262742736_212416444837789697 x	#lightningbugs a great end to the day.. #nature
