369835772_378981180387102720 x	What a play!
369835772_371395655870447616 x	Never thought I would say this but I could leave Avalon today and not be sad
369835772_370041050578305024 x	The sound of my cousin Tommy laughing>>>
369835772_369845006267600896 x	Fear can keep us up all night long, but faith makes one fine pillow
369835772_369459985618444288 x	UTLEY COME DRINK THIS WATER!!! My little cousin Charlie to his dog #littlemoments
369835772_368405857052409856 x	Avalon bound for a few weeks #perfectworld
369835772_368183399368118272 x	Way to go Captain G #Flyers
369835772_368065322429206528 x	RT @Country_Voices: Well the trouble with up is there's always a down. #BradPaisley
369835772_368016180453588992 x	RT @CjBurns215: #Flyers hockey is much needed.
369835772_367851058099666944 x	you are exactly where you are supposed to be
369835772_367828824693940224 x	weekly ritual #Rivals2
369835772_367704735383420928 x	@VOReilly_ couldn't agree more
369835772_367655384804495360 x	I'm not ready for summer to end but this weather is gorgeous #suchatease
369835772_367635998874009600 x	Hump Day!!! http://t.co/5NZMS8fDy0
369835772_366923370635329536 x	Expressway to 7S to 13. Spending the day with my little guys #finallyhome
369835772_366719202033278976 x	RT @DonnieWahlberg: Spread #LOVE and #LOVE will spread!
369835772_366370915413528576 x	Little League baseball is more interesting than @Phillies baseball at this point
369835772_366359158615834624 x	Remember the Titans #nevergetsold
369835772_366224778681528321 x	My dad just told me he is a Pittsburgh fan #WhatDoIDo
369835772_365994393943027712 x	time is like the ocean, you can only hold a little in your hands
369835772_365897508964139008 x	never let you praying knees get lazy
369835772_365863561160962050 x	Everyone should have a @BrodyJenner in their life
369835772_365647756385206273 x	Football is back #boysoffall
369835772_365632595746226178 x	I don't know why I am thanking Alicia but #thanksalicia for being you. You go girl! @Lil_Leech
369835772_365543633669201920 x	No words needed. #tbt http://t.co/4Z5ddqcnjT
369835772_365511040626196481 x	Haverford with my best friends. Not a worry in the world. #tbt #heartandsoul kristyn_fidler @Lil_Leech http://t.co/nIgj2ZT74L
369835772_365292282783608834 x	RT @Country_Voices: A small town, sometimes it's heaven, sometimes it's hell. #KennyChesney
369835772_365291620540743680 x	It's that time again #Rivals2 @MTV
369835772_365230945856528384 x	this made me so happy #IsItOctoberYet http://t.co/zndgwN8cGb
369835772_365164648653271040 x	@GMA it would make my day if you followed back #prettyplease
369835772_364965139763957760 x	RT @Country_Words: Everybody needs to break free from reality. -Kenny Chesney
369835772_364579769108537345 x	I can't wait for hockey season #IsItOctoberYet
369835772_364501930393206784 x	I just want a weekend on the beach #isthattoomuchtoaskfor
369835772_364228900995735552 x	RT @Country_Words: A heart don't forget something like that. -Tim McGraw
369835772_364226080796061696 x	@Carly_Murphy_ me too!
369835772_364155833732431873 x	Feast with my sister @__sweetcar0line http://t.co/uZ4UDnVrZ8
369835772_363827282173255680 x	RT @Country_Words: Life's too easy to be so damn complicated. -Zac Brown Band
369835772_363450502841122816 x	When the sun goes down
369835772_363443314387062784 x	In a @Drake kind of mood
369835772_363359710075813888 x	Enough with @RileyCooper_14. Let it go @espn
369835772_363319305674293249 x	I would marry @BrodyJenner in a heartbeat
369835772_363311294352326657 x	http://t.co/2u7xYlhJRr #summerwontbethesame @kennychesney
369835772_363080207902588930 x	Is it October yet #missinghockey
369835772_363006642771988480 x	Props to @kennychesney #goodheart
369835772_362755046229811200 x	Guilty pleasure #Rivals2 @MTV
369835772_362751731748179968 x	Which road I'm traveling is still a mystery to me
369835772_362373458950242306 x	just a small town girl
369835772_362266812932571136 x	well you do what you do and you pay for your sins
369835772_362237346093076480 x	43 in Brigatine at noon #nothingbetter
369835772_362015923470733313 x	I need to go back already
369835772_361836239441240065 x	only worry in the world is the tide gonna reach my chair. beach day with my sisters @julessoper @__SweetCar0line
369835772_361688141289107457 x	the sun still shines on a fool like me
369835772_361622096897519619 x	RT @countrysayingss: Here's to a long line, of sinners like me. #EricChurch
369835772_361487680627949569 x	I need to live by salt water
