94680425_388316890659307520 x	@mitta_rogers omg look at that face!!  Lol!!  ?
94680425_389184734812966912 x	RT @HomemadeDelish: @ChrissieM10 to u as well. I would say stop by tomorrw @WS Philly but ur nj http://t.co/smN24LqSgh
94680425_389183617148399616 x	RT @HomemadeDelish: @ChrissieM10 us too. About to have some dessert with vino ;) kiddies are in bed #happysaturday
94680425_389171508238880768 x	Filet mignon dinner with my man.  :) http://t.co/QcqrJUpd0k
94680425_388880423549693952 x	At what point did this man think this was a good idea?  #Toasted  http://t.co/7fbXUZBKmg
94680425_388874465196535809 x	Training to be one of Charlie's Angels.  ;) http://t.co/dFx4tblT8r
94680425_388807215005843456 x	@EddieMcClintock @MCMExpo This is the link I've been looking for!
94680425_388766954284408832 x	I want my cake, and I want to eat it too. ?
94680425_388747671550586880 x	RT @David_Boreanaz: Old school AC/DC, You shook me all night long, as @NHLFlyers take the ice wld be epic . #BringItBack
94680425_388743177639034880 x	TGIF!! ??  #FF  @jayblackcomedy  @Brianhopecomedy  @Cali_Kid_Mike  @tfurlong  @mitta_rogers  @briantaff6abc   Follow these awesome guys! ?
94680425_388732540292722688 x	@HomemadeDelish @PhillyFoodDude Happy Birthday!!  ??
94680425_388466574719721472 x	RT @jayblackcomedy: Agreed! *eats tub of Nutella* RT @ChrissieM10: Don't do what others think is right, do what you feel, and the rest will?
94680425_388464216086429696 x	Don't do what others think is right, do what you feel, and the rest will fall into place.
94680425_388455232747102208 x	Can anyone tell me when....or why I followed Kathy Griffin on Facebook?  Yeah, me either!
94680425_388445293689470976 x	@AndyPitz ?scary thought ?
94680425_388443776429338625 x	RT @PabloGSerski: Twitter is the "Bermuda Triangle" of the internet.
94680425_388443076727152640 x	RT @Chefbriduff: Dinner time!!! #duffified rubbed chic with whole grain, lemon & crushed reds!! @ CBD Solution http://t.co/4LRiDpFh7t
94680425_388443047283150848 x	@Chefbriduff Yum!!  WHEN are you cooking for us Cousin??  We'll bring the Cosmos for @JillsFork!  ;)
94680425_388324244301815808 x	My forecast for the next 4 days.  Who's jealous?  ?? http://t.co/vrdNT2jPoB
94680425_388112681854836736 x	RT @chuckwicksmusic: So I wrote a Big Fat Check for taxes today.  But yet if we're owed something back on Taxes it's on Hold till the "Shut?
94680425_388068295003619328 x	@tfurlong @phillyconsumer Haha!!  Chicks all over the Delaware Valley will be attracted to u and won't know why!  ;) ??
94680425_388064052540633088 x	RT @kvsbvs14: Why aren't you following me?
94680425_388057107221995520 x	Pic from the end of the 7 Mile Bridge. #Keys http://t.co/J0oNaSDZSe
94680425_388011441808490496 x	@PartyInKeyWest I was just over that way last week.  This Jersey girl would have freaked if I saw a 9ft alligator, lol! ?
94680425_387929933957562368 x	RT @HomemadeDelish: Finally feeling like fall outside today in Philly #fall #chillyweather #cold #happyoctober
94680425_387928590710747137 x	@tfurlong Haha!!  I got my husband Pumpkin spice cream cheese and made the mistake of trying it.  #gross
94680425_387926984216813568 x	@MikeFOX29 missing u this morning!  ?
94680425_387791707808735232 x	RT @Chickypoo333: This is what a cat looks like from under a glass table:) http://t.co/kxGjI8u6K2
94680425_387791112771211265 x	@Puddinstrip There should be an eject button for guys with smelly food.
94680425_387698140738228224 x	@JenT310 heyyyyy my BFF!!  We need a night out!!
94680425_387656799647956992 x	Dinner is in the crock.  Can't wait to eat it.  :)  #stuffedpeppers http://t.co/dMNkn3lXS5
94680425_387624619362234368 x	Just got creeped on by 3 different guys at the food store.  Ewww.  The grocery store is not a bar men. Women are there to shop.  Just sayin.
94680425_387578428222103552 x	@averagesupermom Yuckkkk!!!!! Another reason to move to NJ Sean!  We don't pump our own gas!  ;)
94680425_387593628673392640 x	@averagesupermom It's all part of the massively high taxes we pay, haha!!  ;)
94680425_387539428002242560 x	RT @Chickypoo333: Autumn colors? http://t.co/vxFqerQK4e
94680425_387394731904630784 x	@Brianhopecomedy Kids will sell you out every time!!
94680425_387280208489107456 x	RT @toppscards: Topps Finest baseball streets Wednesday! Loaded with rookie autographs. RT and follow 4 a chance to win a box.! http://t.co?
94680425_387242992966594560 x	Loving @shanegamble's music!  ? #TurnMyWay
94680425_387242038997291008 x	@earthXplorer I'd add Key West.  They have an outdoor beach bar with sand, music, and a waterfall.  Nice way to wait.  :)
94680425_387219872343928832 x	@NHLFlyers Just watched an exciting, positive commercial about Laviolette, immediately followed by a press conf that he was fired.  #irony
94680425_387214721969324032 x	This rain is motivating me to do absolutely nothing today.  #lazyday
94680425_387213635833311232 x	@davidmurphy6abc Not happy.  I want to go back to KW.  :(
94680425_387211411023491072 x	RT @CrossingBroad: Report: The Flyers Have Fired Peter Laviolette http://t.co/FFjnJNXk7V
94680425_387204485611024384 x	RT @MEDFORDTWPNJ: NATIONAL WEATHER SERVICE MOUNT HOLLY NJ 859 AM EDT MON OCT 7 2013  THE NATIONAL WEATHER SERVICE HAS ISSUED TORNADO WATCH ?
94680425_387084593893228544 x	I dare you to RT this.
94680425_387072399663194112 x	Watched creepy shows, and now I'm too creeped to sleep.  :(
94680425_386908960005300224 x	I'm a Jersey Girl who's loving life!  #TweetYourBio
94680425_386856833480396800 x	@HomemadeDelish Wow!  My husband will love these!!  Thanks for sharing!
94680425_386856745269993472 x	RT @HomemadeDelish: Looking to make some pumpkin cookies. Well way not turn them into some whoopie pies instead checkout blog post http://t?
94680425_386782362245550080 x	@WilliamRodgers All good things must come to an end.
94680425_386709822407987200 x	100 lb girl skeet shooting? Yep, don't laugh.  Lol, http://t.co/87YjSOLP40
94680425_386510651944087552 x	@davidmurphy6abc I just got back from Key West, and I think it's hotter here than there!!  Such crazy October weather!
94680425_386512503616077824 x	@davidmurphy6abc We had a blast!  First time we did the drive (we usually fly), so beautiful!  Loved the 7-mile bridge!
94680425_386250889461497856 x	RT @CruzanRum: @ChrissieM10 Looks like big fun, Chrissie. Welcome to The #DontHurry!
94680425_386190332054233088 x	@CobyGreerMusic just left Key West and now I'm in Orlando.  It's hot here!  Lol
94680425_386190161660633088 x	RT @Natezilla73: #FF @ChrissieM10 @KaRaRacn75 @SlamOneDown @ikillya @officialthrodL @capriottis @timno37 @msjenncity @Eleven7Music @nonpoin?
94680425_386155701661601793 x	Hanging at The Last Call beach bar in the #KeyWest airport.  Heading home. http://t.co/WDVsVe8Dye
94680425_385915453492981760 x	RT @notwillyferrelI: October >>>>> ????  November >>>>> ????  December >>>>> ????    BEST MONTHS!
94680425_385432342531420160 x	Martello Fort. #KeyWest http://t.co/fSHu5PF5rF
94680425_385190174936010752 x	RT @Cali_Kid_Mike: I hope for everyone's sake this shutdown ends soon so that everyone can stop tweeting about it.
94680425_385142197290430466 x	@averagesupermom  Sean, a 6-toed kitty for you!  :) #HemingwayHouse http://t.co/dIGcgVt759
94680425_385050312790515712 x	Crazy clouds on the beach.  They look like a mountain!  #KeyWest #SmathersBeach @GoogleEarthPics @KeyWest http://t.co/gL5ledavoq
94680425_385045492570533888 x	My friend on the beach this morning. #SmathersBeach #KeyWest http://t.co/sdYVXNQpnG
94680425_385008449857519616 x	Key West sunset last night.  @GoogleEarthPics @KeyWest  #MallorySquare http://t.co/wCtSyQ49SX
94680425_385008080767180800 x	Gorgeous sunrise this morning!   #SmathersBeach #KeyWest http://t.co/jPXRkCKWDE
94680425_384844409898287104 x	Willie T's in Key West!  Yummy!!
94680425_384595247290122240 x	It's 4:30am and I was just woken by a rooster outside my condo.  Yep, I'm in #KeyWest.  #rooster #wth
94680425_384444488204419072 x	An Italian man took a pic of me at the pool in KW today.  I have a feeling I'm on his Twitter page labeled "Jersey Girl", haha!  #JerseyGirl
94680425_384381806973157376 x	Look at that water!!  #KeyWest http://t.co/92LMWDv7tz
94680425_384379617219706880 x	RT @NFLDetroitLions: Akers gets his 3rd field goal of the game; Lions trail 10-9.
94680425_384374854860148736 x	RT @NFLDetroitLions: Lions tie it up after Akers splits the uprights; 3-3 at the end if the first quarter.
94680425_384374492212260864 x	Go David!! ?@DetroitLionsNFL: #Lions unable to reach the endzone again - 31-yard field goal by Akers gives Detroit a 6-3 lead.
94680425_384360924133752832 x	Lunch in a Keys bar with @kennychesney  playing....I'm a happy girl!!
94680425_384358957906948096 x	Waterfront stop in the Keys for lunch!! http://t.co/GC0WDK3LwM
94680425_384277617353834496 x	High in the sky with WiFi!  @AmericanAir http://t.co/cRwoUc2V4K
94680425_384241631647760384 x	Up at 2:30, through security, checked in and ready to go!  Miami by 9!  Then onto Key West!!  ?
94680425_384064462212595712 x	@dcinti1 Thanks!!  I'll be out of town for the game, but I'll be wearing my @Eagles shirt to bring them luck!!  :)
94680425_383357608650080256 x	@CaptMarciano Thanks for the follow Captain! Your seahorse video was incredible!!  :)
94680425_383300285705519104 x	@jayblackcomedy wow that's a beautiful hotel!
94680425_383197727871758336 x	Wow what a story!!  ?@phillydotcom: 2 off-duty Philly cops credited with saving 9-year-old's life http://t.co/5bhuPN80jc. @FarFarrAway?
94680425_382984745455726592 x	Coffee at 6pm....probably not the best plan.  See you all at 3am.  ?
94680425_382957271489056768 x	Hanging at the lake on this beautiful fall afternoon.  #NJ http://t.co/FOeQuUuGlV
94680425_382916165594796033 x	@Brianhopecomedy Thanks for the follow!  Your tweets crack me up.  ;)
