1564108777_395398728808271872 x	@JoshJanet Well put. Great article
1564108777_395341062065385472 x	Luke Schenn: turnover machine. #Flyers
1564108777_395340495519772672 x	Turnovers like that are not going to keep Mesz his spot. #Flyers
1564108777_395337691069681665 x	This team looks like how Berube talked about wanting them to look. #Flyers
1564108777_395336732604116993 x	Couts line doing everything needed. Getz/Perry are minus-1 each and Getz committed slash that led to #Flyers PP goal
1564108777_395335696707502080 x	Vinny and Read are only #Flyers scoring because they're the only ones hitting te net. Mesz should have 2 already himself tonight
1564108777_395335194246660096 x	#Flyers are playing quick and strong and through. That first period was beautiful
1564108777_395323445686185984 x	Couts starting against Getzlaf/Perry. We'll know he's done his job when Boudreau splits them up. #Flyers
1564108777_395308316127023104 x	In #Ducks last 2 losses (TOR, MTL), Getzlaf and Perry were a combined minus-6. #Flyers have match-up advantage, getting last change at home
1564108777_395305620951154688 x	The @AnaheimDucks take a lot of penalties. Tied with #Flyers at 50 minors each. But the Ducks have played 2 more games...
1564108777_395303543680155648 x	#Flyers want to feed the puck to Vinny on the PP tonight. He's the only one hitting the net
1564108777_395289170865709056 x	@GMillerTSN @tpanotchCSN There are 27 teams in the NHL with a top 5 pick from the last 15 years currently on their roster. So...
1564108777_395283938098151425 x	@GMillerTSN @tpanotchCSN Soooo, this years #Flyers team would count because of the Schenn brothers. Seriously? This stat is stupid.
1564108777_395261443634782208 x	@NHLFlyersWriter Yes! We'll take Glencross please
1564108777_395206099231444993 x	@davegisaac Booooooooo
1564108777_395204598027149312 x	@TBFlyer @flyers_faithful Haha. Can you believe they signed him to an entire year?!!?
1564108777_395203879572238336 x	Great goalie play, great shutdown center (#14), really good PK... if #Flyers get PP going, they'll be really enjoyable to watch every night
1564108777_395201520066494464 x	With last change and 14 playing this good, if Mason stays solid, the #Flyers are going to end up with a very good home record this year
1564108777_395200818590138368 x	Couturier has been getting it done against the best all season. All eyes on 14 checking Getzlaf/Perry tonight, then Ovie on Friday. #Flyers
1564108777_395167652022591488 x	I love WIP but they don't talk #Flyers at all
1564108777_394981991864864768 x	@billmeltzer Has a lot to play for: new team and Olympics
1564108777_394974348333051904 x	Where's that kind of shot on the #Flyers? Dang
1564108777_394974139792257025 x	So... Moulson doesn't need Tavares
1564108777_394956337412857856 x	@kev_adair @CoverThePuck Weber, Byfuglien, Kulikov...
1564108777_394952865468256257 x	"He's playing really well. He's also in great shape and can skate all night," Berube said of Couturier. #DontTradeHim #Flyers
1564108777_394952122082803712 x	RT @InsideTheFlyers: Anyone notice how well Couturier is playing? http://t.co/16TQjYae4w Also, updates on Meszaros and Gus: http://t.co/iMn?
1564108777_394950325922066433 x	@EJHradek_NHL Hey EJ, what's the EJ stand for? Ernest James?
1564108777_394943524942004224 x	@FlyersGurl94 Let's hope not unless it's as a free agent in the offseason
1564108777_394941502209531904 x	Best story of Panotch's career RT @tpanotchCSN The Pope gives the FLyers his hand, err blessing? http://t.co/nx2EPsr24f
1564108777_394940845721284608 x	@CoverThePuck Too many good UFA options this summer. Including Hiller who we'll see tomorrow
1564108777_389172633289646080 x	Every goalie who plays #Flyers = best goalie ever in the world ever
1564108777_394938404187537408 x	.@JoshRimerHockey says the #Flyers and Sabres have recently talked about Ryan Miller. BUF wants Couturier. I say don't do it
1564108777_394937364084039680 x	@DNFlyers I just did the calculations and came up with 49-19-8
1564108777_394922884860108800 x	Teams have been able to score on the Ducks. If #Flyers team D stays strong, and Mason keeps up early season focus, it's a winnable game
1564108777_394922378578231296 x	Anaheim's last 4 games have not been great: two losses (TOR, MTL) and two 1-goal wins, letting up 12 goals and scoring 9. #Flyers
1564108777_394903557666660352 x	@jsaquella Is Rosehill the least beloved Flyers enforcer ever? I don't get his value even a little bit
1564108777_394878216134873088 x	@NHLFlyersWriter Especially right now while they're feeling like winners on the Vanek deal. Moulson-G-Vinny would look great...
1564108777_394879248667652096 x	@NHLFlyersWriter Right? I hope they go after him one way or another
1564108777_394859904847982593 x	@flyer_hockey007 @CoverThePuck @davegisaac He's nowhere near as valuable as the Bruins Thornton, who has 2 cups
1564108777_394874579828486144 x	@flyer_hockey007 @CoverThePuck @davegisaac I like the idea but Rosehill is not very smart, intimidating, or feared. Don't tell him I said so
1564108777_394869586505379840 x	@DeeMarie Let's hope Edmonton and Dallas are watching
1564108777_394861827177189376 x	Rosehill has to be the least beloved enforcer in #Flyers history
1564108777_394835837663604736 x	@NHLFlyersWriter @BeeTEE15 Look at the Fenwick and Corsi, guys. Coots is way better than Schenn. Schenn is a mess
1564108777_394838398822649857 x	@NHLFlyersWriter @BeeTEE15 Let's hope so
1564108777_394841925607362560 x	@215Cash @NHLFlyersWriter @BeeTEE15 Could a Schenn package get us Weber?
1564108777_394853576222076928 x	@215Cash @NHLFlyersWriter @BeeTEE15 We could give them money too....
1564108777_394847959281459200 x	Moulson "I've shown my want to be a part of the organization and turning around the team into being successful...they didn't feel the same."
1564108777_394837484044963841 x	@BeeTEE15 @NHLFlyersWriter Good pt. But I think Coots can play a 2nd line role in the future
1564108777_394843584395894785 x	@BeeTEE15 @NHLFlyersWriter Read this article about how he shut down Crosby 10 days ago... http://t.co/pNKbYZZDjq
1564108777_394843978794668032 x	@BeeTEE15 @NHLFlyersWriter And this post with screenshots of how bad Schenn's footwork has been: http://t.co/YwOSbW2v6Y
1564108777_394845995663519744 x	@BeeTEE15 He's 20. I think a lot more of his game is yet to come
1564108777_394844221347090436 x	@215Cash @NHLFlyersWriter @BeeTEE15 Here's an article with screenshots of why Scheen doesn't capitalize: http://t.co/YwOSbW2v6Y
1564108777_394839158696321024 x	@NHLFlyersWriter YES. In a package for a Dman. How about both Schenns while we're at it?
1564108777_394839022671253504 x	RT @NHLFlyersWriter: TOTAL # OF GOALS SINCE 2011-12: Couturier (17); B. Schenn (20). Coots used in way more defensive situations. Time to c?
1564108777_394836901502267394 x	@NHLFlyersWriter @BeeTEE15 Definitely. He starts most shifts in D zone, Schenn starts most in O zone. That means Coots = trusted, Schenn not
1564108777_394833569614282752 x	Moulson would look pretty great on the left side with G and Vinny. And he shouldn't cost that much, and should be easier to resign. #Flyers
1564108777_394832773963210752 x	@BroadStBull Flyers should be calling Buffalo about Moulson
1564108777_394831191779450880 x	#Flyers should move B Schenn package (both Schenns?) for a Dman and play Read at 2nd line center. 3rd line = 14 centering 17 and 25
1564108777_394828020130672640 x	Homer gets some love from @BroadStBull for the Mason deal: http://t.co/eyCtGplI3c
1564108777_394825563564539904 x	@AnthonyMingioni Definitely. But they still need a top pairing guy if they want to be a really good team.
1564108777_394821703383011330 x	@billmeltzer Do you think it's sustainable?
1564108777_394823423584509953 x	@billmeltzer Would help if they could add a significant upgrade on D. I know it's only been 6 games, but I'm impressed with Berube
1564108777_394808058787803136 x	@RealRocket22 How does a move like that even happen? Doesn't Snow have people to talk to about it and tell him it's not the right thing?
1564108777_394632947330215936 x	That's funny. The Isles needed Miller, not Vanek.
1564108777_394612709150711809 x	Dater's stories are the best RT @adater: Matt Duchene opens up, rips former coach Joe Sacco and his system... http://t.co/EDvHmGsF2C
1564108777_394564898593587201 x	Who is the ideal Dman that might actually be available for #Flyers in a trade? I say Weber.
1564108777_394570694987509760 x	@BeeTEE15 Read a rumor that NSH can't afford the contract we forced them to sign him to....
1564108777_394573019844075520 x	@BeeTEE15 I'd keep Couturier no matter what, but I'd send them a Schenn package to get it done. Send em both Schenns + prospects and picks
1564108777_394590941408817152 x	@BeeTEE15 I read it on Spector's site. Here's the link: http://t.co/ensSpIdHAL
1564108777_394556689430487040 x	@julianguay I watched some clips of him the other night. What a beast. Remember when they used to park him in front of the goalie on the PP?
1564108777_394549577757388800 x	I guess I would be fine with trading a Schenn package for Byfuglien. #Flyers
1564108777_394548420561481728 x	Do we really want Byfuglien? #Flyers
1564108777_394547220457848833 x	Eklund says #Flyers pursuit of Byfuglien involves "major pieces the team has been previously unwilling to move"..... better not be Couturier
1564108777_394534406679175168 x	@billmeltzer Bill, what's up with Kimmo? He has not been himself at all. Thought he said he was as healthy as he's been in years...
1564108777_394499157911547904 x	@sbaickerCSN It means Mason lets up goals on the 15th and 30th shots, and Bryz let them up on the 13th and 26th...
1564108777_394500723632652288 x	@sbaickerCSN It puts Mason at 10th and 9th in league, Bryz numbers would go this year for 16th and 15th in NHL, right where Bobrovsky is...
1564108777_394457439694635009 x	@brookemelino Haha. Sweet. "Who can make a smaller face? That's nothing to be proud of dude."
1564108777_394454381027815424 x	@jeremywym I was playing as Flyers on NHL 99. Remember Joel Otto and Dan Kordic?
1564108777_394453069741563905 x	I don't think Oilers have anything #Flyers really need. Look at their lineup. PHI offense will be fine. What we need is an Ekman-Larsson...
1564108777_394278244830019584 x	Mason with a .928 sv% tonight. Now .929 on season, and .936 as a member of the #Flyers #StoneMason #Realdeal
1564108777_394276595441336320 x	@CoverThePuck It was the pizza nachos that did it
1564108777_394272889740226560 x	VINNNNNNNNNNNNY
1564108777_394263280048275456 x	Thoughts after 2 periods: Couturier is awesome. What is wrong with Kimmo? Couturier is awesome. #Flyers
1564108777_394260816696209409 x	Gotta love the response from #Flyers after letting up the shorty... they came back even stronger
1564108777_394252035937140736 x	This Islander team has offensive talent, but they sure don't look very tough to play against. #Flyers
1564108777_394251076867985408 x	Stone Mason RT @BroadStBull: Flyers have a 3-1 lead despite being outshot, 15-11.
1564108777_394250033706835968 x	That's why Raffl over McGinn. #Flyers
1564108777_394242809903214593 x	And we have a goalie... #Flyers
1564108777_394242631775297536 x	Here they come. #Goals #Flyers
1564108777_394201949358542849 x	@BroadStBull What's the lowest goals per game total over an entire season in NHL history?
1564108777_394195689770455041 x	Ekman-Larsson is so good. Who was picked ahead of him in 09 draft? ...Brayden Schenn. Arent dmen supposed to take longer to develop? #Flyers
1564108777_394178365751451648 x	@CoverThePuck Awesome. If the Flyers bust out and score a bunch, you have to make those nachos every game from now on...
1564108777_394141149973082112 x	@billmeltzer NYI backup goalie in tonight... are Flyers becoming that team you give your starter a rest against now?
1564108777_394140569212948481 x	Rosehill and Rinaldo with Talbot? Way to say thanks for the monster effort shown in coming back from a busted face last game. #Flyers
1564108777_394139798132105216 x	Are #Flyers catching a break playing against second straight backup goalie, or are they that team you give your starter a rest against now?
1564108777_394133278086541312 x	@tpanotchCSN STONE MASON
1564108777_393810476234076160 x	I don't really think it matters if it's Raffl or McGinn. I like McGinn. Raffl has been around the puck more than a lot of other #Flyers
1564108777_393572252643389440 x	Mason ended up with a .967 sv%. Now .930 for season, and 2.17 GAA. In 14 games with #Flyers (7 last yr), Mason has a .940 sv% and 1.93 GAA
1564108777_393569598961766401 x	@DStrehleTFP Possible turning point in the season? Maybe? Please?
1564108777_393568603938619392 x	I have always hated watching Jeff Carter skate. Richards is beautiful though. #Flyers #LAKings
1564108777_393568021270110209 x	Kings have by far the best looking jerseys/color combo in the #NHL
1564108777_393567498370428928 x	Grabovski looks good. #Flyers could use a guy like him. Missed that chance this summer
1564108777_393564467104976896 x	I love Ovi. I know it's bad coming from a #Flyers fan, but I really think he's better for the #NHL than Crosby is. He's more fun
1564108777_393562442804244481 x	Matt Carle at fault for the Tampa own goal. #Flyers
1564108777_393560827665870848 x	Oops, nevermind, Tampa own goal with minute to go. WTF?
1564108777_393560391433072640 x	Man, Stamkos is good. Just iced it over CHI. Remember when the #Flyers we're kicking around the idea of offer sheeting him a few years ago?
1564108777_393555207436922880 x	Not that I'm in love with Homer or anything, but when's he gonna get props for bringing in Mason? #Flyers
1564108777_393552356836929536 x	@BroadStBull C'mom Sam. For all those games with silver linings, here's one that turned out.
1564108777_393550722744451073 x	Mason with a .960 save percentage. AND he outlets the puck. #Flyers
1564108777_393549304654467073 x	We keep waiting for G to be G for an entire game but he only shows flashes. #Flyers
1564108777_393548690469945344 x	Shot it right. at. him.
1564108777_393547598696816641 x	I don't like B Schenn as center in the defensive zone AT ALL. #Flyers
1564108777_393546558597529600 x	Who's gonna get the empty netter? Mason deserves it. #Flyers
1564108777_393544391065092096 x	That's a kicked puck. BTW, why don't they allow kicking goals? More scoring, right?
1564108777_393540928222543872 x	@BroadStHockey Agreed. No suspension deserved. Wasn't really a hit from behind. Tht play can happen 200 times with no injury occurring
1564108777_393540188728983552 x	I really like 14. But 17 looks lost on that line. I think maybe it's best as 14, 24, 25. Let's hope Talbot's okay. #Flyers
1564108777_393539008804171776 x	That wasn't really a hit from from behind. It's a penalty, but marginal on a suspension. I'd say no. #Flyers
1564108777_393534430985613312 x	@CoverThePuck No you're right on. I'm with you
1564108777_393532525374894080 x	That power play took away our momentum. But man do I love Couturier. I wouldn't mind watching him play for the next 15 years. #Flyers
1564108777_393527975817515008 x	Thoughts on 1st period: Rangers weren't dangerous at all. Vinny picked up where he left off, best #Flyers forward. G nonexistent 5 on 5
1564108777_389161485513285632 x	@BroadStBull Could Mez be scratched because a trade to Edmonton is in the works?
1564108777_393524553886203904 x	#Flyers need to keep it much simpler. Way too many low percentage passes hitting Ranger players. Keep it in front of you, get it low, shoot
1564108777_393522947802943488 x	Streight looking great. Flying out there. But the rest of the #Flyers are watching, not moving feet, not getting open
1564108777_393519625000189952 x	Does anyone else think Matt Read is a much better player than it feels like he is? #Flyers
1564108777_393515305764663296 x	Kimmo with a solid hit on his first shift #Flyers
1564108777_393402461970767873 x	@BroadStHockey I like that 3rd line a lot. 17 should play that grit role and get most of his goals on the PP
1564108777_393400019182956544 x	@BroadStHockey Wait, G's on the wing?
1564108777_393367674627309568 x	@RealRocket22 Who are the tough Flyers that can play?
1564108777_393157402058436608 x	@billmeltzer Like, would Stevens have made the HOF so easily carrying a career full of suspensions with him?
1564108777_393157125557350402 x	@billmeltzer Hey Bill, love your blog & Flyerbuzz. With all these suspensions happening, any chance you want to talk about 88 and Stevens?
1564108777_393154243789881344 x	Would Scott Stevens have made the HOF so easily with a career full of suspensions in tow? #Flyers
1564108777_393154091956072448 x	All these suspension videos make me want retroactive justice for 88. #Flyers
1564108777_393126339059781632 x	BTW, L Schenn's only job on team should be making it hard to enter #Flyers zone. That's what he's good at
1564108777_393125765161549824 x	How about Luke Schenn "requesting" to skate with the scratches after practice.
1564108777_393114865687986176 x	@CoverThePuck McGinn for sure over Rosehill. Definitely. But what does Raffl give you if not playing in the top 9?
1564108777_393118379784945664 x	@CoverThePuck A Bostonesque 4th line would be great. I'd rather 25 in the middle of 12 and 36. Or, actually, 21 in the middle of 25 and 12
1564108777_393119245988421632 x	@CoverThePuck Amen
1564108777_393114275662688257 x	@JackMcCaffery When everyone healthy, does McGinn stay and play? Some say he's only good if playing in top 6, but I don't see why. Defense?
1564108777_393042322709295106 x	Kimmo has been bad all over the ice. RT @JackMcCaffery: Timonen on being demoted to 2nd #flyers PP: 'I'm mad ... at myself.'
1564108777_392712521259315200 x	@CoverThePuck Read, Cousins, and a 2nd rounder?
1564108777_392430629977329664 x	RT @CoverThePuck: all kidding aside the Flyers beat the Pens in the playoffs, went to see Nickleback and lost to the Devils then last seaso?
1564108777_392409160077160448 x	Really bad music, but how awesome was 88? #Flyers http://t.co/fKxG3ywA2L
1564108777_392288615394316288 x	Why #Flyers Couturier is the real deal and B Schenn has no business playing center: http://t.co/pNKbYZZDjq
1564108777_391944030583414784 x	@BroadStBull I heard a rumor that the Flyers are calling about the Sedin twins, and Vancouver is listening... Thoughts? Good idea? Bad idea?
1564108777_391017122291523584 x	Well I'm gonna go watch MacGyver reruns and try to pretend the season starts next Thurs. #Flyers
1564108777_391003524051779585 x	@BroadStBull Do you trade your 2014 first round pick for Vanek if you somehow know he'll resign? That 1st could be top 5
1564108777_390999972856229888 x	Timonen continuing his dreadful season.  #Flyers
1564108777_390998103865962496 x	This is unwatchable. #Flyers
1564108777_390840360798527488 x	I feel good about this game tonight  #Flyers
1564108777_390288883419582464 x	That just takes it all right out of you. #Flyers
1564108777_390132330599174144 x	Looking at that Vancouver lineup... how are they seen as a contender out west? #Flyers
1564108777_389870023193272320 x	That Datsyuk setup.
1564108777_389784045082927104 x	RT @TravisSBN: Here?s @BSH_EricT on how to forecast the future performance of NHL goaltenders: http://t.co/2m0BrIjk3Z
1564108777_389765355310047233 x	This is a beautiful article about #Flyers footwork and not going hard to the net. Really well done: http://t.co/YwOSbW2v6Y
1564108777_389759873409241089 x	That Nazim Kadri goal against Edmonton.
1564108777_389534865403568129 x	I think this #Flyers team is going to be alright. I really do.
1564108777_389400447879892992 x	The effort is there. The finer point of Chief's system will come. But soon enough? That's the story line for this year. #Flyers
1564108777_389204192172052481 x	I used to spend all day at work looking forward to #Flyers games. Now I spend all game looking forward to work
1564108777_389201464855625729 x	Timonen's had a real bad start to the season. Real bad. #Flyers
1564108777_389190389304815616 x	Mason clearly the guy. Ray is fine but just not as focused. Doesn't seem to want it as bad. Probably not doing that 7 minute thing #Flyers
1564108777_389187134156201984 x	#Flyers outplaying Wings here. Straight up. Just can't score.
1564108777_389183517244289024 x	G pretty much useless in this game. Good on face offs. Doing nothing else at all
1564108777_389182274904027136 x	Commerials for antidepressant medication really hitting home #Flyers
1564108777_389168786177548288 x	McGinn looks every big as good as he did last year. He should be up with the club instead of Rosehill. Can also fight if he has to
1564108777_389123447521284096 x	Watching Boston Columbus game. It's too bad about Seidenberg and Umberger. Bob not looking as good as Mason though. #Flyers
1564108777_389117641019101184 x	I think Laughton was sent back because Homer knew this team was in big trouble, didn't want to bring youngsters up into the mess. #Flyers
1564108777_389107955586846720 x	The only identity this #Flyers team had was in 2011-2012 as a comeback team. Kind of an awkward identity to have.
1564108777_389106898500583424 x	I keep thinking about that game last night... It was winnable. This #Flyers team has yet to develop an identity in the Giroux era
1564108777_389073048311037952 x	With Vinny and Hartnell down, #Flyers should have even more trouble scoring, but hockey does this thing sometimes where opposites happen
1564108777_389070482865000450 x	Glad to see it's McGinn and Raffl coming up. Maybe Raffl scores a Hertl goal? Too much to ask? #Flyers
1564108777_389033261688954880 x	G started looking like G last night. Couts and B Schenn are playing well. Mason continues to be great 7 minutes at a time. #Flyers
1564108777_388842926958448640 x	I will never not want to murder someone after a #Flyers loss
