227316977_367346149688344576 x	Life Changing Dental Implant Smiles http://t.co/uec0peoep7
227316977_303598736033054720 x	Radio personality, Patty Jackson, will be having surgery with us tomorrow. Hear her thoughts before her surgery! http://t.co/xuIwe0DK
227316977_303568344974499840 x	Be sure to read Pi's newest study on zygomatic bone implants! http://t.co/rnSasmM8
227316977_303568206491156480 x	Happy Presidents' Day! Off school or work today? What are you doing instead?
227316977_293709432007835648 x	It's cold out there, Philly! #BundleUp
227316977_289829149156196352 x	Go To The Head Of The Class (at your high school reunion) http://t.co/3jJhBm4a
227316977_289828942586712065 x	Go To The Head Of The Class (at your high school reunion) http://t.co/kiu2VfB1 via @pidentalcenter
227316977_288678036533018625 x	Rinsing With Hydrogen Peroxide: What You Need to Know  http://t.co/NrjwKFSq
227316977_286842350188249089 x	Have you seen our new television commercial? If you have #Comcast look out for it!
227316977_286842221376983041 x	Be sure to "like" our newest Facebook page for CM Prosthetics http://t.co/LZevPyfW
227316977_284401113619378176 x	Tackling Problems That Make You Look Older - Replace What's Lost http://t.co/yR9JDOCP
227316977_281868417215119360 x	The No Bone Solution of Dental Implant Treatment http://t.co/t0KtD04K
227316977_278551310691860480 x	A Healthy Smile, The Signature Of Wellness http://t.co/pxRSZK07
227316977_276017109618806784 x	Spotlight on Dental Implants with Dr. Glenn Wolfinger, Prosthodontist http://t.co/1SH8qTEa
227316977_275960224073015297 x	Manhattan doctors told this woman they couldn't help her. We found her solution at Pi! http://t.co/J69kl1KI
227316977_266562306052337664 x	Prosthodontic Insights: Dr. Thomas Balshi Presents Lecture at ACP http://t.co/4Uww18zy
227316977_266561718778490880 x	Prosthodontic Insights: Dr. Thomas Balshi Presents Lecture at ACP http://t.co/DzoeX3C5 via @pidentalcenter
227316977_266201928453730305 x	http://t.co/9HszxsQR
227316977_266201691387486211 x	Great that so many Americans went out and voted yesterday! You helped make a difference!
227316977_263995736507695106 x	We are back open at Pi! We hope everyone out there is safe after Hurricane Sandy.
227316977_260472979526406144 x	Today, we did surgery on a boy with no nose. Helping him get one step closer to a smile!
227316977_256405393683668992 x	The Pi Foundation Puts Sparkling Smiles on Many Faces http://t.co/xA7RhYWM
227316977_246668715792416768 x	A new smile in just one day? YES! http://t.co/IkjjTbAW
227316977_243074144617517056 x	Dental Assisting in the Implant Practice - October 20 http://t.co/S6ti03WX #vr4smallbiz
227316977_243058481836486657 x	Pi Dental Center: What's in the Pipeline today? http://t.co/RtOlz0EQ
227316977_240166318257606656 x	How Biting Forces Effect Teeth With Large Fillings http://t.co/v4jvkRhp
227316977_236129559676854273 x	It all goes down at 2 PM! http://t.co/JJNgqVWC
227316977_236129512918745089 x	Log on to http://t.co/JJNgqVWC to hear our very own Dr. Wolfinger discuss treating dental patients with cancer.
227316977_235375845689155585 x	MI Varnish For Caries Prevention for At Risk Dental Patients  http://t.co/7iMEJL5E
227316977_235010752426176512 x	A look at the smiles of the Pi Foundation http://t.co/GbW81R0B
227316977_234007890762035200 x	Dental Implant Treatment Using The  http://t.co/SCDh7wTF via @pidentalcenter
227316977_234007786273517569 x	Dental Implant Treatment Using The "No Bone" Solution http://t.co/M46ASDP2
227316977_232554801530011648 x	The story of Sven Johansson, this man has had dental implants longer than anyone else on earth! http://t.co/VRCNnsox
227316977_232554401846398976 x	So exciting to have students from UConn sit in on one of our surgeries today!
227316977_230307049081286656 x	Interested in being a part of Swing For A Smile 2 benefiting the Pi Foundation? Learn how to participate or donate here http://t.co/ZqmwWUpb
227316977_229964619278598144 x	@Dansingrhyme12 That's so wonderful, Leslie! We're looking forward to seeing you soon!
227316977_229959666241789952 x	Time is running out for your chance to save $200 on any cosmetic or restorative procedure at Pi! Take advantage now! http://t.co/BCjlepp8
227316977_228528047811330048 x	Teeth In A Day Protocol Sept. 17-18: 16 CE CREDITS http://t.co/d3XqbADK #vr4smallbiz
227316977_227743351074586626 x	Did anyone happen to catch the winning video on 'America's Funniest Home Videos'? It was a dental patient under general anesthesia! #Funny
227316977_225222375942258688 x	A patient shares why they chose Pi for their dental implants http://t.co/R0uxazzh
227316977_222755130397818880 x	Getting teeth whitening? Save $200 on it at Pi now! http://t.co/Ot3kI7Vl
227316977_222720583048241152 x	This woman didn't take a picture for 15 years. With her new smile thanks to Pi, she's back in front of the camera. http://t.co/9tRiHmJn
227316977_222366926410752000 x	A job well done! Our team just completed part 2 of a procedure deemed "impossible" by other prosthodontists. Anything is possible.
227316977_219855233466109954 x	Hey Philadelphia, looking for a discount on tooth whitening? http://t.co/Ot3kI7Vl
227316977_219855131611627520 x	Remember the Smiles Bistro is closed until July 9th!
227316977_218407912794624000 x	Be sure to pick up the newest issue of @NewBeauty magazine featuring the Pi Dental Center's Dr. Balshi in the 'Ask the Expert' section
227316977_218405665520099328 x	Overall fitness includes a healthy smile. Just ask Marian who, thanks to Pi, now finishes marathons with a smile! http://t.co/iY5u40Ja
227316977_217606736532611074 x	Smiles Bistro is celebrating 5 years of serving Fort Washington! Find out about what they have going on this summer! http://t.co/CrCG7sog
227316977_215812198180724737 x	Need a crown fixed? Have it repaired $200 off at Pi through Pipeline! http://t.co/Ot3kI7Vl
227316977_215514241057292288 x	Friend us on Facebook for updates on all things Pi http://t.co/idYfUU22
227316977_215459588403765249 x	Have you used @NewBeauty 's "Find an Expert" tool? You can find the Pi Dental Center there and see how we create smiles http://t.co/PNIoIsbS
227316977_215156076981665792 x	Pi Dental Center: A Comforting Environment For Restorative Dentistry http://t.co/j40J6PAJ
227316977_215103837529325569 x	We are now offering $200 off any cosmetic or restorative dental procedure, including tooth whitening #Pipeline http://t.co/Ot3kI7Vl
227316977_214747151618678786 x	What's in the Pipeline at Pi Dental Center? http://t.co/ALkJ7PdJ
227316977_207927189092577282 x	Pi Dental Care Center Home of Teeth In A Day http://t.co/cyLIuU94
227316977_203828756975063040 x	All-On-4 Training at IFFE (8 CE Credits) June 4th: http://t.co/gXVCfscX
227316977_200314396348657664 x	All-On-4 Training at IFFE (8 CE Credits) June 4th http://t.co/HEPIjzcD #vr4smallbiz
227316977_194546142422380544 x	Pi Dental Center Celebrates National Prosthodontics Awareness Week http://t.co/Gz3c9ExU via @pidentalcenter
227316977_189411311199854592 x	Pi Dental Center Open House: April 25 - 3 to 5pm http://t.co/76rZDu8H #vr4smallbiz
227316977_184712798792716288 x	A Tale Of Two Smiles: Or Wisdom Vs. Wheels http://t.co/Apb2aWcO #vr4smallbiz
227316977_182824990121541632 x	Cancer Survivor Discusses Dental Implant Treatment http://t.co/c1d9QxED
227316977_182179487721590784 x	A Tale Of Two Smiles: Or Wisdom Vs. Wheels http://t.co/0IwhPAdb
227316977_182177978510356480 x	A Tale Of Two Smiles: Or Wisdom Vs. Wheels http://t.co/bEaJ2j4e via @pidentalcenter
227316977_174210085910884352 x	Spring Implant Training Programs in Eastern PA. http://t.co/Vold44yE #vr4smallbiz
227316977_169166613562671104 x	Interpretation of Cone-Beam CT Imaging http://t.co/UstiF5P4 #vr4smallbiz
227316977_164429162491293696 x	National Eating Disorders Association Awareness Week http://t.co/hE5ldoFF #vr4smallbiz
227316977_164104378490425344 x	Sparkling Smiles Are Giant Steps Toward Eating Disorder Recovery http://t.co/NDZAYcku
227316977_162565766074482688 x	All-On-4 Training at IFFE (8 CE Credits) http://t.co/CFuM2d9p #vr4smallbiz
227316977_159362361373892610 x	One of our Pi friends brought in Philly soft pretzels for our Teeth in a Day course!
227316977_159250073082007552 x	Have a Good Day from all of us at Pi! http://t.co/wABolzh2
227316977_158881219914903552 x	Early day for our Pi Team as we prepare to educate nearly 30 doctors on our trademark Teeth in a Day surgery!
227316977_157573258361843713 x	Tomorrow is Friday, remember to take care of those teeth over the weekend!
227316977_157573060097081346 x	Wow! Pi is really starting off the year right! Great job this week team!
227316977_156484418373025794 x	Leslie's Prior To Surgery Dental Implant Interview http://t.co/AmavT97O
227316977_156373083027021825 x	Leslie shares her story and struggles with her dental history before surgery. http://t.co/iB9QRlvn
227316977_141195178248638464 x	The Stem Cell Revolution http://t.co/2MsjD7rP
227316977_136104178073350144 x	Free App for ANDROID and IPHONE for Teeth In A Day http://t.co/rImRhknB
227316977_135080133894742016 x	Pi Dental Implant Center Open House Next Thursday, November 17th http://t.co/Ivfu3bEF
227316977_134358391547101184 x	Pi Dental Center Open House: Nov 17, 2011 4-6pm http://t.co/tfKOohTi #vr4smallbiz
227316977_134269074174779394 x	Advanced Prosthodontic Training at IFFE http://t.co/M71jRIT9 #vr4smallbiz
227316977_131814865680596992 x	IN YOUR FACE! http://t.co/hR3pU8j9
227316977_131436119710633984 x	New Teeth In A Day Android and IPhone App http://t.co/tP8BTmkO
227316977_114395621703688193 x	Timing is Everything -- Maximizing Dental Insurance Benefits http://t.co/M3gnlrA8
227316977_114395515935932416 x	Timing is Everything -- Maximizing Dental Insurance Benefits http://t.co/z2HL52LP via @pidentalcenter
227316977_108598695603351552 x	Immediate Loading Of Implants In The Atrophic Maxilla http://t.co/XHuC91R #vr4smallbiz
227316977_106854957151555584 x	Temple University Broadcasts Dental Implant Treatment Documentary http://t.co/ADXfBQv
