31038203_303765578475266050 x	http://t.co/BPU9FV7
31038203_348137733463621634 x	Possible ecoli contamination- I'm in isolation.  I have a higher power working with with me.  Again, My God is... http://t.co/Ejrz4vPuGO
31038203_348068283930525697 x	Admitted to Delaware County Memorial. Not sure what's going on.
31038203_347701984473776128 x	To my beautiful neice Maya; CONGRATULATIONS!!!!!! I love you :)
31038203_347268281113124864 x	Too sick to talk and write since Monday
31038203_344554249918767105 x	This weekend is about "Real Fathers, Real Men", Jaret, Ron W., Shannon, Mr. C., ^_~, Andre H., Delaney, Rich D.,... http://t.co/UABEtf5MUZ
31038203_344553951003283457 x	Meeeeeeeeeeee again, now I'm blind ^_^ http://t.co/nEKsQ1ma1t
31038203_344551268494233602 x	This weekend is about "Real Fathers, Real Men", Jaret, Ron W., Shannon, Mr. C., ^_~, Andre H., Delaney, Rich D.,... http://t.co/gKJWKU0AIB
31038203_343833803749486592 x	Meeeeeeeeeeeeee!!!!!!!!!!!!!!!!! http://t.co/X8eyMlI1DY
31038203_343389419866296321 x	Congratulations Serena, You Did It Again!!!!!!!
31038203_342372704290217987 x	jade stay antagonizing Journey. He never retaliates unless she really touches his last nerve. My two boos :D http://t.co/ycmFaX9nQC
31038203_342372022397067264 x	U go girl!!!! The shoes are fierceeeeeeee ^_~ http://t.co/ijhL7Wr4Sb
31038203_342371796810612736 x	I posted a new photo to Facebook http://t.co/Oe8rgEe0MA
31038203_342371610436698112 x	Omg, my nephew Haley is Fiiiiinnnneee. Look out ladies. Looking like his uncle Kevyn and cousin Delany http://t.co/90DcG9dn5k
31038203_342370803599429632 x	Beautiful http://t.co/SkPtgMUACV
31038203_342370703011622912 x	I posted a new photo to Facebook http://t.co/sMA72OaFgm
31038203_342370635697233920 x	Mark putting on Maya's corsage http://t.co/AttGJY2BXB
31038203_342048844932059136 x	My beautiful niece is going to Kutztown University with a major in Psychology and minor in music. I am one of the... http://t.co/dSditH409W
31038203_340835652671242240 x	My wonderful/beautiful niece Maya's Sr. Prom is tonite. I am so excited for her, can't wait to see her. Stay tuned... http://t.co/bp4dYDiHzM
31038203_340834822329102336 x	My wonderful/beautiful niece Maya's Sr. Prom is tonite. I am so excited for her, can't wait to see her. Stay tuned... http://t.co/8ylMecbuUs
31038203_340086156551139328 x	GM she is now able to sport her new gear. Compliments of Aven & Auden.  Princess Jade will be seriously looking... http://t.co/KAqJ1ialu5
31038203_339376985107210240 x	May your day be a blessed day ^_~
31038203_339016148215554050 x	Happy safe Memorial Day family ^_~
31038203_338406283663273984 x	Spent the early part of the afternoon with my oldest baby at his fellowship "Celebration Place". Very spiritual!!! I'm glad I went
31038203_337939457779068928 x	Mom moms are mothers who's raised their own. We don't want to be mothers all over again. We want to have fun and... http://t.co/HXLwj8WsK1
31038203_337601461045317632 x	Much better say today
31038203_337210988107530241 x	Just left the dentist.  A dual shot of Novocain. The left side of my face ain't pretty right now.  Still drooling
31038203_336825492973973505 x	Our Prayers To the Families in Moore Oklahoma. Keep God with You
31038203_336473586736975872 x	Not a good day. Already frustrated and overwhelmed.
31038203_335966570192982016 x	God is Good, all the time
31038203_335529141489246210 x	Totally down with the proms etc. Why across the Street from me, darkies got speakers on their front porch... http://t.co/nrnDcEiiJY
31038203_335393909045862401 x	Look out world, Tooka is American Idol 2030  :)
31038203_335215234912485376 x	Congratulations Candice!!!! We love you!!!!!
31038203_335213928630087681 x	Congratulations Candice, I love you!!!!!!
31038203_335207431464448001 x	This American Idol doesn't get any better than this last season. Aretha still has it. This season is the best... http://t.co/43NmCEgP2S
31038203_335197993571602434 x	Candice has this with Jennifer Hudson... WOW!!!!! hands down!!!!
31038203_334824868946264065 x	I don't normally watch American Idol, bit Candice from St. Helena's Island, SC is off the chain and since this is... http://t.co/l4fbJPTcn8
31038203_333259642337648640 x	Happy Mothers Day to all the Mothers and Fathers (who are moms too). Your day is well deserved.  May this day bring you many blessings.
31038203_332581262093066240 x	Charles Ramsey is about keeping it real. I am cracking up at how real he keeps it. He's like drunk uncle buster... http://t.co/0MK04hdU1N
31038203_331510446760804355 x	Journey drew this pic :D  gmom here was absolutely thrilled with his talent.  Not sure who this is...... http://t.co/fNPhCCZbe4
31038203_330884066922618881 x	There's no love like gmoms love ^_~ Ain't that right Mr. C ^_~
31038203_329985880183943169 x	Had a blast Kevyn, hope to see you again soon. :)
31038203_328226474224140288 x	Can't wait to get out of here, I have had it!!!
31038203_327895026355015680 x	Hand hurts/swollen post surgery. I definitely didn't see this coming.  PAIN!!!!!!
31038203_327392351049895936 x	My sisters are my world
31038203_324514907892641792 x	Stopppp gigi, you are just tooooo funny ^_~
31038203_322410841171451905 x	Hello family - all my love, ky
31038203_321264398800920576 x	Welcome Back Wesley Snipes.  Really looking forward to your banging kick butt future features!!!
31038203_320898287324495872 x	Gm family, have a beautiful blessed day today
31038203_320426068785917952 x	Gm, family - doing ok. Its late, can't sleep. Body sore, headache, and very painful right hand. I feel so much... http://t.co/5WM65w7mh9
31038203_320095470359810049 x	Gm family :D On my way to Penn Orthopedics' for out patient hand surgery. Thx to Jaret, I can get there on time.... http://t.co/3TS6Ov6GU0
31038203_319744439251771392 x	Gm family
31038203_319093794307993600 x	Wow Grandmom, its been one year ago today that God called on you to join him by his side with your 1st born.  You... http://t.co/KCxJ0BfYFk
31038203_318365190192246784 x	Dr. John Graves Productions, gave a Riveting and Powerful Production Performance  224" last night @the Adrienne... http://t.co/ArFOXIqlov
31038203_318364473800925184 x	"Psychosis 224"  http://t.co/CDKfhsxEiG http://t.co/Ue8few2BDj
31038203_318355996672159745 x	Dr. John Graves Productions, gave a Riveting and Powerful Production Performance  224" last night @the Adrienne... http://t.co/LIGvQjhSFi
31038203_317996221664989185 x	Aunt Mae & Chaayne. http://t.co/5ILmnWKpPE
31038203_317772175950102529 x	Have a wonderful & safe Easter weekend, from my family to yours ^_~
31038203_316249072598142976 x	Just got out oral surgery.  OMG the pain!!!. Just took some vicoden. Nite nite my loves.  My day will consist of snoozing all day :-S
31038203_310934806613598208 x	My twin brother - 17 minutes older than me http://t.co/vlTpGAwhKT
31038203_310778891583242240 x	I posted a new photo to Facebook http://t.co/kLq6MU03OW
31038203_310778880401219584 x	I posted a new photo to Facebook http://t.co/gVam9NrfCw
31038203_310778699115024384 x	I posted a new photo to Facebook http://t.co/C4UBUoaRvp
31038203_310778613710602240 x	I posted a new photo to Facebook http://t.co/z15VRi4z8X
31038203_310778493027880960 x	I posted a new photo to Facebook http://t.co/gG3cO4Srv9
31038203_310778445971996672 x	I posted a new photo to Facebook http://t.co/xNyE0ZSvTy
31038203_310778335468847105 x	I posted a new photo to Facebook http://t.co/xEZvH6oDPv
31038203_310778226853163008 x	I posted a new photo to Facebook http://t.co/J9AjS9iEsf
31038203_310778147668885504 x	I posted a new photo to Facebook http://t.co/oc3vxAeGmM
31038203_310776799699279874 x	I posted a new photo to Facebook http://t.co/yQ4wjb1sOf
31038203_310776783949676544 x	I posted a new photo to Facebook http://t.co/9ZYXYTNekk
31038203_310776536951300096 x	I posted a new photo to Facebook http://t.co/ocXHyS79kg
31038203_310776433930817536 x	I posted a new photo to Facebook http://t.co/huaf2WvufU
31038203_310776371070779392 x	I posted a new photo to Facebook http://t.co/UzJCQpzgA9
31038203_310776360924749827 x	I posted a new photo to Facebook http://t.co/FNRZ2f8Xr7
31038203_310776271443480576 x	I posted a new photo to Facebook http://t.co/Hm6WXvQ7Xe
31038203_310776174064324609 x	I posted a new photo to Facebook http://t.co/WfOSIvgd8s
31038203_307981327314079744 x	Just left from a beautiful visit with Jordyn.  I enjoyed spending this time with both of my sons and... http://t.co/thpwvR5Ei4
31038203_307293120310157312 x	My heart is so overwhelmed with joy, blessings and graciousness to be able to see my baby boy this weekend, the... http://t.co/ypkOoTzoCu
31038203_307266808543604737 x	I posted a new photo to Facebook http://t.co/GhpIRGysM9
31038203_307266692021628931 x	I posted a new photo to Facebook http://t.co/f50FU4wzGl
31038203_307266547037122560 x	I posted a new photo to Facebook http://t.co/jSelsP2IKz
31038203_307266538501701632 x	I posted a new photo to Facebook http://t.co/EDqxzyaTv1
31038203_307266429214920704 x	I posted a new photo to Facebook http://t.co/NkO39r0iTC
31038203_307266301238341632 x	Love these men http://t.co/SE3VEqHBHE
31038203_307147957852057600 x	My heart is so overwhelmed with joy, blessings and graciousness to be able to see my baby boy this weekend, the... http://t.co/mwcbrPgBL5
31038203_306836423795933184 x	Looking forward to new beginnings
31038203_306830151621148672 x	Looking forward to a whole new outlook on life
31038203_306154011671814144 x	I am sooooo proud of my son Jaret  :) He is now the new Director of Marketing & Communications for Cornerstone... http://t.co/QcMCKq7PUD
31038203_306146546699878400 x	My son Jordyn - I love you dude
31038203_305553196573659137 x	Aunt Erma, Aunt Ernestine (middle), and mom http://t.co/gT5oFnXsgA
31038203_304972162870149120 x	On the road to recovery, getting my health right, eliminating stress along with anyone or anything that brings me... http://t.co/4ROA5kDGw9
31038203_304467288785035264 x	Nite nite
31038203_303806292680658944 x	Gone are the days when your sisters/family had your back through thick and thin, where blood was always thicker... http://t.co/D2wxjb4
31038203_303805630022549504 x	Gone are the days when your sisters/family had your back through thick and thin, where blood was always thicker... http://t.co/KFx9cml
31038203_302493793352048640 x	Yes, there has been an arrest which puts us steps closer to what happened to this baby.  They're not done yet... http://t.co/wxAsYzJ
31038203_302436858074365953 x	JAB is learning sign language.  That's my lil gman  :)
31038203_302070572312055808 x	I am so excited, he is speaking more, forming more words, repeating words said directly to him. What a... http://t.co/gRNBOlh
31038203_301516659041107968 x	Bring The Troops Home!!!!!!!
31038203_300732565055234048 x	Ugly on the inside can destroy ones soul if allowed. I answer to a higher power, my God is Awesome!! The... http://t.co/kzocl1E
31038203_300729767836151809 x	Not feeling well, chillaxing with my daddy :) http://t.co/PP9oB2m
31038203_300729468320878593 x	Here's a close up of my stompeezz http://t.co/x4SGvUQ
31038203_300729331729190913 x	I got my stompeezzzz!!!!! I am soo happy!!! http://t.co/tS24m11
31038203_300729310782824448 x	JAB was not feeling well, so Jade was comforting him while both were on my lap :) http://t.co/R0zk5Oa
31038203_300728419879116800 x	Jump, jump, jump!!! http://t.co/AV6JzZ6
31038203_300724008842821633 x	Ugly on the inside can destroy ones soul if allowed. I answer to a higher power, my God is Awesome!! The... http://t.co/1Z7bxu1
31038203_300666620462899201 x	Wow dad, it doesn't seem like two years since God called you home. Today makes 2 years.  I think of you everyday.... http://t.co/UKgNBg0
31038203_300589825583640576 x	This is too funny!! http://t.co/M7gxCta
31038203_300345806249144320 x	Wow dad, it doesn't seem like two years since God called you home. I think of you everyday. I miss you so very... http://t.co/YmccxBF
31038203_299178949672570883 x	Wow dad, it doesn't seem like two years since God called you home. I think of you everyday. I miss you so very... http://t.co/uES4JmP
31038203_297716761409769473 x	This is still so very difficult for me
31038203_297077635379499009 x	Mom, Friday February 1st will be 4 years since God called on you. It seems like yesterday. Although we needed you,... http://t.co/V2Y8lqV
31038203_297067008036569088 x	Mathematica Policy Research, a nationally recognized social policy research company, is working with the U.S.... http://t.co/oEwQuQR
31038203_296416491702714368 x	Mom, Friday February 1st will be 4 years since God called on you. It seems like yesterday. Although we needed... http://t.co/4CxAbQe
31038203_295886547327262720 x	JAB & Tooka has a way of calming/warming the heart.  They seem to know those WHOOSA moments. God knew exactly... http://t.co/X0Z3DeL
31038203_295713271904870401 x	Its way past time for me to go.  There is no room in MY HOME for me and anyone I can't talk to without me getting... http://t.co/9ZBo2Ay
31038203_293858848056426496 x	Shifting his eyes back and forth, he looks deep into my eyes looking for some sign of confidence.  He doesn't... http://t.co/i6LLP9B
31038203_293373353295749120 x	Happy birthday Dr. King and Thank you. Congratulations to you President  Obama on your 2nd Term, you've earned... http://t.co/lzhKWTT
31038203_292674438070165504 x	Mom mom: "Jade, STOP! Jade to mom mom: "dop"! Mom mom to Jade, "U stop"! Jade to mom mom, "u dop" ^_~ http://t.co/CwwWqce
31038203_292338572277727232 x	About to go to Therapy, decided to check my blood sugar.  309!! Means blood pressure is elevated to. To high!!... http://t.co/n8PmGYu
31038203_292271375589203968 x	That was taken out of "50 Shades of Black. Lol
31038203_292050925546266625 x	I still get warm when I hear his name ?
31038203_291911926185877504 x	Nelson Mandela Meyers Found The little 5 year old little girl on Tuesday morning here in Upper Darby based on her... http://t.co/6UKRDdV
31038203_291377204103901184 x	God is good all the time
31038203_290810503041798144 x	Haven't seen my grandchildren since Friday nite. Weekend with their mom. When they get home @ 9:30pm, they were... http://t.co/p41CDus
31038203_290733121337434112 x	We need a plan http://t.co/fPWEDae
31038203_290670301631623168 x	Haven't seen my grandchildren since Friday nite. Weekend with their mom. When they get home @ 9:30pm, they were... http://t.co/Gs0bCbN
31038203_290165768056868864 x	Thanks Angie for your motivation.  Love you girl :)
31038203_289761812465983488 x	Holla @ me Mr. C. You know who you are. I know you want to ^_~
31038203_288861237733908480 x	People!!!!! Are you serious!!! Why can't we come together as a unit.  Please People, we need this petition signed... http://t.co/iBQDR9i
