65696545_245663613904355330 x	I just ousted Timothy G. as the mayor of CVS on @foursquare! http://t.co/Ifr5f4cs
65696545_345004554930253824 x	@hgtv watching the new house hunter and the wife said she doesn't understand why Orlando has Spanish style home.
65696545_308551646735134721 x	I just ousted Lance H. as the mayor of SEI on @foursquare! http://t.co/HONmtBl5X8
65696545_302391632190390272 x	I just ousted Lance H. as the mayor of SEI on @foursquare! http://t.co/NJcSn5uK
65696545_298974977871474689 x	@DunkinDonuts iced for me. #DDDark #entry
65696545_298974745683189761 x	@DunkinDonuts Dunkin iced
65696545_296234464391073793 x	I just ousted Lance H. as the mayor of SEI on @foursquare! http://t.co/NJcSn5uK
65696545_289077140857708545 x	@RoobCSN why haven't the Eagles contact Jon Gruden or Cowher?
65696545_279644782958096385 x	I just ousted Brad L. as the mayor of Qdoba Mexican Grill on @foursquare! http://t.co/R79QnZZs
65696545_275457994693681153 x	@amyfadoolCSN why keep bringing it up. It's getting so old right now.
65696545_270489661837819904 x	@keeleyfoxnews Before you continue bashing Nnamdi you need to know your eagles report and know the guy that score was Nate Allen fault.
65696545_269915307739602944 x	I just reached Level 3 of the "Fresh Brew" badge on @foursquare. I?ve checked in at 10 different coffee shops! http://t.co/Fx1jrMA0
65696545_269417342465896448 x	I just ousted Brian V. as the mayor of SEI on @foursquare! http://t.co/NJcSn5uK
65696545_266883956115394560 x	I just ousted Brian V. as the mayor of SEI on @foursquare! http://t.co/NJcSn5uK
65696545_258166769108258817 x	I just ousted Christie H. as the mayor of Dunkin' Donuts on @foursquare! http://t.co/yPDETXzJ
65696545_257157206552764416 x	I just ousted PeaNuT28 as the mayor of Collegeville Italian Bakery on @foursquare! http://t.co/J29iTWXI
65696545_255272486629949440 x	I just ousted Brian V. as the mayor of SEI on @foursquare! http://t.co/NJcSn5uK
65696545_254945051317252096 x	I just ousted Ruth T. as the mayor of Jim and Ralphs Produce on @foursquare! http://t.co/5Fp9fAhb
65696545_248748569203470339 x	I just ousted Lance H. as the mayor of SEI on @foursquare! http://t.co/NJcSn5uK
65696545_247661061891842048 x	I just ousted Amy P. as the mayor of SEI on @foursquare! http://t.co/NJcSn5uK
65696545_242304008662966274 x	I just reached Level 4 of the "Mall Rat" badge on @foursquare. I?ve checked in at 15 different malls! http://t.co/enlbey7N
65696545_241669581729562625 x	I just ousted Martine S. as the mayor of Primo Hoagie on @foursquare! http://t.co/qXYjqAg0
65696545_239034637651943424 x	I just unlocked the "Ten Hundred" badge on @foursquare for checking in over 1000 times! http://t.co/sOK3amd8
65696545_231526066185961473 x	I just reached Level 2 of the "Pizzaiolo" badge on @foursquare. I?ve checked in at 5 different pizza joints! http://t.co/dIqTJ6jT
65696545_226811169321672704 x	I just unlocked the "Wino" badge on @foursquare for checking in at wine spots! Cheers! http://t.co/Pni8qzvC
65696545_226811169288114176 x	I just ousted Miguel S. as the mayor of Wine and Spirits Shoppe on @foursquare! http://t.co/kf455vlT
65696545_217580809295638528 x	I just ousted Rob B. as the mayor of SEI on @foursquare! http://t.co/NJcSn5uK
65696545_213766117427130368 x	I'm at Elevation Burger (Collegeville, PA) http://t.co/BTRLHbIO
65696545_213666745234358273 x	I'm at Qdoba Mexican Grill (Collegeville, PA) http://t.co/ymIsEqdm
65696545_213596617868185600 x	I'm at SEI w/ @esuwarrior http://t.co/nPkCFDxL
65696545_213589008989683712 x	Getting my morning coffee. (@ Starbucks) http://t.co/91WuWcdZ
65696545_77527254120402944 x	@darrenrovell @saralivingston that is just awful. That's the type of attendance you see in a minor league game.
65696545_5099192652 x	stuck at work, waiting for the work week to finish, FINALLY
65696545_3436976905 x	getting ready to watch the phillies and eagles game.
65696545_3382526856 x	Still working
65696545_3361282299 x	At work on another Monday. The weekend was too short.
