1038543991_327577984913526785 x	@fucktyler faggot
1038543991_315862504628699137 x	@RealDanHussey I gotta re follow all those spam accounts that followed me haha
1038543991_315525203381850112 x	Doritos for breakfast #NoFucksGiven
1038543991_315233335637073920 x	@FLYestintheeERA "I'm still a pacifist but if you ask for it then I could pass-a-fist" #dopeline #LikeWater #ProEra
1038543991_314278534665359360 x	@WolfpackAlan #AmericanDream
1038543991_314259108440178688 x	Well fuck....
1038543991_314137570562949120 x	Easy Mac is just as good as regular Mac and cheese #ShitNoOneSaysEver
1038543991_313871506935521281 x	...... Or I can pray for a snow day? #much #more #likely
1038543991_313872210957832192 x	@poo_bear7 hahahaha fuck off it is only like an inch! But I can still pray can't I? Worked for the heat tonight didnt it? #GorgleNation
1038543991_313872960907788288 x	@poo_bear7 #WhereTheAsianHoneysAt?
1038543991_313871384998731776 x	3 tests and a 5 page paper.... Operation all-nighter starts now #WhoNeedsIt
1038543991_313845429206908929 x	RT @JDay8572: Good game, but once again, we blew it. Smh
1038543991_313845348336537600 x	Dafuck...... #WhyAThree?
1038543991_313673650475765760 x	RT @FlipFlopSunDrop: The fuck
1038543991_313565564452864000 x	RT @SpeakComedy: Me: I think I?ll go to bed now. Internet: HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA no.
1038543991_313504681622118401 x	@oddfuckingtaco @fucktyler give him a fucking birthday present on his birthday! That'll show his bitch ass.
1038543991_313503775434346496 x	RT @fucktyler: SO SICK THO HAHA
1038543991_313501084100472833 x	#loitersquad  > hw
1038543991_313435856113389568 x	@poo_bear7 #GorgleNation
1038543991_313417025739423747 x	Homework would never get done if it was not for #YahooAnswers
1038543991_313370217885601793 x	@jclements43 this is you in the future if you don't stop this couponing addiction #crazy #cat #lady http://t.co/JKIRNsG0BC
1038543991_313392892192362496 x	@jclements43 hahaha that's true... But soon that won't be enough and you will evolve into a crazy cat lady
1038543991_313081156520251392 x	And the celtics just decided to put the white guy in #AcceptingDefeat #SurrenderedAlready
1038543991_313017689977274368 x	@jordanbeff you got all today and tomoro to put off doing it like I will though. #GotAlotToLearn
