296603705_299642284180402176 x	@j_yme ?
296603705_271404141715271680 x	@damnitall48 enjoy the day tomorrow my friend. I hope it is full of smiles and laughter until your cheeks hurt.
296603705_271405682991984640 x	@damnitall48 sorry I should have known that. Hockey is locked out so is my brain
296603705_271405139544399873 x	@ClintBowyer @delanaharvick hope you have enough solo cups for them! Great way to say thanks!
296603705_271403558501511168 x	@CaseyboyWMMR that I have not gotten bored enough yet to actually watch part of a NBA game #Lockout
296603705_270675538237063169 x	@damnitall48 ? thank you
296603705_270713602225344512 x	@damnitall48 I love it 6 foot pile of leaves and I don't even have a tree on my property. #fallsucks
296603705_270713439180165120 x	@damnitall48 I have to many kids. They are all pulling me different ways. Plus I have been dealing with lots of leaves.
296603705_268514475370491904 x	RT @DaveLozo: Here you go: http://t.co/2GIGhEyL RT @nowleafs: @DaveLozo your a tool bro. Would love to see u say that in front of fans,.
296603705_267028985618264064 x	@Mragerr @hitthatk1d imagine how I feel as her father #disappointment
296603705_266196725805506562 x	@damnitall48 xo for u
296603705_265658923586043905 x	@Tali43 no way you can say no now!
296603705_265658647705710592 x	@Tali43 I just booked my flight and hotel for Super Bowl after Jackson TD need me to get you a room?
296603705_265653110733680640 x	@MarisaMagnatta this moron needs a funnel!
296603705_265652768570740737 x	@MarisaMagnatta chug chug chug chug
296603705_265652101999378432 x	@BroadStBull I thought it was funny only penetration eagles got was when babin started 5 yards deep and got a running start
296603705_265650439725400064 x	@BrianDawkins you should coach the @Eagles They need to learn how to  tackle! They also needs to play with some heart.
296603705_265645067031699456 x	@mikencueCSN has anybody asked to change the station yet?
296603705_264071249649606656 x	@Panger40 pelle Lindbergh with Ron hextall arrow mask a close second
296603705_264024287789342720 x	@prestonelliot I don't see it. He looks normal to me
296603705_263343933130678272 x	@damnitall48 happy birthday my friend. Hope it is full of smiles and laughter
296603705_263112385412337664 x	Why does almost every PROFESSIONAL athlete in football have to do some kind of dance after a good play? Don't they get PAID to do that #MNF
296603705_263000758528638976 x	This bitch is blowing me and it is not the blowing I enjoy #sandy
296603705_262690255679938560 x	@DaveLozo what month is testicular cancer awareness month? Will the nfl play with blue balls?
296603705_261933096520278017 x	@damnitall48 right back at you
296603705_261222611495817217 x	@MattBarnaby3636 getting a vasectomy?
296603705_260772969981304833 x	@PhillySportPast @phillies that made for the worst 21at b-day present EVER! Been making up for that ever since!!
296603705_260063178107535360 x	@Kenny_Wallace what about adding the amount of caution laps to the end of the race. That would keep crew chiefs guessing
296603705_256446149643341825 x	RT @ShaneVictorino: All of my followers to Retweet this are eligible to win this signed baseball! Aloha! @SVictorinoFdtn http://t.co/DOg ...
296603705_256213477411127296 x	@BroadStBull sounds like owners want pa to give a proposal as long as it includes everything they want. If not then forget it. Sound right?
296603705_256146969767051264 x	RT @ShaneVictorino: All of my followers to retweet this are eligible to win these signed batting gloves. Aloha! http://t.co/ZgVNNfuw
296603705_255703461688127488 x	RT @JimmieJohnson: The 48th retweet wins my Talladega race/crash hat. No repeat winners and 1 retweet per will count. #JJSwag
296603705_255624235567964160 x	@dennyhamlin @billb1967 probably the same guy riding down the highway in the left lane doing 55 with his turn signal on for 30 miles
296603705_255061348646522880 x	@damnitall48 can I pay you to love my sex?
296603705_255037490023522304 x	@damnitall48 you missed Kurt Busch being a jackass AGAIN. Talented driver horrible person! Needs a proctologist to have head piled from ass!
296603705_255038315185721344 x	@damnitall48 not really! Hope that moron gets the boot from @nascar. Can put SAFETY people in danger!
296603705_255040177356042240 x	@damnitall48 safety worker don't get paid to deal with attitudes
296603705_255039259558416384 x	@Kenny_Wallace I would love to see safety workers drive up to Busch next crash stop, look then keep on driving.
296603705_255038600234811392 x	@bvickerman @damnitall48 @nascar sorry meant can't
296603705_255035787857522690 x	@NASCAR when are you gonna tell the driver if 51 to get out. Would rather have someone on PED's them him. Obvious safety hazard
296603705_252488429718360065 x	@DeLanaHarvick @Hartsy19 is at the race today. Funny guy. Do me a favor and go trip him #hartnelldown #lockoutsucks
296603705_252438025815076865 x	@Jeremy_Roenick yes. Great idea!
296603705_252437923587313665 x	RT @Jeremy_Roenick: I think we should put on some games half NHL guys half fans. Raise money for charity and start enjoying some hockey. ...
296603705_252436400534876160 x	@ChuckGormleyCSN why do you keep sending me dm's hope you check your account for hackers. #moronshavenothingbettertodo
296603705_252434605876072448 x	@drosennhl after the @Eagles win tonight I think you should change avatar to you in @Eagles hat for a week!
296603705_251890400342704129 x	@deluca100 @jonathanquick32 if that ain't love I don't know what love is
296603705_251801661687881728 x	@damnitall48 I got stuck at the boarder. Don't start without me.
296603705_251747402887876608 x	@Kenny_Wallace big difference tho. Dale lost his life in the car. Richard just retired. 3 should never be driven again in cup.
296603705_251493762222653441 x	@hitthatk1d I think it is a couple of states west of you!
296603705_251498320986517505 x	@hitthatk1d probably because I have never seen the show?
296603705_251501084818952193 x	@hitthatk1d when you come home for the holidays me you and Nikki will sit down during the weekend and watch from season 1 #awesomedad
296603705_251495798485958657 x	@hitthatk1d I found Arizona. It is a tall can in the fridge. I was thirsty so I am sorry Arizona is no more
296603705_251418076862623744 x	@ChuckGormleyCSN I got a dm from you today was it a mistake?
296603705_250623821722312706 x	@damnitall48 right back at you!
296603705_248147850976956416 x	@damnitall48 you unfollowed me and I can't respond :(
296603705_248140933877604353 x	@NickMcIlwain1 @prestonsteve933 I am at work I have plenty of time to read. Please continue on
296603705_248096539740893184 x	@prestonelliot the 69th month would be delicious!
296603705_248061216700907522 x	@damnitall48 :P #tonguetuesday slurp
296603705_248063058247839744 x	@damnitall48 doing warm up exercises now !!!!!!!!
296603705_248074589467459584 x	@damnitall48 warming up so I am at peak performance for you
296603705_245574351670370304 x	@JohnBorukCSN who are offering the salaries? Maybe if they didn't offer such high contracts. Try offering dollars instead of mill. On raises
296603705_244988372991496195 x	@MikeVick a win is a win. Put it behind you but learn from mistakes. You are too good to let pull you down!
296603705_244540110908039168 x	@damnitall48 I remember playing doctor as a kid and giving them to the girl I was playing 1st before I examined her.
296603705_243886970550489091 x	@tpanotchCSN no matter which way the fan goes, seems like the players will suffer the most.
296603705_243853322514231297 x	@tpanotchCSN salaries that the owners GM decided to front load because of the salary cap that they wanted in place years ago?
296603705_243852853704269824 x	@tpanotchCSN page 1 let me get this right. Owners made plenty of profit, don't want to share with other teams, want players to cut
296603705_243480664882692096 x	@damnitall48 right back at ya!
296603705_243028797799153664 x	@LHillaryCSN I will watch on CSN but never attend a game again. I will even pass up free tix. Owners created this mess. Stop bidding so hi
296603705_242980566461456384 x	@prestonelliot no offense but the picture of your wife in the hot tub was so much better. can deal with those pics for a year #makeithappen
296603705_242789901723131904 x	@CaseyboyWMMR wow I thought I was the only guy who thought BJ'S was better then Costco. Oh wait ohhhh ohhhh yeah I like THOSE BJ'S too
296603705_242465673568210944 x	@mw55 @MartinTruexJr56 hate it you didn't win. Love the emotion after the race by both. The win will come u both are too great to fail.
296603705_241997827457298432 x	@BrentCelek as long as the light is not flashing #noworry. Light is flashing at you #worryyourassoff
296603705_241971449185828864 x	@damnitall48 that is great. I love it!
296603705_241971241689432064 x	RT @damnitall48: @bvickerman word creation...... http://t.co/tZm2vmYU
296603705_241952845845377024 x	RT @damnitall48: I love talented people of all kinds! http://t.co/hQPObHNJ
296603705_240986655710928897 x	@Mragerr @hitthatk1d my life is amazing because of her #coughcoughbullshitcoughcough
296603705_240976081702764544 x	@hitthatk1d sorry I didn't text you back. I was on my way to hockey. You know how much I love to play with those balls!
296603705_240970975980691458 x	@hitthatk1d @Mragerr I have been lurking. This being an adult crap is not as fun as I thought.
296603705_240975604319666176 x	@hitthatk1d yeah thought I would make you feel important on a worldwide level instead of a family level #mybaddawg do they still say that?
296603705_240972607875321858 x	Watching 1 in football pads tackling the other with not pads. College tuition is gonna kill me #ithinkihave2rocketscientists
296603705_240971818545065984 x	Twins are great. I just watched younger twin punch older twin in the privates. Younger twin now knows how hard a cup is
296603705_240203401584078848 x	RT @ElliottBinks: I'm doing an article on the reach of Twitter. Can you please RETWEET this tweet if you see it so I can see how far it  ...
296603705_240181299371995136 x	@damnitall48 you are killing me today. I have to sit REAL close to my desk and I can't walk around for the next 1/2 hour
296603705_240182252850524160 x	@damnitall48 good but bad. I think. I'm not sure don't have much blood going to the proper place!!
296603705_240183385908183041 x	@damnitall48 not sure this is the proper place to respond to that!   Lol
296603705_238414133635194880 x	@Hartsy19 ?
296603705_238269802769174529 x	RT @DGodfatherMoody: Ok the Navy Seal story is a hoax. Thanks to the 12,000 people correcting me. GOT IT! ;)
296603705_238269718828576769 x	RT @GuyCodes: R.I.P. Todd Jones. The Navy Seal that killed Osama Bin Laden died in battle today. Retweet to honor him.
296603705_237665633532276736 x	@Hartsy19 maybe it is my phone but it looks like you put that picture together with Legos.
