1679763229_398240799403433984 x	I am really starting to become @FLAGALine  fan
1679763229_382500242102292480 x	after listing to a few songs I think @CassadeePope will have a great music career
1679763229_382281407248080897 x	RT @Trouty20: Best wishes out to Manny today for that terrible injury. Get well soon man!
1679763229_381896161118138368 x	How could the phillies lose their last home game
1679763229_380717756120698881 x	GAME DAY LETS GO EAGLES YOU CAN NOT LET ANDY REID BRING THE CHIEFS INTO YOUR HOUSE IN FRONT OF EAGLE NATION AND LOSE
1679763229_380716454363930624 x	RT @fcoxx_91: WE MOST DEF NEED THIS WIN #BleedGreen#FlyEaglesFly
1679763229_378575292693872640 x	fun day  at college my class lock the teacher out of the room and she tough that she lock the door and didn't get mad
1679763229_375266892937957376 x	I really think we should not pick a fight #Syria
1679763229_372730534457540608 x	One more class to go then my first day of college is in the books
1679763229_372375586922315776 x	Hello twitter world how is everyone
1679763229_371674896335900672 x	Miss Pennsylvania is at Walmart she must be lost
1679763229_371616062540115969 x	Back to work
1679763229_369836620448411648 x	I wish summer would never end #summer
1679763229_369455557607837696 x	would a lion cheat on his wife no but a tiger wood #tigerwoods
1679763229_369142344936747009 x	I love wawa #GreatFood
1679763229_368940347025399808 x	my first tweet
