37045460_390467111228690432 x	@arieldsmith eric prydz??
37045460_389028233083387904 x	@nana4eva_yours i want to come to udel lets go
37045460_389021435600961536 x	whos down to tailgate kfc right meow
37045460_389014899164471297 x	@michael_woods you are the man...that is all
37045460_389009927492337664 x	@mj_demarc buttermilk ranch
37045460_389005811084967936 x	@mj_demarc 1030...we have business to attend to
37045460_388867672437710848 x	RT @nana4eva_yours: The three musketeers are out taking the talents to @thegreatgratzy sureness
37045460_388866721735798784 x	I'm goin wild for the night fuck being unsure
37045460_388827864474611713 x	started from the bottom now I'm sure
37045460_388865291507478528 x	@nana4eva_yours less is more so ok!
37045460_388181334331781120 x	watching wild and out with a room mixed with white and black people is interesting
37045460_387656544571383809 x	sometimes professors gotta realize that their shitty video just isn't gonna work and just let us the fuck out already
37045460_387101580677640192 x	Honestly I cannot with @ginasoffian like you made me surelios
37045460_386947933649645568 x	can anyone design womens clothing?i want to make a high end womens line called jess bussanich i think itll work because it just sounds fancy
37045460_386915913100185600 x	RT @nana4eva_yours: I walk in to @thegreatgratzy room to force him to join me in the lib to see him drinking svedka watching the eagles gam?
37045460_386910845412052992 x	PRIMO HOAGIES AFROJACK AND EAGLES FOOTBALL LETS GET IT
37045460_386903325914177536 x	SHOW US WHAT YA GOT WHEN THAT MOTHAFUCKIN SURE DROPS
37045460_386901279995613184 x	ok I'm really pissed were losing but those back flips were fucking impressive
37045460_386547342242897920 x	@nana4eva_yours yo remember when you were like i dont remember any songs showtek played....DO U REMEMBER WHEN RAY BOMB DROPPED??
37045460_386527846921158657 x	mothafuckin gratzimals
37045460_386339110895751168 x	@nana4eva_yours we got @RuddyAdames with us on the floor #peaceee
37045460_386343023476748288 x	@RuddyAdames @nana4eva_yours nana I'll see u at the top if i feel like it
37045460_386333274190397440 x	@nana4eva_yours youre missing out on gratz
37045460_386335891700322305 x	@nana4eva_yours @chrissyberardi that seems awfully far from my boys showtek...
37045460_386254876663382016 x	Im pretty sure tonight will be the first ever #FALLSPLASH for rutgers #AC
37045460_386249676523331584 x	@djcarnage oh is that where all the djs get their plain shirts from? 5 for $20 i guess it makes sense...
37045460_386231494202896384 x	when showtek drops slow down tonight im going to punch the nearest female square in the ovary
37045460_386208067056308224 x	RT @nana4eva_yours: WE OUT
37045460_386159004801839104 x	Leaving for ac around 8...if u want to be a part of my will hmu
37045460_385973330010198016 x	I'm sure i had to change my shirt 3 times before 11:40 like im actually #sure
37045460_385962043607900160 x	First Webster hall, then electric zoo, and now tomorrow night in AC...@Showtekmusic for once i think you guys are the ones that aren't ready
37045460_385960367635324928 x	I'm really glad prohibition is no longer a thing....but 151 should be outlawed from America forever and ever
37045460_385933746580361216 x	the bul @VictorNiglio getting his own post on @dancingastro thats good shit #philly #jiggy
37045460_385838655140802560 x	RT @nana4eva_yours: Twitter has made me realize a couple of things 1. People don't know what the fuck they are talking about and 2. @thegre?
37045460_385794673819648001 x	people talking about the government shut down are losing sight of whats really important...HELLO PEOPLE KONY IS STILL OUT THERE RUNNING WILD
37045460_385785909611753473 x	I voted for HARDWELL MIX in the Hardwell NV Concepts Philidelphia https://t.co/ASrCnDR3L5
37045460_385636378156883968 x	@nana4eva_yours oh im so joining this....menace II society has to be a part of this as well as juice #whiletheywerewatchingbluesclues...
37045460_385623859690733568 x	@nana4eva_yours RIP ciroc blue moon fam
37045460_385526427082559488 x	RT @nana4eva_yours: WE TALKING BOUT PRACTICE????
37045460_385474228956692480 x	@Les_Burn you should probably work on your 2k game instead
37045460_385461352275255296 x	@sidneysamson HAPPY BIRTHDAY please come back to Jersey, PA, or NY soon!
37045460_385446519950028800 x	RT @nana4eva_yours: It's official the three musketeers are doing AC on Friday @chrisrus777 @thegreatgratzy
37045460_385099092973867008 x	RT @Lionheart_08: @thegreatgratzy you won me over with chick fil a
37045460_385091216146436096 x	Ok so i say instead of obamacare we just do #gratzcare...rather than give ppl in their 20s insurance just give them burnetts and chick fil a
37045460_384901408103071744 x	The government shutting down reminds me of one of the iconic hey Arnold episodes of my day...NO ICE CREAM NO PEACE NO ICE CREAM NO PEACE
37045460_384899126464618496 x	I want to see my art app teacher try to tell me i have a paper due tomorrow...dude like there's not even a government
37045460_384883796547735552 x	@DJMAKJ YO LEMME GET ONE OF THOSE HATS
37045460_384773265639899136 x	@mboren15 @jen_gell Borenstein hq this friday lets go
37045460_384774560656412672 x	@jen_gell @mboren15 oh we in dere
37045460_384511729620627456 x	RT @iamdiddy: #dc3 @meekmill #dreamTeam download NOW!  #cirocBoyz #weJustDifferent @coonphilly  #mmg GO! http://t.co/XPYGbu7Sx1
37045460_384411249951662080 x	RT @WayneElli22: DC3!!
37045460_384169092414210048 x	I will learn this dance if its the last thing i do
37045460_384158485170368512 x	Yo i really dont wanna stand up rn
37045460_384100986635436032 x	The rutgers crime report today left out a few major details...that the perpetrator was probably over 6'1 and of african american descent
37045460_384100035400839168 x	@jen_gell you should probably be crying that you weren't there on thursday
37045460_384023469215993856 x	The rutgers crime reports are always a hoot!
37045460_383667908272193536 x	@RU_Crushes she'll probably let you if you find her phone
37045460_383462359555387392 x	Sigma. Delta. Turnt.
37045460_383312464462774272 x	what channel is the derby days draft on tn
37045460_383237730211479552 x	RT @ceejayyyyyyyy: so excited for size in the park tomorrow tomorrow tomorrowwwwww! @SteveAngello
37045460_383096911546179584 x	@ginasoffian @tweatsbyzig yeah can i also have a large shamrock sure with that
37045460_382948036496072704 x	RT @RU_Crushes: Nick Gallo, I have alcohol...and I'm horny. Come over?
37045460_382938194607874048 x	happy #toosuretuesday everyone
37045460_382723382409969665 x	@ahegde92 is dropping jacob plants fire before 1230...ill see you guys at robert wood johnson please visit me and bring hansel!
37045460_382662648720285696 x	@ahegde92 tonight i wanna get kicked out of pub as a result of your djing
37045460_382660668580958209 x	@thereaIkimshady i will travel whatever distance i have to for #birthdaycakeremix
37045460_382650574808031232 x	@thereaIkimshady WHAAAT
37045460_382642973349273600 x	@nana4eva_yours @chrisrus777 no comment ?...all i can say its a new year, new game??????
37045460_382633302769025024 x	TURN ? 4 WHAT
37045460_382566523908681728 x	Is there anywhere to go to grad school in ibiza
37045460_382563557512318976 x	There are toooo many cops on college ave for my liking rn
37045460_382541907798540288 x	RT @nana4eva_yours: IM NOT TWEETING UNTIL PITT WINS THIS WILL BE THE LAST TWEET YOU SEE UNTIL THEN
37045460_382540879652999168 x	I see @nana4eva_yours tweets on my feed...and then i check the nfl standings at it still says pittsburgh 0-3 #confused
37045460_382343908736237568 x	gabay giving his dad stock advice lmaoo
37045460_382013425909788672 x	Someone just tried to attack @djafrojack...thats fucked up
