24450801_396029925138116608 x	Still trying to get the hang of this whole #halloween thing! http://t.co/H6wO3RensD
24450801_219962018931814401 x	Dear mom & dad, I confess to suturing all of the limes you just bought. Although I have a feeling that you probably already knew it was me.
24450801_219929939439398913 x	Theme of the day... create an artificial orifice, have student insert finger into it. This surgery rotation is right up my dork alley!
24450801_219082221594755074 x	@caphealthnj Arcadia has sent me to capital health hopewell for my surgery rotation. It is absolutely gorgeous! http://t.co/3YhsX8AZ
24450801_218834711051632640 x	Just finished my internal med rotation @abingtonhealth. It was great! Now on to surgery @caphealthnj. Can't wait to see what's in store!
24450801_218504653258756097 x	Thanks @thejennlynch for taking this pic on the streets of NYC! #diamondblackfananemia #spreadtheword http://t.co/B5i4bbbr
24450801_217979511092944897 x	Moderate coffee intake has been shown to reduce the risk of heart failure. #bestnewsever #morereasonstofeedmyaddiction
24450801_217697061188022272 x	@abingtonhealth good thing I'm spending #nationalchocolatepuddingday at a place with good pudding! #rotationperks
24450801_216299328308903936 x	@PASchoolProblem ThingsILearnInRotations#2-teach me and I might remember, show me and I'll probably remember, pimp me and I'll never forget.
24450801_215927820948484098 x	ThingsIlearninRotations#1-All idiot moves will be done in front of the same attending probably leaving them questioning how you got this far
24450801_213081718712844288 x	@RedCross Tomorrow is World Blood Donors Day. Thank you to all of the heroes out there who have saved my life!  @RedCrossPhilly #giveblood
24450801_212717403333861377 x	What's your favorite compound word? Mine is 100calorieguacamolepack. #grammar
24450801_212311716145541121 x	I have no doubt that @RobinRoberts will get through this fight against MDS. She's one tough woman! I'll be praying for you!
24450801_211573913950486529 x	Fun thing about starting rotations= Tons of fabulous new clothes! Sad thing about it- I wear a white jacket over them :-( #Fashionimpossible
24450801_210529180805382145 x	Just started my internal medicine rotation- any advice from those of you that have been there before?
24450801_209453243166769153 x	Does anyone else watch the @teamvisa Julius Achon child soldier commercials and want to cry afterwards? #visagoworld #london2012
24450801_209123648311799811 x	Just posted a photo  @ Citizens Bank Park http://t.co/Cc7aDGWi
24450801_209059932979474432 x	Ladies and gentlemen, @HunterPence3 waved to me and my poster today. My life is complete! #Phillies #GoPhils http://t.co/vM6Ehjsk
24450801_208972391534166017 x	@philaphillies Getting ready for today's game! Look for me in the outfield!  #GoPhils #Phillies http://t.co/aAOJOccF
24450801_208633659627016193 x	@ULTA_Beauty stopped selling their eyeshadow primer. Is the world ending?
24450801_208645480622735360 x	@ULTA_Beauty that is EXACTLY what I was looking for! The Langhorne PA store told me they no longer sold it and sent me on my way! I was sad!
24450801_204693500665663489 x	@jrl5045 @scrippsbee YES!!!!! I'll bring the Neufch?tel!
24450801_208367707274489856 x	@jrl5045 @scrippsbee for the rec, I got Otosteon and schwannoma correct. It only took a grad level education to get me there #spellingbee
24450801_208216423586213888 x	@jrl5045 @scrippsbee did you see the six year old speller who made it to round two yesterday?!? #spellingbee
24450801_207567947252768769 x	@JAAPAcom My fav presentation was Ehlers Danlos a zebra losing its stripes by Donna Agnew!! #aapaIMPACT
24450801_207345350275637248 x	Donna Agnew gave an amazing presentation on Ehlers Danlos today! Way to go! #aapaIMPACT
24450801_207095004131360768 x	Just watched fireworks  over #NiagaraFalls. I've never felt more American. Except I was standing in Canada #aapaIMPACT http://t.co/fAJSxKlZ
24450801_206829852232392704 x	This is a shameless stalker  shot of jake gyllenhaal filming a movie on Toronto  http://t.co/MOVPI5Pc
24450801_206784490494885888 x	Met some fellow Christian PAs this morning! So cool! #aapaIMPACT
24450801_206784145630826496 x	Dizzy spells, movement disorders, and anemias oh my! #aapaIMPACT
24450801_206396422675894273 x	@WaltKn Helloo from Canada!! I sent you and mom an email. Love you lots!
24450801_206396309350002688 x	The #aapaimpact conference is underway! I'm proud to be joining such a wonderful profession! (And Toronto is beautiful!)
24450801_206113763668140032 x	Hi Canadian border!! #aapaIMPACT http://t.co/Z716YEuX
24450801_206000855042891776 x	Things I know about #Canada - they've produced a lot of @lifetime movies and @justinbieber . Let's get this convention going! #impact2012
24450801_205472726964645888 x	RT @WaltKn: I would like to thank my follower for her loyalty and perseverance.;
24450801_205457457236033537 x	Just posted a photo  @ Seaside Heights Beach http://t.co/rl5i7Dbc
24450801_205396358524436480 x	Seaside Heights!  @ Seaside Heights Beach http://t.co/JD03Ryz4
24450801_205395421483384835 x	Just posted a photo  @ Seaside Heights Beach http://t.co/19ZiFXD1
24450801_204958785956089856 x	I disagree with the fact that sovereign bank thinks they are customer friendly.
24450801_204738927188377602 x	Yes! Bachelorette time!! http://t.co/IzhM6Ctj
24450801_204029926087737344 x	Baby Jillian circa 1991 http://t.co/P1McoRDZ
24450801_203976627368112128 x	http://t.co/t9v3bjhh
24450801_203841776321175552 x	Today's word-of-the-day-that's-stuck-and-won't-leave is... Staph saprophyticus
24450801_203139569317724160 x	Research shows #Azithromycin can cause sudden heart issues in at risk individuals. RIP Zpack :-(
24450801_202923298873556993 x	First year of PA school is in the books!!! Next stop- #AAPAconference in Toronto! #prayersanswered
24450801_201682564468064257 x	This year's presents consisted of prisons and shooting ranges. #HappyMothersDay Mom! You make life so much fun! http://t.co/7I8Lcbg0
24450801_201487871906029570 x	More Eastern State!  @ Eastern State Penitentiary http://t.co/XteJc7Ra
24450801_201487277476679681 x	Such elegance in a prison!  @ Eastern State Penitentiary http://t.co/EFQo4v1s
24450801_201486293929172992 x	Eastern State Penitentiary  @ Eastern State Penitentiary http://t.co/MfEUrWj7
24450801_200716924173303808 x	Jesus replied Neither hath this man sinned nor his parents but so that the works of God be made manifest in him http://t.co/5mDggLOU
24450801_200294977299955712 x	http://t.co/fM8w4824 ranks Physician Assistant as the best career of 2012.
24450801_200224156174921728 x	Article out today states patients with Diamond Blackfan Anemia are 5X more likely to develop cancer #DBA #knowyourrisk #jointhefight
24450801_199326137166479360 x	Every 10 minutes someone dies of a bone cancer. Become a #marrowdonor!
24450801_199325030444834816 x	One of the famous alleys of Philadelphia! http://t.co/aWx64FaG
24450801_199242422121791488 x	Birthplace of the American Flag! Betsy Ross' house! http://t.co/E2rzlHsx
24450801_198229301437534208 x	I don't know why I never wore these to lecture! http://t.co/tNh8zLhk
24450801_198122404231380993 x	Just posted a photo http://t.co/qsZLqnHw
24450801_198121189913272320 x	Everglades anyone? http://t.co/r4VoRtg7
24450801_198022109119782913 x	New study finds energy drinks ruin teen teeth after just five days... that's terrifying!
24450801_195235080237613057 x	we made it to el rey!!! FINALLY!!
24450801_194897377763663872 x	voted!! and you should too ;-)
24450801_194813986598944769 x	#Funfact #Medicalfact Hysteria came from the Greek word Hyster(meaning uterus) b/c Greeks thought hysteria was caused by a woman's uterus.
24450801_194801272086478848 x	It is really true?! Does @benandjerrys really have greek frozen yogurt?!?
24450801_192689197176459266 x	100 days until the #OLYMPICS!!!!! I CAN'T WAIT! #London2012
24450801_192331252412579841 x	Just got a rotation with the Office of the Chief Medical Examiner in D.C- can't help thinking... What in the world did I get myself into?!?!
