16203515_393404749250592768 x	OH NO. Sixers projected to win 24 games?! Say it ain?t so | http://t.co/H1ueNl0H5r
16203515_394519452320301057 x	Peyton HIllis is the biggest Madden Curse guy of all time right?
16203515_392007171413901312 x	@Flipvan2010 haha, even my boss came in the studio and told me how wrong I was.
16203515_395690600965890048 x	Analytics tell me it?s 9-0.
16203515_394510754046832640 x	Yuckoroo
16203515_392013177057447936 x	I don't have so many people tweeting at me about Nick Foles and his accuracy this week. @UramWIP where are you? ALL OF YOU?!
16203515_386940976880963584 x	lolololol RT @UramWIP: @SpikeEskin looks better than Vick
16203515_386942887310934016 x	@richardriss @UramWIP lololol. You miss the 10 other throws he missed or no?
16203515_384410355612811264 x	#your RT @richardriss: @SpikeEskin You're welcome, it sits well with you're ignorant and wrong commentary
16203515_384406510547529730 x	The one thing Alex Smith does really well is knowing when he should run.
16203515_384408674984529921 x	@richardriss but thanks for your sort of ignorant, and wrong commentary!
16203515_366003262991773698 x	@richardriss you don't get a bonus for not using them.
16203515_352758747686383616 x	This week's Philly Top 5 Power Rankings: trading Chase and get well Dutch | http://t.co/9UAqGpSnHr
16203515_344222316928065536 x	As Jason Kidd is about to get a head coaching job in 8 seconds, Patrick Ewing sits on a tiny chair with his knees at his chin.
16203515_342661680867713025 x	RT @ZachLowe_NBA: Not sure he'd be interested, but would not shock me at all if the Sixers' revamped front office called Karl ASAP.
16203515_339518791518154753 x	"RT for choice A, Fav for choice B" is a bad sign for Twitter. It means the MySpace friend collectors are here.
16203515_337006476428210176 x	Bradley beal's head is wider than it is long, discuss.
16203515_326516262891028480 x	I missed the phils game tell me what happened in one tweet thanks.
16203515_314404897489555457 x	By the way this says that Temple is more likely to be in the Final Four than Villanova http://t.co/nqjZSiWutk
16203515_314489696740843520 x	@richardriss dare me to what? What are you talking about?
16203515_314499827163607040 x	@richardriss you don't have to dare me to do things brother. I'm not in sixth grade.
16203515_392009113422790656 x	The worst QB controversy of all time.
16203515_392017192486977536 x	@YBpOorEnt @ikereese58 I'm biased against Vick?! Are you insane?
16203515_386863346894770176 x	Josh Freeman to Oakland is so obvious and so obviously ends badly.
16203515_386864950838566912 x	@GDS1968 http://t.co/eyNcT9CoUe
16203515_329282997230653440 x	3 things. First, I got engaged. Second, here is a Philly Mag article on me and dad http://t.co/KoS9f8cV8E. Third, I will be back tomorrow.
16203515_269503061813252096 x	Aston Middletown Little League alumnus Mark Lindsay is scheduled to referee tonight's Sixers vs. Jazz game http://t.co/qSiKq2CH
16203515_269519169119195137 x	@bendaviscsn where is @mckinneysean?
16203515_384359341312466944 x	@BobCooney76 seems like Thompson may be if he can get on the court.
16203515_380865727445876736 x	I hate to criticize others in my field but the play by play has been brutal.
16203515_389118202170859520 x	I know it is emo of me to like Juno but I can't help it.
16203515_356606834171314176 x	Orton? Glad I didn't watch.
16203515_249994543963992064 x	if billy joe armstrong was the Eagles coach right now he'd be firing everyone up all like "f*ck this and f*&k that and f*#ck USHER!"
16203515_142446342462128128 x	Ok, tell me guys, of all of the Eagles, who sucks the most?
16203515_368345748016234496 x	@NQADutch *homophobes
16203515_368345559784239104 x	@NQADutch it doesn't matter. Unless you are some kind of massive Flyers fan, in which case you probably hate basketball anyway.
16203515_353924757000949760 x	Most important issue in sports is either baseball managers ditching uniforms or all other sports making head coaches wear one.
16203515_344456109773422594 x	Anyone have issues with Grantland on Firefox occasionally?
16203515_379662783476154368 x	Let's connect on LinkedIn | http://t.co/gH6AYd4tb8
16203515_385491133503397888 x	@VaughnMJohnson that is if he shows up at all!
16203515_389866198923767808 x	I'm not sure who wins on Sunday but I will take Chip Kelly over Jason Garrett every Sunday.
16203515_390361812354748416 x	Cab driver just asked if I want "Foley or Vick." He wants Foley.
16203515_385489401096454144 x	@VaughnMJohnson you are doing a fantastic job.
16203515_385489889074372608 x	@VaughnMJohnson not just filling a hole but doing it well. Wish I had more time to do wrestling stuff, but you're doing a great job.
16203515_385490434606501889 x	@VaughnMJohnson I hear you can get Canibus pretty cheap now and DMX too. It can be like 4,3,2,1 all over again.
16203515_377821032629141505 x	If you're playing the WIP Suicide Pool, @justintboylan offers some advice and picks for week two | http://t.co/eZqLMUH25F
16203515_386877815440044032 x	#Your RT @Brady_Kaiser48: @SpikeEskin your an ass #CBS3Kickoff
16203515_389449332036239360 x	Is Nick Foles 100-100 for 27 touchdowns yet?
16203515_380899613563449344 x	Big Red Gatorade bath.
16203515_377208995494510592 x	That's gotta get reversed.
16203515_398867654314061824 x	To try and win tickets Sixers vs. Cavs tweet this EXACTLY by 1pm: Tony Wroten, Tony Wroten. Tony Wroten. #SixersTix @SpikeEskin
16203515_376811760357244928 x	@BennyFrank76 lamonia?
16203515_376809748366385152 x	@BennyFrank76 the jets won.
16203515_376810265050099712 x	@BennyFrank76 also Rex Ryan isn't fat anymore. Are you a real person?
16203515_376810697159876608 x	@BennyFrank76 I think I just realized you are a parody.
16203515_398915458109173760 x	Retweets are not endorsements!
16203515_397812501687328769 x	Do you think the team ever has to have a conversation with Kwame Brown about whether or not he dresses? Or both sides just know?
16203515_397813086817906688 x	@ChrisVito still waiting on that second opinion on the hamstring strain?
16203515_387264107722047488 x	How many days of this QB thing will make Chip Kelly just start calling in sick?
16203515_380834160933617665 x	Really excited to wake up at 3am to order my stupid brother an iPhone because he's in another country on vacation. He owes me right?
16203515_374701361868189696 x	Yo the dude in the 8/27 Catfish is a dead ringer for @marcfarzetta.
16203515_359483492813385728 x	Thanks to @RoobCSN for stopping in my office and leaving me with the worst story ever!
16203515_326306400043167745 x	I'll be hosting the @Eagles cheerleaders Final Auditions tonight. You can watch it live on http://t.co/G8H0uuYNjU at 7:30.
16203515_326307906230296576 x	@rheahughes @Eagles yes I tried to convince my girlfriend the same thing.
16203515_326308240310796288 x	@rheahughes @Eagles almost as well as when I was hosting St Patrick's Day parties with them while she was cleaning our new house.
16203515_311567888362381312 x	SIGN SOMEONE CHIP KELLY YOU BUM
16203515_311474423536431105 x	You mean Goldson. RT @phillyjim76: I love WIP.  I guarantee that no one on that morning show knew who Gholston was before last week.
16203515_365215192746954754 x	Sixers ownership group looking to sell Philadelphia back to the British.
16203515_353331084311793664 x	I don't believe Howard is 50/50. I believe it is recon because the story broke before he called the Lakers.
16203515_397817315452289024 x	Anyone have an updated list of Eagles players on Twitter? Like, an actual Twitter list.
16203515_400362773688745984 x	Every person with a Twitter avatar that has all four Philadelphia pro teams for some reason uses the ugly gold sixers one.
16203515_399686488277147648 x	A fella got mad at me today because I didn't agree "tanking should be illegal." He then called me "kid." I am 37 years old.
16203515_399571868229054464 x	I will be on #CBS3 at 11:30 on @cbs3kickoff. Give us your Eagles Packers final score and Foles stat line. Tag it with #CBS3Kickoff.
16203515_398911895903547392 x	@hipsterboner @sethjoyner hazing fraternity pledges and making them drink dangerous amounts is not ok because frat brothers approve.
16203515_398914316683845633 x	@sethjoyner at one time black people and women weren?t allowed to vote in the US. Can?t just say ?then live somewhere else!"
16203515_398917402773057536 x	@sethjoyner not sure what else to say. Human rights are what humans decide those rights are. Be well sir!
16203515_392973220330352640 x	@WIPMorningShow @rheahughes I WOULD LIKE TO MAKE IT CLEAR I AM GOING TO THE DOCTOR FOR MY HIP TODAY. MY HIP.
16203515_389506573602914304 x	@howardeskin (also you picked the Bucs)
16203515_389507241071898624 x	@howardeskin until you hop on a bike and get your ass to San Francisco, YOU pipe down.
16203515_377238209199345664 x	The question is not whether or not the Eagles will win this year's Super Bowl, but how many times they will win this year's Super Bowl.
16203515_368159829728456704 x	Did we ever find out how danny watkins got a concussion?
16203515_392036562701406208 x	the day the Eagles select Johnny Football in the NFL draft will be the greatest Twitter day in Philadelphia sports history.
16203515_391296512434905090 x	@petzrawr might be time to log off for the day Petz.
16203515_391296695516295168 x	@petzrawr I mean if you can't make fun of buzzfeed.
16203515_394960026965905408 x	didn't we do the Marcus ________ jokes last year?
16203515_395667454292025344 x	Andrew Bynum playing on opening night. Just like the plan says.
16203515_395235363184476160 x	.@BrianJHaddad and I talked to @forrestgriffin. Told us about the time he got beat in Philly, and wanted to do crack http://t.co/frZf3TZY4v
16203515_395994272409088000 x	?Trick or treat!?  Hey kids! Here you go!  ?what?s this???  an imitation sweet n? low packet
16203515_395978579588419584 x	@soconnor76 @HomeoftheThrill did you pay for it?
16203515_395979247246114816 x	@soconnor76 @HomeoftheThrill I apologize. This situation was a nightmare. Let?s take care of this right quick.
16203515_395979519297073152 x	@soconnor76 @HomeoftheThrill legitimately a nightmare. Will be taken care of in 7 days or I will paypal you the money myself.
16203515_395980203308359680 x	@KyleNeubeck I never even got one myself.
16203515_395746201708269569 x	Not what I expected tonight. http://t.co/Jfm1Ykycy6
16203515_395528614449774592 x	We?re doing a Sixers preview on the #RTRS podcast today. If you?ve got any questions or relationship questions, let me know.
16203515_395532013656346624 x	@KyleNeubeck I will add that to the list.
16203515_395354794367680513 x	@KyleNeubeck @rich_hofmann @soconnor76 there is no way the bulls win the title anyway. Too much on Rose.
16203515_395348430165262336 x	@BobCooney76 here come hockey tweets.
16203515_395350305803866112 x	@dhm or how little athleticism basketball involves
16203515_395350947964010497 x	@KyleNeubeck @dhm I will say no sport exhausted me more quickly than ice hockey. But hockey people are Hilarious.
16203515_395347243680927744 x	Doomsday preppers are idiots. I say this confident that they are far too busy prepping to see this.
16203515_395288356688789504 x	The guy from football outsiders does it too. So does Malcolm Gladwell. I?d love to know why smart guys do that.
16203515_395280640792604672 x	Who wants 1,500 words on the breakfast we had with Sam Hinkie today?
16203515_394791581578190848 x	I see the Eagles as 2.5 point favorites on Sunday? How?
16203515_393857086721118209 x	@KyleNeubeck 7 foot shot blockers gotta be more valuable than 6'7 energy guys.
16203515_393859312277544960 x	@KyleNeubeck I'm sure, just saying Gortat's skill set and contract situation is really positive. More interest I bet overall.
16203515_393808269866971137 x	$10,000 or best offer. http://t.co/3Tmf65hhHU
16203515_393421763646070784 x	I updated OSX. How long does that ?Optimizing Your Mac? thing run the upper right hand corner?
16203515_384403823147876352 x	So much for Jags +9
16203515_419573756106133504 x	Yikes lady. http://t.co/tu8jghrZSU
16203515_419090365778767872 x	@alexrolfe @petzrawr my parents made plenty of money, and their street in Delaware County was usually plowed three days after any storm.
16203515_419090894407872512 x	@petzrawr @alexrolfe (society hill is also a disaster)
16203515_418166966751600640 x	free buffet too while it lasts. Again address is 223
