1345192446_386255004560293888 x	Thanks @jerseygurl59 ya Bitch
1345192446_378630177179574272 x	@angelofmusic27  lmao Marcella's stalkin ur hubby
1345192446_388887292481650689 x	?@Dr_V_tweet: Time spent with old friends is a tonic for a youth and a reminder of who we really are.?@jerseygurl59  well said Dr V
1345192446_388845271183941633 x	She's getting ready #shameless fans http://t.co/T5xxz617tK
1345192446_388885493045526528 x	@TeamMonaghan  google images
1345192446_388845672583405568 x	@gallagher220 @ShamelessFrankG @ShamelessLipG @tvwritergirl
1345192446_388293782929948672 x	@jerseygurl59 - ?
1345192446_387583978125156352 x	Just catching up w/ RHONJ pt 1 reunion loving @Dr_V_tweet .... but Melissa Don't seem 2 feel the love
1345192446_386952046299344896 x	@angelofmusic27  Nooo
1345192446_386952618826039296 x	@angelofmusic27   She"s gonna have Jill on?
1345192446_386955683176120320 x	@angelofmusic27 what do u think of Dina Manzo only coming back if jaq is fired?
1345192446_386956999164182528 x	@angelofmusic27 if its all about family why don't she like Chris or Jaq?  Or Caroline? Lol
1345192446_386958226660806656 x	@angelofmusic27 neither did I ... Didnt know it was even on
1345192446_386958021366382592 x	@angelofmusic27 yea saw that, also read Dina was pissed at her fam b-c they didnt support her spin off show abt decorating?
1345192446_386956319384944641 x	@angelofmusic27 hah love Kim.., Kyle um not so much
1345192446_386954670897631233 x	@angelofmusic27 cant wait 2 see the new HW of BH
1345192446_386954498541096961 x	@angelofmusic27 idk tried skinny grl margaritas they sucked
1345192446_386951490973495296 x	@ShamelessLipG  ok let"s not get carried away it was a moment. Haha. #shameless
1345192446_386643922002661376 x	RT @ShamelessFrankG: You two are so kind! Thank you, #FrankGallagher always needs people who appreciate him! @gallagher220 @Dani_DesChamps
1345192446_386363899618287616 x	@jerseygurl59   Thank"s Gretchen but your late... Did it. Haha
1345192446_386356474005307392 x	Mean Girls: Big Brother 15 Edition [Trailer] http://t.co/mxyT9syF1I via @youtube
1345192446_386359597264801792 x	@YouTube @ElissaReillyS @RachelEReilly
1345192446_386359311766945792 x	@YouTube @TheRealAmandaZZ @aaryneliza @AndyHerren
1345192446_386351166432759808 x	@chelseahandler ... Do Turkeys have butter ball's ask @ChrisFranjola or @joshwolfcomedy #theydknow @jerseygurl59
1345192446_386266016952512512 x	Boring Friday night....
1345192446_386243712952840192 x	Thats sweet @Dani_DesChamps  as long as I have my @ShamelessFrankG  All is good??. He"s the best
1345192446_386244847134605312 x	@Dani_DesChamps @ShamelessFrankG  t/y how sweet
1345192446_386243922256994304 x	Haven't heard from @ShamelessLipG  lately he was my 1st follower and was super sweet #shameless
1345192446_386234146039021568 x	@Dani_DesChamps only opened acct for #shameless :)
1345192446_386236911565955072 x	@Dani_DesChamps  don't know much abt twitter only signed up after watching #shameless
1345192446_386237558797402112 x	@Dani_DesChamps only know how to RT and favor something...haha. Im learning
1345192446_386238403509231616 x	@Dani_DesChamps but thats ok no biggie
1345192446_386239086014771200 x	@Dani_DesChamps ship?
1345192446_386239458708045824 x	@Dani_DesChamps  yes :)
1345192446_386240334071877633 x	@Dani_DesChamps @TeamGallavich I follow them ;)
1345192446_386243312304545792 x	@Dani_DesChamps @TeamGallavich - no have no clue :|
1345192446_378632886381211648 x	@angelofmusic27  brendon ?  Rachels hubs?
1345192446_386240774981312512 x	@the_Meow_Meow_  word
1345192446_386240127330418689 x	?@the_Meow_Meow_: If the eye is closed its like there not even broke !!! http://t.co/FpJO8gXbe3?@jerseygurl59 lmao
1345192446_386238024788750336 x	@Dani_DesChamps that I do, just don't have many followers
1345192446_386232482896838656 x	@Dani_DesChamps @tvwritergirl   She is the best :)
1345192446_386233944787943424 x	@Dani_DesChamps really not great/ haha even good @twitter
1345192446_386233731344007168 x	@Dani_DesChamps @tvwritergirl   Yes she was one of my 1st 5
1345192446_386232283323437056 x	@Dani_DesChamps @DimitrisRose followed
1345192446_386232178214174720 x	@joshwolfcomedy @ShaneVictorino   Wtf!
1345192446_386232087080345600 x	@joshwolfcomedy @ShaneVictorino  Wait i thought he played for the Phillies??  #outoftheloop
1345192446_386217885288640512 x	It"s October & I still have my air on c'mon Fall
1345192446_385868818637402112 x	@jerseygurl59   Haha- Biotch :|
1345192446_385378006090661888 x	@angelofmusic27 - She is,  So I hear
1345192446_385029013695365120 x	@PrestonPohl  you were AMAZING they save the best for last
1345192446_384673892729909248 x	Hey @jerseygurl59 did u catch the finale of #RHONJ? Kinda boring... But love @richardwakile :)
1345192446_384470846964006912 x	RT @chris_manzo: Why are they talking about saving Texas? #rhonj
1345192446_383763633907720193 x	?@LifeAdviceLamp: If you're going out bring a fannypack to hold your swag.?@jerseygurl59
1345192446_383763436938993664 x	@SilentlyL0ud   Not at all :)
1345192446_383737545462661121 x	@iOS7ProbIems  haha
1345192446_383737298745327616 x	Not liking this new ios7 crap!
1345192446_383592602630893568 x	Gym time happy Friday :)
1345192446_383588609829634048 x	@mattpickel @AndyHerren   Wow immature!
1345192446_383588220996689920 x	@AndyHerren @mattpickel  Wow!   You should stop tweeting drunk.. ..  #looksugly
1345192446_383576751928250368 x	@ColetteLala  ~ just listened to my 1st ever podcast yest w/Amanda.... Very interesting ?
1345192446_383572487025754112 x	@jerseygurl59 @ShamelessFrankG  F*****  Ay
1345192446_383313136352514048 x	Shameless is only four months away #sixwords
1345192446_383317040045768704 x	@gallagher220  Extremely excited to see the Gallagher's #sixwords   Haha
1345192446_383310897466576896 x	Looking good @TonyDanza  Nice surprise u look great!  @katiecouric
1345192446_383308898947825664 x	Really wanna see #DonJon with @hitRECordJoe & @TonyDanza nice interview @katiecouric
1345192446_383274686970601472 x	@tvwritergirl  Happy Birthday ?
1345192446_383033190421889025 x	Sad 2 see Rupert be the 1st to go home #Survivor
1345192446_382849568888848384 x	@ShamelessFrankG @jerseygurl59 @tim1965   love it! Still cant believe someone drew all those w/chalk ?
1345192446_382849237790502912 x	@jerseygurl59 @markgirl   Thats it!  Nice body butters
1345192446_382849084954259456 x	@jerseygurl59 is that your Joe Pesci voice?
1345192446_382501571017588736 x	?@ReallyWILLKIRBY: Catch me on @TheDoctors today (09/24/13) discussing the most disgusting topic ever featured! @jerseygurl59
1345192446_382152633882259456 x	@jerseygurl59  um did u get my texts?
1345192446_381865129866166272 x	@jerseygurl59  ha ok no 1 down yet ?
1345192446_381864915084247040 x	@jerseygurl59 @tim1965 @AlfredBechard @ShamelessFrankG  Thats Amazing that someone did that w/ Chalk... WOW
1345192446_381864623374598144 x	@jerseygurl59 its there
1345192446_381634757660246016 x	@naomisterr   U should -  wow #nowords @ReallyWILLKIRBY
1345192446_381634474800582656 x	Wow just watched some of #BB2.   #BB15  should "All"  watch and learn from the best playa ever @ReallyWILLKIRBY  your hair??
1345192446_381633055552983040 x	@ReallyWILLKIRBY   You"re insane!   Where"s
1345192446_381632385450016768 x	@jerseygurl59 lovin ur avi
1345192446_381173796608425986 x	@ShamelessFrankG @jerseygurl59 @tim1965  **** like A week ago in my head ?
1345192446_381173438599417856 x	RT @shanolahampton: Well @SHO_Shameless fans, just finished reading first two episodes of Season 4 and all I can say is... It is going DOWN?
1345192446_381164761909837825 x	@Dr_V_tweet  good 1
1345192446_381163574682714113 x	@jerseygurl59  what happened?!
1345192446_380845972487938048 x	LovE  Watching James Lipton ~ Inside The Actors Studio (:
1345192446_380830811563757568 x	RT @EmmaRoseKenney: @SHO_Shameless Home sweet second home!! The Gallagher house....we're baaaack! ??? #shameless http://t.co/m11ZvR7Xzg
1345192446_380802868506554368 x	It"s all chatter & noise @jerseygurl59
1345192446_380526205466079232 x	Cya next Yr #BB16
1345192446_380524139129614336 x	@angelofmusic27  lmao
1345192446_380524965931786240 x	@angelofmusic27  I agree
1345192446_380524880728711168 x	RT @hamsterwatch: only Howard and Jeremy got a go out of the first five evicted.. also, David's hair needs its own chair #bb15
1345192446_380524097488556032 x	Oh shit @nickuhas  hope u have a restraining order or an engagement ring
1345192446_380519804794593280 x	@ShellyMooreBB13  Agreed :/
1345192446_380515046096650240 x	@ReallyWILLKIRBY - What are your thoughts about this season?
1345192446_380514347531124736 x	@ReallyWILLKIRBY  when u coming back 2 play?
1345192446_380513236317376512 x	@ReallyWILLKIRBY  - well done.... :)
1345192446_380512540553650176 x	Amanda not allowed to play in Candyland #BB15
1345192446_380512034154377216 x	@Johnmarc @DanGheesling  he is! @ReallyWILLKIRBY
1345192446_380468033229447169 x	@shanolahampton @SHO_Shameless  can't wait!!
1345192446_380467964728078336 x	RT @shanolahampton: We're back!!!! @SHO_Shameless! http://t.co/BZbCMF1kHI
1345192446_380467102349791232 x	@marcberman @ReallyWILLKIRBY   Everything #bestBBplayerever
1345192446_380466866579599360 x	@ReallyWILLKIRBY   Gonna b the best Finale ever @jerseygurl59 #BB15
1345192446_380466282665353216 x	@jerseygurl59 @ShamelessFrankG   My Fave pic!
1345192446_380466144240734208 x	@jerseygurl59 @ShamelessFrankG @tim1965  - love it!  Wow I miss the 80"s. ;)
1345192446_379813394876215296 x	Too much thinking today - g'night #fried
1345192446_379812672835158016 x	RT @sarahcolonna: I miss good old fashioned prank calls.
1345192446_379812484720640000 x	@sarahcolonna  me too whats ur #?  lol
1345192446_379811513915441152 x	@ShamelessFrankG  me shamelessness?  Naw never- ha! Love u back
1345192446_379810514408587264 x	Wow steelers really??
1345192446_379807140439138304 x	RT @CalfHighTan: @steelers me watching todd haleys offense #FireToddHaley http://t.co/dv2rF2hHGg
1345192446_379730125094678529 x	Car shoppings a B****
1345192446_379593031454052352 x	RT @IrishPubAC1: Congratulations to Miss New York!  Welcome back Miss America!
1345192446_379375696373907457 x	Battery dead :(
1345192446_378622127714598912 x	@angelofmusic27  I thought this would b trending by now?
1345192446_378634520360390656 x	@angelofmusic27  Damn I devolved a grl crush on Dr V
1345192446_378636773750235136 x	@angelofmusic27  She was the Dr they brought in to help w Rhonj @Dr_V_tweet
1345192446_379333960599236608 x	@angelofmusic27 @Dr_V_tweet   That's sad?  haha!
1345192446_379334203466194944 x	@angelofmusic27 @Dr_V_tweet ......You know I meant that sarcasticly right?
1345192446_379336410085728256 x	@angelofmusic27  so sad I just read about Brit Haynes baby grl :(
1345192446_379339475270107136 x	@angelofmusic27   I thought she was funny.....esp her DR's
1345192446_379368451800068096 x	@angelofmusic27  I have 2 get live feeds nxt yr :)
1345192446_379372105714118656 x	@angelofmusic27   I'm sure- but will I be able to go to work?  lol
1345192446_379373924234330113 x	@angelofmusic27  Ohhh nice, wow I'm so outta the loop :p
1345192446_379338508650815488 x	@tvwritergirl  Thanks for the head's up ;)
1345192446_379340522080329729 x	@tvwritergirl -try Zone Graham fudge flavor I think it is,,..ah-maaazing
1345192446_379342428395687936 x	@tvwritergirl --oops's I just looked it's fudge graham ;)   The Strawberry yougurt are good also...they come in 2nd  lol
1345192446_379339846130475008 x	No surprise Halloween's trending, Will Christmas be trending in October?
1345192446_379336219995697152 x	@angelofmusic27 - Id nev b able 2 get a needle in my lip- hate getting blood work done.... Its bad they use baby needle. hah
1345192446_379338998721695744 x	@angelofmusic27 ~ me either I kick & scream when they wan't blood.....
1345192446_379336568315854848 x	@EritreanSoldier- you can't handle the truth...lol
1345192446_379335220635267072 x	@angelofmusic27 Awe!  I'm sure it's not that bad.....ppl pay a lot of $$$ to look like Angelina
1345192446_379326553563627520 x	@britney_haynes  Praying for your precious baby girl #PrayForTilly ?
1345192446_379325132600516608 x	RT @PrayForTilly: @RachelEReilly RT this so people know about this page for #PrayForTilly and the support page? (https://t.co/R80fLf1gpA)
1345192446_379323559849779200 x	@ChitownBB  I agree good q's
1345192446_379322030245822464 x	RT @joshwolfcomedy: Just heard a receiver described as having "good short area quickness." That sounds dirty.
1345192446_379299293632679936 x	@ReallyWILLKIRBY   I think you should grill them in your Will Charisma :)
1345192446_379221903048974336 x	@weatherchannel  Prayers to All the families in CO? #prayersforColorado
1345192446_378991621498748928 x	@jerseygurl59  Have a great time @The Miss America parade.... :)
1345192446_378991134699454464 x	@ReallyWILLKIRBY @JulieChen @CBSBigBrother  - This is what makes me love Will,  great sense of humor ?
1345192446_378990052510294016 x	@ReallyWILLKIRBY @CBSBigBrother  Can't  wait. - gonna b #bestfinaleever
1345192446_378633824756072448 x	@angelofmusic27   I'm in tooooo deep w/ housewives. Survivor - jeff lewis etc can't keep up w/ my own reality. Wtf!   Hahah
1345192446_378634724027428864 x	@angelofmusic27  so does my friend @jerseygurl59  ?
1345192446_378637443588976640 x	@angelofmusic27 @jerseygurl59  Who Jeff from BB?  Or Jeff Lewis?
1345192446_378639930974814208 x	@angelofmusic27 @jerseygurl59  do u follow his photobombs?  #thebest
1345192446_378736816385708032 x	@angelofmusic27 @jerseygurl59 yes @JLJeffLewis
1345192446_378640105868886016 x	@angelofmusic27 @jerseygurl59  who Gage?  I think so
1345192446_378704129956544512 x	@angelofmusic27 @jerseygurl59   Zoila.  Lol
1345192446_378639612237074432 x	@angelofmusic27 @jerseygurl59  same love HIM!
1345192446_378625104743108608 x	Gonna be a rough few months! ?? http://t.co/huu1rOJbtl
1345192446_378635043188789248 x	@gallagher220 @tvwritergirl
1345192446_378634216315305984 x	@angelofmusic27   My faves r rhonj- and Bh
1345192446_378634096639242240 x	@angelofmusic27  did u like when they brought the players back as coaches??
1345192446_378633388451971073 x	@angelofmusic27  nev watched  AR
