768879625_398930809719369728 x	@mynamescodybarr great article
768879625_398314175342321664 x	Just rediscovered my love for Phoenix.
768879625_398271907717726208 x	My fantasy team is just unfair to the rest of the competition.
768879625_398214067644821504 x	@jesssica_leee Emily says "?"
768879625_398090418329772032 x	RT @stephhiester: Frank Sinatra is absolutely perfect ?
768879625_398089741461385218 x	?@EarthPix: Colorado http://t.co/VncU3Sc9Tn? WOW
768879625_397951071920062464 x	I am friends with a monster under my bed. #Cometh #at #me #Jennifer
768879625_397947073834016768 x	RT @RealTimHolder: I think the flyers are trying to get wiggins instead
768879625_397892159581728769 x	@EddieDunn53 yo I have to pick up my laptop before I go to the field
768879625_397882712075546624 x	@carlyguglielmo you got a problem with my roommate?
768879625_397845707518148608 x	@EddieDunn53 @Tyler_Harper13 hayman center. 11-4
768879625_397845489863127040 x	RT @BestEarthPix: Trinity College Library, Dublin http://t.co/Ba9OR9do0p
768879625_397841023147450368 x	RT @SportsCenter: Red Sox took out a full-page ad in St. Louis Post-Dispatch on Tuesday, tipping their cap to Cardinals fans. http://t.co/m?
768879625_397819369327452160 x	Let it begin ? #collegehoops http://t.co/B3fvdARYjz
768879625_397814125696671745 x	Gave blood and didn't cry #savinglivesandtears
768879625_397794622497624065 x	?@CoachBrianKelly: No place like it... http://t.co/srS3LuNmw9?
768879625_397784103950761984 x	Kids taking the shuttle from Neumann to Basils @onlyatlasalle
768879625_397744635747258368 x	RT @EaglesInsider: RT @Eagles: Canton's getting some new gear: @NFoles8's cleats, jersey & 7th TD ball. Take care of it, @ProFootballHOF ht?
768879625_397743781497548802 x	RT @SportsCenter: With 10 points tonight, LeBron will become 5th player EVER to score double figures for 500 straight games. Jordan holds r?
768879625_397563145814016000 x	@kevinMcDonnell6 @jslack4000 @Tslack0 @ginger_froboy no one could have done it better. There probably was not enough vulgarity used however
768879625_397550379954884608 x	My one cousin is tweeting vulgarity and my other cousin posted like 10 Instagram photos in a row. @JennFan95 @janinegraham13 #ashamed
768879625_397551163157278720 x	@janinegraham13 @JennFan95 that is enough from the both of you.
768879625_397527124892200960 x	@ginger_froboy we would be state champions every year.
768879625_397538775100039168 x	@Tslack0 @ginger_froboy wait I'll be at states not sectionals
768879625_397539176918556672 x	@Tslack0 @ginger_froboy I've got  two weeks to train
768879625_397545805990883328 x	@ginger_froboy @Tslack0 if @jslack4000 is your 3rd man, then penn tech will beat you
768879625_397546125529317377 x	@Tslack0 @ginger_froboy @jslack4000 wow can john run a mile in under 10 minutes now?
768879625_397546454043983873 x	@jslack4000 @Tslack0 @ginger_froboy oh I want it
768879625_397546906953342977 x	@jslack4000 @Tslack0 @ginger_froboy round 2. Holmdel. Bowl Mile.
768879625_397547312144076800 x	@ginger_froboy @jslack4000 @Tslack0 I have no car unfortunately.
768879625_397547799144714240 x	@ginger_froboy @jslack4000 @Tslack0 how about you drive to La Salle track and we throw down there.
768879625_397547112197398530 x	@Tslack0 @jslack4000 @ginger_froboy we are not soft.
768879625_397546617722523648 x	I am way too pumped for playoff club flag football tomorrow.
768879625_397545464054431745 x	RT @EddieDunn53: The quest for the City 6 flag football title beings tomorrow at 9:15. @Graham_n_Cheese
768879625_397538707747930112 x	@Tslack0 @ginger_froboy yes!!!!!
768879625_397528914639474688 x	@johnny_bravo56 @ginger_froboy correction. Camden catholic. Keep dreaming about beating Holy Spirit john
768879625_397535129822035968 x	@johnny_bravo56 @ginger_froboy maybe Maryland will provide you with better jokes
768879625_397526441254223872 x	RT @HistoryInPics: Frank Sinarta attempting the tablecloth trick http://t.co/TPm68wfYUS
768879625_397519485047156736 x	RT @_jennhelm: Anchovies ?? @Graham_n_Cheese http://t.co/XIAZDghRJS
768879625_397468071210008576 x	RT @CSNPhilly: 3 games into his NBA career, Michael Carter-Williams is Eastern Conference Player of the Week. How uncommon is that? http://?
768879625_397467615217868800 x	Happy Birthday @D_Hest23
768879625_397465301169995776 x	RT @MeganPGraham: I should probably be concerned if 6 birds have flown directly into my classroom window today, right?
768879625_397460230290030592 x	@EddieDunn53 let's gooooo
768879625_397452747869810688 x	RT @AndrewJAlbert01: Happy to announce that @ESPNLunardi will be on the show this week! Be sure to tune in.
768879625_397437309240745984 x	@EddieDunn53 Tomorrow. 9:15. We shock the world.
768879625_397345888655671296 x	RT @Michael_JHarder: "Mediocre people don't like high achievers and high achievers don't like mediocre people."
768879625_397218556280307712 x	How did he catch that???
768879625_397215044037279744 x	RT @johnny_bravo56: Sky rockets in flight ? afternoon delight
768879625_397210010989907968 x	I couldn't tell you the last time I checked the schedule of the 76ers. #showyaluv
768879625_397194385802416128 x	RT @Dan_Fishh: Next weekend isn't good for me...the Jonas brothers are in town
768879625_397192742797049856 x	My boys @geeryhance81 and @matteomatumbo shaving their heads fora great cause. #proud
768879625_397186429899800576 x	@JennFan95 @janinegraham13 Jenn preachhhhh
768879625_397181388530937856 x	RT @kevinMcDonnell6: If you put 100 bucks on sixers being 3 and 0 you would currently be up 27,000 dollars....
768879625_397178882673364992 x	RT @HistoryInPics: The real Winnie the Pooh and Christopher Robin, ca. 1927 http://t.co/AjfvFkSTsU
768879625_397162600645292032 x	RT @ginger_froboy: Salmon is a gift from god
768879625_397162368679292928 x	RT @KNegandhiESPN: Here's something I didn't think I would write this season- The NFC East went undefeated this weekend.
768879625_397149818214436864 x	I'm embarrassed to say that two weeks ago I would not have cared if Foles was cut from the roster. #PeytonManningwho?
768879625_397150400597741568 x	@scott10nolte don't kill my vibe
768879625_397154120463024128 x	@scott10nolte hot streak so far
768879625_397155458181779456 x	@scott10nolte yeah very young, but absolutely last game especially.
768879625_397152925619093504 x	RT @SportsCenter: Nick Foles leaves game, ties NFL record w/ 7 TD passes - 3rd man EVER to post 7 Pass TD, 0 Int in a game (Peyton Manning,?
768879625_397152851937730560 x	RT @AaronBuckley13: Why would you take Foles out. Let him break the record
768879625_397151143316717569 x	Put Foles back in #breaktherecord
768879625_397151015734370304 x	RT @ginger_froboy: The eagles qb bandwagon changes on a weekly basis
768879625_397124789959421952 x	WHITE BOYS GONE WILD #Celek #Cooper #Ertz
768879625_397120226875437056 x	Riley Coop having a game
768879625_397117436836999169 x	What a play
768879625_397112013593534464 x	Did the Eagles offense just score?
768879625_397081241335627777 x	Football and The Walking Dead #Sundays
768879625_397039578248675328 x	Ok daylight savings time... you got me good this time.
768879625_396824824087339008 x	A little Philly sports excitement... Sixers baby
768879625_396824414052184066 x	RT @GoFightinIrish: Retweet if you have Irish Pride until you die #GoIrish???
768879625_396800853946171392 x	RT @EddieDunn53: My name is. . .   Spaghetti.
768879625_396798042936197121 x	Rebelling against Starbucks' Christmas cups by only ordering cold drinks #dontrushmyholidays
768879625_396789046170906624 x	RT @caitrionabrady: It's 8 o'clock on a Saturday night and I'm ready for bed
768879625_396721597723475968 x	@Colan_10 @caitrionabrady oh no
768879625_396722159651131392 x	@Colan_10 @caitrionabrady this is no laughing matter
768879625_396689047072305152 x	@kevinMcDonnell6 @Tslack0 @ginger_froboy http://t.co/j9rMxKyeG8
768879625_396688639469813760 x	RT @GoExplorers: #LaSalleMXC Captures Atlantic 10 Gold! Greco Takes Individual Title  http://t.co/xzgcHLvEwY
768879625_396463465956904960 x	Mall cop & mailman http://t.co/Pgk6Tzd20m
768879625_396349349992865793 x	?@EarthPix: Lanikai Sunrise, Hawaii http://t.co/2Y8Rn5YKT2? ?
768879625_396347846150332416 x	Jack Johnson sings excellence.
768879625_396299808954396672 x	@RickSchroth can't come soon enough
768879625_396284993603108864 x	@carlyguglielmo Peter Pan and I gotchu
768879625_396289670617006080 x	@carlyguglielmo I'm dead ?
768879625_396289431042551808 x	@Tyler_Harper13 Go Caps
768879625_396239789999292417 x	Now starts Thanksgiving season, not Christmas.
768879625_396104404417667072 x	Tinkie Winkie, Hipster Basketballer Uncle Sam, and Peter Pan http://t.co/8M7fV6eY40
768879625_396097494943539200 x	I am a hipster, basketball playing, Uncle Sam.
768879625_396086075464368128 x	"I like Halloween" ~ wise words of my roomie
768879625_396031909576572928 x	"The world offers you comfort, and you were not made for comfort; you were made for greatness."
768879625_396021830907359232 x	RT @laurenalyse627: If you don't say trick or treat, please, or thank you when you knock on my door you're getting a fistful of mounds and ?
768879625_395991126915944448 x	RT @kathyg318: ???? @Graham_n_Cheese http://t.co/sind1lXAat
768879625_395927734444384256 x	RT @Vikings: Trick or Treat. http://t.co/Kmw6AgdK9X
768879625_395907790000357376 x	Happy Halloween. Give me your candy.
768879625_395905457405329409 x	RT @DDiMento: I can't even http://t.co/QpLXGGCKMl
768879625_395764346519031808 x	RT @Jim_Gardner: Someone said the Red Sox won the World Series tonight, Whatever. All I know is that the Sixers beat the Heat, and a new st?
768879625_395759896698032128 x	Caught boney1024 sleeping #mischiefnight http://t.co/GU9Y0HkRNT
768879625_395752806608805888 x	Can't imagine that feeling. #chills
768879625_395746379337072640 x	Sixers are winning it all, guaranteed. #doitforAI
768879625_395673302343372800 x	There is lazy, then there is 50 ft of dirt, and then there are students here.  ?
768879625_395658936353038336 x	@caitrionabrady you are stressing way too much. Have fun with it.
768879625_395661105630289920 x	@caitrionabrady chilllll. Enjoy senior year.
768879625_395659054141693953 x	RT @SportsCenter: The great Allen Iverson: - 11-time All-Star - 26.6 PPG (6th all-time) - 2000-01 MVP - 1996-97 Rookie of the Year http://t?
768879625_395658684531240960 x	U2 #irishpride
768879625_395633461878595584 x	I will forever remember my AI slip-on loafer basketball kicks.
768879625_395604608858718208 x	RT @UberFacts: The Bible is the world?s best-selling book and is also the world?s most shoplifted book.
768879625_395597484422356992 x	RT @lipssmo: As I have been told my entire life,  "If you're gonna be dumb you better be tough."
768879625_395570749584723968 x	You bet your mother's socks it is.
768879625_395540289441775616 x	@johnny_bravo56 your tweets make people deactivate accounts
768879625_395545649514835968 x	@johnny_bravo56 hahahaha
768879625_395519025142595584 x	Sweater Weather
768879625_395385348655964160 x	@RickSchroth and Halloween weekend. Does it get any better?
768879625_395385820779380738 x	@RickSchroth if @johnny_bravo56 was home
768879625_395385555753922560 x	RT @johnny_bravo56: Frank Sinatra always sounds better later at night ?
768879625_395383917945298944 x	RT @Dan_Fishh: Oh how glorious it was http://t.co/Qyvxm5sexP
768879625_395379523803693056 x	Call me the Peyton Manning of flag football.
768879625_395311158892437505 x	RT @sugaashane2: stop comparing and appreciate the greatness #nba #kingjames
768879625_395304489676451840 x	@scott10nolte @Colan_10 Lebron will single handedly beat everyone
768879625_395273015417905152 x	@Tslack0 @johnny_bravo56 hey Kyle joined that club with me
768879625_395284394094886912 x	@Tslack0 @johnny_bravo56 it's a bad club
768879625_395244502254100480 x	#confession I used to fake fall asleep in the car, so my father would carry me into the house. #toolazy #lovethatman
768879625_395220594121523200 x	RT @johnny_bravo56: Missing #trackislife @Graham_n_Cheese @Tslack0 #throweroftheyear #stevegetshawked #timsvideos
768879625_395186802736496640 x	@johnny_bravo56 what!?
768879625_395187886351720448 x	@johnny_bravo56 ?
768879625_395175118282190848 x	RT @KacieFOX29: Happy 5-years-ago-Phillies-won-the-World-Series Day!
768879625_394943587705565184 x	@Jim_Gardner I became a weather reporter http://t.co/0PIEzvfVXq #6abcsandy
768879625_394903586658066433 x	RT @ScooterMullin: @henrygrabbe @Graham_n_Cheese REAGAN BUSH 84
768879625_394888447548485632 x	@henrygrabbe @ScooterMullin I wish I could chime in on that conversation.
768879625_394855757432500224 x	I wish I had a cool falcon that just chilled on my shoulder all day.
768879625_394667353004584960 x	Just taking it in @lipssmo just followed me. #nightmade
768879625_394673241845137408 x	@lipssmo it's a Sunday night and I'm studying for an exam on how to have a conversation.... Finding a nickel on the ground could be exciting
768879625_394683412948471808 x	@lipssmo yo do you want to film/ interview with me on Tuesday night for the basketball movie showing? Cody sent an email about it
768879625_394652356467752960 x	RT @MLB: The entire ballpark rises as one, standing up for @Su2c.
768879625_394643135164596224 x	Daryl killed a zombie by hitting the gas pedal and shredding its face with a rotating tire. #Killoftheyear
