380717134_396783877810696192 x	Motorcycle shopping
380717134_390861002910478336 x	Can't wait to switch back to @VerizonFiOS when I move...wish I never had to leave them in the 1st place..#greatservice
380717134_390872404333170688 x	@VerizonFiOS I had to switch to Xfinity because fios was not available..was a horrible transition and I'm moving in Dec to get fios back
380717134_390852961897037824 x	@975TheFanatic hey cowboys the 90's were a long time ago!
380717134_390849415810146304 x	Why didn't Greg Salas make active roster? Now he's with Jets..thought he had upside TonyBrunoShow @JoeYounes975 @HARRYMAYES975
380717134_390691971205177345 x	Wait we let Greg Salas get signed by the JETS?? I thought he was spectacular..should've been in starting lineup!! #eagles #eaglesnation
380717134_390690314132148224 x	RT @KiddKreative: Serious artists don't complain about a designers prices. You get what you pay for.
380717134_390645479597281280 x	For your LeBron update of the day @TonyBrunoShow @JoeYounes975 http://t.co/JwaOqG6OSB
380717134_390623376357998592 x	Son asleep, wife at nursing school..it's just my daughter and I in the kitchen doing what we do best...eat!!
380717134_390605555381071872 x	RT @KiddKreative: Need a mixtape cover or flyer design done? http://t.co/wcH39SDHLI
380717134_390550457695100928 x	This @johnlegend album "love in the future" has been on constant repeat #classic #good
380717134_390494077286105089 x	Who will win more away games.. Foles or Royce white (76ers) @TonyBrunoShow @JoeYounes975 @HARRYMAYES975
380717134_390479244864004096 x	@KiddKreative I missed it...what was it about? The story on parenting by the news
380717134_390453245115908097 x	Happy Boss Day to all my entrepreneurs out there! This ones for you #toast
380717134_390303362216108032 x	Seen somebody get a bum bump at Love Park in center city lol tricked them into taking their pic at the Love sign @KevinHart4real
380717134_390300901954830336 x	@KiddKreative I just looked at his profile pic and lost it...I lost some weight tho lol
380717134_390300759063285760 x	@KiddKreative @BustaRhymes Lmfao
