368586289_395362208944627712 x	NYR get it out Stralman!
368586289_395339763663646720 x	Big shot by Girardi, and Hagelin draws a penalty. His flow is too much for Okposo
368586289_395339318434091008 x	RT @JessicaVarsity: Epiphany: I am going to start saying biatch again. I'm not even sure why the fuck we ever stopped.
368586289_395339245956513793 x	RT @joshgreenman: The Internet is awesome. http://t.co/sZWwhjg6xV
368586289_395338729021128704 x	I like Anson Carter's POV
368586289_395336718573789184 x	RT @lgbk44: YES I got all 3 voice messages MOM- "Happy National Cat Day" to you too
368586289_395336456006160384 x	RT @YahooPuckDaddy: Cam Neely vs. Ulf Samuelsson and the brutal history of Bruins/Penguins rivalry:  The Pittsburgh Penguins and B... http:?
368586289_395335642319949824 x	RT @NYRangers: The lone first period goal: Kreider his first of season from Richards and Stepan, on the power play, at 12:30  #LGR
368586289_395335517002555392 x	RT @stevezipay: NYR hang on to 1-0 lead after 20 minutes. Isles had pressure in last few, outshot NYR 9-4
368586289_395335045646258177 x	End of 1st, NYR up 1-0. Pretty good defensive effort so far, keeping Isles good chances to a minimum.
368586289_395334582926835712 x	RT @NotJPo: Ugh, it?s so tiring being psychotic
368586289_395333726386671616 x	RT @JAGD94: DZ with his patented give away!
368586289_395333717779939329 x	RT @Mr_Blueshirt30: You're scaring me MDZ....
368586289_395333628944986112 x	Del Zotto with a turnover near the net
368586289_395333230980632576 x	RT @UndeRadar: Kreider-Stepan-Zuccarello having some fun in the offensive zone. Lots of player & puck movement. Kreider leading the way. #N?
368586289_395333112684482560 x	RT @Garts2point2: Kreider-Stepan-Zuc buzzing... These guys seem to have some instant chemistry. Good combination of skills.
368586289_395333090622439424 x	Stepan line dominating the Isles 2nd line
368586289_395332864340131840 x	RT @thehazelbelle: Talbot denied Vanek his piece of cake. Rightly so. #NYR
368586289_395332822694912000 x	@JFigs25 word!
368586289_395332714402156544 x	RT @DHSpeedwagon: Leafs and Oilers tonight. I'm cheering for a roof collapse...in the mother's basements of both team's bloggers.
368586289_395332670282289152 x	Kreider & Co swarm the net
368586289_395332411099058176 x	key 2nd save by Talbot on Vanek, where he makes his money around the net finding glimpses of opportunity
368586289_395330168249544704 x	Isles PP is 2nd in NHL
368586289_395332198871470080 x	@TaylorPylon very good point. Still, they have some other PP weapons. We'll see if Vanek produces for them.
368586289_395331573803122688 x	RT @nynjhockey: Chris kreider it's a power play goal
368586289_395331533344886784 x	RT @Danno2430: The roar any time the Rangers score a goal at the Coliseum will never not be awesome. It'll be pretty great in Brooklyn too.
368586289_395331491737403392 x	RT @cupcake_617: YESS KREIDER!! well deserved baby
368586289_395331447797854208 x	RT @AGrossRecord: Rangers convert on the power play to take a 1-0 lead at 12:30 of first.
368586289_395331429049303040 x	RT @swagelin: HEY HEY HEY HEY HEY ?
368586289_395331388276486144 x	Kreider hanging around the net, shows strength and some poise on the PP goal
368586289_395331160907079681 x	Yes Kreider! 1-0 what a fucking relief!
368586289_395331052127789056 x	NYR PP can we score! 4 shots over 5 PP in last night's debacle
368586289_395330903720751104 x	Isles with two quality chances of their own on 4-4
368586289_395330626435289088 x	Pyatt draws a penalty for a change
368586289_395330401230520321 x	Great Pyatt is on
368586289_395330119771754498 x	And once again, the shift after an Off surge is followed by a penalty
368586289_395329954143281152 x	Stepan the Zuccs with two quality chances. Stepan has to score there.
368586289_395329614798524416 x	The Isles just did what we need to be doing: throw it on net with traffic in front
368586289_395329035099590656 x	Feeling each other out, NYR with no SOG yet
368586289_395328718971092992 x	6:28 of the 1st, no score, but good pace to the game, lots of back and forth. No big turnovers to speak of yet. #NYR
368586289_395326824160706560 x	Stepan with Zuccs and Kreider
368586289_395326581050056705 x	Let's go NY Rangers. Richards at Center
368586289_395317671735984130 x	RT @pegneck: Such a beautiful picture...... Utterly stunning Paris http://t.co/5YRenRiB82
368586289_395317562503749632 x	RT @jnrbtsn: Ferris Bueller's Day Off came out 27 years ago in case you need another reason to drink.
368586289_395317223289405440 x	RT @KatieStrangESPN: #NYR #isles Warmups underway here at Nassau Coliseum. Cam Talbot to start for Rangers. Carl Hagelin makes season debut
368586289_395317104443801600 x	RT @CoachsCornerCBC: 1) Ben Scrivens, Toronto's gift to LA, in 3 games has a better average than Quick. Scrivens .939 and Quick .907 and Sc?
368586289_395250700059308033 x	RT @TheNYRBlog: I'm telling u right now, if NYR win tonite w Talbot in net & I hear any1 say he should replace Hank u will b blocked: http:?
368586289_395230319801925632 x	RT @HockeyRodent: That said... if any of you DO jump off the ledge...  Can I have your stuff seeing as how you won't be needing it any more?
368586289_395230230480035840 x	RT @HockeyRodent: Don't get me wrong(ly).   If - come xmas - NYR is still where they are today...I will roast Penn Plaza as only a small ar?
368586289_395229205916426240 x	RT @AGrossRecord: Jesper Fast has been re-assigned to Hartford (AHL). Very strong sign Carl Hagelin will play tomorrow night vs. Isles.
368586289_395229086575886336 x	RT @AGrossRecord: Carl Hagelin, who makes his season debut tonight off LTIR, on the ice.
368586289_395229015100755968 x	RT @AGrossRecord: John Moore off ice before Justin Falk.
368586289_395228998848217088 x	RT @AGrossRecord: Pyatt off the ice before Mashinter.
368586289_395228938869280768 x	RT @AGrossRecord: Confirmed: Cam Talbot is the #NYR starter tonight vs. Islanders.
368586289_395044072353562624 x	RT @milehighocd: My ideal woman is one who doesn't try to change me by force, but through suggestion.
368586289_395043967391129600 x	RT @angel_savant: Pick a position between 0 and infinity.
368586289_395042399790972930 x	@BeingUncosmo Pale Blue Eyes, Lou Reed, Velvet Undergrund http://t.co/62x7sgTNJ6
368586289_395036689304797184 x	RT @KatieStrangESPN: #NYR Rangers G Henrik Lundqvist on MTL's second goal, upheld after review: "If that's not a kick, I don't know what a ?
368586289_395036100172853249 x	RT @marinabanana101: Hardest thing in life, letting go of what you thought was real.
368586289_395036050415841280 x	RT @HilariousTed: Unlimited texting.....with nobody to text ??
368586289_395034870893666304 x	RT @wyshynski: New Puck Daddy: Capitals? Steven Oleksy breaks skate blade, then things get really awkward (Video) http://t.co/FLNchJpmFP
368586289_395031974286348288 x	@joshkhalfin Pale Blue Eyes, Lou Reed, Velvet Underground
368586289_395033846401728512 x	@joshkhalfin I posted audio of it
368586289_395034680006692864 x	@joshkhalfin after that game...it calms
368586289_395033295273988097 x	Pale Blue Eyes -Lou Reed, Velvet Underground http://t.co/62x7sgTNJ6
368586289_395030655324528640 x	RT @BlueSeatBlogs: So my entire post tomorrow was about how Hagelin coming back likely means Mash to AHL and could mean Pyatt to bench
368586289_395029839691776000 x	RT @JohnPiccini: Come on Cally and Lindros, umm,  I mean Nash!  Get healthy already!
368586289_395029797086056448 x	RT @__Shannanigans: There's not a damn thing sexy about a man who doesn't keep his word.
368586289_395029733731102720 x	Where is our spiritual leader @RangersJesus?
368586289_395029268033703936 x	@BroadwayBlue didn't Habs score on Boyle penalty?
368586289_395026255449706496 x	RT @PLeonardNYDN: #NYR sends Fast down to AHL tonight. This is happening because Carl Hagelin will return to the lineup 2moro, tho AV won't?
368586289_395025127579983874 x	I hope speedsters Hagelin and Grabner play tomorrow.
368586289_395021948125978624 x	@UndeRadar Agreed, unless Richards has a 35 G year
368586289_395023329926459392 x	@UndeRadar at least we had ample opps and played hard, tho Habs found their game as it progressed.
368586289_395022877873164288 x	Shout out to the former follower I blocked today for cursing at me when I lightheartedly laughed at a 4-1 NYR win prediction.
368586289_395021561133936640 x	RT @TeachersHot: Can someone please pass me the fucking Xanax?
368586289_395021492464795648 x	@kfraserthecall Thanks for articulating the rule-based interference call on Kreider #NYR
368586289_395020836685369344 x	RT @omgjordytbh: @DiehardNYRFan you rn http://t.co/CkEyh075sr
368586289_395020772252450816 x	RT @IAM_SHAKESPEARE: FABIAN. O, peace, peace!
368586289_395020758142816256 x	RT @bklynjoker90: if you honestly thinks this team sucks do us all a favor and turn in your fan card and go root for somebody else
368586289_395020552298962944 x	RT @toughkittenKat: Oh that explains it. http://t.co/wiUhL0mo5S
368586289_395020415736631296 x	RT @TweetsOfGrass: Rub to me with your chafing beard . . rub to my breast and shoulders.
