266340427_322911886263869440 x	? ; Seven Silvasy. Purchase "Sunday" @cdbaby http://t.co/v8l9aVAesF
266340427_355846953743036416 x	SO TRUE!?@TheSingleWoman: Passive aggressiveness is like handing someone a bun w/just ketchup&mustard on it. Seriously Just STATE YOUR BEEF"
266340427_354500984833187842 x	"Sometimes it's the smallest decisions that can pretty much change your life forever." #Felicity #FelicityPilot
266340427_353611314876264448 x	"wow so did somebody have a great late night?" he asks... "ohhhh yeaaaa" ;-)  hehe  :-x
266340427_353607554879852548 x	@kmdrkode Hey sweetie "morning for me" = late afternoon! Sorry! PM me, and let's catch up, ok? :-)
266340427_353606367749210112 x	?I?m like that. Either I forget right away or I never forget.?  ? Samuel Beckett, Waiting for Godot
266340427_352995002839871490 x	@kmdrkode awww thanks! We definitely have to catch up! My fault But let catch up this week ok? How's the 4th in the happiest valley? ;-)
266340427_352992770392203265 x	#ProudToBeAnAmerican  'I?d thank my lucky stars, to be livin here today 'Cause the flag still stands for freedom&they can?t take that away!'
266340427_352991704451776512 x	#happy4thofjuly #Philly 'If tomorrow all the things were gone I worked for all my life&I had to start again, with just my family by my side'
266340427_352762390678478849 x	Not really sure how to feel about it Somethin in the way u move Makes me feel like I can?t live w/o u Takes me all the way I want u to #STAY
266340427_352634869228126210 x	@MBP11luvr75 that boy doesnt know who he's dealing with :-P I don't chase anyone! He get it done or get going
266340427_352631631938465793 x	@MBP11luvr75 haha ohhhh jeez yep tell that boy to get on it lol
266340427_352630293091450880 x	@MBP11luvr75 haha I know I've been MIA.... Tell Him to hit me up! Dont get me wrong...you can too...if you're not too busty hehe :-P
266340427_352629015179304964 x	@MBP11luvr75 hey is Ra'zon around?
266340427_352624379550646273 x	RIP Happy B-day/Rescue Day as today would've been for my Pepe #IHopeYouDance was his song 'whenever 1 door closes I hope 1 more opens&Dance'
266340427_350502201665396736 x	DISGUSTS ME-adults who use meaningless threats to intimidate adults (even1/2their age) as if have a RIGHT! This IS America! HOME of the FREE
266340427_349393495783510016 x	"Now I'm all alone again Nowhere to turn Without a home Without a face to say hello to Now the night's near&make believe he's here" #onmyown
266340427_347136851959754754 x	Aw this was the video that made me name my"Pepe Le Pew"jumped in my lap&was the little Charmer Kees Kees ;-) http://t.co/HxAbQM5lyB
266340427_345734988664291328 x	@TCarterMusic Tony wanted2let u know how much love 'This Ring' You=TALENT+! Pls keep me in mind if u need female vocalist 4 demos, a duo etc
266340427_345740030926524417 x	?@TCarterMusic: @SevenSilvasy many thanks! I will keep you in mind" Awesome you can hit me SevenSilvasy@gmail.com or PM Hope we connect! ;-)
266340427_345725804203876352 x	@kmdrkode Aw thanks I've always rescued dogs&there was 1 other(sable collie)SO hard but w/Pepe MUCH worse.Dogs should out live US-this sucks
266340427_345714236313440256 x	Rest in Peace Pepe Le Pew In '09 rescued him from abuse&neglect yet he still had a HEART of GOLD! Send Prayers&LOVE<3 http://t.co/QQOgg8BqBE
266340427_345103699091271680 x	Awww my Pepe Le Pew is in ICU :-( http://t.co/HLrD7FNSin
266340427_344988056312496128 x	Trip to CARES after 10+ vet visits past 2wks truly killing me"Nothing in This World will Ever Break My Heart Again" ?http://t.co/s9EdyOoOl2?
266340427_342520053012512768 x	LOL not sure HOW got "sidetracked" but just found THE MOST AMAZING flight deal TO Maui-Kahului!  1st week September+some  ONLY $316!  WHAT?!
266340427_341074806558568448 x	Not really sure how to feel about it Somethin in the way u move Makes me feel like I can?t live w/o u Takes me all the way I want u to #STAY
266340427_339869958278377472 x	?@Nashville_ABC http://t.co/s9EdyOoOl2? Missing my Pepe&song stuck in my head all day "Nothing in this World will ever break my Heart again"
266340427_339853175601385472 x	I miss my Pepe baby so much :-(
266340427_339532905158164480 x	I can't stand leaving the vet with a collar, leash...but NO doggie. My poor Pepe baby....absolute worse feeling :-( http://t.co/Fvxbypimpl
266340427_339364657049505792 x	?I?m like that. Either I forget right away or I never forget.?  ? Samuel Beckett, Waiting for Godot
266340427_339362978359029761 x	When it rains it pours... good thing no previous drought....nor any in the foreseeable forecast ;-)
266340427_336594843809751041 x	I know I might get some haters for this... But Boston SUCKS (at least right now...) though I guess I mean the people not the city...
266340427_334754507735064576 x	Boston's raining on me again & I swear this happened in the exact spot like the same time last year. No umbrella then & none today CHANCES?!
266340427_333778438068518913 x	@kmdrkode "though talking w/alumnus PSU @SevenSilvasy might be even better :)"  Might be better? Hehe I think I knocked your cleats off! :-P
266340427_333484465143828482 x	@kannonradio Hey sweetie got my hat n boots ready ;-) do I need anything else?
266340427_333721437510717440 x	?@kannonradio: @SevenSilvasy a fun attitude that's it!? Well come on...you already knew THAT is a given! :-P
266340427_333695642994102273 x	Everyone knows I absolutely LOVE being mommy to my 4-legged baby but I would love to be a "Mom" in the future    too http://t.co/QONwLOxufu
266340427_333694486150512642 x	RT @HuffPostDC: Happy Mother's Day! Here are adorable photos of baby animals with their moms!  http://t.co/be1zPT9CNr
266340427_333590943502573568 x	Admit I've come 2 LOVE many#songs but this is latest can't get outta my head since heard it Gun for a Mouth - http://t.co/vvhn3DmoUh #iTunes
266340427_333525613476454400 x	"But you?re not the only one with a gun for a mouth No you?re not the only one With a Gun for a Mouth... yea yea yea yea yeah" #GunForAMouth
266340427_333525060956602369 x	"Found a girl & I gave her a Ring She was everything I?m looking for It?s over now & this is how I lost the War..." #GunForAMouth #Nashville
266340427_333480136345284608 x	Who's still out and wants to party? ;-)
266340427_333451055197208576 x	?@captunes: #music #iTunes #TopCountrySong 98: Gun for a Mouth - http://t.co/2dCCvYEa4Q?  "Gun for a mouth" 100% stuck in my head lately :-)
266340427_332681066492080128 x	@MEMCEMX You've been MIA for a bit...hmm should I send a search party? Or r u under the hood w/that damn possum? :-P http://t.co/c2TfMMHheM
266340427_333025500798779394 x	?@MEMCEMX: @SevenSilvasy I hope not attached to that varmint, if I see it, I'll kill it lol? aww but I really do a killer possum impression!
266340427_332586575038918656 x	#CantBeInARelationship If u run 4 the door soon as time get tough Either you're in it good&bad OR be honest w/yourself&don't be in IT at all
266340427_332590438903074816 x	?@Robby1M: @SevenSilvasy i only run if there is only 1 egg roll left at the chinese buffet !   is that okay?? HAHA ok but just that time :-P
266340427_332707110112591872 x	@Robby1M LMAO well do you mind if I ask....how often does that happen? Hopefully not that often!!! Haha ;-)
266340427_332709981700882433 x	@Robby1M read a few of your tweets..pro at Charm & humor! "Good guys"CAN be"cool guys" contrary to poplar belief. But...how quick can u run?
266340427_332716872724271104 x	@Robby1M no offense...as an egg hard for me to imagine you running fast even if chased by an angry woman! Humpty...roll...splat?! Oh no! :-x
266340427_332877461786341376 x	?@Robby1M: @SevenSilvasy i'll be bothering you later, i think this will be fun!?  Can't wait! Let's get ready to rumble!!! Bring it on! ;-)
266340427_332876906670198784 x	?@Robby1M: @SevenSilvasy  i underestimated the lady in that photo? NEVER underestimate..esp me!Could come back to bite u in the ass Haha ;-)
266340427_332722927508275201 x	?@levie: 30 years before the iMac, there was this bad boy:http://t.co/2mCo7rk3XK? Still works as gr8 as iMac Just change ribbon now&then ;-)
266340427_332716033351757824 x	RT @jack: ?You know you're in love when you can't fall asleep because reality is finally better than your dreams.??Dr. Seuss
266340427_332624516922621952 x	RT @MyKindOfMan: My man will be so amazing that we could be living in a dump and I'd still be the happiest girl alive just because I'm with?
266340427_332624382566469632 x	RT @TexasGentMan: #ToMyFutureWife I'll be your silly hubby with you, but I'll always be the man that will protect you no matter what.
266340427_332600897286840320 x	@HonestSingleGuy Love the follow! Love your tweets! And gotta love the traps! 100%  ;-)
266340427_332599310581645312 x	@MBP11luvr75 @mattbarkley @eagles  To finish that last sentence... "play bad...and well...you'll be showered with "brotherly love" hehe ;-)
266340427_332580311034646530 x	"Life becomes easier when you learn to accept an apology you never got"? - Robert Brault
266340427_332579736855388160 x	"Life becomes easier when you learn to accept an apology you never got"  - Robert Brault
266340427_328303896294486017 x	@UniteSuperDudes  Hey guys, Thanks for the follow! And for being the super dudes you are lol ;-)
266340427_332069572985376768 x	?@UniteSuperDudes: @SevenSilvasy Thanks for the follow. We enjoyed the music!? Thanks guys!! So glad you love my music! Spread the word! ;-)
266340427_330863178634379266 x	?@football_danny: @SevenSilvasy  Will You Marry Me? #LifeWouldBeAlotBetterIf? 2nd option 'Tiffany Novo Ring' Hehe let me know ok? Love u ;-)
266340427_330859662868090880 x	"@football_danny: @SevenSilvasy  Will You Marry Me? #LifeWouldBeAlotBetterIf" Wow move fast? Tiffany Legacy Ring ;-)
266340427_330813482402451456 x	RT @Singlegrlprob: Who needs a man to play with on a Saturday night when you have the Tiffany & Co. Engagement Ring Finder App? #singlegirl?
266340427_330810590316609536 x	RT @TiffanyAndCo: Watch highlights from last week?s swellegant #TiffanyBlueBook Ball: http://t.co/Za0whXT76V
266340427_328335214122254336 x	RT @FollowThisDuck: 99% of my socks are single and you don't see them crying about it
266340427_328323411342405633 x	"Fine = NOT fine  Do what you want. = DONT do it  I'm done. = FIGHT FOR ME!"  #girlcode  & men complain we don't come w/a manual?! Hehe ;-)
266340427_328321112226283520 x	?@TheGirICode: When my bra matches my underwear i really feel like i have my life together?  Soooooo True ;-)  #MTV #GirlCode
266340427_328315107878772737 x	Some reason everyone thinks big boobs solves world problems.The other girl's reply 'I got big boobs&I still got probs!' <3 MY DD's #GirlCode
266340427_328311622005309440 x	Haha #MTV #GirlCode on drinks "Beer will get you drunk & bloated, Wine will get you drunk & the runs, Tequila will get you drunk & pregnant"
266340427_328183542523764737 x	"Too young too dumb to realize" #BrunoMars  Yep unfortunately YOU WERE... "when you were MY man"  oh well=YOUR LOSS
266340427_328168105987690497 x	"Take u to every party cause all u wanted to do was DANCE..  Now my baby is dancing, but she's dancing w/ANOTHER MAN."  #BrunoMars
266340427_328165588818096128 x	"Too young too dumb to realize That I should've bought u flowers&held your hand Should've gave u all my hours when I had chance" #BrunoMars
266340427_325598155532034048 x	RT YEH BOS ?@Boston_Police: CAPTURED!!! The hunt is over. The search is done. The terror is over. And justice has won. Suspect in custody.?
266340427_324334050447855616 x	?@mayortommenino We are Boston We are one community We will not let terror win.http://t.co/FBcVfZedmp #oneboston? VERY Passionate about this
266340427_323928251753967616 x	Omg my heart & prayers are with EVERYONE in the Boston area today.. Family, friends etc I can't even imagine the devastation #BostonMarathon
266340427_323798049761681409 x	"Sunday" @ iTunes NOW AVAILABLE Check out, Comment, Download, & Please Remember to Spread the word! ;-) Love, Seven https://t.co/cnyDF087e7
266340427_323756528081448960 x	"If I could find a real-life place that made me feel like Tiffany's-then I'd buy some furniture&give the cat a name" http://t.co/56MLhqCtFC
266340427_323629934000099328 x	2 chameleons shopping for paint... Wife: So what about THIS color? Does it say Dazzle?Modern? Chic? Husband: um I think it says"Blue" #lowes
266340427_323623788665266176 x	I spent 40k on shoes& I have no place to live? I'll literally be the old woman who lived in her shoes! #sexinthecity http://t.co/5rjgAtV4ej
266340427_323620177763766272 x	#Cinderella  ?Things don?t happen like this in real life... I just think you should know that now"  #sexinthecity http://t.co/ifaaI8Zn57
266340427_323619299497480192 x	"She was a smart girl till she fell in love" #sexinthecity   Later... "If I met me now...I wouldn't even know me..." http://t.co/9BwfhjZULB
266340427_323584780774023168 x	RT @23z0mbies: @bitchbrunette "If we're into you, we're coming upstairs." let us honor the original! #HesJustNotThatIntoYou http://t.co/ ...
266340427_322842222112407554 x	?@kannonradio: Yep...my drink and straw matches my shirt. Planned it. http://t.co/OzF7jsBxpp? Btw love the entire hot pink ensemble Sexy ;-)
266340427_321573367973044224 x	@kannonradio Hey sweetheart! You know what I would LOVE to hear right now? 'Hey it's Kannon w/a K' :-P  Btw...Where's my hot sauce gift?
266340427_321488831410999297 x	@MACPaparazzi @macpageants  Also thanks 4 follow!Keep in touch!You know me...let me know if u need a judge & a performer...& POOF I'm THERE!
266340427_321486553845227520 x	@MACPaparazzi @macpageants  Hi Patty! Guess u saw changed my 1stname but Silvasy last name-always memorable! So where's the PA queens?! :-)
266340427_321333017324945408 x	?@jack: My dining experience a few nights ago reminded me of this video. http://t.co/ACyNfkSnlD? Seriously laughed my ass off! You rock! ;-)
266340427_321316562822914049 x	"Home" NOW available for PURCHASE at the iTunes Music Store!  My fans are THE BEST & I LOVE YOU ALL! ;-) https://t.co/FSG9y9ADry
266340427_320618670017613826 x	Hey seeking(again) fellow songwriter/guitar man 2 write with. Pop/Rock/Acoustic/Country Hit me SevenSilvasy@gmail.com http://t.co/Tza8KARzHd
266340427_320404981687656448 x	"Home" NOW available for PURCHASE at the iTunes Music Store!  My fans are THE BEST & I LOVE YOU ALL! https://t.co/FSG9y9ADry
266340427_319086117494333442 x	What a BEAUTIFUL morning at BOS!!!! ;-). Love it!!!!
266340427_318114338495938560 x	@MEMCEMX  ....but then again I also think I left my limo in a similar spot...?! ;-)
266340427_318123318895054848 x	?@MEMCEMX: @SevenSilvasy you, know, I remember the sunset there, I'm not so sure about the limo though?Lol?I DO know that sunset!Thought so!
266340427_318114126855536640 x	@MEMCEMX Random question (arent mine always?!) do I know that sunset?  It looks familiar...
266340427_317629511300694016 x	@MBP11luvr75  By the way....I heard Ra'Zon "likes the WILD ones"...tell him to hit me up. See if he can keep up!
266340427_316772214638784512 x	Happy Birthday to me ;-) http://t.co/1Q7HCtb7bn
266340427_317149627184971776 x	@MBP11luvr75 awww thanks sweetie! Let me know a good time for us to catch up so you can update me about stuff! Hope all is well! :-)
266340427_317628909627777025 x	?@MBP11luvr75: @SevenSilvasy You can imagine how busty i am.? LMAO I'd LOVE to see you TRY to beat my DD's! hahahaha seriously! :-P
266340427_317627796245585920 x	I bring the action ;-) This weekend I'm gonna scream and shout...and let it ALL out....!  Happy Friday Gonna last all weekend!
266340427_303890838122020864 x	?@thegooglefactz:About 10% of the population is left-handed.?Yes& I believe we're more creative using the right side of our brain more often
266340427_303037521972043776 x	A crazy Saturday night Mmm I wish every day could be just like Sunday... ;-)
266340427_302272538627698688 x	Although I honestly believe jewelry stores totally overkill the #ValentineDay "holiday" by airing #Valentine (cont) http://t.co/J7iywhuW
266340427_302271810941091840 x	READ NEXT 2EXPLAIN! My heart literally MELTS when husband says "I honestly love you MORE than THE DAY I MARRIED you" http://t.co/txMJB3Xa
266340427_302158759797587968 x	Get your smooch on...as you should cuddle tight your doggies, kitties, all your pets a VERY Happy #valentinesday2013 http://t.co/63RlmYkg
266340427_302149944662450178 x	@TiffanyAndCo @SevenSilvasy I agree this IS "The Ultimate Tiffany Valentine" But I am actually enjoying my beautiful red roses so much MORE!
266340427_302072873022001154 x	Have a #passionate #ValentineDay w/ #seductive #kisses #romance #roses & #VictoriaSecret #SexyLittleThings surprises http://t.co/DzHSaVjo
266340427_301937487281000448 x	?@faithJoyNLove: @SevenSilvasy yes true love of true soul mates worth waiting a life for ..its precious" Yes TRUE love is worth ANY wait!
266340427_301923430792581121 x	?@tracyperry_: Thanks @SevenSilvasy for the follow!  Your youtube audio of 'Home' was good? TY! That makes me smile! More music coming soon!
266340427_301923046078431232 x	@lynnsolsona Hello right back at you! Also sending you some <3 on Valentine's day! :-)
266340427_301922767811526656 x	@faithJoyNLove awww thanks! Yeah it makes my heart melt! :-)
266340427_300138829220823040 x	Baby it's cold outside It's a snowy romantic night to snuggle  up w/your sweetheart make hot chocolate n marshmallows & some lovin ;-) #snow
266340427_300040470011199488 x	?@iTOKdotNET: @SevenSilvasy Article published & you're quoted! http://t.co/JvxOVVvd" TY I LOVED reading it & hope my followers read it to!
