283713100_384841207316492289 x	@GhJr09 favorite Philly Golf course?
283713100_377744167310725122 x	RT @RobinRoberts: September 11th, a day of remembrance and reflection here in NYC, the Pentagon, PA, and all across this great country. Ble?
283713100_377568316690546689 x	RT @dukeblueplanet: Duke is 7th in US News rank and in top 10 of men's hoops 113 straight weeks (93 weeks longer than any school - AP) #bes?
283713100_377191981728153600 x	Anxiously anticipating the Chip Kelly era, @Eagles #Eagles #phillyfootball #Birdgang #washsux
283713100_376827046162608128 x	RT @MoveTheSticks: Nnamdi with the duck/whiff?too much of that while he was in Philly.
283713100_376813263969058816 x	RT @SpingCity: @SportsCenter i wonder if he'll wear the Free Hernandez hat into surgery?
283713100_376764557764853760 x	Matthew Stafford stinks #lions #nfl
283713100_376755361451352064 x	AP, skates for 71 after a botched snap for FG. That's why they'll never win #lions
283713100_376558903955574784 x	@ScottMCBS @CBSSports route?1 play was the difference genius.... No wonder I never heard of you.
283713100_376478011312590848 x	@Stuckey2 Alabama vs winner of Stanford Oregon
283713100_376477880550952960 x	@Stuckey2 undefeated a 1 loss sec team or a 1 loss Notre same team play in it before osu
283713100_376477652468916224 x	@Stuckey2 northwestern****
283713100_376477587188764672 x	@Stuckey2 won't play in 1 either, they lose at Northeestern in 3 weeks, ship it!!!!
283713100_376311895214784512 x	What a day!!!! ND @ Mich. #sendavolleycheerinhigh #ourladyofvictory #beatmichigan #cheercheerforoldnotredame #wakeuptheechos #gameday
283713100_375759346682298368 x	RT @espn: Before he became a legend, Mariano Rivera used a cardboard glove -> http://t.co/febizFbPfF. Catch the full @E60 Profile tonight.
283713100_374367800573562880 x	@Buster_ESPN IYO do they catch the Reds?
283713100_374357575493750784 x	RT @Eagles: 8 days to #MNF. #FlyEaglesFly RT @36westbrook: Count Down
283713100_374341852755136512 x	@SethDavisHoops neither was him killing innocent people.
283713100_373193997864677376 x	RT @SInow: After months of buildup, the season is here. Which teams will start strong? Unveiling Week 1 picks: http://t.co/DRoiMT11Xn
283713100_372851898677997568 x	@Stuckey2 did Sock retire?
283713100_372822335348551680 x	@RealSkipBayless @ESPN_FirstTake just when I thought you couldn't say anything dumber!!!!
283713100_372778402002255872 x	RT @SportsCenter: ICYMI: One way to become the No. 2 football recruit in the country? Make plays like this. Wow, Jabrill Peppers. http://t.?
283713100_372099961741377537 x	@Stuckey2 good run, but can u give us a reputable off shore book
283713100_371950126987616256 x	@Stuckey2 need advice on a good offshore for a friend......... Keeps getting screwed over....... Any advice.....,?
283713100_369633198323826688 x	@chris_spielman your "A Football Life" was moving. Awesome stuff Chris, AWESOME!!!!!!
283713100_369289541322301440 x	RT @GottliebShow: I don't like ARod, but HR after being plunked- I like very much
283713100_367818798893920256 x	@jimrome will you be back on the Radio tomorrow?
283713100_367292815937503234 x	RT @CoachBrianKelly: Today is an opportunity to get better. 18 days till kickoff. #GoIrish
283713100_367108583810695168 x	@aliciavitarelli @6abc saw them in Camden, they were great. They will be in Allentown on August 29th.
283713100_366738747594772482 x	RT @JoelOsteen: If you're not going to say anything good, don't say anything at all. Be positive, or be silent.
283713100_366593348712140800 x	@steve_wojo Happy Birthday Coach, keep up the intensity......****slaps the floor!!!!
283713100_365916623921623040 x	@DavidMuir neither is Obama
283713100_365256535145848832 x	@Stuckey2 recommend any offshores, my boy has been having issues.
283713100_364846705176350721 x	Big thanks to @AmileJefferson for giving back to the youngsters at Neshaminy Basketball Camp. Kids loved you! @Duke_MBB  @steve_wojo
283713100_363648047462756352 x	@KirkHerbstreit value your analysis/opinion, what's your thoughts on the Irish this year? 8-9 wins ?
283713100_363066457351266304 x	RT @dukeblueplanet: "If it had been another coach than Coach K, I was prepared to be done." -Chris Paul, on the possibility of playing in t?
283713100_363034123364876288 x	@Phillies toughest hitter you ever faced? #BradChat
283713100_362932346116259843 x	@darrenrovell no
283713100_362732154825867265 x	@DickieV how have the crowds been? I hope good, the @RaysBaseball are legit!!
283713100_362532353513492480 x	RT @Buster_ESPN: The young man who connected so strongly with Bryce Harper has passed away. http://t.co/zf97hVZpIq
283713100_362531574492827648 x	@JayBilas Jay, I'm halfway through "Toughness". Can't put it down!!!!!!!! Phenominal!!!
283713100_362265221856886784 x	@pgammo lee gets them a chance NOW,
283713100_361474283224055809 x	@JohnKincade Jeff Hostetler > Jim Kelly? Umm no!!! Winning a Super Bowl does not get you to Canton, greatness does! #kellymarino
283713100_361445614665465857 x	@SInow 4th ace in East this year!!!! #birdgang
283713100_361265193398976512 x	@KMillar15 got dem!!!
283713100_361245844466434048 x	@JManziel2 maybe the 6 best team in sec
283713100_361245763088547840 x	@JManziel2 #rollride
283713100_361245646453350400 x	@JManziel2 fraud!!!!!!!Frat PArty?!?!?! When are you going to grow up!!!!!
283713100_360706254177443841 x	@howardeskin king, who do you think is a bigger problem? Chuck or Rube? Can't make chicken salad out of chicken crap. You're right it's bad!
283713100_360197214276038657 x	@Ike58Reese this is very very very hard to watch and I haven't said that...EVER. Even in the bad years.
283713100_359862124425646080 x	RT @MikeDenbrock: Can you feel it getting closer? Football Time!!! Get Your Mind Right....#GoIrish
283713100_358620241581965313 x	@JManziel2 @Sarah_Savage13 should went with Oregon coulda had a chance at a title, no shot at tamu
283713100_358619662197985280 x	@JManziel2 you are a fraud!!!!!!
283713100_358612622624555010 x	Zac Brown Band tomorrow!!! Can't wait! #kneedeep #free #raiseyourglassesforatoast #summer
283713100_358272850269986817 x	PROTECTED
283713100_358342723457122304 x	@PaulyDline50 Phenominal lil cheese Phenominal!!!!!! How u been bro?
283713100_358356266277539842 x	@PaulyDline50  cool hit me up
283713100_358255827750109186 x	Grass is cut, now time for some beers!!! #dayloading #poolside #friday
283713100_357979567333441537 x	Spending the day with someone that means the world to you is priceless, now it's pool and laundry time. #greatday #nothingbettter
283713100_357890494921048065 x	@NDFootball @NDTIX where? How?
283713100_357638097951293440 x	RT @ESPNCFB: #ESPNU is counting down the #CFBTop25 games from 2012. We kick our schedule off with #NEBvsNU 7ET & #BYUvsUTAH & 10ET.
283713100_357534243737440260 x	@JManziel2 only way you're getting to Pasadena is if you buy a ticket. You are a fraud. Hope ya don't show up drunk for any games #archie
283713100_357517772391055362 x	Talking about the AllStar game at work, Mariano comes up. A dude asks who he is.!.!.!. #bestever #mo #ASG13 #closeto20years
283713100_357332236737060864 x	Talk about goosebumps!!!!!!! This game is phenomenal!!!!!!!!! #Mariano #greatestever #yankees #mlb #ASG2013
283713100_357288015095279616 x	Love what Cliff Lee did!! #phillies #nycrumbs #nothinggoodcomesfromnewyork
283713100_357237401225138176 x	Mid-Summer Classic! #MLB #greatestgame #everygamecounts
283713100_357201929614528512 x	Sitting at work and people wanna converse with others about nonsense. #dontyouwatchsports #yourshowssuck #motorheads #watchagame
283713100_357110968733548544 x	6 days until training camp begins!!!! #nfl #eagles #footballisback
283713100_355457626072551426 x	@Stuckey2 what came out?
283713100_355010849208938497 x	@1IrishChocolate eating Twinkies is not getting the job done Louis, we need ya in top shape, can't taste another defeat like Bama! #Ionprize
283713100_354429770215337985 x	@SpingCity never legs chief
283713100_354101167602675714 x	Can't sleep!!!! On my mind!!!! #thetimesweoncehad
283713100_353898446731743232 x	Notre Dame vs Michigan @ the Big House?!?!?! I think so!!!!!
283713100_353682255434088448 x	@ESPN_Colin what about all the cover ups? Will never listen to u again!!!
283713100_353668634909999104 x	@_BiBiJones Dan Uggla with another home run in Philly
283713100_353667168279330817 x	RT @FUNNYPlX: Fake friends be like http://t.co/aN6ax4PMWn
283713100_353608393921011713 x	@RaysJoeMaddon @MLB throwback to what? #neverworethem! #gophils #08champs
283713100_353534654877417473 x	@spinnershells what about when your husband made Aaron wear a boot to fake an injury after he failed a drug test?
283713100_353533780222423040 x	@GG_40 your dad is a cheater!!!!!
283713100_353533679101952002 x	@GG_40 what about when your dad made Aaron wear a walking boot to fake an injury, #faileddrugtest
283713100_353531415046008834 x	@DickieV with the schedule they have they shouldn't lose!!!!! #cupcakecity
283713100_353354141743054850 x	@jeffcapel best player not named Blake Griffen you've coached?
283713100_353359947888721920 x	@jeffcapel here's to Jabari and or Sheed taking that slot over!!! #dukehoops13/14
283713100_353181830700204034 x	RT @6abc: Pope Francis clears John Paul II for sainthood http://t.co/UN0b07aur3
283713100_353181428458061826 x	RT @CoachTonyAlford: 57 Days until Kickoff vs. Temple!! Just in case anyone was counting. #GoIrish
283713100_352191631421743104 x	RT @CBSSports: Arizona Cardinals donate $100,000 to assist families affected by Yarnell fire - http://t.co/0exuIn5C2i
283713100_351888500708225025 x	@darrenrovell @MattBarkley Pats it's not even close
283713100_351769252916772864 x	RT @CoachBrianKelly: Just so everyone knows.....61 days 1hr and 28 min till @NDFootball kicks off the 2013 season. #GoIrish
283713100_351493721029738496 x	RT @Bharper3407: Probably going to sleep in my uniform tonight since I am really excited and ready to be back! Little league days! #Nationa?
283713100_351305581153366017 x	@cnnbrk @CNN all while we struggle here in the US
283713100_350601074073276416 x	@andre so much potential, but U feel for Holliday.... Stick to missing jump shots!!!!!!
283713100_350032066219491329 x	@cwineberg_xo @AaronHernandez still consider him sexy?
283713100_350031146324725761 x	@darrenrovell @AaronHernandez: Great start for my guy @RickieFowlerPGA! Keep killin it
283713100_350019802007486465 x	@jeffcapel is Cameron named after the stadium?
283713100_349907838203731968 x	RT @ESPNCFB: BREAKING: The NCAA has placed Oregon's football program on probation for three years and taken away a scholarship for recruiti?
283713100_348906581154467841 x	@BrentCelek why are you buying PB tix
283713100_348904348077674496 x	#used
283713100_348902319284436992 x	Don't Lie to me or take advantage of me.. ...#walkedallover
283713100_347900989937942529 x	RT @KirkHerbstreit: Very impressed with Spurs 'road focus'. Don't respond to the emotion of the game. Just focus on their jobs and executin?
283713100_347854745580490752 x	@RealJayWilliams who's the best basketball mind you've been around?
283713100_346816331770908672 x	@ozoneinq did you find Cole Creightons pitching #'s? #solnchampsget1kidon1stteam
283713100_346964556586827777 x	@ozoneinq you realize Cole Creighton beat Brandon Garrett Head to head 8-0 AT Pennsbury. Garrett is a 2nd teamer. Cole gets nothing.
283713100_346849703067021313 x	@ozoneinq kid from HGP deserved it more than Cole?
283713100_346750261240401921 x	@JManziel2 walk a day in your shoes? Must be tough!!!! You have no idea what problems are! Grow up you little.......... .
283713100_346641168395825154 x	Obama's Approval Rating Plummets, With A Stunning Drop Among Young People http://t.co/7wqrduyzyr via Business Insider
283713100_346446718046461954 x	@ka_harman  how is Val Buhler left off of the all SE PA softball team? Lost to Pa runner up twice, district champ, state champ and 1 other.
283713100_346438983959576576 x	@ozoneinq did u recalculate some ERA's, K's and wins? Oh By the way SOLNCHMPS. Cole Creighton should have made your team. 1 player from NHS?
283713100_346397047584325635 x	RT @danajacobson: Late on Father's Day wishes: all the best. If you're missing yours like I am, chin up, to miss him musta been pretty luck?
283713100_346302693905666049 x	RT @espn: Happy Father's Day.  Retweet this to show props to your pops -> http://t.co/XDCWSckSst
283713100_346273918765633536 x	@ozoneinq Rick, go look at Cole Creightons pitching #'s then I think you need to reevaluate your team. Kid from Ghost over him? #solnchmps
283713100_345978324776005632 x	RT @LHillaryCSN: Michael Phelps spent $3600 in the US Open merchandise tent Friday #UberFacts #momoney #Merion2013
283713100_345899986900361216 x	Looks like its the US Open all day!
283713100_345608319035142144 x	@CBSSportsRadio @JonesN4mo @MarcMalusis Corbin #dbacks
283713100_345534033847005186 x	That moment when you think everything is going great, then bam, reality smacks you in the face. #toogoodtobetrue
283713100_345533457369280512 x	@SportsRadioWIP and they wonder about their reputation
283713100_343897722794942464 x	@darrenrovell @Badassmasks so dumb!!!! Just play the game....it's bad enough the uniforms are clown suits!!!!!!!
283713100_343059596467916800 x	A nothing afternoon/night #rainsux #relaxin
283713100_342747810015354881 x	@JobyFawcett26 northern Bradford softball?
283713100_342650217377710080 x	RT @claddaghfundpa: If the Flyers aren't in, we're 100% behind the Bruins. The Pitt smack down just makes it so much sweeter! Go Bruins! ht?
283713100_342099852395683840 x	RT @JoelOsteen: Don't go through life intimidated when you have the most powerful force in the universe on the inside.
283713100_341560337037922304 x	@MeggieBATC  really? Why?
283713100_340643133584982017 x	RT @CoreySeidman: 25 or younger w/ 12-HR month last 20 yrs: Griffey, A-Rod, Vlad, Dunn, Pujols, Beltre, Tex, Prince, Tulo, Bruce, Stanton, ?
283713100_340293003941933056 x	@DickieV @Evan3Longoria Coach Vitale, that's your Right
283713100_340292509576089600 x	@MeggieBATC @BoyzIIMen  #phillycominthru
283713100_339563768197545984 x	@mharrisCSN check out Revere career avg in 7th 8th and 9th, no problem with bunting galvis to get to him. He's batting .360+ in 7th inn on.
283713100_339534590228185090 x	RT @jodymacman: Forget about LHP, Ryan Howard can't hit righties right now !!
283713100_339527514215030785 x	@thisisdspan why do u need energy drink to play a kids game?!?!?!?!
283713100_339502454490152960 x	@justinbieber ya big baby, what ya hiding from Key for?
283713100_338833846369914881 x	@QCook323 Philly is repoint Duke Nation!!!! #cameronindoor # '14champs #crazytowelguy
283713100_338638809447145473 x	@YESNetwork yes, the tigers are good in front of him,he hits for average and power, he hits to all fields. #yankeesprius #mlb
283713100_338495989373624321 x	@SportsCenter that is not his acct.... Manti tagged his real acct earlier
283713100_337763616449261568 x	@MattBarkley I've had both, but just win the qb job!!!! -eagles!!!!
