1256022392_395757458632609792 x	That's right, my Sixers beat your Heat bitch @NawiAndLater
1256022392_362282932649472000 x	He's my little man #turtle #cute #pet http://t.co/bn9fJKiQXW
1256022392_362190651770679297 x	It's been a while, and you know something, I still don't have my headphones back...@Corbin_05
1256022392_361993171468697602 x	Off Tuesday and Wednesday, need something to do!
1256022392_361502930261655554 x	You know you're out of shape when you go for a slow 20 minute run and leave a sweat trail through the house when you get home #nasty
1256022392_361224788900970496 x	I need to pick more private places when napping haha thanks dad http://t.co/6CgTgDymdW
1256022392_361209619248447489 x	Naps are just amazing
1256022392_359661614070366209 x	RT @CuteLoveMsgs: I think the worst feeling in the world is knowing that someone you used to talk to everyday doesnt care about you anymore.
1256022392_359661492469121024 x	RT @BestTextMsgs: My mind is saying "forget that person". My heart is saying "Don't let go".
1256022392_359511090054443008 x	I miss you... #wantyouback https://t.co/H4VFxTGNvT
1256022392_359427406786220032 x	RT @BrianDawkins: wht if I wld have given up in my youth on football b/c it got hard or follow other ppl's advice that I stay on offense. #?
1256022392_359341136374013954 x	Playing with some #old #toys #fun #pegboard #rubberbands # http://t.co/IO6seTzUdj
1256022392_357948697734545408 x	RT @NawiAndLater: I feel like championship are over valued when you look at a player you're trying to tell me Eli is better the Payton beca?
1256022392_357847863239254016 x	Logan took moms job #dork https://t.co/CqaonW89xz
1256022392_356741321697927168 x	Bloomsburg orientation today
1256022392_354418250743947264 x	RT @JordanPeele: I'm at my most vulnerable when someone is scrolling through my iTunes library.
1256022392_354417888821657600 x	RT @NawiAndLater: A Clevland Browns fan that died asked for Brown players to bury him so that the team could let him down one more time ???
1256022392_354080238868758532 x	RT @clandis94: @JamieFedder if you dont tweet about one direction anymore you can have my house and my car
1256022392_354071702994554880 x	I love it when people I know come in while I'm working, seeing Estabon, Amy, Trinity, and Haven made my night
1256022392_353738278979125251 x	@eli_m19 I don't hate you Eli!
1256022392_353739307938365444 x	@eli_m19 those feelings be false! Make them go away!
1256022392_353716338952384513 x	RT @cjtyler15: Lets go @TimBoetsch #ufc162
1256022392_353122129128075265 x	RT @anitacf95: 'El problema no es el problema, el problema es tu actitud frente al problema'.
1256022392_352799434079354880 x	RT @JamieFedder: Also happy birthday to @clandis94 !
1256022392_352601489857982464 x	You know it's a bad night when not even my man Billy can make me feel better #BillyJoel http://t.co/wEhr5aVDru
1256022392_352597693102686209 x	Nothing is worse than that one moment that ruins a great day...  #feeling #awful
1256022392_352181288687517697 x	RT @hite_amanda: "@FreddyAmazin: Just because I let you go, doesn't mean I wanted to."
1256022392_352180675555766272 x	RT @FightinForPHI: And IIIIIIIIII will always love Jrueeeeeee. (@Jrue_Holiday11)
1256022392_352045750408056833 x	I'd love it if @Corbin_05 gave my headphones back #thief
1256022392_352071773233221632 x	@Corbin_05 meet me someplace so I can get them
1256022392_352072856999436289 x	@Corbin_05 alright, when you get back, get ahold of me
1256022392_352071581075382272 x	@clandis94 @Corbin_05 that's just awful
1256022392_352030179905912834 x	RT @NawiAndLater: I told you to text me if you missed me I didn't think it would happen but... I hoped.
1256022392_351161615737036800 x	@Treicy_cedeno cause they're all behind you, duh
1256022392_351123183602114560 x	@Reedy_8 cause Mark Wahlberg is a bad ass and Shia LeBeouf is a pussy
1256022392_350713503981645824 x	Walking to work in the rain, not gonna be a good time https://t.co/RxCRt8o9H0
1256022392_350587301442764802 x	To quote the great @KeyAndPeele "you done messed up A.Aron" @SixersCEOAdam
1256022392_350452153682362370 x	No!!!!!!!!!! This is awful!!! I can't believe this! You can't trade away the teams best player for a? http://t.co/9FOC4iKEEA
1256022392_350448029788147712 x	If these so called "sources" are correct, and the Sixers traded @Jrue_Holiday11 for another big man with knee problems, I may just cry #sad
1256022392_350293259257516032 x	GUMMY MONEY this showed up on my vine, I saw it and could not stop laughing! https://t.co/2DG98cBK6J
1256022392_350250649553866752 x	Jeffrey chowing down on some mini shrimps for breakfast https://t.co/Oy4rbID6js
1256022392_350099333003214850 x	@AdrienneMarie22 haha alright, I see, but if you don't you're really missing out on something fantastic
1256022392_350095763830878208 x	@AdrienneMarie22 how is that a difficult decision? It's s'mores, of course you make them!
1256022392_350094393946030080 x	Was going though some old pictures and found this...we had too much fun some days pfckohl #track? http://t.co/sIyHUu3ANI
1256022392_348654178043822081 x	RT @ItsMacklemore: Being single sucks when you know exactly who you want.
1256022392_348653656360497153 x	RT @NawiAndLater: Hello, my name is Inigo Montoya, you killed my father, prepare to die.
1256022392_347351157154410496 x	It is done #wisdomteeth are out. http://t.co/NDUhZFS9XN
1256022392_347350458521751553 x	My least favorite part and the worst thing ever #needles http://t.co/MbATCi79Rb
1256022392_346825731302649857 x	College schedule. Just another reminder things are changing. http://t.co/YXLqxNuGZv
1256022392_346460355515531264 x	You say you can't now, I understand. But when you realize you can and you want to, I'll be here waiting for you, no matter how long it takes
1256022392_346375883130544128 x	RT @TaylorTilford: drifting apart from someone <<<
1256022392_345989324204019713 x	Tone The Chiefrocca Gets His One Hit With BOOTY! - America's Got Talent This is the stuff #booty http://t.co/o82t1wi3Lw
1256022392_345976117418668032 x	Just watched the first episode of America's Got Talent for the year, all I got to say is B-doubleO-T-Y!!! #booty @nbcagt
1256022392_345737555758706689 x	It's amazing how many different thoughts come into your head when you see something said by that one person that means so much to you
1256022392_344967819978498049 x	Gonna go take a stroll, company is welcomed
1256022392_344955550028673028 x	10 Year Old Sebastien De La Cruz Sings National Anthem @ Game 3 of NBA Finals | LIVE 6-11-13 #phenomenal http://t.co/kdVh1GpvfO
1256022392_344653198721708032 x	How long is this going to last? I don't know how much more I can take, I wish it was over right now... http://t.co/mCcEe55H3S
1256022392_344072886270705664 x	RT @laurzen4: It doesn't matter how hot it is, I always need to sleep with covers on.
1256022392_343039333772718081 x	It's the birthday of my favorite basketball player ever! Happy Birthday @alleniverson #legend #futurehalloffamer
1256022392_343037750850764800 x	RT @KohlWyatt: We're graduating
1256022392_342737639478263809 x	RT @BrianDawkins: Is that a obstacle? Or steps on a ladder that I'm Using to reach my next goal. #perspective
1256022392_340651817908187138 x	RT @Corbin_05: However I would like to say thanks to @ScottAJSnyder22 for letting me borrow his headphones for the ride home #lifesaver
1256022392_339111875683950592 x	At Knoebels for Jacob's (my son's) first roller coaster #firstrollercoaster http://t.co/WdjxmGFmv7
1256022392_324294725312065537 x	RT @realctucker: Our hearts go out to the victims in Boston. You are in our prayers!
