73422393_384296238814068736 x	@BI_contributors Love to! Any thoughts on how I might do such a thing??
73422393_364124683467108352 x	@MBarkannCSN Badlands are amazing, camped there in 1990. Totally underrated place to visit - for 2 days max, but still.
73422393_360799042076291074 x	RT @BI_contributors: #Coffee seems to be a mild antidepressant and may reduce suicide risk http://t.co/Tvnx0IFgyM
73422393_360398426548080640 x	@tomandlorenzo the truth is out: she's a Never-nude! #tobiasfunke
73422393_359353912236584961 x	RT @StudentsFirst: 44 years ago America put men on the moon. Imagine if we gave the same effort to improving public #education today? http:?
73422393_359350476157878272 x	RT @phillyapts: RT @ZagatPhilly: Today is opening day for Rybrew, a Brewerytown beer and sandwich shop from the @rybreadcafe crew: http://t?
73422393_355653046946107396 x	RT @IBX: #IBXSmallBiz Independence Blue Cross launches new competitive health care plan for small businesses http://t.co/Rd0YM4Blli  #IBXNe?
73422393_355372126074707968 x	RT @mattufford: Left my iPhone at the office while I went for coffee. BRUTAL. Had to pass time by looking at my surroundings, like some kin?
73422393_350002309595533314 x	@morganzalot Seriously...they can't un-see that.
73422393_346401857121419265 x	RT @ClifGeathers: Out eating with some newly meet friend's what a great time today happy farther day to all the farther
73422393_346401748665122816 x	@timothylogue Funny, we had just been talking rainbow here at the Kell household during that rain/sun combo. Nice touch...
73422393_346107433288073217 x	RT @Tmccarthy54: Tiger wasn't ready for Delco... not many are
73422393_345370373191249921 x	RT @max_pad21: I don't always drink beer ....but when I do you can be fairly sure I'll drink enough to make you wish you weren't at my table
73422393_344631213069324288 x	@timothylogue ...covering merion USopen? You win again.
73422393_342948950518665216 x	RT @sbaickerCSN: Pretty sure the city of Philadelphia just painted the world's most ridiculous crosswalk on my street ... http://t.co/WSSol?
73422393_342690114427817984 x	RT @uwishunu: RT @americanswedish: Happy #Swedish #National Day! Enjoy 50% off admission today - June 6, 2013! #philly http://t.co/Fbd7pNp8?
73422393_342640258044805120 x	RT @KNegandhiESPN: Down 3-0 in the series, Pens stars Crosby, Malkin and Letang have yet to record a point against the Bruins.
73422393_342001513645895680 x	@timothylogue yeesh. well, Now it's a Philly event.
73422393_339788448103796736 x	The more I eat lunch out in center city, the more I realize how good the food is at Jake's. @GotPig
73422393_339787791326138369 x	@meechone hilarious
73422393_339168313034805249 x	@DennisDeitch still hate Fenway #stillhatefenway
73422393_339167676482076673 x	@DennisDeitch hate Fenway. #hatefenway
73422393_335666474637201409 x	RT @RCPress_Sean: @Will_Bunch This is what 1,000's of school students protesting school closings look like! http://t.co/0GpfTi0QZG ? #walko?
73422393_335450756364775424 x	RT @HisHoliness: Indulgence in resentment and vengeance will only further increase miseries to oneself and others in this life and in lives?
73422393_335155158818365440 x	RT @215studentunion: @Will_Bunch Citywide student-led walkout at 12pm tomorrow. Students will be marching to 440 then to City Hall. #walkou?
73422393_331493252396097536 x	@SixersCEOAdam yes, more dramatic lighting like The lakers. Puts more emphasis on the GAME, not the crowd
73422393_331388508000366592 x	RT @Michael_Nutter: Congrats to IBC, all City workers and especially the runners - today's Broad St run went very well - Philly sent LOVE t?
73422393_331148322402349057 x	RT @tbogg: The two biggest name speakers at the NRA convention were Sarah Palin and  Glenn Beck, both of whom were fired by Fox for being t?
73422393_329379199863377920 x	@DennisDeitch god willing...
73422393_327456485363834880 x	@MikeSielskiWSJ Can you provide sources for that? Otherwise I call BS
73422393_327453476495949824 x	RT @JimLanzalotto: ?Shout out to @SteveWray3 @CadientGroup: Broad Street runners can show support for #Boston victims. http://t.co/Ks5DdQaB?
73422393_326354208678879233 x	RT @BrewerytownLiv: great story on Angela Vendetti, owner of Mugshots Coffeehouse in Brewerytown, Fairmount and at Temple http://t.co/gzprb?
73422393_325719995315281920 x	@toddherremans I hit that!! BLT martini baby
73422393_325719460310831104 x	@toddherremans is that a real thing? Martini glass w tomato and lettuce on a toothpick...I'm in
73422393_324527609901899776 x	RT @morganzalot: Gloria Steinem: "Equal pay for women would be the greatest economic stimulus this country could ever see."
73422393_321412578213494784 x	@DennisDeitch @brookob ...and the old halladay would still have been able to get guys out. This halladay can't recover. No out pitch.
73422393_321407239594332160 x	@DennisDeitch you're pretty good at knowing baseball #analysisofcommentary 1mets HR away from another correct prediction -DB HR, if u forgot
73422393_321409112246214656 x	@DennisDeitch missing Vance Worley right about now
73422393_321282917575823362 x	@DennisDeitch by is this concept not grasped by the manager?? Not thy complex. Consistently annoying.
73422393_321281372402634752 x	RT @meechone: #homicides #loosechicks
73422393_319857710604619777 x	@dhm "end_of_the_skype_highlighting" is pretty ominous. Brilliant, but ominous.
73422393_318848335203155968 x	RT @Jim_Gardner: Every opening day, I think of my Dad, with whom I watched my 1st baseball c. 1954. We ended up rooting for difft teams. ...
73422393_318171860992937985 x	@dhm I'm sitting behind the revolutionaries. now i understand. #annoyingashell
73422393_318175933188173824 x	@dhm oh god. My 2 young uns will never sleep. Weljust brought a sign.
73422393_318178084715118595 x	@dhm yup. Camera guy refuses to put him on. Grip is urging, other people pointing. No dice.  #showyaluv
73422393_318042557932253185 x	RT @Bighugh53: I really need a sandwich....., from WaWa..... Damn you Hartford !!
73422393_317756709013708800 x	@timothylogue How do you make these trips happen?? Nice work.
73422393_316941240279109632 x	RT @dhm: "If you call the number he listed on his candidate?s affidavit you will hear a recorded message for a Pathmark." http://t.co/Ny ...
73422393_316473955559043072 x	RT @JoshCornfield: The story behind the Southwest Philly Floater: http://t.co/oPmClVMEOA
73422393_316472517789364226 x	@aschall21 huh?
73422393_316221983106953217 x	RT @DanLevyThinks: The Southwest Philly Floater totally sounds like something heard on a police scanner near the Schuylkill River.
73422393_315256882593923074 x	@DASethWilliams @morganzalot overall, i wonder if the average temperature has been a a lot lower- seems like there is a correlation
73422393_315272748383494145 x	@morganzalot right?? Things you learn living near girard ave... BTW,  Love your stuff here, insider-y, crazy/real, good humor.
73422393_315959676493766656 x	@morganzalot you make crime fun!
73422393_315936399553617920 x	Temple did what #temple does #tease #temple #analysis #collegehoopsbefrustrating
73422393_315935379175911424 x	#temple did what temple does #tease
73422393_315935246698831872 x	@BillSimmons this is accurate #analysis
73422393_315286002971320321 x	@Deadspin who the Hell decided to play a WC qualifier in Colorado in March?? #AZwasclosed? #lookingforwork
73422393_309354700917047296 x	@aschall2gasp so you're at the doctor, complaining about those stinkin' kids...getting old Al?? Happens to the best of us.
73422393_309341609407967234 x	@loladelphia @phillyapts @brewerytownliv ...best mural in the city. http://t.co/xtfms7hBpX
73422393_307157226798321665 x	@phillymag how about "Freedom of '76" by New Hope's WEEN? Too Philly-centric? Great song, regardless.
73422393_304646647604981760 x	?@Tombrarian: You never know what's around the corner #whyilovephilly. Yesterday i saw a skunk cross the street at 21st and Sansom. #badass
73422393_304286800850059264 x	RT @HonestToddler: Guess your last name has to be Beckham to get Lunchables on any kind of regular basis.
73422393_304286522662871040 x	RT @robness13: Too good not to share. @FanSince09 http://t.co/TwEHpNzp
73422393_304217861050740737 x	@PhillyGossipDN @dhm I just saw a skunk cross the street at 21st and Sansom. #sightings #impressive
73422393_297113646079823873 x	RT @SpikeEskin: Used to have a co-worker that told me on Thursdays, "it's Friday eve." Also once celebrated "red car day," due to red ca ...
73422393_296630330205556738 x	@RealGlenMacnow wasn't Jan a holdover from the prior (music-news) format? I think she worked there w/ my mother, merril, wee Willie in 80's
73422393_294497304122101760 x	@Ken_Rosenthal @SpikeEskin  Are big-time free agents allowed to sign outside the NL East? Or is that part of the labor agreement? #gophils
73422393_293195145497698304 x	@RoobCSN dude, linking to this tweet broke my timeline...I can't get "out" of it!
73422393_293194309153472512 x	RT @RoobCSN: 49ers 31, Falcons 24 ... Ravens 33, Patriots 30 RT @LiberalVHoovers  Who do you like in today's football games?
73422393_293193973403627521 x	@RoobCSN  Nice Roob!
73422393_292307466639790080 x	RT @Mike_Arrison: @phillymag personally I don't think the scumbag deserves a movie at all, much less the honor of Pacino playing him. #L ...
73422393_291611220614717441 x	@RealGlenMacnow (And I wanted Bradley...)
73422393_291611148506234880 x	@RealGlenMacnow Foles is tall, accurate, high IQ, has a quick release - a poor man's Brady no? And, unlike RG3, he wont get killed running.
73422393_291610154800140288 x	@RealGlenMacnow You're talking AROUND the point here, w Belichik/mobile QB etc: Kelly won't run the Oregon O...he'll run the Pats offense!
73422393_290313024642883584 x	@timothylogue kapernick is annoyingly good. Strong fast and accurate. And seems like a good guy. Oh, and young Makes me mad. #jealous
73422393_290311535220387841 x	RT @RoobCSN: Joe Flacco has won as many playoff games in the last seven days as Peyton Manning has won in the last six years.
73422393_288376910927499264 x	@espn_nfceast you're right RG should have come out. Love former coaches and players Aways defend coaches decisions, reporters are honest.
73422393_287981763148533762 x	@RoobCSN Amen. Arrogant? Yes. Qualified? Maybe. Overrated? Definitely, at this point anyway.
73422393_287712008122531842 x	@RoobCSN Am I only one stunned that 3 of the 12 playoff QBs are from Philadelphia area?
73422393_287227606040969218 x	@robellis610  Is Chip Kelly's fast-paced offense scheme only workable/effective with YOUNG college athletes? Do U see big 30 yo O-line able?
73422393_287227474453073920 x	@mikencueCSN  Is Chip Kelly's fast-paced offense scheme only workable/effective with YOUNG college athletes? Do U see big 30 yo O-line able?
73422393_286894453216657408 x	@BrewerytownLiv Are you (or M&M) aware of any potential buyers for the Non-Stop? Seems like a great BYO spot.
73422393_287208532686823424 x	@BrewerytownLiv good point about liquor but w current/past situation I'd prefer to NOT sell alkyhal on that corner, for a while anyway :-/
73422393_286892301173796865 x	@RealGlenMacnow Totally agree, that would be perfect.
73422393_285497496631906304 x	@RoobCSN How is it possible that TODAY is the day PGL doesn't have the Reid press conference feed???
73422393_284063678960107520 x	RT @adamerace: Santucci's would be my #1 #50BestPHL but that's just me.
73422393_284060414617194497 x	RT @greenphillyblog: @USGBC help philadelphia pass a #PlasticBag fee to reduce plastic bags! :-)
73422393_283611240314597377 x	RT @PhillyFireDept: Merry Christmas! Here's hoping it's #notonfire
73422393_280774492144402432 x	@DennisDeitch yup. Shoulda kept TO and replaced McNabb, team might have been back in SB the next season.
73422393_280774176019718144 x	@DennisDeitch yup
73422393_280743515447758849 x	RT @richarddeitsch: The front page of today's @hartfordcourant will take your breath away: http://t.co/FXYlWCJZ
73422393_279768816173596672 x	RT @NickKristof: For gun enthusiasts citing the 2nd Amendment, I'd concede that it may protect your right to bear a musket.
73422393_279762969586442240 x	@DennisDeitch oz = Australia
73422393_279762466051854336 x	@KevinCooney I must have misinterpreted...have fun
73422393_279760363778609153 x	@KevinCooney you seem to be using the wrong account to live tweet the game. #cloggingmytimeline
73422393_279589379947782144 x	@WIPMorningShow beasley just embarrassed himself w/ that opening statement. Don't expect him to bury Reid, but he just lost credibility.
73422393_277171385456029698 x	@Bighugh53 ...cuz as weak as Hartford is, ain't nothin' else around #hartfordlifesucks
73422393_270308811049410562 x	@DennisDeitch that made me laugh. Imagining slow mo, opera, dumb fat guys getting pelted, popcorn everywhere
73422393_277109680831098880 x	@IngaSaffron FedEx/UPS trucks make me nuts as I drive thru CC 2x daily.Didn'tNutter talk of more effort to ticket/enforce law 2-3years ago?
73422393_277051283972689920 x	@WIPMorningShow still funny, of course. Just not out of the blue...
73422393_277051152342867968 x	@WIPMorningShow didn't the announcer say that because Kobe told gasol to "put on your big boy pants" ? Don't think the guy came up with it.
73422393_276889574461042689 x	@VANIMAL_49 @phillies bummed about the trade, you will be missed. Good luck in your career...
73422393_276794961394036736 x	@BenRevere9 Welcome to the Fightin' Phils!!! (from one Ben to another)
73422393_276726527167717376 x	@Ken_Rosenthal wait...not Kate?
73422393_276082392685506561 x	@DennisDeitch hate this
73422393_276075231376977920 x	@DennisDeitch I'm despondent over Pagan but agree he wanted to go SF after WS win. Now I want Morse .Thoughts? Overrated but still...
73422393_276076723706138625 x	@DennisDeitch so we're f'd. I can't get excited about Bourne, especially overpaying. Don't believe in Ruf as everyday (yet).Fowler is foul.
73422393_275982159561490432 x	@ryanlawrence21 Any chance Phils will go after Morse? Do you think he'd be a good signing for LF? Like the power, RH.
73422393_275295642270720004 x	RT @pdomo: Everything's got an expiration date.
73422393_275295609500618752 x	RT @pdomo: Chris Berman just doesn't get it. Thinks because pple feel Reid needs to go now means they don't appreciate what he's done.
73422393_274698391009775617 x	@RoobCSN @mind4mud cocaine & ashes ?
73422393_274698185543401473 x	@RoobCSN @mind4mud mystify me?
73422393_274659200842465282 x	@PhillyGossip @phillymag totally agree. Where has this been the past 3 months? New Yorker mag version should be an example.
73422393_274531743388794880 x	@EaglesJake @lesbowen @sheilkapadia @DennisDeitch #lesbowensstripper
73422393_274526756596240386 x	@RoobCSN ...just saw this.Did you say Volcano Suns? I had that LP.If memory serves, Greatest title ever: "I don't need drugs (to be f'd up)"
73422393_273903265316478977 x	@philly311 @phillypolice thank you! Love the fast action (hopefully).
73422393_273891747908702208 x	@philly311 I am in a meeting, can't call. Can you? Almost rush hour...
73422393_273891574134493184 x	@philly311 it's the small black piece of ish that is parked IN THE RIGHT LANE just east of 33rd. It's the only car parked IN THE LANE. :-/
73422393_273884758528897024 x	@philly311 A car has been parked/abandoned in the right lane on girard near 33rd since YESTerday. Please tow.
73422393_272898382383681536 x	@dhm That would make me happy for a month. Burger King could sponsor it.
73422393_271818126025445376 x	@JustinVerlander I'll assume you get a lot of Kate Upton jokes after tweets like this. Agree, @JimmyTraina ?
73422393_271379380415107072 x	@Jim_Gardner plain and simple: it's just the name #Twinkie
73422393_271005499456114688 x	RT @JasonCichonski: All I want for x mas is for  every member of the PPA to be lit on fire in their sleep
73422393_270926245334745091 x	RT @GotPig: Philadelphia Marathon Winner, Michael McKeeman's 1st meal after race was a Turducken Sandwich and @PeanutChew... http://t.co ...
73422393_270904075128827905 x	@DennisDeitch you misspelled "mangy" #losethebeard
73422393_270903797163913216 x	@DennisDeitch I tweeted R. Lawrence after WS about getting him, he agreed. Hamilton's TERRIBLE idea, will be overpaid/injured/distraction
73422393_270903263661015040 x	@DennisDeitch For me, he's classic "hate him on other team, love when he's one of ours" guy. Seems like tough mofo, exactly what Phils need.
73422393_270580026456559617 x	RT @TreeHugger: If you are 27 or younger, you have never experienced a colder-than-average month. Ever. Think about that. http://t.co/xN ...
73422393_269484506992492544 x	@DennisDeitch Same is true of the fruit pies. Smaller=less filling, less flavor. Plus the new pie packages suck. #thatisall
73422393_267746126248177664 x	@TheRealDGunnCSN  Question answered (no)
73422393_266039113512284160 x	RT @JapersRink: Come at Big Bird, you best not miss.
73422393_265604513682038784 x	@toddherremans WIN
73422393_265604259201044480 x	RT @dailypenn: A video of #clintonatpenn entering the Palestra via news editor @jennifersun http://t.co/RJcHKZdT
73422393_264019788664299521 x	@DennisDeitch thanks, so was I, for some reason. Nice follow through...
73422393_262954859882483712 x	@ryanlawrence21 @jcrasnick I hate angel pagan...when he is on the other team. Good fit for Phils? #Philliestalk
73422393_262205923056050176 x	RT @Deadspin: VIDEO: Pro golfer Mark Wiebe misses putt, unleashes "Suck my dick, you fuckin' piece of shit" meltdown http://t.co/WA5AlTHi
73422393_261844075433586690 x	RT @phillymag: How dads are becoming the new moms?and why that's good for our kids http://t.co/tCBAcFeH
73422393_261206523592716289 x	There are 150 geeky teenage girls lined up outside @uniontransfer right now. Who's playing, Avril Lavigne? #philly
73422393_260789739978895361 x	RT @IngaSaffron: Another topic U didn't hear in debates:  preschool spending. PA spends only $340m on early learning, $2.3b on prisons.  ...
73422393_259280695761973248 x	?@PhillyFireDept: Today is Friday #notonfire?. All day
73422393_259105662968147968 x	RT @azizansari: Hahahaha ?@JoeMande: http://t.co/uQn7YAyX ! RT @MittRomney: Congrats to the Detroit @Tigers! Part of the heart & sou ...
73422393_258579022160732163 x	RT @LaurenSivan: Willing to bet #BindersOfWomen have led to more restraining orders than job offers #debates
73422393_258325406376161281 x	RT @morganzalot: Some kind of protest/demonstration happening at Broad/Chestnut. Or, as we like to call it in Philadelphia, Tuesday.
73422393_258226458978299904 x	RT @joespadaro1a: @LesBowen Hey andy, the fan were yelling for Foles! Not Bowles!
73422393_256768395452755968 x	@aschall21 Hard filling the void left by the lockout, it seems? #goMaddieGoGold
73422393_256480627174551552 x	@Ike58Reese #reds need at least one here
73422393_256476889080819713 x	@Ike58Reese even before that terrible take to end the inning, I thought Dusty should have bunted Hanigan...thoughts?
73422393_256475185190957056 x	@KevinCooney true, sending runners was questionable, but Hanigan Can Not let that pitch go by
73422393_256082269314367488 x	@meechone #notonfire is my favorite hash since #summerhandjobs So universal...
73422393_256081218284695552 x	RT @dhm: #notonfire
