1716552302_395681487887949824 x	#Sixers season preview is up! http://t.co/7tueGTbTv9 #sixerstalk #sixerspreview
1716552302_387926884534599680 x	How is it possible that Rich Kotite has the second best winning percentage in #Eagles coaching history since the Super Bowl era began?
1716552302_387584447769346048 x	Maybe the #Eagles should've drafted Geno Smith?
1716552302_387356816021409793 x	RT @Vander13lue: #teamWHOP lets get it trending! @MCW1 @TWroten_LOE @KhalifW05
1716552302_387224611789602817 x	Kelly says you need two quarterbacks in this league. So #Foles or #Vick will have to come back next season. Who do you keep? #Eagles
1716552302_387222147472424960 x	#Flyers shock no one by firing Laviolette today. Hopefully #Berube can fire up this offense.
1716552302_387020596661325824 x	Thank goodness Harvey did the smart thing and got the surgery, 2014 will be tough but 2015 will be sweet #NYMets
1716552302_387019996372557825 x	The New York correspondent posted his first article. Check it out #NewYorkJets #NewYorkMets
1716552302_386881612257849344 x	RT @TheEaglesNation: Vinny Curry WILL play today. #Eagles
1716552302_386857105736495104 x	RT @Vander13lue: First Pro Game today! Pray that it goes well! Yesirr #sixers
1716552302_386855139593568257 x	If Vick doesn't throw a bunch of passes directly to the #Giants D, I think the #Eagles have a shot.
1716552302_386817585041244161 x	A Serious Scandal  http://t.co/LZF07EXhkl
1716552302_386490579913560064 x	#Sixers officially sign Gani Lawal. Unofficially announce Kwame Brown will be his mentor. #Lawal
1716552302_386475473460817920 x	@JonandSeanShow Expectations haven't changed. They need a QB that fits his system better before we can truly judge him.
1716552302_385934577740836864 x	Damn you Hoyer! You're killing my fantasy team! #Hoyer#myfantasyteamblows
1716552302_385804538617556993 x	@JonandSeanShow McNabb. No contest.
1716552302_385765026017329152 x	RT @sbaickerCSN: The #Flyers were undone by their 1-for-7 power play last night. Let's take a closer look: http://t.co/pJEGCDjHTU #FlyersTa?
1716552302_385750256639410176 x	RT @lawlornfl: Finally done with my Detailed Game Review for the #Eagles squeaker vs the Broncos. Only 4 TDs short of close game. http://t.?
1716552302_385577705950818305 x	Did #Simmonds score on the penalty shot? It wasn't clear from the 30 posts about it on my twitter feed.
1716552302_385532560115113984 x	@ToddZolecki Why? Did we pay them to take him?
1716552302_385532319399817216 x	@PhieldersChoice Apparently they've never seen him pitch.
1716552302_385459061720121344 x	@phillysport @therealmikekb Good for him. I'd also like to see what Royce White can do.
1716552302_385458633234186240 x	RT @phillysport: RT @therealmikekb: 'Junkyard dog' Tony Wroten may see some major minutes for the #Sixers this season: http://t.co/SIP4j0MH?
1716552302_385415932044402688 x	@MattLombardo975 Sad. He was a graduate of Loyola Maryland, like myself.
1716552302_385393855199072256 x	Any predictions as the #Flyers season begins? Playoffs? Will #Mason or #Emery be the better goalie? Second leading scorer after #Giroux?
1716552302_385129398225358848 x	RT @phillymag: WATCH: @Grantland33's @BillSimmons and @JalenRose rank the #Sixers the worst team in the NBA http://t.co/IcdggR2Ffz
1716552302_385041855404314624 x	@FelskeFiles Agreed. Unless the goal next year is to finish behind the Marlins.
1716552302_384804487590060032 x	@hoopshype Haha good point.
1716552302_384714296938483712 x	@JonandSeanShow As expected. Although they really seem to be regressing on offense.
1716552302_384694960559112193 x	@carltinkjr @Buster_ESPN They really need to clean house. Amaro must go. Worst GM in Philly since Billy King.
1716552302_384694525572026368 x	RT @Buster_ESPN: Phillies formally announce Rich Dubee has been fired.
1716552302_384363464765886464 x	@SpikeEskin @BobCooney76 Seems like the only way this roster can win any games is by pressing a lot and getting out on the break.
1716552302_384361640323330048 x	RT @jrfingerCSN: Turner, Young looking at big picture for Sixers http://t.co/ZL8YuDxe2T
1716552302_384340952556400641 x	@phillysport @magelb Another dumb move. Thanks Ruben.
1716552302_384333388829569024 x	End of the #Phillies season. First time with a losing record since 2002. May be a good time to start the campaign to fire Amaro. #fireRuben
1716552302_384119931375083520 x	@975TheFanatic Sure they can. They just need early injuries to Peyton and Welker.....and Vick to not throw it directly to Bronco defenders.
1716552302_383995324756267008 x	@PompeyOnSixers @phillysport Nice. That looks like a 10 win team to me.
1716552302_383990618734608384 x	Sixers ranked last. Sweet. Power Rankings http://t.co/qfEbaQk7bS #Sixers#WeWantWiggins
1716552302_383715929110364160 x	@RealGM Nice pick up. He's a good role player.
1716552302_383714675386777600 x	RT @DNFlyers: Does Paul Holmgren have a trade in the works with Flyers? Some real interesting cap questions and answers today: http://t.co/?
1716552302_383714046291488768 x	@SportsRadioWIP The Phillies are still playing?
1716552302_383712730794176512 x	@phillysport I'm pretty sure it doesn't matter who starts in this one.
1716552302_383585486691782657 x	Who wants Josh Freeman in Philly? Anyone? Anyone? #joshfreeman#eagles#desperateforafranchiseqb
1716552302_383398043812257792 x	Just launched our site! Check out part 1 of our Phillies 2014 preview - http://t.co/c7ScwMO9Bw #Phillies#Pitchers
