275785388_396466746947018752 x	@MtAiryPhil975 @Sixers @WashWizards @mcw has anyone seen this Wiggins guy play?
275785388_398394056071729152 x	@KarenFox29 @FOX29philly @MikeFOX29 @SheinelleFox29 @ChrisFox29 Tastykake Lemon pies
275785388_398171736006332416 x	@DopeWeezle @GabeGinsberg @CocoPazzo @NaughtyVegan @andinooz @MonkeyThreads good afternoon
275785388_398172334714290176 x	@MonkeyThreads @DopeWeezle @GabeGinsberg @CocoPazzo @NaughtyVegan @andinooz hello
275785388_397566698813140992 x	I'm glad the Sixers lost cause now I can change my lucky draws...  I was starting to smell funny... :)
275785388_398392921462153216 x	@MonkeyThreads @NaughtyVegan @DopeWeezle @GabeGinsberg @CocoPazzo @andinooz good morning
275785388_398273879321608192 x	@Winless4Wiggins and the cheerleaders should dress as flamingo dancers
275785388_398273428572364800 x	@Winless4Wiggins I'm back on the #Winless4Wiggins train... :)
275785388_398273239371501568 x	@EvaPilgrim @ProducerPG6 @ShareThis really?
275785388_398273149642739712 x	RT @EvaPilgrim: ?@ProducerPG6: WHOA! Man Successfully Sues Wife Over Ugly Children http://t.co/pESHb2uoLv via @sharethis? seriously?!!!
275785388_398267133337300992 x	The Sixers should pay ET...  But Thad must go... @PompeyOnSixers
275785388_398266273962160128 x	@PompeyOnSixers put some ice on it
275785388_398265470371237889 x	For the second time in four weeks, Eagles quarterback Nick Foles has been named NFC Offensive Player of the Week.
275785388_398256744214056960 x	@MagicJohnson the Clippers ain't ready...  They allow to many points...  LBJ might drop 45 tonight
275785388_398254908060999680 x	I was upset the Sixers are losing until I saw @MollyESullivan now things are better :)
275785388_398247970522796032 x	More time for Orton @PompeyOnSixers
275785388_398250563835822081 x	@PompeyOnSixers Anderson is playing well now...  If we get something from the 2 we straight...
275785388_398246881027162112 x	@BobCooney76 this is just how the Warriors beat us... Miss shoots leading to fast breaks and kick out threes...
275785388_398245236553814016 x	@BobCooney76 our offense needs to get better too many long shoots...  No flow
275785388_398243478330941440 x	@PompeyOnSixers we need ET at the 2 and Orton on the floor...  Anderson to the bench
275785388_398239457562095616 x	@Ike58Reese our team is too good to lose... #tanksbutnotanks
275785388_398238898092273664 x	@Sixers when will you have @MCW1 jerseys for sell? I've been looking...  I want a blue one...  #Sixers #SixersTalk #nbastore
275785388_398231470575452160 x	@PompeyOnSixers i like Anderson but if we had a better 2 we will be real nice
275785388_398238287158312960 x	@PompeyOnSixers I forgot already...
275785388_398237640707031040 x	@nas_philly the QB we have scored 7 TDs last week...  We may be fine a that position
275785388_398234544387948544 x	@nas_philly MCW is already better... John Wall has no brains... Hehehe
275785388_398228344917196800 x	@PHLSixersNation I agree...  We now have the money for FAs at the end of the year...
275785388_398165860336304128 x	I have no tickets to the game tonight
275785388_398171593588748289 x	@CocoPazzo yes but they come with strings attached
275785388_398082259346915328 x	@SportsRadioWIP I lived in Turkey we ate bread with every meal...  It's part of their life and culture... I enjoyed it...
275785388_397931801802702848 x	I'm glad I don't like hockey...  I don't need anything else to bitch about :)
275785388_397923838174187520 x	@RealSkipBayless like real early...
275785388_397913875259351040 x	@MrMetKevC and Walt Frazier
275785388_397903140626108417 x	@MrMetKevC @ChristinaS0110 why do they stink every year?
275785388_397904080901001216 x	@MrMetKevC @ChristinaS0110 unfortunately for them games aren't played on paper... #noknicks
275785388_397901182276206592 x	@GregAnthony50 that was cold... Hehehe
275785388_397885607936286720 x	I wish I was at the Bon Jovi concert :(
275785388_397861910970105856 x	@Winless4Wiggins I will
275785388_397853187010723841 x	@RTNBA pacers maybe
275785388_397722267830218752 x	@Illadelphiagirl ok ok
275785388_397721887843057664 x	@Illadelphiagirl pick up Foles if he is still available
275785388_397721748353085440 x	@Illadelphiagirl :) I'm better now
275785388_397721072642301952 x	@KacieFOX29 @KarenFox29 @ChrisFox29 @SheinelleFox29 @SueSerioFox29 @MikeFOX29 @JennFredFOX29 @DTimmeneyFox29 we need @QDEEZYDOTCOM on it :)
275785388_397719727445118976 x	@Illadelphiagirl I was down 10 pts going into mon Rodgers was my QB my opponent had no players left...  I thought I had it in the bag... Wow
275785388_397720696744591360 x	@Illadelphiagirl I didn't want you to laugh I was asking for a hug... Geez
275785388_397720224012984321 x	@shannonrwatts @EliasMcClellan @MomsDemand it maybe more dangerous in the Streets of America than in some war zones...
275785388_397705098010558464 x	@PompeyOnSixers @Rashaan true...  I definitely fall under that..
275785388_397713301368745985 x	@Rashaan @PompeyOnSixers Yes it's a great place...
275785388_397715221902819328 x	@Rashaan @PompeyOnSixers I'm a big fan of Korean food too...  I spent 3 years there got to explore a lot...  It such a peaceful place...
275785388_397713699336888320 x	@PompeyOnSixers it was a lady behind me in 102 yelling all night too
275785388_397693949198204928 x	@PompeyOnSixers that was ugly...  The Warriors could've beaten the 92 Dream team last night
275785388_397700272858095616 x	@PompeyOnSixers yes you are right too many misses, too many TOs and way too many open looks
275785388_397696031246540800 x	@WIPMorningShow McNabb!!!  The award should be named after him...
275785388_397695457226674176 x	RT @GMA: Good Morning America!
275785388_397571776257200129 x	I was down 10 pts in FF going into tonight's game all my opponent had no player left to play and I have Aaron Rodgers...  WTF  I lost
275785388_397572896698408960 x	@Phillysports25 I had Riley Cooper too and still lost
275785388_397563728004411392 x	They said the guy had a mini stroke... The only good thing that comes in mini is a skirt
275785388_397562264875966465 x	@Ike58Reese Iggy look like Dirk tonight
275785388_397542583574212609 x	@Winless4Wiggins @Leem20Philly215 @CreaseCreator how did the Warriors get so good?  Who thought Curry was this great and Iggy has 7 3s
275785388_397543623765790720 x	@Winless4Wiggins @Leem20Philly215 @CreaseCreator yes I know but he wasn't the first pick overall but Bogat and kwame brown were
275785388_397558268673163264 x	@AllThings76 Duncan is the only one to win a championship with the team that drafted him...   The Sixers were mediocre most of AI's career
275785388_397560345226936320 x	@AllThings76 not wall he ain't that good... I'm just saying
275785388_397559959317405696 x	@AllThings76 @Winless4Wiggins I get y'all point it's just hard to cheer for losing
275785388_397557677326602240 x	@AllThings76 Tim Duncan too
275785388_397541937378779136 x	RT @warriors: . @andre just hit his 7th 3-pointer of the game, the first time he's ever done that in his career. He's got 30 points
275785388_397529950301212672 x	Warriors are hitting 3s the Sixers are missing free throws... @PompeyOnSixers
275785388_397524030900944896 x	@marclamonthill Yo Noel Reminds me of JJ Evan with a flat top
275785388_397512808205910016 x	Sixers vs Warriors (@ Philadelphia 76ers - @sixers w/ 3 others) [pic]: http://t.co/daddnefNb0
275785388_397508084966637568 x	We're Ready http://t.co/zUeaDl7OOG
275785388_397484427372429312 x	Won this today Thanks! @MikeMiss975 @975TheFanatic @BrianDawkins @XFINITYLive
275785388_397450051297214464 x	@marclamonthill @CNN that was nice but go Sixers!!!
275785388_397446924535877632 x	@Sixers what color are we wearing tonight? @PompeyOnSixers
275785388_397447735693283328 x	@PompeyOnSixers @Sixers cool thanks
275785388_397447120149819392 x	@975TheFanatic @MikeMiss975 what's better than 7tds
275785388_397446339526938624 x	@WIPMorningShow @MCW1 he has talent and he can be coached...  The coach just coach...
275785388_397445710347776000 x	It's not that cold outside...
275785388_397336523513004032 x	@WIPMorningShow @SpikeEskin your right we need a QB that can  throw 7 TD passes run like Pryor and fly like superman...
275785388_397217212953792512 x	@OJPhilly maybe but the Sixers have more talent than the Celtics...   The Celtics have a better rep...
275785388_397216299719598080 x	Building a winning team in the NBA is more about luck than anything else...  #NBA
275785388_397208966931156992 x	RT @ZERTZ_86: Nick Foles for President
275785388_397208248472068096 x	@GabeGinsberg @andinooz @CocoPazzo @VegOutBoutique @MonkeyThreads @DopeWeezle @NaughtyVegan I did how was your's
275785388_397202424890683392 x	@TeamLou23 good luck on your rehab
275785388_397191205454225408 x	@Winless4Wiggins the league is very even this year...
275785388_397194633392160768 x	@Winless4Wiggins what? A month? Usually you could pick the NBA champs in August this year no so much...   I'm just saying
275785388_397191813611929600 x	@russwest44 is the PG in the league... No doubt about it...
275785388_397181959312773120 x	I'm guessing no one told the Sixers and the Suns they were suppose to be bad...
275785388_397179306168045568 x	@36westbrook but Vick stunk it up vs the Giants
275785388_397175001344139264 x	The Knicks are not very good
275785388_397173854931791872 x	@uniquelondon @EmilyB she looks amazing I want to marry her!!!
275785388_397160634166812672 x	@PHSportsGoddess he has to start he is our best QB... this should be 2nd player of the week honor...
275785388_397159039538561025 x	@LincolnFinatic would it be his 2nd
275785388_397150590037659648 x	I started Riley Cooper this week!!! http://t.co/uczLCFEhYC
275785388_397132855220137984 x	Fox halftime show is wack...  Nick Foles is the man stop hating
275785388_397118923512250368 x	Earl Wolfe getting BDawk on them... #FlyEaglesFly
275785388_397041222034157569 x	@FlyEaglesNation 43 to go... He is on pace to pass AI by March... Hehehe
275785388_397040759792484353 x	@yungsmoove21 outstanding  win last night!!! I went to the game with a Bulls fan from Iowa he was so disappointed... Hehehe
275785388_397033092411826176 x	@Jacko2544 @mharrisCSN would it hurt to keep him?  He can score 20 and handle the rock...  I'm afraid of the unknown
275785388_397034459020935168 x	@Jacko2544 @mharrisCSN yeah I think he can...  I love his tough attitude now his game is catching up with it...
275785388_397033793468768256 x	@PompeyOnSixers I was at the game last night it was so exciting...  Now I'm a little upset I didn't renew my tickets this year... #stubhub
275785388_397033243775881216 x	RT @MichaelKitces: When NOT to bank. MT @Bankrate: Bank robberies more likely Fridays, or weekdays between 9AM & 11AM. @FBIPressOffice http?
275785388_397018927337054208 x	Great way to start a Sunday @EvaPilgrim @aliciavitarelli http://t.co/UkNBEFhDpp
275785388_397018124811509760 x	@pytphilly go heavy on the Gluten too :)
275785388_397017914005790720 x	RT @pytphilly: PYT: Vegan-free since 2009!
275785388_397017479341694976 x	@stephenasmith @SMuehlhausenMMA DRose also needs to get healthy and play better...  Last night he didn't look or play well... 2 big TOs late
275785388_396993351645679616 x	I'm still in sock from the Sixers win last night...  I even had @MikeFOX29 sighting he came by row looking for his seats...  Hehehe
275785388_396992346031919104 x	@Jacko2544 @mharrisCSN this is a tough situation...
275785388_396915918363963392 x	@MissCOusa2011 good luck!!!
275785388_396853843897880576 x	@MaxT_40 @Winless4Wiggins don't agree with that... We may already have a star...  We can add pieces through free agency...
275785388_396846272923336704 x	@HBOboxing @gggboxing!!!!
275785388_396842368756121600 x	@snboxing @robramz good fight
