109975501_395725396055838720 x	@TonyBrunoShow Do you think it helped that A.I. spat some game at his presser? #aaronmckie
109975501_392084968379138051 x	@amyfadoolCSN @CSNPhilly  We are lucky to have Chip, he will get it done
109975501_392084600970698752 x	@PompeyOnSixers @BroadStBull Word to the wise: if it is I called a "Philly Cheesesteak" it INS'T a real cheesesteak
109975501_392022192805789696 x	@amyfadoolCSN #fullcontact Phil Mickelson, playing better than ever and always a threat in major's
109975501_391381604028805121 x	@howardeskin @SportsRadioWIP When Foles wins on Sunday, it will be tough to displace him.
109975501_391562496504365056 x	@howardeskin @SportsRadioWIP Will make for great radio. PS You need to be back on 'IP full time. The Saturday show was excellent.
109975501_391357711369007104 x	@ShaneVictorino  Shane, good luck, maybe you can teach Jimmythejogger how to hustle. #missyouinphilly
109975501_391357523120250880 x	@CaroWozniacki @BrunoMars Can't wait to see him at the Super Bowl. Good luck in your tournament!
109975501_391021879705612288 x	@TonyBrunoShow Unfortunately, that is factual Flyers knowledge. Gheeshhhh!!!
109975501_391005395184939010 x	@BroadStBull Class guy but the speed is gone, they go by him like he isn't there
109975501_390966802001309697 x	@howardeskin No one expected them to be good. #1 in the draft not too far off
109975501_390794806848286720 x	@amyfadoolCSN @mmurrayCSN @CSNPhilly Amy, nice job on the Flyers interview.
109975501_390647717803724800 x	@BroadStBull Great article on the prospects of getting Vanek, here's hoping it comes to fruition. #keepupthegoodwork
109975501_390604164931145729 x	@amyfadoolCSN @mmurrayCSN @CSNPhilly Looks like Placido Polanco (without the mask) ;-)
109975501_390248736552534016 x	@LisaHillaryTV @C__Biz Lisa, we miss you in Philly. #goflyers
109975501_390248417084977152 x	@howardeskin @MikeVick No way, when Foles shreds the /Cowboys, he will be the starter and Vick will ride the pines.
109975501_390228424725233665 x	@TonyBrunoShow T-man, great Cowboy stuff today, keep it coming!!! #thestinkincowboys
109975501_389935095278092288 x	@mirandalambert @NBCTheVoice @blakeshelton They were the best battle rounds ever, how do you select? #megatalent
109975501_389890566483222528 x	@nufced @NESN Too funny, can't make that up. #pier6brawl
109975501_389889955171803136 x	@HillaryScottLA Beautiful, just like her mother. Congratulations!!!
109975501_389889736363352064 x	@robellis94 @SportsRadioWIP Too bad most can't enjoy the win. PS Kelly has done a fantastic job
109975501_389555726722412545 x	@JohnKincade Sean Peyton should be roasted, that was pathetic. Giving the ball to Brady 3 times, not too smart. Hold the celebration
109975501_389461261705949185 x	@amyfadoolCSN #eaglestalk if our D can't stop this team, we have very little chance any of the better offensive clubs #romowilltorchus
109975501_388621304745566208 x	@HARRYMAYES975 @TonyBrunoShow That is good vodka cran knowledge.
109975501_388620963174027264 x	@WIPMorningShow @PhilMartelliSJU Worry about the SJU Hawks, they should be your priority.
109975501_388482126049333248 x	@amyfadoolCSN Don't wake him up, let him stay like that. We need for him to be average 1 more time. #norungame=badeli
109975501_388062961740165120 x	@amyfadoolCSN It is not a major sport now, nor will it ever be.
109975501_388106538419634176 x	@amyfadoolCSN You said Pro sport, that is a moot point
109975501_388387633006534656 x	@amyfadoolCSN Amy, I respect your passion and your loyalty but it will never work in this country. Too many tries, zero results. #justfacts
109975501_388387058735009792 x	@LisaHillaryTV Lisa, we miss you in Philly.
109975501_388386888391737345 x	@ladyantebellum @TheAMAs BTW: great job with Stevie Nicks on Palladia, you (4) were fantastic!!! #stevienicks
109975501_388106854988914688 x	@TonyBrunoShow What's next? No playoffs for any of our teams. #strugglinginphilly
109975501_387996152223641600 x	@landslug @WIPMorningShow Croce never played sport in his life. #wannabe
109975501_387995873801555969 x	@LaSalle_Sports @WhizWitSports LaSalle in a rout. As usual.
109975501_387286398790680576 x	@LisaHillaryTV @davegisaac It's easy to say now, where was this foresight prior to the season?
109975501_387286039917654016 x	@howardeskin USC can look very attractive if he gets a little NFL weary. The Philly press can be brutal
109975501_386964195452788736 x	@howardeskin @MikeVick Foles can see over the line and much better passer
109975501_386964018897756160 x	@amyfadoolCSN #eaglestalk Foles is the guy. He is clearly a better passer and it is a passing league. He will involve the tight ends more
109975501_386963620787019777 x	@HARRYMAYES975 @TigerWoods #goingforthesympathyvote
109975501_386590205513191424 x	@JSalisburyCSN Long overdue
109975501_386448318286409728 x	@howardeskin @SportsRadioWIP @BorgataAC We have nothing to lose. Bad record = good young quarterback, play good and steal division
109975501_386302610401009664 x	@amyfadoolCSN @CSNPhilly Danny is a class act, he will always be welcomed in Philly.  PS Enjoying the President's Cup?
109975501_386088694370680832 x	@WIPMorningShow Negative Rhea as the weasel
109975501_385910960893857793 x	@amyfadoolCSN It's not the Ryder Cup but not too bad. #norulesviolationsforEldrick? ;-)
109975501_385563349678690304 x	@johnclayiv @TonyBrunoShow #getacluejimmyboy
109975501_385563071827046401 x	@TonyBrunoShow That is goof Flyer stat knowledge #goflyboys #weneedwinners!!!
109975501_385562880419954689 x	#flyers this wait was long but well worth it. #goflyboys!!!
109975501_385070561891598337 x	@Cindy610 @MikeandIke94WIP @JessicaDean @Ike58Reese @MBarkannCSN Is Ike still apologizing for Mike Vick?
109975501_385070131816038402 x	@KellyTilghmanGC Peter Uihlein, he deserves it based on his year long performance
109975501_384807065702510592 x	@razzontheradio @thompsonsquare Great song, thanks! Go Razz!
109975501_384406928752795648 x	@amyfadoolCSN Coatsy, your nose takes us half the photo. ;-)
109975501_384406511293718528 x	@lesliegudel @MonsterMile Bring home a W Leslie!
109975501_384066693741309952 x	@JSalisburyCSN It is because they seldom score more than 3 runs, same as the past 3 years. We needs hitters/hustlers and fewer quitters
109975501_383767656756555776 x	@JSalisburyCSN  no chance
109975501_383734379689689089 x	@TonyBrunoShow @ChickiesnPetes Will Pete charge the Pete Tax on the tee shirts?
109975501_383734205424730112 x	@howardeskin It's becoming a rough touch league, as if the kicker was trying to hurt someone. Please!
109975501_383642999877431297 x	@MikeandIke94WIP @SportsRadioWIP D-backs and linebackers
109975501_383642890284433408 x	@PompeyOnSixers @amyfadoolCSN @Sixers He's horrible. Nothing but a D league player
109975501_383327283366227968 x	@JohnKincade @JoshuaMorrowYR The Irish will wake up the echoes once again. Cheer, cheer for old Notre Dame...
109975501_383317071544610816 x	@amyfadoolCSN @XFINITYLive Sixer game? Isn't that like losing a bet? #notuntil2015forsixers
109975501_383025758777524224 x	@TonyBrunoShow That is great America's Cup knowledge. Mr. Monday night doing it all. All the way from souffphiladelphia
109975501_383014508089720833 x	@mharrisCSN  How can you possibly do an interview with Jimmy Rollins and not ask him about quitting on plays? #heisadog #nocreditability
109975501_383013895499026432 x	@ACMawards @Nashville_ABC Best show on tv, #nashvillerocksphilly!!!
109975501_382933530369458176 x	@MikeandIke94WIP @MBarkannCSN @Ike58Reese @SportsRadioWIP  Hugh Douglas, ask his girlfriend. #dope
109975501_382925193531777024 x	@howardeskin @BrentCelek They look like they're in a soup line. #ifitsfree
109975501_382560902848843776 x	@amyfadoolCSN @PompeyOnSixers @Sixers Julius Erving
109975501_382557686031581184 x	@ladyantebellum ...show a little uh huh
109975501_382208953200816128 x	@amyfadoolCSN @henrikstenson Nicely done!!! PS Another rules infraction by Eldrick. Cheating or just a run of bad luck? #3timesthisyear
109975501_382326529859928064 x	@amyfadoolCSN http://t.co/kA1tp0cFj6 It wasn't East Lake but they are mounting. #'roidsarewearingoff
109975501_382325469560856576 x	@JSalisburyCSN  Sad to see his days as a Phillie end this way. #classact
109975501_382325297502093312 x	@MikeMiss975 He's done, he has pitched his last game as a Phillie
109975501_381919735765413888 x	@TonyBrunoShow Mr Monday night about to become Mr. every day of the week.
109975501_381919486330167296 x	@amyfadoolCSN No FedEx tweets. Tsk, tsk! You would have been all over it if your boy was in the hunt. ;-)
109975501_381831678240382977 x	@amyfadoolCSN @CSNPhilly Well done, Ryan, much deserved. #playoffsin2014!!! #getridofjimmythejogger #jrollisacancer #ryansandberg
109975501_381177886926860288 x	@taylorswift13  Ditch the bubble gum and do more country
109975501_381021576977588224 x	@WIPMorningShow You're wrong, 4 turnovers are not Chip's fault. Vick is awful
109975501_380663527058309120 x	@amyfadoolCSN makes you wonder http://t.co/NVWuedGGtz
109975501_380442628090630144 x	@amyfadoolCSN Yes. Contract year makes him highly motivated. Additionally, he is healthy and utilized more by Chip than Andy Reid#eaglestalk
109975501_380373002723938304 x	@LisaHillaryTV @rheahughes Lisa, stay positive, don't go the negative/cynical route like Rhea
109975501_380131036501254145 x	@lesliegudel 2014 if Utley stays healthy, add Ruf, Brown, Howard and a big F.A. signing, the power outage could be over, let's hope
109975501_380096379260923904 x	@lesliegudel Could be the last days as a Phillie, we need to move on from Kyle
109975501_379715654275702784 x	@amyfadoolCSN Sorry to hear, Amy, sounded like a great guy and you should be commended for honoring your brother.
109975501_379607063745138688 x	@WIPMorningShow Wasn't Angelo talking playoffs last week? Talk about a hack. #wimpy
109975501_379416340554993664 x	@JohnKincade Stop being so negative, it's one game, get over it.
109975501_379404097318699009 x	@amyfadoolCSN The fans are fearful of seeing Donavan vomit again. Andy getting a W. #fullcontact
109975501_379403672674770944 x	@amyfadoolCSN #fullcontact we ran into a team who had a better game plan. Milk the play clock, slow things down and exercise ball control.
109975501_379403392499470336 x	@amyfadoolCSN #fullcontact I am embarrassed to say Andy winning. Not because of him, their D is pretty stout. Donavan is too irrelevant
109975501_379402950994448384 x	@JohnKincade 1 game and your bad mouthing him? #whineonjk
109975501_379338161916112898 x	@amyfadoolCSN What did he do? He blew the game for us, that's what. #growupdesean
109975501_379337947419398144 x	@JohnKincade Monday morning quarterbacking is easy.
109975501_379273677000294400 x	@MBarkannCSN He will always be known for his blindsiding of Pete Rose. And I'm not even a Pete Rose fan
109975501_379052533542449153 x	@RealJoeNamath @TonyBrunoShow Joe, do you see Suzy anywhere?
109975501_379052364243533824 x	@amyfadoolCSN Johnny Football's a stud, what a talent. #backtobackheisman's
109975501_379052120705474560 x	@TonyBrunoShow The original Mr. Monday night has expanded, he should be known as Mr. EVERY night!!! Well done, T-man.
109975501_378694604528156675 x	@howardeskin Ruben has buried this team, plain and simple. The free agents and the draft picks have been horrendous, it's time to move on.
109975501_378694276948828162 x	@howardeskin He waited too long to pull Doc, he had over 100 pitches and walker 4 in a row, not too savvy
109975501_378472008238899200 x	@WIPMorningShow@Jkelce @KathyOrrCBS3 @JimmyKempski @RealJamesWoods Please explain to me why Phil Martelli is talking football #hack
109975501_378315011765972992 x	RT @MensHumor: I don't always turn the radio down, but when I do, it's because I'm lost as fuck.
109975501_377899184361189376 x	@amyfadoolCSN @LisaHillaryTV She is the best #phillysloss
109975501_377893002892410880 x	@LisaHillaryTV  Lisa, I am an avid Philly sports fan and a huge Flyers fan and you have been nothing but exemplary. I wish you all the best!
109975501_377601147629879296 x	@mirandalambert Good luck, Miranda, well deserved!!! #feistyartist
109975501_377600528911306752 x	@JenniferNettles You are the best!!! #bestvoiceinnashville!!!
109975501_377588519956271104 x	@WIPMorningShow @MychalKendricks @BrianDawkins It would be ever better if negative #addnothingrhea could be deleted. #dawkisaneagleforlife
109975501_377588207811952640 x	@JohnKincade Too many pro athletes dog it and Jimmy Rollins is exhibit A. RG3 may have used bad judgment but you have to respect his desire.
109975501_377587742542024704 x	@Golfzillazuback @VokeyWedges Jason, are they SM4's or SM5's? PS Gap wedge 200 yards? Lol
109975501_377587284884729856 x	RT @JasonDufner: Pretty cool gift from the people @titleist today. http://t.co/1fTUniKpyn
109975501_377507259388919808 x	@taylorswift13 Carrie should have included. #outrageous
109975501_377507103385980928 x	@howardeskin They will score 50 on Andy, he will look more bewildered than ever. #andyovermatchedvschip
109975501_377187121074696192 x	@nufced Yoke is too worn out from the last match. #5settersareakiller
109975501_377117313528393728 x	@WIPMorningShow @darealtank78 @nufced Why is Martelli's opinion relevant? Tell him to try to win a big game. #itsoverphil
109975501_376881983541886976 x	@TonyBrunoShow That is good vomit game he is spitting
109975501_376866952699854849 x	@jodymacman Rollins should been benched again today. #tiredofjimmythejogger
109975501_376866749359988736 x	@JSalisburyCSN Why was Rollins back in the lineup?
109975501_376866577364156416 x	@taylorswift13 @caseyjames T.S: you should have seen Carrie on SNF, she was outstanding. #CarrieUnderwood  rocks!!!
109975501_376688260015091714 x	@amyfadoolCSN I trust Leslie won something as well, she is the best reporter in the city.
109975501_376521765427499009 x	@amyfadoolCSN @DavidSouthFla Congratulations, Amy, well done!!!
109975501_376510975286849536 x	@lesliegudel Is Freddy in because of Rollins' antics last night?
109975501_376357280297414657 x	@jodymacman Would your Dad have told the manager to sit Rollins after his lazy display again last night? He is embarrasing and has to go
109975501_376045698359111680 x	@WIPMorningShow #hollisthomas is gutless, piling on about Riley Cooper #getoveritfatboy
109975501_376036768404877312 x	@howardeskin @BonJovi Must be a very bright kid with a lot of foresight. Well done!!! PS Cheer, cheer for old Notre Dame
109975501_375778195502428160 x	@TonyBrunoShow That is goof Frankie Valli knowledge. #sherrybaby
109975501_375777984637960192 x	@HARRYMAYES975 @SheenaParveen @CHansonGolf Chris, I have your new visors, will drop off, welcome to twitter.
109975501_375777637295091712 x	@TonyBrunoShow Who knew?
109975501_375354114269401088 x	@MyPhillyGolf It's about time Furyk was put on the shelf, we needed some new blood
109975501_375051701297745920 x	@TonyBrunoShow That is great CFL knowledge. Who is the QB, Warren Moon or Tommy Clements?
109975501_374356252735729664 x	@howardeskin @FOX29philly @caplannfl Go get'em, H
109975501_374303529621389312 x	@amyfadoolCSN  No tweets from the Deutsche Bank?, great event!
109975501_374328479438737408 x	@amyfadoolCSN Lot to cover this time of year. Go 'Birds!
109975501_374172455146774528 x	@lesliegudel Class guy, too bad we couldn't find a taker for Jimmy the quitter.
109975501_374172161948147713 x	@howardeskin Michael Young deserved better than watching Jimmy jog to first base. He is a winner and I wish him well. #classactM.Y.
109975501_373851334484561920 x	@28CGiroux @Eagles G, the O loks great and we will score points and the special teams are much  improved, the D is the X-factor. #goflyers!!
109975501_373504385239642112 x	@KellyTilghmanGC Mickelson always plays well against Eldrick, go figure
109975501_373504195338313728 x	@975ShowSheet @TonyBrunoShow How about Fitz Dixon?
109975501_372893723765374976 x	@cm_rocks @thebandperry The best live band in country music, bar none. #theyarethequeenofthenewmillenium
109975501_372893131026337792 x	@MikeMiss975 #jimmythejogger cares only about himself. He's lazy, unmotivated and a divisive influence on the team. #ridusofjroll
109975501_372513357581914112 x	@TonyBrunoShow Excellent Mutt knowledge. They had more there in the Ed Kranepool days
109975501_372513054249844736 x	@howardeskin @SportsRadioWIP Rhea is lucky to have a job, she's nothing but negative and adds little.
109975501_372459120592306176 x	@howardeskin @SportsRadioWIP You let him off the hook with the GM question. It is not JUST a player evaluation job, it is much more
109975501_372458465324576768 x	@YO_RANDYJACKSON @TheDoctors Good luck, Randy
109975501_372396646140608512 x	@thompsonsquare Will T.S. be at the CMA Fest in 2014?
109975501_372167575041368064 x	@thebandperry Kimberly, everything you do is #1
109975501_372167366567686146 x	@TonyBrunoShow @JohnKincade @chuckwoolery Good Mama Bruno knowledge.
109975501_371948999189610496 x	@WIPMorningShow @beasleyreece I hope Beasley is right but the D is scary
109975501_371791475614302208 x	@amyfadoolCSN More Eldrick love. Adam won the tournament.
109975501_371807689577230336 x	@amyfadoolCSN  Who woulda thunk it?
109975501_371791905610149889 x	@lesliegudel  Could be a helluva 4th ot 5th outfielder next year. We need a couple of inexpensive guys who can fill out the roster and play
109975501_371330788551168000 x	@robellis94 @SportsRadioWIP Ray is off base today. The NFL winners always play the same way. Did Bart Starr pass as much as Brady/Brees?
109975501_371084407127293952 x	@KellyTilghmanGC Is he the only playing at the Barclay's?
109975501_371084198968184832 x	@KellyTilghmanGC Poor baby, go change his diaper
109975501_371083949625200640 x	@SargeSaidWhat Hmmmmmmmmmmmmm
109975501_370876563341840384 x	@WIPMorningShow Charlie is a class act, will always be beloved in Philly
109975501_370677132826902528 x	@TonyBrunoShow @DEBphl If Billy (whiteshoes) shows up, all the way from Chichester, will he be allowed to stay?
109975501_370694979078721536 x	@TonyBrunoShow @DEBphl That's good Johnson knowledge. PS Widener's own
109975501_370557570525564929 x	@MikeandIke94WIP @SportsRadioWIP Ike, quit apologizing for Jimmythejogger. One rule; run hard, it's not that tough. #noexcuses  #jrollquits
109975501_370264900603371520 x	@KellyTilghmanGC I hope someone was there to change his diaper. Poor little Eldrick
109975501_370174405508214785 x	@WIPMorningShow @lesliegudel Leslie did a fabulous job, Charlie maintains the utmost respect for Leslie and it allows for honest dialogue
109975501_369992426082930689 x	#lesliegudel the vignette Leslie did with Charlie was perfect, she is the quintessential pro and this kind of repartee will be missed
109975501_369622523853303811 x	@JSalisburyCSN Once a dog...
109975501_369634166305857536 x	@howardeskin @JSalisburyCSN Exactly
109975501_369622850207899648 x	@lesliegudel He was a fabulous player, I hope his leadership carries over. #jimmy'sstilladog
109975501_369560035191312384 x	@TonyBrunoShow Tony is the undisputed King of the hot list. #tonyhasnopeer
109975501_369559842920222720 x	@JSalisburyCSN You can't a malcontent to run hard to first. You want to or you don't. That simple. #whydoesheevenhavetotrytocoax?
109975501_369402766705164290 x	@johnclarknbc10 I don't care as much about the average or OBP, I care more about the jogging to first. Enough!!! #jrollgottago
109975501_369402552002957312 x	@JSalisburyCSN Rollins needs to take a hike, no room for laziness in Philly. #jrollgottago
109975501_369266372397629440 x	@lesliegudel We need a major purge at the end of the seaon. #dowhattheredsoxdid
109975501_369266113210613760 x	@KellyTilghmanGC The ball wasn't for her, it was for a friend back home. Perhaps Paula should have asked for HER autograph
109975501_368789520088449024 x	@howardeskin Very interesting
109975501_368681419641348097 x	@lesliegudel Your special bond with Charlie was evident, I will miss that.
109975501_368681103529234433 x	@MasonAndRemy @LauraBellBundy @RemyRadio @MasonShow Laura Bell's new video is white hot. Ouch!!!
109975501_368549414194774016 x	RT @InfinitePHL: @PureBlarney @WhizWitSports Charlie is 1 of the most loved coaches here I've ever seen.We'll always love him. No one could?
109975501_368513622193864704 x	@InfinitePHL @WhizWitSports  Great post, thanks!!! Charlie will ALWAYS be welcome in Philly #neverhavetobuyadinnerinphilly
109975501_368513390815092736 x	@mirandalambert #blakeshelton Blakey is a lucky man. ;-)
