285380794_400001762847105024 x	@Gibbs_bW people who expect it are freeloaders
285380794_395245804463869952 x	RT @DavidMFriend1: Hats off to the 3 firefighters who thought to raise ?The Flag?: Dan McWilliams, George Johnson, Bill Eisengrein #findthe?
285380794_395221153956237312 x	RT @MuttCutts: Ski's huh?..
285380794_395186087033069569 x	RT @FakeWIPCaller: The caller who yelled at Howie Roseman is right! The Eagles should never hire a GM who hasn't been a fan for 40 years
285380794_395009853409984512 x	RT @FakeWIPCaller: AJ Feeley is on the field? Are they retiring his number too?
285380794_395009817108295680 x	RT @FakeWIPCaller: Do you think Brett Favre can be at Novacare on 24 hours notice?
285380794_395009627924201472 x	RT @FakeWIPCaller: The Eagles may have gotten piss-poor QB play this year, but at least none of them threw up in the huddle or made Chunky ?
285380794_394961199433269248 x	RT @TheFakeESPN: Top targets for Rams QB Kellen Clemens tonight: 1) Earl Thomas 2) Richard Sherman 3) The Ground
285380794_394927640874065921 x	I'm a Sonoma guy till I die #kohlscash
285380794_394858334907809794 x	RT @Weather_Man_Rob: A message to all students at Haverford. http://t.co/LU3nXEM3J1
285380794_394854359567441920 x	RT @Sixers: OFFICIAL: #Sixers sign rookie free agent forward Brandon Davies ? http://t.co/b3vF7UT3hc
285380794_394620959073632256 x	RT @FakeWIPCaller: The Eagles need to go out and get Matthew Stafford. Any quarterback who fakes a spike to beat the Cowboys belongs in gre?
285380794_394555091304202240 x	third string quarterback,,,,,,don't know why anyone expected anything.
285380794_394361885010952192 x	RT @ducksauced: Anal isn't THAT bad after the third time
285380794_394361382704934912 x	@sammi_wheeler wow i take it you must have really missed me and @ry_ant_hom_son this weekend?
285380794_394359450447777792 x	@emilyx11 nahh shes with me
285380794_394360510683938816 x	@emilyx11 ehhh well this is her writiing this .............. #awkward #youmadddddddd?
285380794_394359160105869312 x	RT @VUDavidTedjeske: If your car is still in Main Lot so help me God I will SET THAT SHIT ON FIRE
285380794_394294171106050048 x	#weare
285380794_394231224778358785 x	I'm in the mood to see don cry so hopefully ohio state rolls all over penn state which they will.
285380794_394271740337348609 x	@mfitt_ mow this fittipaldi
285380794_394265299903873024 x	RT @thekidet: Headed to the halloween party...costumes of the year, the prince and jazz! djones_89 http://t.co/wz5XbHGT3M
285380794_394228015175319552 x	Maryland looks like an arena team #stupiduniforms
285380794_394205501703356417 x	RT @bnagel81: @AlbertBreer @NFLosophy Jameis's biggest flaw right now is his HS graduation year
285380794_394200570812055552 x	@fuzz_diesel jesus http://t.co/F3OezbII2c
285380794_393898447331676160 x	RT @VUDavidTedjeske: NOVA ALERT: VU is not a FARM! If U spot any Asians harvesting nuts use CAUTION. They are famously aggressive and known?
285380794_393754731665186817 x	Bars that don't have ATMs so you dont spend your bank account >>>>>
285380794_393744253941481472 x	RT @c_walsh_11: http://t.co/uZrqFRFqYg
285380794_393744172865556480 x	RT @c_walsh_11: Kyle Pete and Korz all threw up last night #rockstars #conestogaroad #ignitechangegonova
285380794_393544118775078912 x	@Leibig_24 @bradhern @CINC_or_swim don't come we don't want you here
285380794_393546333547954176 x	@bradhern @Leibig_24 @CINC_or_swim it's funny cause you think it'll work like that #novanation
285380794_393491369328930816 x	RT @JermichaelF88: Home Sweet Home! #FinleyStrong
285380794_393491213925769216 x	RT @CHAMB_Simmonds: My life in a nutshell is superhero movies Katy perry and lax
285380794_393432678852083712 x	vince carters dunks > blake griffins dunks
285380794_393397657798184960 x	@alleniverson you forgot the L #istillloveyou
285380794_393376406677495808 x	RT @TheFakeESPN: "What's a guy got a dick-pic to be called by the RAMS around here!?" -Tebow, drunk on communion juice
285380794_393374913060302848 x	I get pumpernickel bagels just so I can say pumpernickel.
285380794_393235760444211200 x	@e_lee30 damn dude they're gonna miss you tho!
285380794_393237949040848897 x	@e_lee30 never watched it but if tami taylor is in it I may have to indulge
285380794_393135333682216961 x	RT @Granta_Claus: Just slobbered all over my iPhone by accident... Guess it's just one of those "Walt Jr" kinda days..
285380794_393134417914646528 x	RT @FakeWIPCaller: Boycott every media outlet that mentions the Joe Carter anniversary. Enough is enough
285380794_393081420014710784 x	The main line breeds stupid restaurants for stupid people on the main line
285380794_393046842709377024 x	I don't think ill ever hunt but if I did, I'm coming for you car facts fox
285380794_392665067054850048 x	@zachgilford713 yo keep doing you man! you kill it!
285380794_392664780277698560 x	I have a better chance of listening to someone who speaks a different language than this lady. Jesus Christmas.
285380794_392479253083987968 x	RT @alleniverson: On my way to Indonesia. Can't wait to see my fans!! @LA_Streetball
285380794_392478962711941120 x	@chris_lyons23 don't wish a second of the year away.
285380794_392233242218471424 x	How do I drop out and become the candy crush VoiceOver dude? No way in hell that guys up right now #sweet #delicious
285380794_392064972202979328 x	To the dead deer on the blue route that I've ran over twice with guts hanging out all over place, clean yourself up man. #getajobgrouch
285380794_392032917766955008 x	a big thank you to my old friend @CHAMB_Simmonds for the great hospitality this weekend #goodpeople #goodtimes #goodlife
285380794_392022155400994816 x	You know the games over when chip Kelly's marital status is a topic of discussion.
285380794_392020975220314112 x	Apparently it make better decisions drinking than Matt Barkley does at quarterback
285380794_392018761156284416 x	@Gibbs_bW no one said anythig about him being sober
285380794_392018601554624512 x	RT @MickWillYums: We take Vick for granted
285380794_392016853339357184 x	@Gibbs_bW that had me in tears
285380794_392016053402083328 x	I know my man @catchleeifucan is going nuts for this Barkley debut
285380794_392015914679672832 x	RT @Gibbs_bW: Matt.Barkley taking snaps and warming up on stationary bike #JesusTakeTheWheel
285380794_392014618685865984 x	Dez is too fresh
285380794_392013801274368001 x	I despise Alex henery, I wait until the day he loses a playoff game for us.
285380794_392013346725044224 x	RT @Jeff_McLane: BREAKING: #Eagles declare Michael Vick 100 percent recovered from hamstring injury and ready for next week's game.
285380794_392013295957204992 x	RT @RMcElhenney: Will Mariota be there? Lose out. Draft high. #Eagles
285380794_392012718611234816 x	Foles just looked like someone throwing a ball with their opposite hand
285380794_392011182803910656 x	Liam mcgrath woulda made that play
285380794_392010319637131264 x	RT @FakeWIPCaller: Oh, get back on the field, D-Jax. Guess you're not as tough as Foles.
285380794_392007314351202304 x	RT @FakeWIPCaller: Can't argue with that RT: @MVFive Y'all Eagle fans should appreciate my brother Mike but y'all don't lmao. #DumbMotherF*?
285380794_392007218859479043 x	RT @FakeWIPCaller: Foles may be injured and unable to complete a pass, but he's still on the field, and that's what counts. Makes me like h?
285380794_392004491471384577 x	I'm interested in what a conversation between desean and Donnie jones would be like
285380794_391992480305934336 x	RT @KNegandhiESPN: This Eagles-Cowboys game could use a little Devin Hester. How bout just crossing midfield. We'll take that.
285380794_391983839104757760 x	RT @FakeWIPCaller: Ed Rendell is right! Troy Aikman's announcing is "hateful"- and it's going to cost the Eagles this game.
285380794_391983691976962048 x	I miss Vick
285380794_391965666351521792 x	Hahahahahahahahahaha randy moss on pregame is fantastic #straightcashhomie
285380794_391963526450774017 x	Ha ha! You have to get Face Juggler right now! http://t.co/mbkJgSQen7 @facejuggler http://t.co/YGPleED83C
285380794_391795860058947584 x	RT @Kevin_Coughlan: Jameis Winston is unreal and to think he's just a true freshman.. boy he's gonna be fun to watch
285380794_391749709112823808 x	Some college freshman just told me I don't know how to turn up......  #Alrightmyman #classof13
285380794_391719489265741825 x	There's few things in life more precious than watching chambers interact with Chester locals
285380794_391687283742896129 x	@britt_tit guilty as charged Oswald. Come out its homecoming
285380794_391623060526497792 x	RT @dlynamCSN: Good crowd at the palestra for Sixers practice. No Lavoy Allen. He over slept. Brown "we will handle situation"
285380794_391450098041102336 x	RT @WizKhalllifa: Whatever it is you decide to do in life, make sure it makes you happy.
285380794_391367091565383680 x	Leon smith was a terrible basketball player but a legend
285380794_391354158994829312 x	RT @FakeWIPCaller: So Cranston is a PHILLIES FAN, HUH? http://t.co/qGRJOhqGRS #boycottbreakingbad
285380794_391353649080713217 x	classic ry move to say hes on the way and not answer the phone a half hour later
285380794_391350372846956544 x	damn if grambling state doesnt play tomorrow what am I going to do with myself? been looking forward to match up for years.
285380794_391262627508539394 x	Who thought Seth green was ever funny
285380794_391000829223653376 x	Pierce in a nets jersey is too weird
