49165331_140962568876457985 x	@KindysFactory Sorry Kindy's, but your Xmas factory stinks. Over priced and over-rated.
49165331_251817099591299074 x	I've just started using zeebox as my TV sidekick. Download the free app, and let's watch together! http://t.co/lzW0EiX4
49165331_250282781358321665 x	@vitorbelfort Hold your head up high sir! You took a big piece out of Jon Jones on Saturday. I'm still a big fan of yours. Enjoy life!
49165331_250281946897342464 x	@JohnMcCarthyMMA Welcome to the Tweet World Big John! By way of Hendo!
49165331_248756386668883968 x	@danawhite Can't wait. My money is on Vitor. I may lose, but I can't bet against Vitor. Stann and Bisping should be a good one too! Thank u!
49165331_246244566099976192 x	There has to be a cut-off date of when Summertime(Will Smith) can be played. After Labor Day? Just heard a car blasting it! No no no...
49165331_244233250611023872 x	Threaded discussions on online college courses suck!
49165331_244232715614973954 x	@joerogan Joe?
49165331_244232158011613186 x	@danawhite Wow! That's a great match up. I will watch it for sure. Thank you.
49165331_242605321770639360 x	@madflavor.
49165331_241360377613529088 x	@joerogan A dirty whore that smokes cigarettes and gets people off never talks about health care and politicians :)
49165331_235351481224663040 x	@joerogan Joe! Do you believe in mermaids? Just saw a documentary on the Discovery channel.
49165331_233240837293740032 x	Whatever will be, will be...
49165331_231906949757820928 x	@danawhite Yes!
49165331_231447357605167104 x	@BryanCaraway helping a brother out, but only because of Miesha!
49165331_230452063748911104 x	@titoortiz  I can't wait. Be real. I will listen to this tonight or on my way to work tomorrow.
49165331_230451336104271872 x	Happy Birthday Eliana! I love you!!
49165331_228641758895038464 x	Storm in South Philly is Crazy!!!!!!! Recycling Bins flying all over the place!!!
49165331_228152890072657920 x	R.I.P POP! 7/25/1984
49165331_225380931484131330 x	@MikeTyson That's a keeper!
49165331_224623742708494337 x	@danawhite Dana! You must get the most #@/:' in the world.
49165331_224328717567131648 x	George Lopez is killing it tonight on HBO!
49165331_224313784884400128 x	@MieshaTate Hell yeah!
49165331_223008226927583232 x	@titoortiz Win or Lose you should be happy with your accomplishments and what you did for the fans. Good fight. Flip 2 next chapter please!
49165331_221203107336560640 x	@titoortiz Tito Good Luck tomorrow night! I'd rather see you put on a great fight for the fans than just a win. We all know you're a HOF'er!
49165331_218640561828134913 x	@Sue_Serio Love the sound of t-storms. Hit snooze 3x because of it! :)
49165331_217301413687066624 x	@Rampage4real Hey Mr. Jackson. Hurry up and heal up...UFC is not the same without you in the mix or hunt!
49165331_212927258111905792 x	Being Happy is where it's at!
49165331_212594478131851265 x	@joerogan Have you seen the Blue Lobster? http://t.co/NTSuFNGD
49165331_212362157503942656 x	@joerogan Thank you for keeping the West interview real. I enjoyed it very much. You let that man speak and didn't put your show above him.
49165331_211144469473533952 x	@joerogan I'm freaking hooked on your podcast! Thank you sir. Good stuff!
49165331_206568097182789632 x	@junior_cigano You will defend it Cigano. You don't need luck...just your overhand right! I will be watching!
49165331_206567290190311424 x	@danhardymma Nice finish Mr. Hardy. Good to see you back! Congrats!
49165331_204218822503305218 x	@BasRuttenMMA I love this day because I'm alive! Who doesn't like to be alive! Enjoy it!
49165331_203460817616764928 x	@Sue_Serio I second that! Have a great weekend Sue!
49165331_200989439932116992 x	@AriannyCeleste Top 100? I would say more Top 1!
49165331_199625028021665793 x	@joerogan Mr. Rogan! Like, You know, Um...I just started listening to your podcast and I am hooked!
49165331_191393052978450433 x	I just finished watching An Officer and a Gentlemen on AMC. I wept like a baby all over again. Damn that movie is good.
49165331_191168750358249473 x	Waiting for the barber to arrive. He's always late, but at least I will be first in line. He's worth the wait...so hard to find a good 1.
49165331_185464016695595008 x	@danawhite Thanks Dana, but I think I'm just going to watch Cigano knock out "The Reem" on PPV!
49165331_185156192711086080 x	@JeffProbst Karma. What a loser he is. Selfish and just plain Evil. Actually I won't even give him the Evil tag, its too prestigious. Loser!
49165331_179717875412643841 x	@MikeTyson Oh yeah. I need to buy something now!
49165331_179030691936337920 x	@RenzoGracieBJJ Happy Birthday Renzo!
49165331_178591453705015296 x	@BasRuttenMMA I will frame the tweet and call it No Mas Blackberry Bas!
49165331_177017843345403904 x	RT @cnnbrk: 14 killed in #Syria as regime attacks escape route to Lebanon, opposition says. http://t.co/4TUXfBMr
49165331_176730884198764544 x	@Rampage4real Sounds like where I want to bee right now. Keep your head up sir. Looking forward to your comeback!
49165331_176111250500091904 x	@AriannyCeleste Are you a Comcast subscriber? You can watch it on your iPad or laptop using Xfinity TV
49165331_175721136959660033 x	Loving our new juice fountain from Breville!
49165331_171906777795928064 x	@joerogan  The Thing holds up pretty well too.
49165331_168403254957441025 x	@BasRuttenMMA Thanks for the reminder. I will be watching now!
49165331_167581184568721409 x	Happy Birthday Pop! You would have been 82 today. RIP
49165331_166946620053794816 x	RT @Round5Randle: @anthonynjoku @Alistairovereem @BasRuttenMMA Kevin randleman fan!? RE tweet to get him a round5 figure. Need support p ...
49165331_166875813881446400 x	RT @BasRuttenMMA: Wanna do something funny?I always do this,when u c somebody with a violin,say "wow, that's a small guitar", they alway ...
49165331_166874895601508352 x	@BasRuttenMMA Funny stuff Bas!
49165331_166330441027162114 x	@danawhite Agree!
49165331_165030006865674240 x	RIP Angelo Dundee and Don Cornelius
49165331_164531002755137536 x	@BasRuttenMMA Hello Bas! When will you and Inside MMA have a special or show with Mark Kerr? "Real MMA with Bas!"...who needs Bryant!
49165331_164341370054651904 x	@Sue_Serio I was bamboozled! I'm glad I wore my heavy coat today, because it was cold this morning! I luv you Sue, but I'm dressing 4 season
49165331_163450199539326977 x	@KendaPerez looking good Kendra. Just caught a glimpse of on TV during Davis prep before entering the cage.
49165331_163429075560574976 x	UFC on FOX right now!
49165331_163060425792028672 x	Spartacus Tonight! UFC on Fox tomorrow night! Wish it was a  Superbowl Sunday night for the trifecta!!!
49165331_161627312960446466 x	@BasRuttenMMA You are the man Bas! Big Fan! Keep up the great work!
49165331_161607622498332672 x	@BrookeAnderson Hi Brooke! Love the coat you are wearing tonight. Can you please let me know where I can get one for my wife? Thanks!
49165331_160763161480409090 x	@danawhite Don't listen to the haters. John Anik was very impressive tonight. He will only get better...great night of fights. Thank you
49165331_160198072943656961 x	@AriannyCeleste I think you just created a new city...Going to Nashville? Naah! Lol
49165331_160174050432401408 x	@KendaPerez Mommies are the Best!
49165331_159440990632034304 x	@danawhite Really...Not that Munoz had a chance against AS, but if Count manages to get past Chael...a Count and AS match up is not worthy.
49165331_156165699398676480 x	Sunday night rehearsals in Olde City, Philadelphia. Nothing like watching little Izzy sing. Proud of her!
49165331_155853034591752193 x	@MieshaTate good luck on March 3rd. I will be rooting for you. Good to see you on Showtime!
49165331_155850061144784899 x	@danawhite I'm on it. Thanks. Woodley falls. Jardine falls. King Mo and Lawler rise to the occasion.
49165331_155724129650212864 x	#NowPlaying Benny Benassi ? Cinema - Skrillex Remix on @Spotify http://t.co/mzaTgJdO
49165331_155723496494874624 x	#NowPlaying V.H. ? Lady Hear Me Tonight (feat. Modjo) on @Spotify http://t.co/BNu8gw4N
49165331_154189708539342848 x	@thegiff19 It all depends who you're greeting...
49165331_153358568723193857 x	@KendaPerez That YOU doesn't know how lucky they are and what they're missing...HNY!
49165331_153345897248464897 x	Happy New Year! May all of the goodness of 2012 fall upon everyone!
49165331_153128619256983555 x	@KendaPerez Fair well. I enjoyed Best of Pride yesterday as well. You are a beautiful host along with a great voice. Happy New Year!
49165331_152536598691590144 x	Lobster cheese steak at Chickie's and Pete's were incredible!!!!
49165331_152425639058743297 x	@KendaPerez Good morning!
49165331_152308239835471872 x	Just finished watching 5 straight episodes of Homeland on Showtime VOD! I'm hooked! To be cont...
49165331_151456943964295168 x	@KendaPerez I will be watching! Thanks. Big fan of you and Pride (UFC)
49165331_150715402341711872 x	@AriannyCeleste the most beautiful and realistic alien I have ever seen. I wish I had a close encounter :) Merry Christmas!
49165331_149614942994186240 x	Vacation starts now!
49165331_149537573537185792 x	Good seeing you at the WaWa Giff! Enjoy your lunch!
49165331_149138086201266176 x	@thegiff19 Hot sauce...Always!
49165331_148871597825069056 x	@thegiff19 Fox? What you don't respond to tweets?
49165331_147408548278710273 x	@MikeTyson No Mike. Thank you!
49165331_146653831944609793 x	@AriannyCeleste I like that, but I'm luckier to not have to...
49165331_146203750359506944 x	@AriannyCeleste Do you and Palmer get along with each other?
49165331_145199272848138240 x	Happy Friday! Missing you Giff, but wishing you the best of luck with your new job/role! TWM
49165331_141470147486564352 x	@Rampage4real Just keep representing in and out of the cage. I got nothing but love for ya baby! Fan for Life!
49165331_125547428530233344 x	Happy 7th Birthday Isabella. I love you!
49165331_141315823322136577 x	@thegiff19 How was your Thanksgiving? How are they treating you?
49165331_141469710897258496 x	@thegiff19 Nice! Good here too. I'm glad we tweeted :)
49165331_140962981193334784 x	@KindysFactory Not going to Kindy's to buy something I can get at any local store without the long long lines and at a cheaper price!
49165331_140525736321757184 x	@KindysFactory Worst wait lines ever. This is the last year for me. Over-rated too!
49165331_140523857739124737 x	@KindysFactory worst*
49165331_140521801255108608 x	@KindysFactory Kindy's has the worse checkout system...they really need to spend more time redesigning the flow...this is ridiculous!
49165331_137977354906648576 x	@BrittneyPalmer The profile photo makes your left leg look like it's bent awkwardly (shadows). Damn photographer! Fire him/her!
49165331_136885324839256064 x	@twothirtyam At the most, you should just say HD VTC. I realize Cisco is calling everything TP, but unless you have an immersive rm home....
49165331_136812195395809280 x	@CiscoCollab Wow. Can someone please let me know where I can find more information on that large touch collaboration display shown earlier?
49165331_135563959506964480 x	@danawhite It wasn't Great Dana, but it was hype (literally!). Even the NFL has blow-outs, so wishing you, UFC, and Fox much success.
49165331_135549982597070848 x	@danawhite JDS!!!!!Yeah baby! Congrats to UFC and JDS!
49165331_135158263875514368 x	Can't wait for UFC on Fox tomorrow. I also can't wait to see my little girl sing live  in a show being held at the Art Museum tomorrow. DVR!
49165331_135157505671172097 x	@danawhite Using Comcast, so must watch on the non-HD FOXDeportes channel. Better than nothing! It's actually ok...thanks
49165331_135157007492726784 x	@AriannyCeleste Hey? Let the East Coast players on Comcast know that they can see some action of FoxDeportes on channel 584 or similar
49165331_134592414483623937 x	@NASDAQBEAR I agree. It's worth it
49165331_134446606241120257 x	@MikeTyson I'm on it. Thanks. AC360 is on now.
49165331_133511666871713793 x	@AriannyCeleste Incredible! Very well done.
49165331_132486978368311296 x	@danawhite Pulling a Nick Diaz, eh? JK...Good luck!
49165331_131883521072578560 x	@JeffProbst I'm ready! Should be a good one tonight! Let's see if they're strategy pays off and works...no pressure Ozzy!
49165331_130762289090539520 x	@AriannyCeleste You're heart is the best...and most likely reflects the truth :)
49165331_130745205581283328 x	@danawhite Great production. It gave me goose bumps and I'm not even part of the UFC company. Best of luck and continued success. Can't wait
49165331_130450403799220224 x	@danawhite That was great showing by Cerrone. He proved himself tonight!
49165331_128102769998573568 x	@AriannyCeleste Wishing I was from outer space right now...:) cool pic
49165331_125620405263269888 x	@AriannyCeleste vacation?
49165331_125620243476398082 x	@thegiff19 thank you sir...you going down Danny?
49165331_118500473127960578 x	Go Yankees
49165331_113614681008119808 x	You can't do anything about the length of your life, but you can do something about the width and depth.
49165331_112144971724890112 x	@danawhite Better than nothing. Should be just as exciting! Thank you sir!
