379479130_393162462264307712 x	RT @AIaBubba: http://t.co/NiHGZxdwKi
379479130_393731663249039360 x	RT @kjnt38: #16 Coming !!! RTR !!??? http://t.co/N50KcVKIwJ
379479130_393595479868862464 x	RT @TideRecruits101: @RobertLester_37 for #RookieOfTheYear #BuiltByBama
379479130_393594754161975296 x	RT @MLBFanCave: Followers to RETWEET are eligible to win a #WorldSeries baseball. http://t.co/XTjzk3I8er
379479130_393587375009722368 x	RT @Bamanationtexas: The entire weekend summed up in two hashtags..... #TennesseeHateWeek and #RollTide ....... We're ready!
379479130_393577951079702528 x	@TideRecruits101 @TheHand54 @DrBainyo good decision! #RollTideRoll #BamaNation
379479130_393576806244450304 x	RT @bamastuff: People think they want BAMA.  No, no they don't. http://t.co/GvaKbLXtFR http://t.co/ityBFKYAB8
379479130_393576636152819712 x	RT @TideRecruits101: And to think @RobertLester_37  didn't get drafted but he shining like a 1st round pick #BuiltByBama
379479130_393570562926469120 x	@zackruaitken @SEC_Logo still think that is the greatest catch I have ever seen! #RollTideRoll #BamaNation
379479130_393561319036977152 x	RT @BamaFootballPic: Watching MSU/UK. What's up with MSU helmets? First sign of desperation = crazy helmet design. Hey MSU...we don't do cr?
379479130_393494472551845888 x	RT @emilypitek: I applaud Saban for getting on our fans. BEING a real fan means supporting rain or shine, win or lose, fully.
379479130_393491702276980737 x	RT @Failtext: http://t.co/N6478zglLB
379479130_393491591782203392 x	RT @UA_Athletics: The @AlabamaMGolf team wins the Isleworth Collegiate Invitational title . #RollTide #builtbybama http://t.co/p9JxzEcfah
379479130_393457848761720832 x	RT @CrimsonTider74: Have you hated Tennessee today? #TennesseeHateWeek #RollTide #RoadTo16 #BeatEveryone
379479130_393454382890905600 x	RT @Trent_Tracker: @BamaPride143 this is ridiculous that we have to start a campaign to keep people staying .. if you leave early your not ?
379479130_393414195666227200 x	@HarryHaywood @HailToTheTide #RollTideRoll #BamaNation
379479130_393405871579201536 x	RT @LeBronFanLBJ6: I'll always pull for any #BAMA player no matter what team they get drafted for @DjFluker76 #Aj #Richardson #Ingram
379479130_393405256006393856 x	RT @DrunkSaban: Got to give UT fans credit...they're always out picking up litter on the roads. #CourtOrderedCommunityService #TennesseeHat?
379479130_393404408333369344 x	RT @jerrysandersRTR: Ole Smokey after the Tenn game... #TennesseeHateWeek http://t.co/wbviQ0rXoC
379479130_393396951066353664 x	RT @SEC_Logo: #SEC Throwback: Hey coach http://t.co/PSSI2ksRf0
379479130_393374744567103488 x	RT @DrunkSaban: Breakfast for a Tennessee fan. #TennesseeHateWeek http://t.co/hExNKjmIvn
379479130_393373500834344960 x	RT @UADennyChimes: #TennesseeHateWeek   BE LOUD IN BRYANT DENNY  and  STAY THE ENTIRE TIME  no matter the score  Be part of #TheProcess
379479130_393370565467463680 x	RT @gunshot29snakes: @DjFluker76 Son, these bolt fans are discovering what the Tide Nation already knew.  All Pro DJ Fluker sounds nice.  M?
379479130_393230715971989504 x	RT @MLBFanCave: Followers to RETWEET are eligible to win a #WorldSeries baseball. http://t.co/AEYy5UELg9
379479130_393224922698240000 x	RT @TheGameWDGM: ?What are you doing here? Tell me why you are here. If you are not here to win a national championship, you?re in the wron?
379479130_393223634569150464 x	RT @BamaPride143: #BamaNation y'all gotta try your best to shake that BDS for 60mins. We need to make our stadium to be the best! #RTR http?
379479130_393205930973990913 x	RT @_DCReeves: Just read the 'legacy vote' anti-Bama argument for the 50th time. They do realize Bama has won past 5 games by a combined 20?
379479130_393184958984232960 x	RT @BAMAFAN_29: @HailToTheTide @Tide_grl113 ROLL MF TIDE. #RTR #chasefor16 #TennesseeHateWeek http://t.co/OTikGG4tsS
379479130_393182553215336448 x	RT @paulwise77: @mccbig74 Roll Tide #Ihateorange
379479130_393181565968470016 x	@Irvski_Werski I hate that puke Orange team too. Couldn't have said it better myself! #RollTideRoll #BamaNation
379479130_393164201130487808 x	"@TheGameWDGM: Nick Saban is calling out the fans for leaving early" rightfully so it looks awful when #1 team plays to an empty stadium
379479130_393154099115753473 x	RT @LivingCrimson: Saban: If you don't want to stay for the entire game, then let somebody else go who really wants to be there and support?
379479130_393153944715005952 x	RT @LivingCrimson: REALLY glad Saban addressed that issue of folks leaving early. And agree 100% with him.
379479130_393144194749173760 x	RT @GolfChannel: Roll Tide: Alabama football not the school's only dynasty, @RyanLavnerGC's column: http://t.co/nw1Y7r6EpE
379479130_393144007041507328 x	RT @CrimsonTider74: That's why I'll never respect Fulmer ?@TheGameWDGM: "What happened in the past was mostly self inflicted?let's just lea?
379479130_393137548908040192 x	RT @GeorgeStHelms: Minus Johnny Football, Bamas only given up 2 tds in 6 games, one being a flukey 75yd run, smh
379479130_393137485746012160 x	RT @amy_taff: I HATE ORANGE! http://t.co/RLowuAmENs
379479130_393072266550198272 x	RT @NIckPerry_27: In honor of Tennessee Hate Week.. I think I hated this whole trip #WhatWasIThinking http://t.co/jQ1wFrTVie
379479130_393071613882957824 x	RT @spikechuckmec: @KDx17 Your stats are growing week by week.  Keep it up. #RollTide #RollTideWorldwide
379479130_393071108796456960 x	@MatthewBerryTMR @ESPNResearch app is great. I haven't used a computer the last 2 years. App only.
379479130_393070054864347136 x	RT @Dixie_DarlinAL: Why are there no prostitutes in Tennessee? Because they're all volunteers ?? #TennesseeHateWeek
379479130_393059701891801088 x	RT @ESPNStatsInfo: The numbers for Dez Bryant + Calvin Johnson through their 1st 50 career games: http://t.co/9OLDKXgQVH
379479130_393059436262334465 x	RT @Bamanationtexas: #TennesseeHateWeek #RollTide http://t.co/1Ni2kTQASO
379479130_393033574649438208 x	RT @BamaPride143: Don't ya love haters? #RollTide http://t.co/KGxkblyx4J
379479130_393033166115835904 x	RT @HailToTheTide: Check out this awesome Alabama cake someone made! #RollTide http://t.co/n09qw43Fe5
379479130_393032916458274816 x	RT @UofARecruitniks: Speaking of them calling us the "Red Team". Should we call them the "Stevie Wonder team"? #ItsCrimsonSillyVols
379479130_393018253242814464 x	RT @kjnt38: Roll Tide !!!! #1Bama http://t.co/s8itqL9Hqg
379479130_393015066213511168 x	RT @JOHNSON35BOY: That time of week http://t.co/6UWokTwXu9
379479130_393011402879025152 x	RT @AEDGE_9: @vsunseri3 Made this for ya bro. Hope you feel better #leader #greatplayer #thecomebackbegins http://t.co/kemlkuBb62
379479130_393010997122048000 x	RT @TideRecruits101: Honestly it seems like the more hate and slander Bama receive from the media,the stronger they become.
379479130_393010601943130112 x	RT @TideRecruits101: Tennesse beat USCe by two points now they're trash talking Bama.....did I miss something ?
379479130_393010037528215552 x	RT @LivingCrimson: I don't always hate songs ... but when I do, it's Rocky Top ... #TennesseeHateWeek http://t.co/yo51Kpg6JX
379479130_393009290535251968 x	RT @LewHenry: @dannykanell @strangerinbree @rollbamaroll Sagarin sched: OU #68 1 top 30 win, Bay #100 0 top 30, Bama #43 3 top 30 wins, FSU?
379479130_392844550466977792 x	@spikechuckmec no problem. #RollTideRoll #BamaNation
379479130_392844282245439488 x	RT @rollbamaroll: From the RBR comments: Told my husband I wanted a pumpkin, when he asked why I simply said, ?So I can rip the heart out o?
379479130_392841776291397633 x	"@dhanks15: Bama fans always make me feel at home even when im miles away. #ROLLTIDE" #RollTideRoll #BamaNation
379479130_392796773770854400 x	"@KDx17: "@andreah_18: Weight room was BLARING Rocky Top this morning.. I know that lit a fire under our guys butts!! #TennesseeHateWeek""
379479130_392796585203359745 x	RT @HaHa_CD6: I know there is no way me nor @ALLAMERICAN_2 can match the intensity and effort VINNIE gave to the team but we will do our be?
379479130_392796430207041536 x	RT @matthewclemmons: @dannykanell @rollbamaroll Honestly, if I ever had to justify my team's dominance based on a win over Clemson, I would?
379479130_392795873010528258 x	@CollegeGameDay Nick Saban! #RollTideRoll #BamaNation
379479130_392795471401725953 x	RT @CrimsonTider74: All you need to know about UT is they once employed this back stabbing scumbag as head coach.    #HateTennesseeWeek htt?
379479130_392793966170873856 x	@vsunseri3 good to hear gonna miss you in the lineup. Can't wait to have you back! #RollTideRoll #BamaNation
379479130_392779771316555776 x	RT @CrimsonTider74: Haha ?@BigStud1972: What do a sand castle and the Tennessee football team have in common? They both look great until th?
379479130_392779633474932736 x	RT @TideorDieChick: I honestly liked @dannykanell before this last week. I'm all down for having your own opinion, but you don't have to be?
379479130_392779571097251840 x	RT @TideorDieChick: I now put @dannykanell in the same boat as Miley Cyrus,successful attention seekers. I like Miley better though, she's ?
379479130_392760514012807168 x	RT @NoBoundaries_42: They call me a sellout because I Roll Tide because my brother plays there.. I'm like #TennesseeHateWeek #hatevols http?
379479130_392724630118883329 x	RT @wpdial: Thinking about my boy @vsunseri3 and praying he has a quick and full recovery. You will be back and that 1st INT will taste so ?
379479130_392720120520667136 x	RT @NoBoundaries_42: #TennesseeHateWeek  class vs trash #volssuck  #bamanation #RMFT #rtr #rolltide #rolltideroll #earnindemstripes http://?
379479130_392692661934915584 x	RT @BamaPride143: "Give 'em ... Alabama" #RollTide #DuckDynasty http://t.co/w2smkKHOHO
379479130_392692259604680704 x	RT @BamaPride143: "I inherited a mess too... but look at my last 4 years..." #BamaPride #WeLiveIt #RollTide http://t.co/TWw5VrxXDK
379479130_392678040326926336 x	RT @ZacharyHaut: Please help with the Prayers for Vinnie Sunseri. #MirclesCanHappen @Bama_Boy256
379479130_392675968005210113 x	@DezBryant haters gonna hate! #ThrowUpTheX
379479130_392658522393288704 x	RT @rollbamaroll: I don't Volunteer, I donate my time for free. #TennesseeHateWeek
379479130_392658406500487168 x	"@LivingCrimson: Even ESPN hates the #Vols ... #TennesseeHateWeek https://t.co/omkRpRtAo6" lol so true! #RollTideRoll #BamaNation
