313887077_392979503221596160 x	@SheinelleFox29 If I like your page, will you NOT show Mike naked?? Yikes!!
313887077_379436186567454720 x	@phinsspotlight yea man. Agreed. Good rotation going. Keeping them fresh. Coming together a little at a time. Good results so far. #FinsUp
313887077_379381672367898624 x	@brianhartline @starks94 Great win! Congrats. Hope Soliai is okay.
313887077_379380948158402560 x	Damn, that dude was fast.
313887077_379351245213151232 x	@68INCOGNITO How sweet it is!
313887077_379351094264348673 x	RT @68INCOGNITO: BOOOOM! 2-0 Great team win. Proud of our squad for sticking together and getting the W #FinsUp
313887077_379338248096841728 x	Sweet win by Miami Dolphins!
313887077_379232710373670912 x	Game Day! #FinsUp
313887077_378697047173775360 x	@bhamburg Agreed, and nice mug. (Not your face)
313887077_378695654610329600 x	?@MetsFanInPhilly: Mets won a game! FINAL:  #METS 4, #MARLINS 3? *rubbing my eyes*. Huh? Did I just see a win?
313887077_378690666072920064 x	Just saw a 2014 Mets season ticket commercial on TV and now I don't know why they bother.
313887077_378673877893021696 x	It's really hard watching these two AAA teams play. #Mets #Marlins
313887077_378472785481568257 x	@megasportsfan22 Patriots look terrible. No weapons at all. Tom Brady looked like Chad Henne.
313887077_378474033622560768 x	@megasportsfan22 That was definitely a missed opportunity for the Jets. I don't think the Pats will be this depleted again.
313887077_378470803912003584 x	@SueSerioFox29 And it wouldn't reach the next star for another 20,000 years.
313887077_378470435643752448 x	@SueSerioFox29  I read yesterday that the Voyager I plutonium power source will die within the next 15 years, so it won't go forever.
313887077_378470091446550528 x	@Good_Day_Philly I read yesterday that the Voyager I plutonium power source will die within the next 15 years, so it won't go forever.
313887077_378214838046310400 x	@RockNRussSports The Jets should pay the fine as a "thank you" for the win.
313887077_378206581474996224 x	@jeremy_hefner53 looks like you're learning the knuckleball soon
313887077_378205289629360128 x	@AdamRubinESPN The ball is still probably sitting in an empty seat.
313887077_378205001702969344 x	@ellerbe59 Don't "Mark Sanchez" up there.
313887077_378204644566388738 x	@AmazinAvenue Key word in that sentence is "was".
313887077_378203676114186240 x	@Metstradamus That's so sad. I hope we can see some meaningful Sept baseball in the near future.
313887077_378201386959519744 x	@D_Sims80 Well.. Have you ever had the lava cake? It's worth it... Haha
313887077_378202136053837824 x	@D_Sims80 She ate the whole thing by herself? Wow. Haha. I meant to share...
313887077_378203023128150016 x	@D_Sims80 That's fantastic! Honey Boo Boo's mom...
313887077_378201893908283392 x	@aqua_and_orange Have to pick the Jets. I'll take a Pats loss anytime and Jets aren't that good. Just meeting Pats when they are down.
313887077_378131798175543296 x	@CuriousBigDaddy How can anyone celebrate someone getting injured? Terrible.
313887077_378129810125778944 x	RT @ESPNNFL: BREAKING: Jets QB Mark Sanchez has labral tear in right shoulder that likely will require season-ending surgery. (via @mortrep?
313887077_377985849394483201 x	@MetsFanInPhilly It's been so long since I've seen a meaningful September game, I forget what that feels like.
313887077_377989851091841024 x	@MetsFanInPhilly All I ever want from them is 2 not quit. It is disgusting to have to put up with this every year.  They don't  even compete
313887077_377984986626162688 x	RT @Trafficmanmatt: Seems like the #Mets are closing up shop.  They've put the bats away for the winter.
313887077_377828212052856834 x	Feeling a little overwhelmed today. I buried my mother on 9/11/01. 12 years later, it doesn't get any easier.
313887077_377864885650358272 x	@MetsFanInPhilly Thanks, man.
313887077_377261873143762944 x	RT @HannnahhWalters: #espnformarissa @espn @Buster_ESPN @ESPNNFL please share her story. It would mean so much to her ? http://t.co/NXjLZHc?
313887077_377260526029795329 x	@JonPresser But, what fun would that be?
313887077_377260276565159936 x	No thank you, Chris Berman.
313887077_377259150419697664 x	@MetsFanInPhilly Eagles shouldn't even be in that situation. Wow
313887077_377259816156413952 x	@MetsFanInPhilly They might have to score 33 Pts a game because that defense is really inconsistent. Anyway, congrats in win #1
313887077_377242488861622273 x	RT @Mizzblueshirt: @JForcella its game one of the season. Ok then loool
313887077_377241382676869120 x	@JAnttell Poor Redskins... http://t.co/MSyHXOUa7l
313887077_377240900084445184 x	@JAnttell Hahahaha
313887077_377238817805455361 x	"#Eagles are going to the Super Bowl!!!!!" - Every Philadelphia fan right now.
313887077_377236074906779648 x	Just tuned into MNF. What the hell happened? Eagles are bringing it...
313887077_376770940098871296 x	Is Mike Wallace playing today? #Dolphins
313887077_376426951151742976 x	RT @hurricanesports: CANES WIN CANES WIN CANES WIN
313887077_376423279005040640 x	RT @hurricanesports: TOUCHDOWN HURRICANES #DUUUUUUUUUUUUUKE
313887077_376422952126144512 x	?@markymarcsports: Run the Clock..score a TD....and lets get the hell out of here... #CAnes? AMEN, Bro!
313887077_376422635749785600 x	RT @BigOShow: Jeff Driskel the gift that keeps on giving! #FlavsMia #Canes @MiamiHurricanes
313887077_376421990540013568 x	RT @Ohiofinfan4life: @MiamiDolphins #ItsOurTime #MIAvsCLE http://t.co/elAlRxZyLz
313887077_376421272940716033 x	???????? #BeatUF
313887077_376106877035499520 x	@bhamburg I think it's ?Anne-Marie Mulgrew and Dancers" in long white gowns, carrying white umbrellas http://t.co/sHcFjbE66S
313887077_376109390035951618 x	@bhamburg Hahaa. Street art... Go figure.
313887077_376108070432419840 x	@MetsFanInPhilly @SUBWAY Holy Crap! That's horrible
313887077_375985381315215361 x	@whutyearisit Are they still playing baseball?
313887077_375804025549373440 x	Wes WeLOLker
313887077_375786819277049856 x	Why are they frisking the Ravens as they come out of the locker room?
313887077_375788959483588608 x	@NoFlynnsanity10 Hahaha. Exactly
313887077_375098511899246592 x	@JAnttell You look like you're gonna kick some ass. Haha. Y U so mad, bro?
313887077_374347019810533376 x	@Cheeseboy22 I'm waiting.....
313887077_373617578411036672 x	?@MetsFanInPhilly: DFA Q? Absolutely. 2014 Mets SS is not in our roster, unless its Flores.
313887077_373617063820263424 x	Hawkins coming in the game with a 1 run lead. *frantically searches for remote to turn off the game*
313887077_373608117868986368 x	How does a MLB hitter consistently hit into that shift with the entire left side of the infield empty? LaDouche
313887077_373607045645479936 x	RT: I would hope so. Me and 10 friends could beat #Temple ?@GoFightinIrish: In 24 Hours the Irish will be 1-0?
313887077_373172466958729216 x	RT @magelb: The Mets starting lineup contained six players who spent time at AAA in 2013. They are winning, 10-1.
313887077_373172297215254528 x	It's been a rough week for the #Mets. Nice to see a laugher for a change.
313887077_369196473990123520 x	Dolphins fear Keller suffered potential nerve damage in his knee. Now has gone from a season ending injury to possible career ending injury.
313887077_368401547031752704 x	@Atenoots @bhamburg @ShawnDecky @scottw13mc @MModerski @jeffcrompton @reloop2st @PBradley44 Sounds Legit
313887077_366921572126162944 x	RT @jeffcrompton: the eco-friendly/recycled coffee sleeves that are used everywhere these days should just say "this will definitely burn y?
313887077_366920873128632320 x	@NealDriscoll That is a huge "if"
313887077_366398554811547649 x	?@CorpsScores: Ok never mind, we are getting a video first, sorry...?Jesus!!! I have a knot in my stomach.
313887077_365272692682797058 x	I might actually beat Flores in a 40 yard dash.
313887077_365256672656113664 x	The kid on @SNYtv doing the Kid Casting of the @Mets game is already better than the @Phillies announcers.
313887077_364450944831860736 x	My guess is that A Rod get 214 game suspension. Reminder of this year + all of 2014.
313887077_364450629457948673 x	And juicing! ?@jordany023: Trying to right my wrongs by doing the only thing i know how to do playing hard  and leaving it all on the field?
313887077_362994576379748352 x	Yes Sir. RT?@MetsFanInPhilly: 7th error for Q he's hitting rock bottom now enough is enough, #FreeTejada?
