2117911_399643913960820736 x	The Eagles are running the clock like they own this game. #Eagles
2117911_393163838776172544 x	RT @SteveWorks4You: White House announces new http://t.co/j25QEtMhIV fix, an animated paperclip that pops up and asks how it can help.
2117911_393108576300171264 x	@mimicz You really should try Droplr. http://t.co/JN00jYItIi
2117911_393109956477857792 x	@mimicz I use the 3rd party app Androplr as my android 'sent to' and it works great.
2117911_393107913545621504 x	@mimicz I prefer Droplr, cause as a Caucasian, I prefer the little white box.
2117911_393097369526747136 x	@JonathanMerritt ... and to be clear, I say that as a Driscoll fan!! I just also know he is controversial.
2117911_393097048880611328 x	@JonathanMerritt Clearly, you're not getting enough hate mail. Write a post on why you love Mark Driscoll.
2117911_393072507773005824 x	It must really suck to be redheaded, and a stepchild.
2117911_393073361653628928 x	@KaylaFinley Ha! Thanks for chiming in with your redheaded wisdom!!
2117911_393073252253597697 x	RT @KaylaFinley: @tapper it doesn?t suck to be a redhead, but the other part, yes.
2117911_393073182699442176 x	I deal with a Rep who has to login to a factory thousands of miles away to check the stock 30' behind him in the warehouse.
2117911_393021003275972608 x	@ktackel That is awesome. Thank you. That pic made my day.
2117911_393072821079126016 x	@ktackel The wisdom of a 9yr old in the technology age.
2117911_393020860464107520 x	RT @ktackel: At the doctor with Conner... Feeling conflicted by this sign. http://t.co/KEYRLBzT0G
2117911_393018193343963136 x	@JoCiavaglia What kind of cynic are you? That guy's story sounds legit.
2117911_393019279467360256 x	@JoCiavaglia I like the "blame my GPS" excuse.
2117911_392993101369065472 x	If you go to Dunkin Donuts and say give me a dozen you get 9 glazed & 1 ea of cream, blueberry & weird sprinkles.
2117911_392799101601198081 x	Pumpkin Pie smothered in Apple Butter may be one of the worlds best treats.
2117911_392748727146143744 x	@mirriam71 I also know that was very random of me. Been thinking it for a few days.
2117911_392750568034537472 x	@mirriam71 I wish the church would care as much for those less fortunate or who made a bad choice, because we all do at some point.
2117911_392754197223202816 x	@mirriam71 You are so right but sometimes we end up fighting our own over these issues. #judgemental
2117911_392750171257597953 x	@mirriam71 I could tell by your blog post that it's not just your job. And honestly...
2117911_392748525672738818 x	@mirriam71 I like your blog post and advocacy for your defendents. You are passionate about them. #admirable
2117911_392740704671510529 x	@tannemic Ha! He's a fairly well known preacher that was popular about 10 years ago.
2117911_392733101501476864 x	@VchurchVinings one of my fav stories in the bible. The Redeemer.
2117911_392728365133987840 x	@skye_jethani Just give away copies of "With" at someone else's big conference.
2117911_392730676002553857 x	@skye_jethani I'll send you a list but we'll need to use the TweetLonger service :-)
2117911_392722339898851328 x	@BuxMontNews Ugh! The crap you have to report on. Society is in the toilet.
2117911_392719614507220993 x	I'm so old I remember when Rob Bell was relevant.
2117911_392707068870017024 x	Warehouse guys recreating 'running with the bulls' using the Forklift. What could go wrong?
2117911_392705551257583616 x	@mxbx I think you've lost your marbles.
2117911_392706887378300928 x	@mxbx I was giving you the slimmest of outs.
2117911_392675914586554369 x	Sorry to parachute into this conversation but today's Google Doodle is pretty cool to play.
2117911_392641674775887872 x	@Jonathan_Howe New follow... you had me at Rush (favorite band) @BarnabasPiper
2117911_392650966224625664 x	@Jonathan_Howe And I'm good if we want to go classical. I know Classical very well. @BarnabasPiper
2117911_392650798427287552 x	@Jonathan_Howe I'm fairly open minded as long as Miley Cyrus isn't on your list. @BarnabasPiper
2117911_392647926390202368 x	Dear clueless MS Word users: The 15 invisible returns you left added 2 blank pages to your document. #morons
2117911_392404689297608704 x	I just cut someone off at the intersection. When I do it, It's a power move, when you do it, you're a jerk.
2117911_392364956454506496 x	@REALjdowney Ha! Snack Pack pudding in a can was my favorite.
2117911_392339936617451520 x	RT @coldgardens: If you've never had the urge to cave your head in with an axe handle, go read some motivational business tweets
2117911_392322865452048384 x	To talk about sin, apart from grace, in church, is exactly what the world expects of us. ~ @springxthunder
