466723498_399878641943085056 x	@NatbyNature @CodyRhodesWWE Have fun!  Can't wait!
466723498_162173013297602560 x	@MikeJerrick  **  Please Watch&Retweet 5yrold w cancer wants to be YOUTUBE STAR Please Help Sophia Pasquarella http://t.co/othUNuvA
466723498_162171876901261312 x	@terrellowens  Please Watch&Retweet 5yrold w cancer fr Phila wants to be YOUTUBE STAR Please Help Sophia Pasquarella http://t.co/othUNuvA
466723498_162171618053988352 x	@MikeJerrick Please Make Me Fan of the Day!
466723498_162170937511387136 x	@ochocinco  Please Watch&Retweet 5yrold w cancer wants to be YOUTUBE STAR Please Help Sophia Pasquarella http://t.co/othUNuvA
466723498_162169901669294080 x	@KrisJenner  Please Watch&Retweet 5yrold w cancer fr Phila wants to be YOUTUBE STAR Please Help Sophia Pasquarella http://t.co/othUNuvA
466723498_162169508679782400 x	@MikeJerrick   I AM WAITING TO BE FAN OF THE DAY!!!
466723498_162169210666102784 x	@MikeJerrick ^ Please Watch&Retweet 5yrold w cancer frBensalem wants to be YOUTUBE STAR Please Help Sophia Pasquarella http://t.co/othUNuvA
466723498_162169152688242688 x	@MikeJerrick ^ Please Watch&Retweet 5yrold w cancer fr Bensalem wants to be YOUTUBE STAR Please Help Sophia Pasquarella http://t.co/othUNuvA
466723498_162168924002205696 x	@MikeJerrick  Please Watch&Retweet 5yrold w cancer fr Phila wants to be YOUTUBE STAR Please Help Sophia Pasquarella http://t.co/othUNuvA
466723498_162168212648243200 x	@MikeJerrick  Please Watch&Retweet 5yrold w cancer fr Bensalem wants to be YOUTUBE STAR Please Help Sophia Pasquarella http://t.co/othUNuvA
466723498_162167949011075072 x	@Hartsy19  Please Watch&Retweet 5yrold w cancer fr Phila wants to be YOUTUBE STAR Please Help Sophia Pasquarella http://t.co/othUNuvA
466723498_162167247203348480 x	@MTVsammi  Please Watch&Retweet 5yrold w cancer fr Phila wants to be YOUTUBE STAR Please Help Sophia Pasquarella http://t.co/othUNuvA
466723498_162165979210723328 x	@justinbieber  Please Watch&Retweet 5yrold w cancer wants to be YOUTUBE STAR Please Help Sophia Pasquarella http://t.co/othUNuvA
466723498_162165892443156481 x	@JimmyRollins11  Please Watch&Retweet 5yrold w cancer fr Phila wants to be YOUTUBE STAR Please Help Sophia Pasquarella http://t.co/othUNuvA
466723498_162165663937466368 x	@ShaneVictorino  Please Watch&Retweet 5yrold w cancer fr Phila wants to be YOUTUBE STAR Please Help Sophia Pasquarella http://t.co/othUNuvA
466723498_162165492696625152 x	@selenagomez  Please Watch&Retweet 5yrold w cancer wants to be YOUTUBE STAR Please Help Sophia Pasquarella http://t.co/othUNuvA
466723498_162165428494409729 x	@JENNIWOWW Please Watch&Retweet 5yrold w cancer wants to be YOUTUBE STAR Please Help Sophia Pasquarella http://t.co/othUNuvA
466723498_162019070986813442 x	@28CGiroux Please Watch&Retweet for 5yrold frPhila w cancer wants to be YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162017674925309952 x	@Hartsy19 PleaseWatch&Retweet for 5yrold frPhila w cancer sing wants to B YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162016894981914625 x	@justinbieber Please HelpWatch&Retweet  5yrold w cancer sing Wants to B YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162016362267545601 x	@selenagomez Please Watch&Retweet for 5yrold w cancer sing wants to be YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162015319710375936 x	@MikeTyson Please Help Watch&Retweet for 5yrold from Phila wants to be YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162015068811313153 x	@rachael_ray Pls Help Watch&Retweet for 5yrold frPhila w cancer wants toB YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162014569978540032 x	@MTVsammi PLEASE HELP Watch&Retweet for 5yrold frPhila wants to be YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162014187382517760 x	@MTVsammi Please Watch&Retweet for 5yrold fr Phila w cancer wants to B a YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162013795676463104 x	@chaseurtheman26 PlsWatch&Retweet for 5yrold fr Phila w cancer wants to B YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162012900943343616 x	@ochocinco Please Watch&Retweet for 5yrold w Cancer wants to be YOUTUBE STAR plsHELP Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162012363703328768 x	@ShaneVictorino Pls Watch&Retweet for 5yrold frPhila w cancer wants to be YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162011948987318273 x	@Kimpasq624 Hi Kim I keep trying to get stars to retweet Sophias video, some are the same you are doing too.  Hope she is feeling better!
466723498_162011649736327168 x	@terrellowens Please Watch&Retweet for 5 yrold w cancer sing & want to be YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162010964269613056 x	@RobKardashian PLSWatch&Retweet for 5yrold w cancer sing &wants to be YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162010469681479682 x	@selenagomez Watch&Retweet for 5yrold w cancer sing your song wants to B YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162009784780988417 x	@KourtneyKardash PLEASE HelpWatch&Retweet for 5yrold w cancer wants to B YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162009535052136448 x	@KendraWilkinson PLEASE HELP AND RETWEET for 5yrold w cancer wants to B YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162009111859437570 x	@KendraWilkinson PlsWatch&Retweet for 5 yrold w cancer that wants to be a YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162008839984656384 x	@EllenDegeneras pls watch&retweet for 5yrold w cancer that wants to be a YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162008499830788096 x	@TheEllenShow Pls help watch&retweet for 5yrold w cancer wants to be a YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162008206799941632 x	@TheEllenShow Please watch&Retweet 5yrold w cancer wants to be a YOUTUBE STAR pls help Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162007601461211139 x	@selenagomez Please seee 5yrold w cancer sing song and retweet wants to b YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162007100812308483 x	@KhloeKardashian PLEASE Watch&Retweet for 5yrold w cancer wants to be a YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162006866015174658 x	@selenagomez PLEASE Watch&Retweet 5 yrold w cancer wants to be a YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162006341739753473 x	@justinbieber Please Watch&Retweet for 5yrold w cancer wants to be a YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162005665404026880 x	@justinbieber Please Watch&Retweet 5yrold w cancer wants to be a YOUTUBE Star Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162005218115059712 x	@SofiaVergara Please Watch&Retweet 5yrold w cancer wants to be a YOUTUBE Star Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162004917689647105 x	@reggie_bush Please Watch&Retweet 5yrold w cancer wants to be a YOUTUBE Star Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162004258823208961 x	@KourtneyKardash PLEASE Watch&Retweet 5 yrold w cancer wants to be a YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162003915783684096 x	@MikeJerrick PleaseWatch&Retweet 5yrold fr Bensalem w cancer wants to B a YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162003406075084802 x	@RealLamarOdom Please Watch&Retweet 5yrold w cancer wants to be a YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162003128282136577 x	@KendraWilkinson PlsWatch&Retweet 5yrold fr Phila w cancer wants to be a YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162002831501561857 x	@KrisHumphries PLEASE Watch&Retweet 5yrold with cancer wants to be a YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162002115072499712 x	@VINNYGUADAGNINO pls Watch&RETWEET 5yrold fr Phila w cancer wants to be a YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162001709437169664 x	@MTVRonnie PlsWatch&Retweet for 5yrold from Phila w cancer wants to be a YOUTUBESTAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162001278623416320 x	@MTVsammi Pls Watch&Retweet for 5yrold fr Phila w cancer wants to be a YouTube Star Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162000827937075201 x	@DJPaulyD Please Watch&Retweet for 5yrold w cancer frPhila wants to be a YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_162000511120326657 x	@MTVsammi PlsWatch&Retweet for 5yrold fr Phila w cancer that wants to be a YOUTUBESTAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_161999747362717698 x	@JimmyRollins11 PLEASE RETWEET for 5yrold w cancer fr Phila wants to be a YouTube Star Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_161999345904926721 x	@Hartsy19 PLEASE WATCH & RETWEET 5yrold w/ cancer(fr.Phila) wants to be a YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_161998920115961856 x	@ochocinco PLEASE WATCH & RETWEET for 5yrold w/ cancer that wants to be a YOUTUBE STAR Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_161998461988909057 x	@HarveyLevinTMZ Please watch & retweet 5yrold with cancer wants to be a YOUTUBE star  Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_161998087848599552 x	@Gunnar Pleasewatch & Retweet 5yrold w/ cancer wants to be a YOUTUBE Star Please Help Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_161997689934987266 x	@drewbrees Please retweet 5 yrold with cancer wants to be a YOUTUBE star Please Help Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_161997198794563587 x	@ochocinco Please retweet 5yr old with cancer wants to be a YOUTUBE STAR please help Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_161996966232989700 x	@RobKardashian Please retweet 5yr old with cancer wants to be a You Tube Star! Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_161996026859888640 x	@DeseanJackson10 Please retweet 5yr old from Phila w cancer wants to be a YouTube Star Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_161995134437834754 x	@RobKardashian Please retweet 5yr old with cancer wants to be a YouTube Star Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_161994928895954944 x	@chelseahandler Please retweet 5yr old with cancer wants to be a You Tube Star Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_161994718685822976 x	@channingtatum Please retweet 5yr old with cancer wants to be a You Tube Star Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_161994451542216704 x	@VINNYGUADAGNINO Please retweet 5yr old with cancer wants to be a you tube star Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_161994277575065600 x	@EllenDegeneras Please retweet 5 yrold with cancer wants to be a youtube Star  Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_161994016286711808 x	@VICIOUSortiz Please retweet 5yrold with cancer wants to be a you tube Star Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_161993544700137474 x	@ShaneVictorino Please retweet 5yr old from Phila w/ cancer wants to be a youtube star Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_161991972071030785 x	@ochocinco Sophia Pasquarella: Please spread the word of this 5 year old battling leukemia  http://t.co/othUNuvA via @youtube
466723498_161992953164873728 x	@SuzenJackson @ochocinco @youtube please please retweet she wants to be a youtube sensation
466723498_161992808226504704 x	@KendraWilkinson Please retweet 5yr old with cancer wants to be a youtube sensation Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_161992511416578048 x	@rachael_ray Please retweet  5yr old little girl battling leukemia  Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_161990733509828608 x	Sophia Pasquarella: http://t.co/othUNuvA via @youtube
466723498_161805930885943296 x	@ochocinco go watch Splash....LOL
466723498_161798609497632770 x	@ochocinco love that movie!!
466723498_161798497149001730 x	@ochocinco Good Morning!
466723498_161463154608574464 x	@KimKardashian You did an amazing job today with Kelly!!!
466723498_161459824134070272 x	@terrellowens I am so sorry Terrell.. Prayers your way
466723498_161459547595223041 x	@KimKardashian @LiveKelly This is going to be hysterical with the animals
466723498_159406525075570689 x	@KhloeKardashian you two are adorable
466723498_159350796964741120 x	RT @AboutAquarius: #Aquarians are good at giving advice because it is mostly based on their experiences and perspectives
466723498_159347256884076544 x	@KimKardashian @Gunnar That was so neat... My first day on Twitter and you were the first live tweet I saw.  Thanks lol
