963038778_336131702323806208 x	Putting together my list of the 50 best movies from the 1970s. Got any nominees?
963038778_388080985470160896 x	?@Ricksg35: @RealGlenMacnow u must not watch hockey too much. that moves been around my local rink for over 20 yrs? where's that? Prague?
963038778_388080691696893952 x	?@AJPreziosi: @RealGlenMacnow I'll be glued to the TV watching Pirates/Cards and rooting for the Pirates. You?? Bucs over STL? Absolutely.
963038778_395727728403808256 x	For those asking, today's 35-minute Who's That Guy with Hulk a Hogan is podcast at http://t.co/7Z0PUQeFKG. And it's good stuff.
963038778_395283688399048704 x	Eags paid Sopoaga a $2.75M bonus to anchor D Line. In the end, they trade him to move up 12-15 spots at the end of the draft. Poor signing.
963038778_350409896631599105 x	Well, not a single Philly traveler at Gate C37 at JFK Airport likes trading Jrue for Noel. So there's your first man on the street reaction.
963038778_390234557716652032 x	?@SportsRadioWIP: You can join @RealGlenMacnow tomorrow night in Drexel Hill to raise money for @AlzAssoc_DelVal | http://t.co/yIrfTL8jAk?
963038778_387298437798322176 x	Steve Trevelise prepping for his Wednesday walk of shame after losing the "dress bet" to me over EAGS-NYG. http://t.co/lwEig2Jrjn
963038778_391009803767906304 x	?@SpiderMV: @RealGlenMacnow You know you have no one when your PP line is Couturier Raffl and McGinn. Worst PP line ever put together." Yup.
963038778_389209732562440192 x	Berube: "We have to stop taking penalties. It's been issue in organization for too long." Do as I say, not as I did. Let's hope they listen.
963038778_386996517841555456 x	My God, I just love rooting against Tony Romo and the Cowboys.
963038778_390201142753648640 x	?@broadstbully45: @RealGlenMacnow @flyfis1369  gotta go to delorenzos in Trenton.....best pizza in the world." I thought they closed.
963038778_360931687116447744 x	?@irishff12: @RealGlenMacnow @AnthonyLGargano A team says we want Lee, Pap and Utley, you can have whoever. Name who you want.? Mike Trout.
963038778_395290871035592704 x	?@thejamiebyrne: @WIPAfternoons @RealGlenMacnow where in borgata do you do show just realized you were here tuesdays" Outside Gypsy Bar.
963038778_386200404192919552 x	?@Avalonbryan: @RealGlenMacnow @RoosterCogburnz what size heels Glen?? I wear 10-1/2 EEEE. Not sure I'll be able to find that in a pump.
963038778_386212698377433088 x	?@ThadMadden: @RealGlenMacnow   TBS pre-game show. First time I've seen Pedro Martinez since Yankee Stadium in  2009.? I still love the guy.
963038778_345367515360288768 x	Nice to see another self-destruct for a change, eh?
963038778_380884187542089729 x	This game is mostly an advertisement on why the NFL should quit Thursday Night Football.
963038778_336309423645548544 x	If you're not watching Sens-Pens in OT right now, you've made the wrong choice. Nothing beats overtime playoff hockey.
963038778_392381896707297280 x	As much as Andy Reid's win-by-win success stings each week, you've got to love this GIF: http://t.co/yAiR5pBgoQ
963038778_393460502929883136 x	?@Koedbrew: Who would people pick now as a rookie Randall, McNabb, or Mike Vick @RealGlenMacnow" I take Randall. With better coaching.
963038778_388412001070108672 x	Mike Vick on 94WIP right now: "I still have hope of getting out there Sunday. I want to play this week. My goal is to play all 16 games."
963038778_387210784264044544 x	Not all Lavy's fault, but his system didn't work last yr, wasn't working now. Attn now focuses on Homer who deserves largest share of blame.
963038778_392017070126555136 x	Hey Matt Barkley, all we ask now us two TD drives in the next 9 minutes. Can you handle that?
963038778_386943768643264512 x	I've never been a bigger fan of @MychalKendricks and @BrentCelek.
963038778_386928786140581888 x	Nothing in the NFL more entertaining than Tom Coughlin's face when things go wrong.
963038778_382956911974703104 x	Another movie prop I'd love to own: Al Czervik's golf bag from "Caddyshack."
963038778_374156930991669248 x	Now Phils send Young to LAD, get 24-y-o 160-lb Rob Rasmussen. Avg 3.9 BB, 7.4 Ks/9. And Phils forward $1.7 that TX was paying for salary.
963038778_349580040184397825 x	What goalies will be on the market? Anthony SanFill tells us Roberto Luongo could be the guy, or maybe Ryan Miller. I'd love to see Miller.
963038778_339037167395414016 x	"Patton" or "Best Years of Our Lives?" Vote on Day 3 of the 1940s vs. 70s Movie Showdown by going here: https://t.co/58RyNHzOtz
963038778_331923885131972608 x	Tonight's beer tasting lineup at the 2312 Garrett in Drexel Hill. With @PhillyBeerScene http://t.co/N5uAVxub2V
963038778_319186338408722432 x	?@DaleMurphy3: .. @DaleMurphy3 @TastyKake Thanks guys! A special delivery arrived today! http://t.co/0NrmuGAbcp? Enjoy 'em, Dale.
963038778_319206113306357760 x	?@TastyKake: @realglenmacnow Which #Tastykakes do you enjoy the most? :)? me? Peanut butter krimpets.
963038778_295212007001583617 x	I agree that this is the greatest sports photo of all time. What's your choice? http://t.co/rAvXoZCH
963038778_295181167676776449 x	Ray Diddy ailing, so I'll be hosting 10-1 on 94-WIP w/ great @robellis94. Lots on the docket, but tell me - what do you want us to cover?
963038778_389383734929018880 x	I'm joining some great craft beer folks opening the Conshohocken Brewing Co. next spring. You can follow it here:  http://t.co/cuOO9FDPcT
963038778_376885773842526208 x	It is so much fun to root against the Cowboys. Always rewarding.
963038778_379614298298793984 x	I survived Week 2 in 94-WIP Suicide Pool with chalk pick of New England. Looks like we lost only 2,500 or so, mostly on Eagles. You alive?
963038778_276727341630238722 x	Phils may trade Worley for Ben Revere? Talk about settling for a 3rd-tier CF. Guy has ZERO HRs in 1064 MLB PA. Where do I get my season tix?
963038778_387255913582972928 x	Years from now, only one comment will live on from today's Flyers news conference. Ed Snider: "We don't need a fresh perspective."
963038778_290910036560060416 x	Go to http://t.co/doGRwxoy and check the ad banner at the top. NY Ranger season tix???? What the hell is going on around here?
963038778_378636095577407488 x	@RealGlenMacnow: Wishing all an easy fast and meaningful Yom Kippur. I'll be guzzling hoagies between now and 7:08 sundown to gird my belly.
963038778_376167591770726400 x	@CliftonEddie @Ibatvmc @RealBradWesley Not sure how debate started, but best pizza in town in Tacconelli's. Marc Summers ought to know that.
963038778_376291844369313794 x	@Ibatvmc Vetri's great, Marc. Osteria among city's best. But you can't give pizza title to 1-d-old joint. You've been to Tacconelli's, yes?
963038778_376341791597166592 x	@Ibatvmc A real foodie doesn't dismiss a joint over paper plates, He savors the food. You, Mr. Food Network, ought to know better.
963038778_376356481001857024 x	@Ibatvmc Tacconelli's been there for 67 yrs so they've got something right. I love Osteria, but you can't name Vetri Pizza best after 1 day.
963038778_376358346766700544 x	?@Ibatvmc: @RealGlenMacnow want to discuss on the radio?? Sure...call in about 30 mins. We'll go at it.
963038778_376369952036777984 x	?@Ibatvmc: @RealGlenMacnow on a shoot. Need the number? Follow me and I'll send you the inside line on a private message.
963038778_376374376738066432 x	?@Ibatvmc: @RealGlenMacnow you guys are great!  Looking forward to the challenge.? Sounds great, Marc. We're going to change your mind.
963038778_376340894662004736 x	@Ibatvmc Ah Marc Summers, I had held you in such high esteem. To anoint Vetri after 1 day + dismiss Tacconelli's as overrated? Out of touch.
963038778_376056118856146944 x	Former Eags CB Lito Sheppard hanging with us this hour on 94-WIP. Any questions for Lito?
963038778_376059794492493824 x	?@CliftonEddie: @RealGlenMacnow NICE! ask him why he sucked and if he plays rough touch FB...? Lito Sheppard sucked? Sure could use him now.
963038778_329690701820469248 x	Anthony Gargano and his alter ego.... http://t.co/gnf2qtZeeh
963038778_396467902968512512 x	Downie concussed, Lecavalier perhaps rushed to hospital after Flyers respond to blowout by brawling. But they don't need a culture change.
963038778_396465334305423360 x	?@sbaickerCSN: Homgren on FIRE HOLMGREN chants, boos: "If I was sitting in the stands ... I might be thinking the same thing." Time to go.
963038778_395990005962657793 x	Ten best candies: Reese's Cup, Kit Kat, Mars, Heath, Caramello, Charleston Chew, 100 Grand, Peppermint Pattie, Almond Joy, Sky Bar.
963038778_395739245132140544 x	Yahoo! Sports >> Reports: 49ers' Asomugha, actress wife expecting." Inside joke for Eagles fans: do you think they did it in the car?
963038778_387663638645194752 x	Just 5,393 left in the WIP Suicide Pool from the original 26,192. Falcons killed the dream for 3,900 last night. I'm still alive, are you?
963038778_387398497135116289 x	Delmon Young?? Really?? Again??
963038778_385566084469751808 x	Every time Delmon Young goes yard, the world becomes a sadder place.
963038778_385009221617471488 x	Anyone in Philly miss @JasonBabin93? This video will remind you of what a bum he was: http://t.co/Sxr7Zo8GQv
963038778_382941024110526465 x	If you could own any movie prop what would it be?  I'd take Marcellus Wallace's briefcase from "Pulp Fiction."
963038778_384448008198565888 x	Damning words from Aikman on Eagles D: "I don't see anyone who looks like he wants to be out there."
963038778_327583795123453952 x	Okay, so NFL Network is showing me that Lane Johnson can throw the football. I already like him better than Vick.
963038778_294570418822586369 x	@dylanwinslow @SportsRadioWIP We're trying here . .
963038778_377604678990970880 x	I do believe that Michael Martinez is the worst player in the Major Leagues.
963038778_394928581132177408 x	Oops. Left out RG3. That's 15 off top of my head.
963038778_396698527415676928 x	?@patsajak: Love hockey, but Flyers are part of reason it remains a niche sport. Shameful tonight (including Philly radio team.)? Agree Pat.
963038778_397571223325921282 x	MLB free agency starts in an hour. I know none of us trusts Ruben Amaro, but I'd love to wake up in the morning to a Cliff Lee-like stunner.
963038778_366214787585155072 x	My friend Ray Diddy on 76ers owner Joshua Harris buying NJ Devils: "He may be money smart - but he's sports dumb, and he's Philly clueless."
963038778_395983031443267584 x	I'd take @Max25talbot any day over Steve Downie. Sorry to see Flyers going down the same old road.
963038778_393101310884839424 x	?@Phillymike6965: @RealGlenMacnow You have no problems going to Tacconellis in that neighborhood?? Absolutely not an issue.
963038778_387258763922923520 x	Flyers Coach Craig Berube will join @WIPAfternoons after 2 pm today. Questions for new coach? (Understanding he didn't create this mess).
963038778_387233979021029376 x	Flyers problem -- Snider's -- is they don't think there's anything wrong with how they're running the operation. "We know what we're doing."
963038778_386672685817663490 x	This Flyers season is taking an ominous early turn. Oh, and by the way, I miss Danny Briere.
963038778_386674144122634240 x	@HornChris14 Didn't say Briere is a difference maker, just said I miss having him on team. They've got bigger problems.
963038778_337879497032470528 x	Did Phils call up Michael Martinez so that Ben Revere wouldn't finish last in the clubhouse arm-wrestling tournament? I see no other reason.
963038778_296357086567202817 x	Six years ago tonight, I was working night shift at WIP when Jan Gorham announced, "Barbaro . . . he's DEAD!"  Man, I miss Jan Gorham.
963038778_286872243928178689 x	My vote? Denver Offensive Coordinator Mike McCoy for Eagles head coach, Lovie Smith as Defensive Coordinator. And Bill O'Brien stays at PSU.
963038778_392470242078646272 x	If Victor Cruz can get just 200 more yards tonight and four more touchdowns, I'll beat @BrianJHaddad in the WIP Fantasy Football League.
963038778_387019132258234368 x	?@theReelMarlin: @JohnBolaris i will say Saturday am's with @RealGlenMacnow and r diddy is the best radio in Philly.? Thanks so much .
963038778_377236898919747584 x	Sconces, Schmonces.
963038778_398895364956491777 x	?@hi5me12: @RealGlenMacnow FS1 reporting that Andrew Bynum says retirement is a ?serious thought?. What do you think?? I vote yes.
963038778_376815333287661568 x	Did everyone enjoy seeing Nnamdi get toasted as much as I did?
963038778_399631640500371456 x	Only two yards gained by that faux fumble, but another bad call by refs.
963038778_399611958582079488 x	WHo's giving Chip advice on that failure to challenge? That's likely going to cost Eagles points.
963038778_368555555964477440 x	They're all yours now, Ryne Sandberg. Good luck.
963038778_357693888565223426 x	"You want me that wall. You need me on that wall." Top five movie monologue of all time,
963038778_368433222432354304 x	Question: Who did a worse job over the past two seasons -- Charlie or Ruben?
963038778_394924850554626048 x	?@1milli_for_me: @RealGlenMacnow you use every chance you get to down Vick and he is one of the best QB's in league!" Not in top 15.
963038778_394908693604868096 x	In the battle of angry, irrational, embarrassing Eagles QB brothers - I'll take @MarcusBarkleyQB over @MVFive any day.
963038778_291673901979795456 x	My thought on Vick: why would a rebuilding team want to keep an old, expensive broken-down QB? You're looking at the future, is he that?
963038778_291647376702181376 x	No way that Mike Vick comes back to the Eagles under Chip Kelly. No way.
963038778_291009530194714625 x	Watching "Cobb" on MLB Network. A decent sports biopic that's being ruined  by the bleeping out of every word stronger that "drat."
963038778_288010960457850880 x	I loathe that VW ad w/ the dad who throws a baseball like a 5 y-o biddy ball girl. Bad parenting.
963038778_277534189778259969 x	25 years ago today I was at the Spectrum when Ron Hextall scored a goal. Damn, I miss hockey. Mostly, I miss seeing Hextall in his prime.
963038778_276085465164165120 x	Trade Cliff Lee for Justin Upton? Uh, no, I'll pass.
963038778_276029431489916928 x	Daily 5 question today: Who's the ultimate Philadelphia sports enemy?
963038778_275652743392268288 x	@DbentonDrew Sure don't.
963038778_275643477017104384 x	Read this excellent column by @RoobCSN summing up the Washburn fiasco. "Wash the Mudd out."
963038778_275456187342917633 x	Was Foles just holding his shoulder in pain? Looked that way to me, but tv guys said nothing.
963038778_395301776435728385 x	Who the hell is @PatrickChung23 to tell Eagles fans how to cheer? Go back to Eugene you ingrate.
963038778_395647596288413696 x	A huge Who's That Guy coming up at 5 on 94-WIP. You really want to tune in for this one. Or call in (888-729-9494) to steal Ant's Primo $$.
963038778_386458683929931776 x	PROTECTED
963038778_394495290083782656 x	This Vet turf will be buried in the Linc today.  It will change the mojo. http://t.co/PRDGYZPrKz
963038778_386940161311129600 x	Run the ball, Chip!
