1412804504_332563605516083200 x	@Honkeypickle I love all your brother in laws! #sarcasm
1412804504_340622661908582400 x	"@TWCBreaking TWC's Mike Bettes says his #TornadoHunt vehicle was thrown 200 yards by the tornado W of OKC. Airbags deployed. All are safe."
1412804504_340622117311766528 x	"@pattonoswalt: Get inside, Oklahoma.  Seriously, now." God help those in OKC. Plz get to a safe place!
1412804504_340618243695853568 x	Everyone plz be safe out there! "@NBCNews: Tornado heads toward Oklahoma City http://t.co/f6kg2xAmFI"
1412804504_340545132438904832 x	@letsaskamerica A. brew master...drink beer at work? Yeah!
1412804504_339548787712335872 x	RT @JennaMorasca: Is it August yet-BITCH!!!!?? @BreakingBad_AMC: 8.11.13.  #BreakingBad  #ShowsThatNeedToComeBack?
1412804504_339435079556284416 x	@letsaskamerica my Nana!
1412804504_339177988610473984 x	Wish I was BBQin #myburgersarebetter! LoL
1412804504_337242867938521089 x	Nicky's making me lunch & taking care of me since I hurt my foot &the gotta stay off of it for awhile. #love
1412804504_336919417566945280 x	@letsaskamerica def Ole Gene Simmons
1412804504_336914804453289984 x	@whitehouse prayers aren't saving these folks lives....storm shelters do! #putuporshutup
1412804504_336912720773394432 x	RT @NBCNews: Moore, #Oklahoma officials: Federal grants to help build 'safe rooms' were previously delayed by red tape http://t.co/gOIcgg3o?
1412804504_336886305629814784 x	@letsaskamerica comic book nerds! Haha!
1412804504_336857625641762816 x	Every school in the plains where tornadoes occur should have mandatory storm shelters! #tragic
1412804504_336845980680990721 x	My veggie oil burn. #pain http://t.co/JblkKPHyQI
1412804504_336764152024535040 x	RT @NBCNews: 'The school started coming apart': Trapped students had nowhere to hide http://t.co/eJJacTAWbk
1412804504_336762984657477632 x	@SkyrimProblems When ppl say they "beat" #skyrim 5 times. How is that even possible?!?! #skyrimproblems #liars #egotrippin
1412804504_336722801715208193 x	"@todayshow: Time-lapse: the Oklahoma tornado's path of destruction." http://t.co/HpPBUCbfM5 just incredible
1412804504_336659620389081089 x	Our thoughts and prayers go out to everyone in Moore & Shawnee OK.
1412804504_335791178819706881 x	Got my powerball tickets for tonight. #money #winning
1412804504_335607218521112576 x	@kpereira. Man super excess...
1412804504_333997473725046784 x	@letsaskamerica audio tape
1412804504_332649930420281345 x	"@Wipeout: Have you missed the #BigBalls?" @honkeypickle? :-) lolol
1412804504_332648190211919873 x	@Wipeout love the new course & love that @JillWagner is back!
1412804504_332633550471983104 x	@letsaskamerica youtube!
1412804504_332612464460058625 x	Your almost to end of Avundskard & the game keeps crashing on you. #skyrimproblems
1412804504_332598209178394624 x	@SHO_Dexter its soon gonna be time for a season long Dexter marathon session with my girl @honkeypickle. #darkpassenger. We love it!
1412804504_332586420843737088 x	@letsaskamerica C. crocs final answer!
1412804504_332585337752788992 x	@letsaskamerica #luck today!
1412804504_332578163806838784 x	"@NBCNews Dead naked surfer with apparent shark attack wounds washes up near San Diego beach" this isn't supposed to happen until #sharkweek
1412804504_332569659830308864 x	RT @whitehouse: "Every young person in America deserves a world-class education. We've got an obligation to give it to them." ?President Ob?
1412804504_332566562953375744 x	@mor100 YOU GUYS ROCK!
1412804504_332564406674288640 x	@letsaskamerica an American Werewolf In London!
1412804504_332562736921853952 x	@letsaskamerica What is your favorite sense? A. Touch B. Smell C. Sight D. Sixth <~~my pick
1412804504_332323021962498048 x	@SaraBareilles. What? How do your thighs feel?
1412804504_332316196546424832 x	RT @CollegeHumor: Too bad the best stuff from movies doesn't exist in real life. "Go-go Gadget beer tap!" http://t.co/KFyk6QefjX
1412804504_332304313563111424 x	"@Honkeypickle: #love  @joe_cianfrani  ? http://t.co/ZYbL74ZZPG" #balding lol
1412804504_332273776165277696 x	@Pumkinn i follow
1412804504_332270118778322944 x	@Todd_McFarlane sorry for the loss of your friend ...life's circle...
1412804504_332266639716409346 x	@letsaskamerica def springer. We live down south! LoL
1412804504_332255194748440576 x	I watch @letsaskamerica everyday
1412804504_332207151286194177 x	RT @BarackObama: Retweet if you agree: It's time for Congress to stop denying the science on #climatechange.
1412804504_332183719030976512 x	There's not much better than meatballs the day after you make 'em on white bread for lunch. #delicious
1412804504_332137701077835776 x	Finally gave in & joined Twitter. Now I can't stop looking at it! #addicted
