200599938_386329868876533760 x	Louisville only a 32 1/2-point favorite! RT @Pat_Mitchell15 I smell an upset
200599938_379740248407691264 x	RE: Safeties. Eagles planning to go with what they have. Don't want to sign old guy & block snaps for Wolff, won't give up picks in trade.
200599938_379766590297759744 x	Actually, it's the right approach. This isn't the time to get old and over-priced RT @CmhBuck  Then Eagles are stupid in the front office.
200599938_379775712099434498 x	haha, come on! Shady 25, DeSean 26! RT @tweaked74 except by time they build up d,Vick will be old,Shady and Desean may be past their prime.
200599938_379779143891558401 x	I do. two SB wins & solid numbers is enough for me. Only Plunkett won 2 & not in (& eligible) MT @xstat32x do you think Eli is a hofer?
200599938_379780152843972610 x	don't tell Jeff Hostetler!!! RT @xstat32x What about phil simms? He won two and isn't in
200599938_379780775333212161 x	wrong. it's the #1 criteria for quarterbacks RT @Drew_Walters @xstat32x  Using Super Bowls as the main credential for QBs is a total cop out
200599938_379782540799655937 x	who's lazy now? nobody said "forget all other data" MT @Drew_Walters It's lazy analysis. He won 2 rings, must be HOF; forget all other data.
200599938_379796546847379456 x	I love Sheldon, but he's 34. and he's not a safety RT @derrikusa  is sheldon brown on the street?.the eagles should sign him to play SS
200599938_379798876250570752 x	one of my all-time favorites. missed nearly two years w. ACL, came back and picked right up RT @mdharbin @derrikusa  how about Wes Hopkins
200599938_379357430615789568 x	10 Instant Observations from today's Eagles-Chargers game: http://t.co/D1e7t7v5lZ
200599938_375682856204656640 x	Michael Vick on the Cary Williams-Riley Cooper skirmish at practice: ?Cary?s a guy who?s very animated, (cont) http://t.co/F9i9s3KLUW
200599938_373278582006509568 x	Maybe we'll make this a regular thing ... 10 Random Observations from tonight's Eagles-Jets preseason game: http://t.co/8mERmM6oyu
200599938_371459862619635713 x	And Foles: 10-for-11, 112 yards.
200599938_371459522109272064 x	Bryce Brown 11-for-92 rushing tonight.
200599938_396072042300063744 x	he has 3 sacks in his last 24 games RT @HummerJoey @ezgreene @VojirEsposito We shouldn't trade him he's our best pash rusher
200599938_392163078965452800 x	Trent Cole 2005-2011: One sack every 1.6 games. Trent Cole 2012-2013: One sack every 7.0 games.
200599938_392022391997464576 x	Barkley 84 passing yards, Foles 80 passing yards. #EaglesTalk
200599938_391993292142825472 x	Q in Baltimore, 2008 RT @zacharydt who was the last Eagle to return a kick for a TD?
200599938_351093226142310400 x	What about the Bucks County Courier Times Mt. Rushmore? Dana O'Neil, Mike Sielski, Phil Sheridan and Jim Salisbury!
200599938_351096641849274369 x	Steve Fredericks, Steve Martorano, Tom Brookshier, Bill Campbell RT @FantasyRoots WIP mt rushmore?
200599938_313464764321914880 x	Congrats to @GonzoCSN on being named http://t.co/7dpYDwsRXB's new Dayton Bureau Chief!
200599938_313466057383895040 x	Call his cell phone and ask him. Oh wait ... RT @Cody011 What would it take to get Ray Didinger on twitter?!
200599938_305086188681822208 x	Tom Coughlin on Andy Reid: "He's an excellent FB coach. It?s an unusual thing to say, but to not have him in the division, I?ll miss him."
200599938_263441033730347008 x	I'll let my followers handle this one @joeo427 why do people hold Dawkins, Trot, Reese, Hugh so high. They didn't win crap here or anywhere.
200599938_158904353720254464 x	RT @Jamar51Chaney: Its so hard watching these playoff games,knowing what kinda damage we couldve did. But we coulda,shoulda,but we didnt ...
200599938_124679641859502082 x	so where were the other Rib-It's located? across from Oxford Valley Mall, Cuthbert Rd. in Cherry Hill, 2nd Street, Boulevard & Cottman ...
200599938_386909492916408320 x	Gotta be a safety, right? What is there for the refs to discuss?
200599938_393378715092000768 x	no RT @kroberts4343  you think the eagles will sign Tebow eventually?
200599938_366222325441507328 x	Knott, Square, McCoy ... not a long list RT @ChefOrnicador_ who in the Eagles defense (other than Curry) jumped out at you??
200599938_389741628941815809 x	Highest 2013 passer ratings [min. 60 attempts]: Peyton 128.8, Foles 127.9, Rivers 110.6, Romo 108.6, Brees 102.6, Rodgers 101.9, Ryan 100.9.
200599938_389742824628830208 x	So that's not his passer rating? I don't understand. Is my methodology flawed? RT @JayRok_JM Foles on a list with those names is a joke
200599938_389419303058935808 x	If you think he's hot? RT @mccroix  think it's worth picking up Ertz?
200599938_388063023664869377 x	WR Marvin McNutt, the Eagles' sixth-round pick last year, signed today with the Carolina Panthers.
200599938_388064150758240257 x	Tell Danny Amendola & Brandon Gibson RT @ElJay52  If you can't make the Eagles as a WR... You can't get open
200599938_388065670358786049 x	played well in the past, had good preseason, Maclin hurt MT @hater_ex @ElJay52 how did Riley Cooper make the team? He can't get open.
200599938_380877725671489537 x	That ball hit the ground.
200599938_392008341964062720 x	Wolff got shaken up there. Kurt Coleman in for him. #EaglesTalk
200599938_386921508645257216 x	Foles was 3-for-4 for 45 yards and TD vs. Broncos and 5-for-5 for 47 on this drive. #EaglesTalk
200599938_389461482557014017 x	Shady has 109 yards from scrimmage in first half [54 / 55], but obviously fumble was costly. #EaglesTalk
200599938_386931901497229312 x	No sign of Vick. Nick Foles heading back out on the field for his third drive.
200599938_384441905091604480 x	Peyton was perfect on that drive. 5-for-5 for 44 yards.
200599938_389450738281095168 x	Impressive work on that drive from Fletcher Cox. Drew the hold and then a big pressure.
200599938_381064140275478528 x	Vinny Curry got only 12 snaps but made the most of them. He has to play more.
200599938_373226647991746560 x	Yep. If it were me, I'd cut Sapoaga, save $2.375 million and start Logan. But they won't RT @lukemade  Logan looks like a beast, no?
200599938_373227656432455682 x	Not an issue. SImply, Sop not playing very well RT @mediamike77 @lukemade  Good luck signing vets on the future if you cut them over $2 mil
200599938_154285115479031808 x	"It was such a frustrating and disappointing season."
200599938_139860013190610945 x	Something for Eagles fans to be thankful for on Thanksgiving Day: Nnamdi's knee injury not serious. My CSNPhilly story: http://t.co/HuQntybr
200599938_394612069602824192 x	Last Eagles game with no offensive TDs was Dec. 1, 2002 - 10-3 win over Rams on Bobby Taylor INT return. Eagles' 10th such game since 1950.
200599938_386910023177105408 x	Can't challenge. Forward progress is judgment call. Brutal.
200599938_356161498231476225 x	Seriously, Phillies ... Pump up the Jam? You can't do any better than that?
200599938_356162078647660546 x	Brutal. I have offered up my DJ'ing services! RT @Jstip10 better then the Eagles... I swear Eagles have the worst stadium music,
200599938_352979386795962371 x	I'd rather chug sewage RT @KennyCruzDixon Hey Roob did you get a chance to see your man John Mayer at #PhillyJam?
200599938_352982534986006528 x	I don't have to do anything RT @mtmcguire15 Even if you don't like his music, you have to at least respect him as a writer and musician
200599938_352987047520256000 x	I disagree. He's written way more awful songs than me RT @mtmcguire15 you SHOULD respect him. After all it significantly trumps your r?sum?
200599938_324698867671109633 x	Totally crushed at the news of the death of Scott Miller from Game Theory. An absolutely astonishing songwriter. One of the best ever. RIP.
200599938_291596930918780928 x	Chip Kelly named head coach of the Eagles: http://t.co/5HbwRv6Z #EaglesTalk
200599938_290883438729363456 x	My 6 favorite Yes songs: 1. Heart of the Sunrise, 2. Close to the Edge, 3.Sound Chaser, 4.Starship Trooper, 5.Lift me Up, 6.Perpetual Change
200599938_372559408892354560 x	Al had one personal foul penalty in 5 years in Philly RT @Tim_McGrath12 He was a guaranteed 15 yard unsportsmanlike anytime he got into game
200599938_396071913690103808 x	ummm ... what??? RT @t_bobroski  too early to call fletcher cox a bust?
200599938_396074874835181568 x	he has 33, not 20 ... but a 3-4 DE, forget stats. watch him PLAY. he's beasting RT @t_bobroski 20 tackles in 8 games ain't lighting it up.
200599938_396077663514673152 x	You didn't really just write that ... RT @t_bobroski Wrong 20
200599938_394524767669084160 x	Matt Barkley throwing again, talking to Lazor and Kelce. He's gotta come in this game. Has to. #EaglesTalk
200599938_389456672378200066 x	Buccaneers had four offensive touchdowns all year before today. Have two in 1H. Averaging 5.5 points per half this year. Have 17 today.
200599938_392016676918538241 x	Nick Foles officially out for today.
200599938_386992044767322112 x	Eagles cornerbacks had four interceptions all last year. They have four through five games this year.
200599938_392860607038251008 x	The VIkings were awarded CB Shaun Prater on waivers, released Tuesday by the Eagles to make room for Emmanuel Acho.
200599938_384400800354537472 x	So Andy Reid now has four punt return TDs vs. Tom Coughlin? Westbrook, DeSean, DeSean, McCluster?
200599938_394686553391259648 x	This is the Eagles' first 0-4 start at home since 1983.
200599938_392057894436237312 x	Since the start of 2011, the Eagles are 5-14 at home. Worst home record in the NFL during that span. #EaglesTalk
200599938_380878009139355649 x	Quintin Demps in that 2008 game in Baltimore ... Demps now with Chiefs RT @BrianMWilson3 When was the last Eagles kick return TD? @RoobCSN
200599938_380854232728875008 x	Vick had thrown 95 consecutive passes without an interception.
200599938_363354677104349184 x	There's your Play of thhe Day, fingertip, full-stride TD catch by DeSean from Vick. 10 having a tremendous camp. Catching everything.
200599938_329038139366727682 x	Can we change the subject? How about the Phillies' starting pitching? 2.84 ERA over the last 19 games.
200599938_324211350186364928 x	Eagles minicamp is closed to media, but I can hear very loud hip-hop being played during practice. For the record, Andy Reid never did that.
200599938_324216556475277312 x	no, but I heard a couple tracks from the new Kevin Curtis jam RT @MarkProcaccino  any Desean Jackson rap songs being played
200599938_312376465696108544 x	Villanova's 25 turnovers led to 27 Louisville points.
200599938_312314620113219584 x	Bizarre [and meaningless] stat: Only 8 teams allowed fewer passing yards than Eagles last year: PIT, NYJ, DEN, SFO, ARI, SEA, CIN, CHI.
200599938_230846972444155904 x	it all depends how he plays. RT @BrandenL I know you get a lot of questions but do you see the eagles giving DRC an extension?
200599938_163496551220649986 x	Sixers have had 4 games in the last 25 years with 27 or more assists and 6 or fewer turnovers. 2 of those 4 in the last week.
200599938_147091417699852288 x	the 2-highest yardage totals in last 6 weeks were with VY at QB (466 vs. Pats, 391 vs. NYG). So more complicated than just "Vick was hurt"
200599938_379358574066941952 x	Cary Williams: "Philip Rivers just seemed to know everything we were trying to throw at him."
200599938_377227619126632448 x	Eagles are slowing down. That five-play, 62-yard drive took 2:07.
200599938_295678724161024001 x	don't know what we're talking about here... @terilyns68 @DannyOzark @brianstartare we need answers
200599938_295679258368557056 x	I mentioned it at the top. Got no calls about it. Moved on. RT @phillyphan333 @terilyns68 @DannyOzark  shady's twitter spree last night
200599938_295681850486185985 x	he deleted his account! RT @WHARFRAT917  what happened with Shady last night now can't see his tweets. WTF lol
200599938_294266953034498048 x	If you don't care about Philly sports, don't follow me. RT @BDAWK20  better question is, who cares?
200599938_293548746648735745 x	How do you blow a 7-point lead in the last 5 minutes? That was brutal. Sixers now 17-25 and 7-19 in last 26 games.
200599938_293037116500361218 x	Andy did build a hell of a staff in 1999 RT @TheSource73 Do you think Chip is enlisting Reid's advice on nfl assistants? This could be scary
200599938_292676760615673856 x	I'm hosting on 94 WIP tonight from 6-10 p.m. Should be a fun night!
200599938_291930859760668672 x	I just saw a guy hitch-hiking on I-95 south near Girard. Good luck with that. When's the last time you saw somebody hitch-hiking? 1974?
200599938_289428774213275649 x	Eagles' coach poll! Who do you want the Eagles to hire from among the known candidates?  Give me one name. Polling closes at 2 p.m. EST. GO!
200599938_287994058545168384 x	If you're the Eagles, don't you want an answer from Kelly before you start meeting with McCoy? Otherwise ... just too awkward.
200599938_287971471471566850 x	I'm getting tired of Chip Kelly.
200599938_285920413949755393 x	Mike Nolan's .327 winning percentage in 4 years with SF ranks 150th in NFL history of 159 head coaches who've coached at least four seasons.
200599938_280344568568897536 x	Eagles have faced 224 consecutive passes since their last interception.
200599938_280336207823659008 x	Pat's actually from Yardley, Pa., fwiw @JennyVrentas @jorgeccastillo Patrick Kerney, a Trenton native ...
200599938_280343218690871297 x	I was somewhat hurt by this :) @JennyVrentas  not sure how I wasn't following you! Ah ok thanks!
200599938_280328766377586688 x	Eagles are on pace to allow 153 4th-quarter points. Would be 8th-most in NFL history, most since 2004 Cowboys (155), 3rd-most last 25 years.
200599938_279993696265588736 x	Most consecutive games in NFL history without an interception: 9 (2011 Vikings), 8 (2012 Eagles), 8 (1996 Falcons).
200599938_278001902145396736 x	This was 8th game this year in which a QB has thrown 2+ TDs & 0 INTs vs. Eagles. That's one shy of NFL record of 9 set by Minn. last year.
200599938_278199192676098050 x	haha ... probably 600? @WHARFRAT917  how many Guided by voices songs have you listened to since the last interception
200599938_277874074770870272 x	Since the Eagles forced a turnover, I've flown from New Orleans to Philly, Amtrak'd to Wash & back, flown to Dallas & back & flown to Tampa.
200599938_276522604326699008 x	Watching Justin Bieber at Wells-Fargo. "As long as you love me." Pretty sure he's lip syncing. Girls are screaming. This is bad. Send help.
200599938_364956270190538753 x	BREAKING: WRs Eagles are not signing: T.O. Randy Moss. O.J. McDuffie. Antonio Freeman. Henry Ellard. Ashley Lelie. Darnay Scott. Mark Duper.
200599938_392383318756704256 x	Eagles have re-signed LB Emmanuel Acho from Giants practice squad to the 53 and released CB Shaun Prater.
200599938_392047102848557057 x	Matt Barkley: "I thought I was ready to go in. I thought I was prepared to play. I am feeling a little negative, given the situation."
200599938_392125841829683200 x	Eagles fans? RT @TheZompster who cares bout Barkley
200599938_395018842365112321 x	No. RT @W1totalk Could Eagles trade Vick and Cooper and get a another receiver and two defensive players, a safety and cornerback?
200599938_311997386220249088 x	I'm told by a league source Eagles still have some interest in DT Ricky Jean-Francois but the numbers are way too far apart right now.
200599938_396315096684584960 x	Vick ruled out for Sunday. Which we knew. Knott (hamstring) doubtful, and Chung (shoulder), Johnson (ankle) and Matthews (hip) questionable.
200599938_396320858819411968 x	yeah, he's got a ways to go but I like the way he plays RT @50in07 Would you like to see Wolff stay in there,
200599938_392015323580211200 x	Nick Foles being evaluated for a head injury.
200599938_368564579099357185 x	Terrific piece by @JSalisburyCSN on Charlie. "It should not have ended this way." http://t.co/Je5KI17z7o
200599938_360962740199763968 x	Jay Farrar Top 5: 1.Still Be Around, 2.Whiskey Bottle, 3.Chickamauga, 4.Looking 4 a Way Out, 5.Windfall. @Mind4Mud @vicvega422 @TheMaxWhite
200599938_360971810294075393 x	eh, they were OK. But I'm a huge Kraig Jarrett Johnson & Golden Smog fan! RT @vicvega422 @Mind4Mud @TheMaxWhite what about the Jayhawks?
200599938_360964934839963648 x	Not the last three records, he sure hasn't been #LexusRock RT @HisDudeness16  tweedy is better
200599938_360965664934080512 x	nah. I saw Wilco's 2nd show ever & saw 'em 8-10 times early. Still great live but not for me RT @HisDudeness16 You going to americanarama?
200599938_360955888309243905 x	Loose String! RT @Mind4Mud  Taking chances with no intent to make a killing. Too much living is no way to die-Jay Farrar = Genius
200599938_360956926571450369 x	whiskey bottle over Jesus ... not forever, just for now RT @Mind4Mud Jay Farrar is a true American poet
200599938_356520413301440513 x	That's four straight series wins and five of the last six. Dodgers only exception.
200599938_356525961715531776 x	no way. they're 5 1/2 out in the wild-card MT @nickie_dimes I'm still selling at the deadline. Too many holes on this team. Your thoughts?
200599938_356971347903123456 x	They're going to win the NL East MT @JohnnyGoodtimes @nickie_dimes  Rube, you are way too smart to think the Phillies ought to be buyers.
200599938_356977442482688001 x	Like I said, if you can get Rios for a mid-range prospect, you do it in a second RT @adammark1976  I'll try this again...cf moves?
200599938_356981186788212736 x	Too much, I think. RT RT @heshyshmu would you do Asche for Rios?
200599938_356981905654165506 x	or next year! RT @derrick3DPhilly @heshyshmu Asche HAS to be untouchable at this point. Who else is going to play 3B in a couple of years?
200599938_391602800737517568 x	Eagles have ruled RB Chris Polk out for Sunday with a shoulder injury.
200599938_386935699150094336 x	Eagles have outscored their opponents 74-64 in the first half this year but been outscored 88-44 in the second half. #EaglesTalk
200599938_384487796125073408 x	Eight QBs threw for 320 yards in 10 years when Jim Johnson was defensive coordinator. Three have this month.
200599938_381835030416224256 x	This Sean McDermott defense really getting after it vs. the Giants. The Panthers might not win a game this year, but that's a tough defense.
200599938_381835440124219392 x	no question about it RT @jaymays04 don't think he got a fair shake in Philly, had terribly bad pieces on that D
200599938_381210118915756032 x	The final word on Kenny Britt:   Todd Pinkston best NFL season: 60-for-798, 7 TDs.   Kenny Britt best NFL season: 42-for-775, 9 TDs.
200599938_381062035049431042 x	Last thought from last night: Anybody else think it was odd that when LeSean got hurt in 2Q, Andy came out to check on him but Chip didn't?
200599938_381079409559470082 x	so we can only look for things we know are there? RT @agriffinmitsu stop looking for something when it's not there
200599938_312590206941417474 x	As expected, no more Lehigh for the Eagles. Training camp will be at the NovaCare Complex, closed to fans. This is what Chip Kelly wants.
200599938_275422207419768833 x	Foles is doing much better looking down the field tonight than his first two starts. #EaglesTalk
200599938_233600773513170944 x	Nick Foles will be the 11th rookie QB to make his NFL preseason debut under Andy Reid. Which of the first 10 had the best game (by far)?
200599938_285452849461202944 x	charcuterie @sbaickerCSN When you think of the #Eagles' 2012 season, what one word comes to mind?
200599938_260866753280745472 x	personally, I'm not sure Howie is on a "hot seat." Lurie thinks quite highly of him @jpost308 with Reid on hotseat, why no mention of Howie?
200599938_180864455561854976 x	Only the second 3 of the night for Temple and Ramone Moore's first. All of a sudden, this is an 11-0 run. USF 41, Temple 38 with 5:40 to go.
200599938_162402734564327424 x	Here's my full CSNPhilly story on Drexel's 8th straight win & Bruiser's assertion that Drexel is the city's best team: http://t.co/qPeNaaWE
200599938_150810758362562560 x	Interesting locker room in Dallas. Frustration more than anything. They know the chance they had & they blew it. 3 wins little consolation.
200599938_149244003383119873 x	Incredible reporting by Nancy Phillips on this Bill Conlin story. Devastating. Heartbreaking.
200599938_145929620980633600 x	Nnamdi looked very ordinary right there.
200599938_141284109791137792 x	Trevor Laws on Sea.: "Watching film, it's an easily winnable game. If we play our game, we should blow these guys out. That's the way I feel
200599938_140987168582680576 x	Eagles' 1-5 home record after six games is their worst since the 1983 team lost its first six home games.
200599938_133947785027391488 x	More bad news: Andy Reid's press conference has NOT been cancelled!
200599938_133741708407083010 x	That's inexcusable.
200599938_132288362890543105 x	Jason Avant wouldn't apologize for his comments, but he did explain them. My http://t.co/q41MT4Z5 story is here: http://t.co/bRc6a8UH
200599938_126784410019311618 x	Donovan: "I know that I have a lot of football left in me."
200599938_122512239390498817 x	Phillies had one run and seven hits in last 17 innings.
200599938_112362628193587200 x	Halladay now 21 / 17 wins with 2.44 / 2.44 last 2 yrs. Only Phil since 1918 with 17+ wins & sub-2.50 ERA in consec. years: Bunning '66 & '67
200599938_111984319895052288 x	First time Packers have scored 28 first half points on opening day since 1983 -- in a 41-38 OT win over Oilers @ Astrodome.
200599938_109429937278156800 x	VY is heading to the Eagles' locker room ... walking under his own power. We'll have update as soon as we get it.
200599938_107479197609500672 x	Jeremy Maclin & Steve Smith both practicing today for first time. So Maclin is off Reserve-Illness list and Smith off PUP.
200599938_380471528887836673 x	Donovan: "I think Brent Celek learned from a guy like Chad Lewis." Chad's last year with Eagles: 2005. Celek's rookie year: 2007.
