346230733_394919587604865025 x	Follow the Leader, my friend! http://t.co/FIAAhCRATQ
346230733_395047727144632320 x	{#Review} {#Giveaway} The Morganville Vampire Series Vol. 3 @#rachelcaine: Hey guys today? http://t.co/dDXEjE4u3e
346230733_395037411115540480 x	{Review} {Giveaway} The Morganville Vampire Series Vol. 3 @rachelcaine http://t.co/5OOGqu30cZ
346230733_395000138265288704 x	It's gonna be a long night. http://t.co/ZQrIucsB9x
346230733_394994557785743360 x	Ok done with this one and crap does it end on a cliff hanger. But since there are two other books. I think I'm... http://t.co/7xATeYH1ps
346230733_394971482251481088 x	http://t.co/RRijudATGZ
346230733_394971442518822912 x	http://t.co/7vA2D2aMYh
346230733_394971422679777280 x	http://t.co/31FYazKffx
346230733_394957149035442177 x	10 new followers and 2 unfollowers in the past day via http://t.co/UBche6tjlD. What's the other news tweeps?
346230733_394946759015030784 x	@jocelyndavies I am loving your series. Do you do Bookplates???????
346230733_394907871168589824 x	@AnnaCruiseBooks @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394946494127550464 x	@AnnaCruiseBooks yay email me jessica@crossroadreviews.com
346230733_394945424328380416 x	http://t.co/B0fcAcHxVG
346230733_394945278417313793 x	Making dinner can be dangerous!! http://t.co/VZJFEK9b2X
346230733_394907895239680000 x	@kierstenwhite @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394926064977203200 x	@kierstenwhite lol I was there three years ago for the second time. U need to turn off everything and sleep.
346230733_394919596882681856 x	Follow the Leader, my friend! http://t.co/y2vfwu1AQF
346230733_394919586233335808 x	Follow the Leader, my friend! http://t.co/SPls5pCsZN
346230733_394919572970942464 x	Follow the Leader, my friend! http://t.co/mddOEJBZne
346230733_394919568927653889 x	Follow the Leader, my friend! http://t.co/Vn72jNdWBB
346230733_394919567124078592 x	Follow the Leader, my friend! http://t.co/NRkmcEdvo7
346230733_394919566977294336 x	Follow the Leader, my friend! http://t.co/bAgzP0lgan
346230733_394919564523606016 x	Follow the Leader, my friend! http://t.co/IreccD9ArC
346230733_394919564049674240 x	Follow the Leader, my friend! http://t.co/Qy7C4X47lQ
346230733_394919560274792448 x	Follow the Leader, my friend! http://t.co/BvQt0cURvG
346230733_394919560207687680 x	Follow the Leader, my friend! http://t.co/mXC9uMdv0H
346230733_394919559704367105 x	Follow the Leader, my friend! http://t.co/H2nlK7lQ2r
346230733_394919557808521216 x	Follow the Leader, my friend! http://t.co/A8AWXwLvia
346230733_394919554314690560 x	Follow the Leader, my friend! http://t.co/BXa0GWNOIC
346230733_394919551982632960 x	Follow the Leader, my friend! http://t.co/DRJ59r7v5F
346230733_394919551542251520 x	Follow the Leader, my friend! http://t.co/JH5n8kQKLV
346230733_394919540825804800 x	Follow the Leader, my friend! http://t.co/G0OG36omBv
346230733_394919533808742400 x	Follow the Leader, my friend! http://t.co/gcbzEpTVr4
346230733_394919529555718145 x	Follow the Leader, my friend! http://t.co/2aUjjrubmC
346230733_394917685215391745 x	Ok yes it looks a little cheesy but i so can't wait!! Don?t miss the world premiere for the X-Men: Days of Future... http://t.co/J2K1EoCI65
346230733_394916470641414144 x	We are looking for Authors to come on our live web show called Read On it airs on Saturdays at 4pm... http://t.co/c2sSObfRE0
346230733_394915968574832640 x	We are looking for Authors to come on our live web show called Read On it airs on Saturdays at 4pm... http://t.co/oQuTwsivpa
346230733_394910737472430080 x	#Supernatural is all new TOMORROW at 9/8c! ? Slumber Party http://t.co/Fd8GyfAFlo
346230733_394908531788247041 x	@patrickcarman @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394910308457664512 x	@patrickcarman @wtfareyoureadin Did looks like we have chatted about it before.
346230733_394908894574551042 x	@Juliecross1980 @wtfareyoureadin lol its ok.  I ended up tweeting this to a few people that have already been on the show to lol.
346230733_394908714789912576 x	@bethfantaskey @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394908645420306432 x	@writeawaybliss @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394908613258387456 x	@ajarzab @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394908566579994624 x	@CameoRenae @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394908499987013632 x	@rosiejbest @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394908461336506368 x	@JennJohansson @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394908438058131456 x	@Wendy_Higgins @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394908415245291520 x	@SoVerySophie @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394908389198684160 x	@sherrythomas @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394908315810922496 x	@sarahreesbrenna @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394908286907990016 x	@Jacqwrites @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394908262434234368 x	@sbennettwealer @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394908188299915264 x	@Leavittnovelist @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394908132138180608 x	@AprilynnePike @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394908108700385281 x	@HeatherFrost @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394908066686058496 x	@andreacremer @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394907964890284032 x	@LisaMStasse @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394907940160692224 x	@CameronSharonE @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394907846996787200 x	@LarkinBooks @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394907816785244161 x	@HannahFKent @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394907782203195392 x	@CindaChima @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394907741078040576 x	@Eve_Silver @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394907677496573952 x	@jocelyndavies @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394907656390840321 x	@LandLroecker @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394907623289401344 x	@JoanHolub @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394907579689615360 x	@CherieColyer @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394907536274362368 x	@raecarson @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394907504267632642 x	@LaurenDeStefano @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394907482331443200 x	@TrinityFaegen @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394907457534689280 x	@_FaithSullivan_ @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394907420759060480 x	@CynthiaHand @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394907391403114497 x	@JennRHubbard @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394907349577519105 x	@TaherehMafi @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394907246380843008 x	@AJLape @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394904963274387456 x	@StevenMBooth @KarolineBarrett @lauriestolarz @cesyamcuono @KrystalWade me to!
346230733_394904726070116352 x	Join #ReadOn Nov. 16th at 4pm EST to chat with @TheBookSlayer @laurenbjorkman @StephanieKeyes @DorineWhite... http://t.co/oAFV3cp4gh
346230733_394904442731892736 x	Join #ReadOn Nov. 16th at 4pm EST chat with @TheBookSlayer @laurenbjorkman @StephanieKeyes @DorineWhite http://t.co/t7m5gOfsko <right link
346230733_394894862174420992 x	{#Review} {#Giveaway} Gunpowder Tea | Enter to win a Kindle Fire & RSVP for ?Tea with? http://t.co/FCZwSJuCwA
346230733_394891120766767104 x	Join #ReadOn Nov. 16th at 4pm EST to chat with @TheBookSlayer  @laurenbjorkman  @StephanieKeyes @DorineWhite http://t.co/u3AmqzizpA
346230733_394890394288545792 x	http://t.co/bpRhy1sZP4 http://t.co/UFddZqpIHt
346230733_394881802537418752 x	{Review} {Giveaway} Gunpowder Tea | Enter to win a Kindle Fire & RSVP for ?Tea with Margaret? on 11/ http://t.co/eZH6UUs4F8
346230733_394872233237413888 x	I posted a new photo to Facebook http://t.co/MBzYP6O4hH
346230733_394872225998049281 x	I posted a new photo to Facebook http://t.co/8j0MeMG2bQ
346230733_394872217781424128 x	I posted a new photo to Facebook http://t.co/l3Q7va6wz4
346230733_394866519051485184 x	@KarolineBarrett Hey Karoline I have you down for the ReadOn Nov. 2nd needed to update you please email me at Jessica@crossroadreviews.com
346230733_394851763494617089 x	This review will post Nov. 6th on http://t.co/uhQVFHuh7O http://t.co/F8rIB22Lcx
346230733_394851658288869376 x	This review will post Nov. 5th on http://t.co/7ncuiv80G6 http://t.co/OCxoy73dVI
346230733_394828152163151874 x	http://t.co/wKHvuYic8o
346230733_394827322307522560 x	Bloggers. I'm looking for some bloggers that can put up a ready made post on Saturdays. I will offer a post on my... http://t.co/egnTtxhG3j
346230733_394824422772989952 x	FREE PR!!! ATTENTION AUTHORS!!! Read On live web show is looking for authors to come on and talk about? http://t.co/34zzPjk1nV
346230733_394823264213544960 x	Authors #readon the free live web show is looking for authors!!
346230733_394823003412131840 x	FREE PR!!! ATTENTION AUTHORS!!! Read On live web show is looking for authors to come on and talk about their... http://t.co/BywCPcy3gU
346230733_394822887955120128 x	FREE PR!!! ATTENTION AUTHORS!!! Read On live web show is looking for authors to come on and talk about their... http://t.co/pZpOKCPiS6
346230733_394814250675617792 x	Check out this giveaway for all 15 books in the Morganville Vampire series by @RachelCaine http://t.co/3kX8ULCZEL
346230733_394813280575053824 x	Owls and iPhones, together at last #HootSuiteiPhone http://t.co/cvv1XZ1ZS4
346230733_394813122290409472 x	Check out this giveaway for all 15 books in the Morganville Vampire series by @RachelCaine http://t.co/a2PwDjEaMg
346230733_394812250529095683 x	Check out this giveaway for all 15 books in the Morganville Vampire series by @RachelCaine http://t.co/StivCqfVaV
346230733_394812226970091520 x	Check out this giveaway for all 15 books in the Morganville Vampire series by @RachelCaine http://t.co/e0xdMFYBP1
346230733_394698295681241088 x	{#Review} {#Giveaway} The Morganville Vampire Series Vol. 2 @#rachelcaine: Hey guys today? http://t.co/rRePaiE7AV
346230733_394677700818124800 x	{Review} {Giveaway} The Morganville Vampire Series Vol. 2 @rachelcaine http://t.co/VhotHyp3HS
346230733_394659521122930688 x	Jessica Souders I messages you. Sorry for being a pain.
346230733_394634070350917632 x	@jocelyndavies really loving this book!! DO FUNNY!! http://t.co/yRb4f0ndYN
346230733_394633814049587200 x	@jocelyndavies LOVING this book! So funny!! http://t.co/jzEODzcXkv
346230733_394633490085314560 x	@ajarzab ya now what do I have to do to get a signed copy LOL.
346230733_394609179568406528 x	I've read about 6 books over the weekend! How many and what have you read!?
346230733_394594760997871616 x	2 new unfollowers (I know who you are!) and 5 new followers (hello! hello!) in the last day. Via http://t.co/UBche6tjlD
346230733_394578998384406528 x	YOU KNOW YOU WANT THIS!!! Vitro by Jessica Khoury comes out this coming January published by RazorBill. Well i... http://t.co/okLUb4mKby
346230733_394578244181438464 x	I posted a new photo to Facebook http://t.co/8NsH9rmRkH
346230733_394578243937783809 x	Today was filled with yard work. And then going to the park. Now we're home and I'm ready to just crawl in bed.... http://t.co/36EnNF50FF
346230733_394578243904602112 x	I posted a new photo to Facebook http://t.co/3F4jb0kjdz
346230733_394578243744829440 x	I posted a new photo to Facebook http://t.co/rwqmVfopP2
346230733_394324691059748864 x	{#Review} {#Giveaway} The Morganville Vampire Series Vol. 1 @#rachelcaine: Hey guys today? http://t.co/3zRnWBTEVA
346230733_394324690380263424 x	{#Review} Endless @JessShirvington: LOVE WILL KILL US ALL Violet Eden thought she was getting? http://t.co/dkCagmdsEu
