1930595424_393413249108312065 x	@brittanybartonn britt stfu
1930595424_390670210979880960 x	Saw my boy @JimmyBaehr55 living that water life tonight
1930595424_390671028441317376 x	@JimmyBaehr55 we really did. Just some great timing. That's a great one too
1930595424_390669050097184768 x	@TristenBoggs22 die*
1930595424_390670108005511168 x	@TristenBoggs22 you're crazy bro
1930595424_390603181279170560 x	@Neverenders_ fall back is a mean one
1930595424_390603891936854017 x	@Neverenders_ I never heard the pumped up kicks remix he did. It's a great one
1930595424_390203984931467264 x	Grind time with @TristenBoggs22 #chestday #chestpress #milesonmiles
1930595424_389793647027556352 x	@TWITCRAFT50 @JimmyBaehr55 @kdiggy53 he can lead the team. But vick will most likely get another shot
1930595424_389793959838765057 x	@kdiggy53 @TWITCRAFT50 @JimmyBaehr55 he isn't Jimmy's fantasy qb
1930595424_389794721692151808 x	@kdiggy53 @TWITCRAFT50 @JimmyBaehr55 lmaoo no I just think he is still good
1930595424_389794536668803072 x	@TWITCRAFT50 @kdiggy53 @JimmyBaehr55 he most likely won't be. As long as we win idc who is the qb. I just still have faith in vick
1930595424_389793785716432896 x	@kdiggy53 @TWITCRAFT50 @JimmyBaehr55 I'm still a vick guy
1930595424_389792217105436672 x	@kdiggy53 @JimmyBaehr55 @TWITCRAFT50 I'm a vick believer. Foles did it against two winless teams
1930595424_386529381134635008 x	Called a punt return touchdown lastnight against @TristenBoggs22 with the Cards
1930595424_389792605577703424 x	@kdiggy53 @JimmyBaehr55 @TWITCRAFT50 @chalie_clair I think vick is better suited. Foles shit he really did but vick is going to start
1930595424_389793159540383744 x	@kdiggy53 @JimmyBaehr55 @TWITCRAFT50 I don't look at stats. It all depends on deep passes and short ones
1930595424_389793540001509376 x	@kdiggy53 @JimmyBaehr55 @TWITCRAFT50 it is don't get me wrong. But completion % is different depending on the type of passed you make
1930595424_389792787438501888 x	@TWITCRAFT50 @kdiggy53 @JimmyBaehr55 he's not terrible. If we had a defense we would easily be 4-2
1930595424_389792882078806016 x	@TWITCRAFT50 @kdiggy53 @JimmyBaehr55 even 5-1
1930595424_386251775545970688 x	@jackiegilbertt we really didn't. I think that means by default since we were seniors we win
1930595424_389463297281769472 x	That anchorman Durango commercial is great
1930595424_389463603063308288 x	@kdiggy53 what is this a gumball machine no it's a dodge Durango
1930595424_389428312344649729 x	False alarm
1930595424_389407172930850816 x	RT @FootbaIl_Tweets: Adrian Peterson is a living legend. http://t.co/tfTNRdYDec
1930595424_389054854586728448 x	RT @AdrianPeterson: My son Adrian Jr. who lives w/me is healthy. Appreciate the concern. We respectfully ask to stop tweeting his pics.
1930595424_389054836895154176 x	RT @AdrianPeterson: We are currently not posting photos of my son who passed away. Thank u for your understanding.
1930595424_388813565773488129 x	RT @LarryFitzgerald: My thoughts and prayers are with my brother @AdrianPeterson and his family!
1930595424_388744163103350784 x	@kdiggy53 @kendricklamar you said you hated his voice
1930595424_388744875317145600 x	@kdiggy53 @kendricklamar he is good bro. I always told you that
1930595424_388745359423729664 x	@kdiggy53 @kendricklamar he really does. That boy got that flow
1930595424_388746351384985600 x	@kdiggy53 doesn't affect me. He did dump though. But I used knowshon to get romo so it's gucci
1930595424_388745467208941568 x	@ChrisJohnson28 speaking the truth
1930595424_388745406450237441 x	RT @ChrisJohnson28: Man if a grown ass man ever put his hands on my two year old son. Aww man lord bless his soul I can tell u that now.
1930595424_388745166594785280 x	@AndrejLubosh @kdiggy53 @kendricklamar nahh bro. King of New York
1930595424_388724595895050240 x	I have never laid in bed for so long and I'm not complaining
1930595424_388724443738292224 x	RT @RSherman_25: Prayers out to AP and his family.  God will get you through this.
1930595424_388498569868881921 x	Just made a huge move to get tony romo
1930595424_388161648433061888 x	@JimmyBaehr55 send me one dude
1930595424_388411637335851008 x	@JimmyBaehr55 I will do that
1930595424_388376752827138048 x	@AndrejLubosh greattt one
1930595424_388376667280142336 x	Art appreciation is bird
1930595424_388128694126252032 x	Eating this late is terrible
1930595424_387973965110837248 x	@JimmyBaehr55 fugg you bro coming at my store and shot
1930595424_387974625558560768 x	@JimmyBaehr55 yo I appreciate that. I do my thang and let the customers know who da ring boss is
1930595424_387784675974209536 x	My meal after work and the gym. #grind #Dominos #pizza http://t.co/aScj9MEleN
1930595424_387774723125682176 x	Back in the gym with my boy @TristenBoggs22 #grindtime #abs #chest #shopriteafterhours
1930595424_387622064859127809 x	Got done my psych test in 10 minutes. #putinwork #tabularasa #malone
1930595424_387395062277353472 x	@djkhaled always produces some bangers with mad people on them
1930595424_387352064437010433 x	Putting in that work. Making those ???
1930595424_387319121928794112 x	RT @AndrewJGillen: LIGHT 'EM UP UP UP I'M ON FIAAAA RT @sbnation: Vine of Martinez vs. Balfour (nsfw language within!) https://t.co/2PcatTD?
1930595424_387017429081415680 x	@knowshonmoreno put in that work today and might have caused me to win in two of my leagues
1930595424_386947059477401600 x	Need a big big game from @knowshonmoreno today
1930595424_386941952186662912 x	Joe flacco is bird
1930595424_386578559521030144 x	@kdiggy53 @TristenBoggs22 dude he really was I was dying
1930595424_386579481546469377 x	@kdiggy53 @TristenBoggs22 I told him to throw it to d jack and he gots picked off
1930595424_386258266592141312 x	RT @RSherman_25: Off to Indy....
1930595424_386252151775039488 x	@jackiegilbertt we would've. We were unstoppable
1930595424_386225184925286401 x	Walking home from the gym and this kid starts acting like he's shooting me
1930595424_386239992231903232 x	@JoeWeichmann I did
1930595424_385862943382208512 x	Made 3 trades in one week in my one fantasy league
1930595424_385854991820664832 x	RT @Seahawks: Wilson: #GoHawks. #SEAvsIND
1930595424_385854911042555904 x	King Push http://t.co/sMtHl01zXF
1930595424_385767071717785600 x	My writing teacher got hit by someone on a bike
1930595424_385761373474783232 x	Learning how to make ribs in writing
1930595424_385750245227134976 x	Had to make a new one follow me
1930595424_385756862014316544 x	@kdiggy53 let's gooo
1930595424_385756831723061248 x	RT @kdiggy53: @ChrisDiDomenic2 omg first follower yay ;*
