166394589_372925561947308032 x	@Mr_Vanity620 #fb Cuzzo
166394589_389119252873347073 x	RT @DC_Saunders5: In tryna go out somewhere tonight mane
166394589_389118270286364673 x	#Nw never die alone
166394589_389067433719627777 x	?@TriumphantKas_: 35-0 first quarter ??????us ?
166394589_389067976970080256 x	@TriumphantKas_ good look
166394589_388846277666299904 x	@Obey_Turk you welcome lol
166394589_388831163722510336 x	?@i_knowwhan: With my bros out here.?y'all missing one smh
166394589_388820597603827712 x	RT @HPAnt_12: R.I.P Adrian Peterson son ?
166394589_388814128217063424 x	Was Gud for da night @Brobyo @tjshaw_ @DatsHottAL
166394589_388805150946914304 x	Damn Adrian Peterson
166394589_388088992652353536 x	@LindsDaddy_856 never been dere wass supp
166394589_388077280448483328 x	@LindsDaddy_856 were yu going
166394589_386727042932551680 x	RT @tjshaw_: Tonight is the first night ever that we got kicked out of xfinity. My bro rob is soooooo turnt to the max!!
166394589_372926985364074496 x	@manmanself_215 was Gud lil bro how u
166394589_386724406850244608 x	?@shannjones11: @DatsHottAL @Brobyo just put him on the couch right now & he broke his glasses lol??????who ?
166394589_386699208558125056 x	@DatsHottAL @Brobyo lol right them mutherfuckas left me smh
166394589_386664758587715584 x	RT @NellyNell3110: @Johnjohn0018 ???
166394589_386659356739371008 x	@NellyNell3110 ??that's hard not to do lol
166394589_386660953997451264 x	@NellyNell3110 of course your beautiful but still that's a hard task
166394589_386661323486285824 x	@NellyNell3110 man I was been telling yu that shit back n da day on sum myspace days shit ???
166394589_386663379232124928 x	@NellyNell3110 am I lieing tho ?
166394589_386663995211796480 x	@NellyNell3110 smh damn disappointing me an shit. ?????
166394589_386664500499595264 x	@NellyNell3110 it's all good yu still got it ?
166394589_386662805686214656 x	@mowens52 wya cuz
166394589_386663826307153921 x	@mowens52 salem right now grove popin ?
166394589_386662927920812032 x	?@__TheRealNadine: @Gunz856 on that shit?????
166394589_386661549580255232 x	@x3_simply_me when we gonna get n the gym season around da corner  cuz yu playing
166394589_386662460872491008 x	@x3_simply_me say dat we gonna start next Sunday iam text yu
166394589_386661113615888384 x	@__RickyRozay dm me then bro
166394589_386656942497996800 x	@__RickyRozay wya
166394589_386657597472141312 x	@__RickyRozay  yu going to da grove
166394589_386658422982443008 x	@__RickyRozay call my jack real quick
166394589_386655243108634624 x	Everybody going to da Grove or nah
166394589_386545451782385664 x	RT @srchappie: Shockley pass, missed PAT & Salem leads PG 19-12 :10.7 2nd. #njfootball #sjfootball
166394589_386513503647199232 x	I got a dub on salem wass supp ?
166394589_384645416975097856 x	Heaven or hell meek >>>?
166394589_384638726749818880 x	@_dsurrency hell no meek dat dude fam
166394589_384634416506867712 x	I don't chase bitches cuz the money only thing that excite me
166394589_384633550357921792 x	#workflow
166394589_384628318232125440 x	RT @jroc1124: I never cared what a nigga had to say about me Nahhh??
166394589_384489191968890881 x	I'm bored all day way n wild wood doe ???????
166394589_384489641023635456 x	@OhShtItsDjNellz ill hit ya jack
166394589_384473093630353408 x	Rip lil snupe boul had bars tho
166394589_384346552552419328 x	@DathanBeatz shyt coolin. ??type day sup wit yu
166394589_384345374385000448 x	Dc3 bouta drop ??go cop up on day mixtape
166394589_384085827527380992 x	AT&T fucking up right now smh
166394589_384091492773818369 x	@tattedregg856 was Gud
166394589_384007267085213696 x	S/o to salem football  we got the win
166394589_383979398200049664 x	Dat Avi @PinkDesMatter ????
166394589_382822705932038144 x	@amERICAs_only lol ??????
166394589_382523892507869185 x	@VivaLaForeign Avi beautiful
166394589_382528061268582400 x	@VivaLaForeign welcome honey? get at me
166394589_382521650451058688 x	?@kiiraamichelle: Spanish is so easy they just dont teach it right in school lol?right tho cuz I'm Spanish and I failed the class smh
166394589_382522239788531712 x	@kiiraamichelle I'm outta hs now fuck tha Spanish teacher she was a hater
166394589_382521163983118336 x	RT @NellyNell3110: I get it, I get it. Your hustle don't ever go unnoticed baby. I'm with you, I'm with it.
166394589_382515363088728064 x	RT @Tsu_Surf: Could never fucc wit a chicc that ain't 120% for my growth......
166394589_382497200674439169 x	RT @Mr_Vanity620: With the new day comes new strength and new thoughts.
166394589_380355135928815616 x	#ios7 out yet ?
166394589_379538131890225152 x	Up early Getting ready to go home den work
166394589_379338711764594689 x	We good tho cowboys lost and redskin giants bouta loose next
166394589_379338162591776769 x	@MVFive that fucking d man Nate Allen terrible
166394589_379337875273555968 x	Eagles d line is fuckin ass
166394589_379312625932591104 x	@FriqO_Suave bro
166394589_379313486616358913 x	@FriqO_Suave hmp
166394589_379312960948412416 x	Dey hate it when yu up Dey love it when yu down
166394589_379312024008011776 x	@Tiff_xo dem jawns nasty lol
166394589_379311824866648065 x	God willin Santana mixtape one of my favorites mixtapes ever @thejuelzsantana
166394589_379310237876224000 x	?@DQuarles11: Bring back Akers man?right doe
166394589_379297983495688192 x	RT @PhillyIsHere22: Dear Eagles, release Nate Allen  Sincerely, Eagle Fans #Eagles
166394589_379293960386392064 x	That's td fuck that
166394589_379242306362437632 x	#GodFirst ??
166394589_379063272236138496 x	RT @Adore_MAEe: Relationships are overrated.
166394589_379051350476472320 x	RT @nddm_: #Rt for Mayweather?????  #Fav for Canelo????????
166394589_379046828832215040 x	Danny Garcia bouta get this W
166394589_379000658852339712 x	@laurapeters24 ?????I hate bama
166394589_378906398425636864 x	And the day yu say yu ain't got it they forget the days that yu did it
166394589_378902533965885440 x	We're da fight party tonight
166394589_378702137557286912 x	@FriqO_Suave hmj bro
166394589_378690414716678145 x	RT @DaRealZah: Bitches come before ya money? #DumbShit
166394589_378652680337752064 x	RT @Gee__Sosaa: Goodluck to the football players #RamNation bitchhh !!
166394589_377971192684380160 x	@Mr_Vanity620 were Dey at cuz send 1 em my way
166394589_377810887736033280 x	9/11 respect salute to the people who lost they life on this day ?
166394589_377573036251447296 x	Remember when we broke we can't Afford shit
166394589_377571357779034112 x	RT @UknowWhatAMEEN: My new retro 4's ??? http://t.co/T7Y3zhqJ2C
166394589_377227497144066048 x	Eagles look good as hell can I say Super Bowl ?
166394589_377246286464155648 x	?@mr_nastii: @Johnjohn0018 hell no?im telling yu cuz
166394589_377235822120275968 x	@SMacc_24 it's the liquor talkin cuz ????
166394589_375613115884638209 x	RT @Fuck_Twitty: Ain't see no pics of y'all kids all Summer, now on the 1st day of school y'all hoes wanna flood my Instagram with pics of ?
166394589_375612729245327360 x	@ECelesteSmile yu laughting at me ?
166394589_375612413296803841 x	Wish I was n college but fuck it I'm getting ?right now so it just is what it is
166394589_375331980168396800 x	RT @Sham_Hs: Rip ma brother Jeezy
166394589_375316193986768896 x	Omw out cape may ot wit it
166394589_375256798699479040 x	RT @TheKidd093: Man college can suck 3 dicks ,
166394589_375133697101819904 x	Life is what yu make it
166394589_374578302448848896 x	RT @HSGs_LOC: K. Michelle be talkin that shit
166394589_373924553749434368 x	Bouta watch da bama game see if my boy from Woodbury show out
166394589_373923690175807488 x	@kalitiaaa Avi ??
166394589_373578730511556609 x	@BuddieLove856 yeo hmp bro
166394589_373575949797048320 x	Might fuck around and go to the grove later
166394589_373512214629871616 x	@picesbaby123 wya
166394589_373511717311238144 x	RT @teronnance: "@Johnjohn0018: Pizza Hut deliver or naw ?" Yeah .
166394589_373511696654274560 x	RT @MAD9292: Jolly ranchers & syrup my special cola
166394589_373511028170309633 x	Pizza Hut deliver or naw ?
166394589_372920513875939328 x	I hate my job them people to fake for me
166394589_372931277978337280 x	@Just_Tjack I hate them fuckin people I wake up to the same bullshit ever dat iga smfh ??????
166394589_372930971555078144 x	Light skin jawn wit red hair ??
166394589_372929180029444097 x	My sister having a baby damn niggas getting old smh
166394589_372928819734519809 x	@manmanself_215 hmj bro
166394589_372928376790867968 x	?@PMF_Keem: I know about cuffin, but idk about cuffin a hoe. U got the game fucked up bro????????
166394589_372926741020672000 x	@ChinkyChink_ wat happen to my lil bro
166394589_372926469796003841 x	RT @LilDurk_300: Miley can get it
166394589_372925995701264384 x	Can't wait for 2k to cum out ?
166394589_372925364060028928 x	@_Donyax3 tell Ryan dumb ass turn that corny ass music down that bullshit he b playing ???
166394589_372925162829938689 x	?@Easy856: My nigga @Johnjohn0018 stay on some chill shit!?always bro I don't know no other way I stay low key
166394589_372925006776639488 x	@_SmokinOnHazeee smh that's crazy
166394589_372924834927611904 x	@msmariah0515 Avi ??
166394589_372924745727344641 x	RT @vitobrown856: Everybody go checkout dis track call'd "We Off That ft. "@Mr_Vanity620 & @vitobrown856  http://t.co/vf60sueukc"
166394589_372924506366820352 x	Was Gud with my bro @WillsoWavy1
166394589_372924436770750464 x	@MsQoya night boo ??imm still waiting on my dinner an shit smh
166394589_372924151646130176 x	@ShawtySoNiice #nf
166394589_372923888386449408 x	RT @lilmissannna: @Johnjohn0018 levels to this shit.
166394589_372923626527678464 x	@lilmissannna smh
166394589_372923849928884224 x	@lilmissannna ????say dat
166394589_372919574733524992 x	RT @TheKidd093: loyalty is everything ,them niggas like my brothas .
166394589_372919534195580928 x	Rg 3 the truth n madden
166394589_372919206796615680 x	Miguel adorn still that work tho
166394589_372461579243380736 x	@mowens52 @DjMeat5z how is it
166394589_372461386846470144 x	RT @Baddesst_RicAn: Fresh off & tiredd af
166394589_372380314725023744 x	@100Milllion yu got it ?
166394589_372427061631410176 x	@100Milllion lol wurd
166394589_372378878591131648 x	Who got madden ?
166394589_372379765371838464 x	@jones_tahj you play it yet bro ? Let me know how it is
166394589_372050942583382016 x	Fuck all that beef shit nigga lets make a mill
166394589_371976506668752896 x	Time is money #wrkflow ?
166394589_371844587838779392 x	@NylahAS yu home ?
166394589_371844907704782848 x	@NylahAS damn ard
166394589_371843981023653890 x	@Baddesst_RicAn yo
166394589_371751165979267072 x	@tamora2trill_ were yu going to get food ?
166394589_371751290730446848 x	@tamora2trill_ bring me a mic chicken
166394589_371752183521632256 x	@tamora2trill_ bring me sumthing back
166394589_371756217401884672 x	@tamora2trill_ wurd wurd good look
166394589_371751393100828673 x	Bouta go ?
166394589_371477980939173888 x	I'm trunt were it at
166394589_371379259635679232 x	?@YesImaLibra: I'm one of em RT @MsQoya : As I scroll down ma contacts .. I got ova ahunnid sum'em hoessssss !????
166394589_371375388360208384 x	@BubbaKane23 man match me cuz yu was bullshiting last time never came back
166394589_371376126381551616 x	@BubbaKane23 I'm at mom dukes crib
166394589_371376621535916032 x	@BubbaKane23 yeah nigga
166394589_371376924331089920 x	@BubbaKane23 wurd
166394589_371376867284369408 x	@Fuck_Twitty @YesImaLibra @MsQoya @kmichelle Ahha if yur shit dat offical to the dm I go ???
166394589_371375640643395584 x	@YesImaLibra @MsQoya @Fuck_Twitty only pussy im paying for is right here @kmichelle ??
166394589_371375893517963265 x	@MsQoya @YesImaLibra @Fuck_Twitty @kmichelle yu feel tho Twitty
166394589_371375111569682433 x	RT @MsQoya: @Johnjohn0018 @Fuck_Twitty @YesImaLibra well u ain't eatin shit including me out of dis house ?
166394589_371375046738325504 x	@BubbaKane23 bouta roll up Cuzzo wya
166394589_371374901586042880 x	@Fuck_Twitty @MsQoya @YesImaLibra I need iOS 7 bro
166394589_371374555241410560 x	@Fuck_Twitty @MsQoya @YesImaLibra it ain't tricking if yu got it bro ???sike naw I ain't paying no fucking bills
166394589_371373106478477312 x	@MsQoya @YesImaLibra @Fuck_Twitty foh ms qoya
166394589_371373473542991872 x	@MsQoya @YesImaLibra @Fuck_Twitty man I'm still waiting on my dinner what I gottta do to get a steak or sumthing
166394589_371373856545837056 x	@MsQoya @YesImaLibra @Fuck_Twitty i been telling yu qoya fuck wit me yu know I got it ??????
166394589_371374005787586560 x	@MsQoya @YesImaLibra @Fuck_Twitty fuck around and pay a couple bills for dat ass ???
