444803756_398103191981936640 x	RT @___jermaine: @johnrcoyle 6.93
444803756_394677770997207040 x	@LaurenDiTommaso oh it does, and you can hardly notice the ears. Def a natural look though.
444803756_394641799832432640 x	@HeyitsChalie, @Greg_Masturzo @Tweetaginga and @2ndDegree_BURNS told me you were too busy on Fri to stop by. Clear ur sched next time!
444803756_394500532985163777 x	Congrats @Will_Fuller7 on your first college career TD. I think this is a sign of greater things still to come!
444803756_394490621077254144 x	RT @RomanCatholicAD: Shout out to William Fuller class of '13 for his first TD at Notre Dame
444803756_394490414952382464 x	RT @RomanCatholicAD: Thank you to our coaches, seniors and all members of the Varsity soccer program for an unforgettable season. Keep your?
444803756_394203134526238720 x	@DEOdorant_man Monday
444803756_393833992770048002 x	RT @RCHS_Guidance: Temple Open House November 17th  Applying to Temples nursing program? It is very competitive and their deadline is Novem?
444803756_393571575444045824 x	Days really need to be 36 hrs long. Although if they were 12 hrs longer all that means is that I would prob just sleep an additional 12 hrs
444803756_393573369964425216 x	@victoriacurran_ #facts
444803756_392466199436877824 x	@Hey_COOLLIN learning that college doesn't teach you much of anything is a lesson in and of itself
444803756_392472852647387136 x	@thePREND_setter You're a smart guy, I'm sure you'll figure it out
444803756_392474060644708352 x	@thePREND_setter don't worry, eventually you get to a point where you're not being babysat anymore
444803756_392475129378504704 x	@Hey_COOLLIN @thePREND_setter as long as there are babies in this world, there will always be babysitters
444803756_392470955458854912 x	@Hey_COOLLIN only after you give them four years worth of your youth and plenty of $$$
444803756_392461715428102144 x	@victoriacurran_ I'll take a large iced coffee and a dozen pumpkin pie donuts.
444803756_392463134155636737 x	@victoriacurran_ thank you. If they're out of pumpkin pie, I'll take choc frosted. Always need a backup plan wen donuts are involved
444803756_392419890147373056 x	I rarely root for the @Giants but I need Eli and Cruz to blow up so @jayriv2 destroys @themjm in our fantasy league. Go Riv!
444803756_392430907967414272 x	@mph102685 @themjm @Giants @jayriv2 Eli reads all of my tweets, he has the kind of down time this season
444803756_392390551263518722 x	@ddidge27 have fun man!
444803756_392342595919421441 x	The power outage has been fixed and Roman will be OPEN tomorrow.
444803756_392349059136376832 x	@biss__ in all seriousness your math looks correct
444803756_392346640801361920 x	@biss__ looks good, you should turn it into a meme
444803756_392347607332577280 x	@biss__ eh, I gave it a C+, it was funny but I was expecting better creativity from you
444803756_392253308586721280 x	RT @RomanCatholicAD: Due to an electricity outage, school will be CLOSED today, October 21. Please see your email accounts for validated co?
444803756_392252462050312192 x	Here come the funny, clever, strange, and inappropriate tweets. #RomanPowerOutage2013
444803756_392246560542949377 x	Go back to sleep everyone, Monday has been cancelled!
444803756_392249656211931136 x	@DrSJames I don't know. The website is always updated from the school, which they can't do with no power.
444803756_392250955510861824 x	@DrSJames school is definitely cancelled
444803756_392248840268816384 x	@___brennan___ that's what I'm here for man! But I can't believe you're the one who cut the power
444803756_392245202943225856 x	No school today!! Power Outage! Got to love unexpected three day weekends!
444803756_392244136914726912 x	@saintseamus I just received a text saying it is!!!
444803756_392080053909356546 x	This is my 1,000th tweet. I will now celebrate by eating 1,000 Reese's peanut butter cups.
444803756_392092483074928640 x	@mph102685 I would think there would be at least a few wrong ways to celebrate
444803756_392075807931502592 x	I've been looking forward to this Sunday night football game ever since I first saw it on the schedule. #TeamPeyton
444803756_391717637405028352 x	@Timbuktew just keep working at it brah!
444803756_391711312310730752 x	@Timbuktew yup, you should be freaking out, you're prob going to fail
444803756_391696191735730176 x	@Timbuktew is that all today?
444803756_391595011542114305 x	Hey Philly, check out @chrisgreatti and his band @BasicVacation, they're really good! Thanks @kittycatgosmeow for telling me about them!
444803756_390994854890975232 x	When I see @sidney_crosby on the ice I feel the same way Joaquin Phoenix did when he saw Russell Crowe in the arena in Gladiator #IDontLikeU
444803756_390998665248378880 x	@mph102685 I think you're mixing the characters up
444803756_390996604754616320 x	@broadstdiva that was simultaneously confusing and disgusting
444803756_390985565622906880 x	@NHLFlyers blow more second chance opportunities than Anthony Wiener. #Politics
444803756_390984324772028416 x	Ppl keep judging our defense, but it's kind of hard to judge something that's non-existent
444803756_390839474126848000 x	Next time things are tough and u feel like U can't do something, remember the matadors job doesn't begin until the bull enters the ring.
